,mahalle,sokak,yil,rayic
0,(HACIHÜSREV) İSTİKLAL MAH.,AKDENİZ SOKAĞI,2020,1109.24
1,(HACIHÜSREV) İSTİKLAL MAH.,ALİ KABULİ CADDESİ,2020,1569.87
2,(HACIHÜSREV) İSTİKLAL MAH.,ARALIK ÇIKMAZI,2020,1109.24
3,(HACIHÜSREV) İSTİKLAL MAH.,ARAPZADE DERGAHI SOKAĞI,2020,1109.24
4,(HACIHÜSREV) İSTİKLAL MAH.,AY SOKAĞI,2020,1109.24
5,(HACIHÜSREV) İSTİKLAL MAH.,BAHÇE SOKAĞI,2020,1109.24
6,(HACIHÜSREV) İSTİKLAL MAH.,BAKKALİYE SOKAĞI,2020,1109.24
7,(HACIHÜSREV) İSTİKLAL MAH.,BARUTHANE DERESİ SOKAĞI,2020,6489.9
8,(HACIHÜSREV) İSTİKLAL MAH.,BARUTHANE SOKAĞI,2020,1109.24
9,(HACIHÜSREV) İSTİKLAL MAH.,BÜYÜK YOKUŞU,2020,1109.24
10,(HACIHÜSREV) İSTİKLAL MAH.,CANAN SOKAĞI,2020,1109.24
11,(HACIHÜSREV) İSTİKLAL MAH.,CENDERE SOKAĞI,2020,1109.24
12,(HACIHÜSREV) İSTİKLAL MAH.,ÇAVUŞ SOKAĞI,2020,1109.24
13,(HACIHÜSREV) İSTİKLAL MAH.,ÇEŞMELİ SOKAĞI,2020,1109.24
14,(HACIHÜSREV) İSTİKLAL MAH.,DARBUKA SOKAĞI,2020,1109.24
15,(HACIHÜSREV) İSTİKLAL MAH.,DEDE SOKAĞI,2020,1109.24
16,(HACIHÜSREV) İSTİKLAL MAH.,DERE BOSTANI SOKAĞI,2020,1109.24
17,(HACIHÜSREV) İSTİKLAL MAH.,DERYA BEYİ SOKAĞI,2020,1109.24
18,(HACIHÜSREV) İSTİKLAL MAH.,DİKBAYIR SOKAĞI,2020,1109.24
19,(HACIHÜSREV) İSTİKLAL MAH.,DOST SOKAĞI,2020,1109.24
20,(HACIHÜSREV) İSTİKLAL MAH.,ERENLER ÇIKMAZI,2020,1109.24
21,(HACIHÜSREV) İSTİKLAL MAH.,FESCİ YOKUŞU,2020,1109.24
22,(HACIHÜSREV) İSTİKLAL MAH.,GÖRELE ÇIKMAZI,2020,1109.24
23,(HACIHÜSREV) İSTİKLAL MAH.,GÜLAĞA SOKAĞI,2020,1109.24
24,(HACIHÜSREV) İSTİKLAL MAH.,HACI HÜSREV CADDESİ,2020,1569.87
25,(HACIHÜSREV) İSTİKLAL MAH.,HACI HÜSREV KÖPRÜSÜ SOKAĞI,2020,1109.24
26,(HACIHÜSREV) İSTİKLAL MAH.,HAFİK SOKAĞI,2020,1109.24
27,(HACIHÜSREV) İSTİKLAL MAH.,HİLAL ÇIKMAZI,2020,1109.24
28,(HACIHÜSREV) İSTİKLAL MAH.,HOCA SOKAĞI,2020,1109.24
29,(HACIHÜSREV) İSTİKLAL MAH.,İBN-İ SİNA SOKAĞI,2020,1109.24
30,(HACIHÜSREV) İSTİKLAL MAH.,İLHAM SOKAĞI,2020,1109.24
31,(HACIHÜSREV) İSTİKLAL MAH.,İMAM BAHÇE SOKAĞI,2020,1109.24
32,(HACIHÜSREV) İSTİKLAL MAH.,İMAM HÜSREV SOKAĞI,2020,1109.24
33,(HACIHÜSREV) İSTİKLAL MAH.,İPLİKÇİ FIRIN ÇIKMAZI,2020,1109.24
34,(HACIHÜSREV) İSTİKLAL MAH.,İPLİKÇİ FIRINI CADDESİ,2020,1569.87
35,(HACIHÜSREV) İSTİKLAL MAH.,KADİR EFENDİ SOKAĞI,2020,1109.24
36,(HACIHÜSREV) İSTİKLAL MAH.,KAN KARDEŞİ ÇIKMAZI,2020,1109.24
37,(HACIHÜSREV) İSTİKLAL MAH.,KAN KARDEŞİ SOKAĞI,2020,1109.24
38,(HACIHÜSREV) İSTİKLAL MAH.,KARANFİL SOKAĞI,2020,1109.24
39,(HACIHÜSREV) İSTİKLAL MAH.,KOLAN SOKAĞI,2020,1109.24
40,(HACIHÜSREV) İSTİKLAL MAH.,KURTULUŞ DERESİ CADDESİ,2020,6594.47
41,(HACIHÜSREV) İSTİKLAL MAH.,MAHİR SOKAĞI,2020,1109.24
42,(HACIHÜSREV) İSTİKLAL MAH.,MAHMUDİYE CAMİİ SOKAĞI,2020,1109.24
43,(HACIHÜSREV) İSTİKLAL MAH.,MAHMUTAĞA SOKAĞI,2020,1569.87
44,(HACIHÜSREV) İSTİKLAL MAH.,MERTEK SOKAĞI,2020,1109.24
45,(HACIHÜSREV) İSTİKLAL MAH.,MUHSİN ÇIKMAZI,2020,1109.24
46,(HACIHÜSREV) İSTİKLAL MAH.,ÖKSÜZ SOKAĞI,2020,1109.24
47,(HACIHÜSREV) İSTİKLAL MAH.,PAŞA SOKAĞI,2020,1109.24
48,(HACIHÜSREV) İSTİKLAL MAH.,PAŞALI HASAN SOKAĞI,2020,1109.24
49,(HACIHÜSREV) İSTİKLAL MAH.,PİYALEPAŞA BULVARI,2020,6489.9
50,(HACIHÜSREV) İSTİKLAL MAH.,POLAT ARALIĞI,2020,5233.75
51,(HACIHÜSREV) İSTİKLAL MAH.,POLAT SOKAĞI,2020,6489.9
52,(HACIHÜSREV) İSTİKLAL MAH.,SAHAF CAMİİ SOKAĞI,2020,1109.24
53,(HACIHÜSREV) İSTİKLAL MAH.,SAHAF ÇEŞMESİ SOKAĞI,2020,1109.24
54,(HACIHÜSREV) İSTİKLAL MAH.,SAHAF KUYUSU SOKAĞI,2020,1109.24
