,sokak,yil,rayic
0,AKDENİZ SOKAĞI,2020,1109.24
1,ALİ KABULİ CADDESİ,2020,1569.87
2,ARALIK ÇIKMAZI,2020,1109.24
3,ARAPZADE DERGAHI SOKAĞI,2020,1109.24
4,AY SOKAĞI,2020,1109.24
5,BAHÇE SOKAĞI,2020,1109.24
6,BAKKALİYE SOKAĞI,2020,1109.24
7,BARUTHANE DERESİ SOKAĞI,2020,6489.9
8,BARUTHANE SOKAĞI,2020,1109.24
9,BÜYÜK YOKUŞU,2020,1109.24
10,CANAN SOKAĞI,2020,1109.24
11,CENDERE SOKAĞI,2020,1109.24
12,ÇAVUŞ SOKAĞI,2020,1109.24
13,ÇEŞMELİ SOKAĞI,2020,1109.24
14,DARBUKA SOKAĞI,2020,1109.24
15,DEDE SOKAĞI,2020,1109.24
16,DERE BOSTANI SOKAĞI,2020,1109.24
17,DERYA BEYİ SOKAĞI,2020,1109.24
18,DİKBAYIR SOKAĞI,2020,1109.24
19,DOST SOKAĞI,2020,1109.24
20,ERENLER ÇIKMAZI,2020,1109.24
21,FESCİ YOKUŞU,2020,1109.24
22,GÖRELE ÇIKMAZI,2020,1109.24
23,GÜLAĞA SOKAĞI,2020,1109.24
24,HACI HÜSREV CADDESİ,2020,1569.87
25,HACI HÜSREV KÖPRÜSÜ SOKAĞI,2020,1109.24
26,HAFİK SOKAĞI,2020,1109.24
27,HİLAL ÇIKMAZI,2020,1109.24
28,HOCA SOKAĞI,2020,1109.24
29,İBN-İ SİNA SOKAĞI,2020,1109.24
30,İLHAM SOKAĞI,2020,1109.24
31,İMAM BAHÇE SOKAĞI,2020,1109.24
32,İMAM HÜSREV SOKAĞI,2020,1109.24
33,İPLİKÇİ FIRIN ÇIKMAZI,2020,1109.24
34,İPLİKÇİ FIRINI CADDESİ,2020,1569.87
35,KADİR EFENDİ SOKAĞI,2020,1109.24
36,KAN KARDEŞİ ÇIKMAZI,2020,1109.24
37,KAN KARDEŞİ SOKAĞI,2020,1109.24
38,KARANFİL SOKAĞI,2020,1109.24
39,KOLAN SOKAĞI,2020,1109.24
40,KURTULUŞ DERESİ CADDESİ,2020,6594.47
41,MAHİR SOKAĞI,2020,1109.24
42,MAHMUDİYE CAMİİ SOKAĞI,2020,1109.24
43,MAHMUTAĞA SOKAĞI,2020,1569.87
44,MERTEK SOKAĞI,2020,1109.24
45,MUHSİN ÇIKMAZI,2020,1109.24
46,ÖKSÜZ SOKAĞI,2020,1109.24
47,PAŞA SOKAĞI,2020,1109.24
48,PAŞALI HASAN SOKAĞI,2020,1109.24
49,PİYALEPAŞA BULVARI,2020,6489.9
50,POLAT ARALIĞI,2020,5233.75
51,POLAT SOKAĞI,2020,6489.9
52,SAHAF CAMİİ SOKAĞI,2020,1109.24
53,SAHAF ÇEŞMESİ SOKAĞI,2020,1109.24
54,SAHAF KUYUSU SOKAĞI,2020,1109.24
55,SAHAF MEZARLIĞI SOKAĞI,2020,1109.24
56,SAKIZ AĞACI SOKAĞI,2020,1109.24
