,sokak,yil,rayic
0,ABDUSSALAH SOKAĞI,2020,11724.89
1,ALACA MESCİT SOKAĞI,2020,10991.62
2,ARAP CAMİ ÇIKMAZI,2020,8793.05
3,ARAP KAYYUM SOKAĞI,2020,13190.19
4,AYLAK SOKAĞI,2020,11724.89
5,AZAPKAPI CAMİİ CADDESİ,2020,35594.23
6,BAKIR SOKAĞI,2020,13190.19
7,BANKA SOKAĞI,2020,13190.19
8,BANKALAR CADDESİ,2020,29312.24
9,BEREKETZADE CAMİİ SOKAĞI,2020,6594.47
10,BEREKETZADE MEDRESESİ SOKAĞI,2020,10991.62
11,BERGAMUT SOKAĞI,2020,10991.62
12,BEYAZ KELEBEK SOKAĞI,2020,13190.19
13,BİLLUR SOKAĞI,2020,13190.19
14,CEVAHİR ÇIKMAZI,2020,10991.62
15,ÇİL ATMACA SOKAĞI,2020,10991.62
16,DİKİŞÇİ SOKAĞI,2020,10991.62
17,ERGUVAN SOKAĞI,2020,10991.62
18,ESKİ TAY ÇIKMAZI,2020,10991.62
19,FERMENECİLER CADDESİ,2020,17587.34
20,FÜTUHAT SOKAĞI,2020,11724.89
21,GALATA HIRDAVATÇILAR MEYDANI,2020,16331.19
22,GALATA MAHKEMESİ SOKAĞI,2020,11724.89
23,HEDİYE SOKAĞI,2020,13190.19
24,HOCA HANIM SOKAĞI,2020,10991.62
25,KALAFAT CADDESİ,2020,13190.19
26,KALYON SOKAĞI,2020,10991.62
27,KARDEŞİM SOKAĞI,2020,16331.19
28,KEMERALTI CADDESİ,2020,35594.23
29,KERESTECİ FAZIL SOKAĞI,2020,10991.62
30,KISMET SOKAĞI,2020,13190.19
31,KORUK SOKAĞI,2020,13190.19
32,KURTÇU HAMAM SOKAĞI,2020,13190.19
33,KUTU ÇIKMAZI,2020,8793.05
34,KUYUMCU TAHİR SOKAĞI,2020,10991.62
35,KÜREKÇİLER KAPISI SOKAĞI,2020,13190.19
36,MAKARACILAR CADDESİ,2020,13190.19
37,MUSLUK SOKAĞI,2020,10991.62
38,NAFE SOKAĞI,2020,10991.62
39,ÖMERAĞA SOKAĞI,2020,16331.19
40,PERÇEMLİ SOKAĞI,2020,13190.19
41,PERŞEMBE PAZARI CADDESİ,2020,17587.34
42,RECEBİ SOKAĞI,2020,10991.62
43,REFİK SAYDAM CADDESİ,2020,35594.23
44,SAMUR SOKAĞI,2020,10991.62
45,SARI ZEYBEK SOKAĞI,2020,11724.89
46,SIRMALI SOKAĞI,2020,10991.62
47,SÖĞÜT SOKAĞI,2020,10991.62
48,TAFLAN SOKAĞI,2020,10991.62
49,TALAŞÇILAR SOKAĞI,2020,10991.62
50,TEĞMEN HÜSEYİN SOFU SOKAĞI,2020,13190.19
51,TERSANE CADDESİ,2020,26381.64
52,TERSANE KAVŞAĞI BAĞLANTI YOLU,2020,28474.39
53,ÜSKÜFCÜLER SOKAĞI,2020,10991.62
54,ÜSTÜPÇÜLER SOKAĞI,2020,10991.62
55,YANIK KAPI SOKAĞI,2020,18634.34
56,YELKENCİLER CADDESİ,2020,13190.19
57,YEMENİCİLER CADDESİ,2020,13190.19
58,YENİ CAMİİ ÇEŞME SOKAĞI,2020,10991.62
59,ZENCEFİL SOKAĞI,2020,10991.62
60,ZİNCİRLİ HAN SOKAĞI,2020,13190.19
61,ZİNDAN SOKAĞI,2020,10991.62
62,ZİYALI SOKAĞI,2020,10991.62
63,ABDUSSALAH SOKAĞI,2019,10535.44
64,ALACA MESCİT SOKAĞI,2019,9876.56
65,ARAP CAMİ ÇIKMAZI,2019,7901.02
66,ARAP KAYYUM SOKAĞI,2019,11852.09
67,AYLAK SOKAĞI,2019,10535.44
68,AZAPKAPI CAMİİ CADDESİ,2019,31983.32
69,BAKIR SOKAĞI,2019,11852.09
70,BANKA SOKAĞI,2019,11852.09
71,BANKALAR CADDESİ,2019,26338.61
72,BEREKETZADE CAMİİ SOKAĞI,2019,5925.48
73,BEREKETZADE MEDRESESİ SOKAĞI,2019,9876.56
74,BERGAMUT SOKAĞI,2019,9876.56
75,BEYAZ KELEBEK SOKAĞI,2019,11852.09
76,BİLLUR SOKAĞI,2019,11852.09
77,CEVAHİR ÇIKMAZI,2019,9876.56
78,ÇİL ATMACA SOKAĞI,2019,9876.56
79,DİKİŞÇİ SOKAĞI,2019,9876.56
80,ERGUVAN SOKAĞI,2019,9876.56
81,ESKİ TAY ÇIKMAZI,2019,9876.56
82,FERMENECİLER CADDESİ,2019,15803.16
83,FÜTUHAT SOKAĞI,2019,10535.44
84,GALATA HIRDAVATÇILAR MEYDANI,2019,14674.45
85,GALATA MAHKEMESİ SOKAĞI,2019,10535.44
86,HEDİYE SOKAĞI,2019,11852.09
87,HOCA HANIM SOKAĞI,2019,9876.56
88,KALAFAT CADDESİ,2019,11852.09
89,KALYON SOKAĞI,2019,9876.56
90,KARDEŞİM SOKAĞI,2019,14674.45
91,KEMERALTI CADDESİ,2019,31983.32
92,KERESTECİ FAZIL SOKAĞI,2019,9876.56
93,KISMET SOKAĞI,2019,11852.09
94,KORUK SOKAĞI,2019,11852.09
95,KURTÇU HAMAM SOKAĞI,2019,11852.09
96,KUTU ÇIKMAZI,2019,7901.02
97,KUYUMCU TAHİR SOKAĞI,2019,9876.56
98,KÜREKÇİLER KAPISI SOKAĞI,2019,11852.09
99,MAKARACILAR CADDESİ,2019,11852.09
100,MUSLUK SOKAĞI,2019,9876.56
101,NAFE SOKAĞI,2019,9876.56
102,ÖMERAĞA SOKAĞI,2019,14674.45
103,PERÇEMLİ SOKAĞI,2019,11852.09
104,PERŞEMBE PAZARI CADDESİ,2019,15803.16
105,RECEBİ SOKAĞI,2019,9876.56
106,REFİK SAYDAM CADDESİ,2019,31983.32
107,SAMUR SOKAĞI,2019,9876.56
108,SARI ZEYBEK SOKAĞI,2019,10535.44
109,SIRMALI SOKAĞI,2019,9876.56
110,SÖĞÜT SOKAĞI,2019,9876.56
111,TAFLAN SOKAĞI,2019,9876.56
112,TALAŞÇILAR SOKAĞI,2019,9876.56
113,TEĞMEN HÜSEYİN SOFU SOKAĞI,2019,11852.09
114,TERSANE CADDESİ,2019,23705.31
115,TERSANE KAVŞAĞI BAĞLANTI YOLU,2019,25585.76
