,sokak,yil,rayic
0,ASMALI MESCİT CADDESİ,2020,28578.97
1,BALYOZ SOKAĞI,2020,26381.64
2,DEVA ÇIKMAZI,2020,26381.64
3,EMİR NEVRUZ SOKAĞI,2020,26381.64
4,ENSİZ SOKAĞI,2020,21984.49
5,GENERAL YAZGAN SOKAĞI,2020,26381.64
6,GÖNÜL SOKAĞI,2020,26381.64
7,HAN GEÇİDİ ÇIKMAZI,2020,46585.86
8,HAN GEÇİDİ SOKAĞI,2020,46585.86
9,İSTİKLAL CADDESİ,2020,46585.86
10,JURNAL SOKAĞI,2020,26381.64
11,KALLAVİ SOKAĞI,2020,26381.64
12,KORSAN ÇIKMAZI,2020,26381.64
13,MEŞRUTİYET CAD.,2020,31406.24
14,MİNARE SOKAĞI,2020,21984.49
15,MÜEYYET SOKAĞI,2020,26381.64
16,NERGİZ SOKAĞI,2020,26381.64
17,OLİVYA GEÇİDİ SOKAĞI,2020,17587.34
18,ORHAN ADLI APAYDIN SOKAĞI,2020,21984.49
19,OTELLER SOKAĞI,2020,28578.97
20,PERUKAR ÇIKMAZI,2020,24183.06
21,SAKA SALİM ÇIKMAZI,2020,17587.34
22,SOFYALI SOKAĞI,2020,26381.64
23,ŞEHBENDER SOKAĞI,2020,24183.06
24,TERKOZ ÇIKMAZI,2020,33500.24
25,TÜNEL GEÇİDİ SOKAĞI,2020,26381.64
26,TÜNEL MEYDANI SOKAĞI,2020,29312.24
27,TÜTÜNCÜ ÇIKMAZI,2020,21984.49
28,YEMENİCİ ABDÜLLATİF SOKAĞI,2020,26381.64
29,ASMALI MESCİT CADDESİ,2019,25679.72
30,BALYOZ SOKAĞI,2019,23705.31
31,DEVA ÇIKMAZI,2019,23705.31
32,EMİR NEVRUZ SOKAĞI,2019,23705.31
33,ENSİZ SOKAĞI,2019,19754.24
34,GENERAL YAZGAN SOKAĞI,2019,23705.31
35,GÖNÜL SOKAĞI,2019,23705.31
36,HAN GEÇİDİ ÇIKMAZI,2019,41859.88
37,HAN GEÇİDİ SOKAĞI,2019,41859.88
38,İSTİKLAL CADDESİ,2019,41859.88
39,JURNAL SOKAĞI,2019,23705.31
40,KALLAVİ SOKAĞI,2019,23705.31
41,KORSAN ÇIKMAZI,2019,23705.31
42,MEŞRUTİYET CAD.,2019,28220.18
43,MİNARE SOKAĞI,2019,19754.24
44,MÜEYYET SOKAĞI,2019,23705.31
45,NERGİZ SOKAĞI,2019,23705.31
46,OLİVYA GEÇİDİ SOKAĞI,2019,15803.16
47,ORHAN ADLI APAYDIN SOKAĞI,2019,19754.24
48,OTELLER SOKAĞI,2019,25679.72
49,PERUKAR ÇIKMAZI,2019,21729.77
50,SAKA SALİM ÇIKMAZI,2019,15803.16
51,SOFYALI SOKAĞI,2019,23705.31
52,ŞEHBENDER SOKAĞI,2019,21729.77
53,TERKOZ ÇIKMAZI,2019,30101.75
54,TÜNEL GEÇİDİ SOKAĞI,2019,23705.31
55,TÜNEL MEYDANI SOKAĞI,2019,26338.61
56,TÜTÜNCÜ ÇIKMAZI,2019,19754.24
