,sokak,yil,rayic
0,AHIM ŞAHIM SOKAĞI,2020,3244.32
1,AKARCA SOKAĞI,2020,6594.47
2,ANBAR ARKASI SOKAĞI,2020,3244.32
3,ARIKAY SOKAĞI,2020,6594.47
4,ATATÜRK KÖPRÜSÜ,2020,24183.06
5,AYNİ ALİBABA SOKAĞI,2020,6594.47
6,AZAPKAPI CAMİİ CADDESİ,2020,24183.06
7,BAHRİYE CADDESİ,2020,15597.92
8,BEDRETTİN CAMİ SOKAĞI,2020,3244.32
9,ÇÜRÜKLÜK SOKAĞI,2020,3244.32
10,DERVİŞ AHMET SOKAĞI,2020,3244.32
11,DR.BEDİİ GORBON SOKAĞI,2020,6594.47
12,EVLİYA ÇELEBİ CADDESİ,2020,21984.49
13,EZGİ SOKAĞI,2020,10991.62
14,GÜZELCE SOKAĞI,2020,4395.9
15,HASTAHANE SOKAĞI,2020,4395.9
16,HAVUZ SOKAĞI,2020,3244.32
17,HAVUZBAŞI DEĞİRMENİ SOKAĞI,2020,10991.62
18,HAYRATÇI SOKAĞI,2020,6594.47
19,İAŞE SOKAĞI,2020,4395.9
20,OKÇU MUSA CADDESİ,2020,29312.24
21,REFİK SAYDAM CADDESİ,2020,25124.24
22,SADİ KONURALP CADDESİ,2020,31406.24
23,ŞİŞHANE CADDESİ,2020,21984.49
24,TAHİR AĞA ARALIĞI,2020,3244.32
25,TALİ SOKAĞI,2020,6594.47
26,TARİHİ SOKAĞI,2020,4395.9
27,TAYYARECİ ZEKİ SOKAĞI,2020,3244.32
28,TELİ ÇIKMAZI,2020,4395.9
29,TERSANE KAVŞAĞI BAĞLANTI YOLU,2020,28474.39
30,ULAŞIM SOKAĞI,2020,6594.47
31,YAŞMAK SIYIRAN SOKAĞI,2020,5442.9
32,YOLCUZADE İSKENDER CADDESİ,2020,24183.06
33,AHIM ŞAHIM SOKAĞI,2019,2915.2
34,AKARCA SOKAĞI,2019,5925.48
35,ANBAR ARKASI SOKAĞI,2019,2915.2
36,ARIKAY SOKAĞI,2019,5925.48
37,ATATÜRK KÖPRÜSÜ,2019,21729.77
38,AYNİ ALİBABA SOKAĞI,2019,5925.48
39,AZAPKAPI CAMİİ CADDESİ,2019,21729.77
40,BAHRİYE CADDESİ,2019,14015.56
41,BEDRETTİN CAMİ SOKAĞI,2019,2915.2
42,ÇÜRÜKLÜK SOKAĞI,2019,2915.2
43,DERVİŞ AHMET SOKAĞI,2019,2915.2
44,DR.BEDİİ GORBON SOKAĞI,2019,5925.48
45,EVLİYA ÇELEBİ CADDESİ,2019,19754.24
46,EZGİ SOKAĞI,2019,9876.56
47,GÜZELCE SOKAĞI,2019,3949.95
48,HASTAHANE SOKAĞI,2019,3949.95
49,HAVUZ SOKAĞI,2019,2915.2
50,HAVUZBAŞI DEĞİRMENİ SOKAĞI,2019,9876.56
