,sokak,yil,rayic
0,BANKALAR CADDESİ,2020,29312.24
1,BANKER SOKAĞI,2020,10991.62
2,BEREKETZADE CAMİİ SOKAĞI,2020,6594.47
3,BEREKETZADE MEDRESESİ SOKAĞI,2020,8793.05
4,BÜYÜK HENDEK CADDESİ,2020,17587.34
5,CAMEKAN SOKAĞI,2020,8793.05
6,DEFNE ÇİÇEĞİ ÇIKMAZI,2020,10991.62
7,ESKİ BANKA SOKAĞI,2020,10991.62
8,FELEK SOKAĞI,2020,10991.62
9,FIRÇACI SOKAĞI,2020,13190.19
10,GALATA KULESİ SOKAĞI,2020,10991.62
11,GALİP DEDE CADDESİ,2020,21984.49
12,HACI ALİ SOKAĞI,2020,6594.47
13,HOROZ SOKAĞI,2020,6594.47
14,İPEK ÇIKMAZI,2020,13190.19
15,KABAK ÇİÇEĞİ SOKAĞI,2020,13190.19
16,KART ÇINAR SOKAĞI,2020,8793.05
17,KEMERALTI CADDESİ,2020,35594.23
18,KULE ÇIKMAZI,2020,6594.47
19,LAKERDACI SOKAĞI,2020,10991.62
20,LALELİ ÇEŞME SOKAĞI,2020,10991.62
21,MİDİLLİ SOKAĞI,2020,15388.77
22,OKÇU MUSA CADDESİ,2020,29312.24
23,PORTAKAL SOKAĞI,2020,6594.47
24,SAVCI BEY ÇIKMAZI,2020,13190.19
25,ŞAHKAPISI SOKAĞI,2020,13190.19
26,ŞAİR EŞREF PAŞA SOKAĞI,2020,13190.19
27,ŞAİR ZİYA PAŞA CADDESİ,2020,15388.77
28,ŞİMŞİR SOKAĞI,2020,10991.62
29,ŞİŞHANE SOKAĞI,2020,13190.19
30,YÜKSEK KALDIRIM CADDESİ,2020,21984.49
31,BANKALAR CADDESİ,2019,26338.61
32,BANKER SOKAĞI,2019,9876.56
33,BEREKETZADE CAMİİ SOKAĞI,2019,5925.48
34,BEREKETZADE MEDRESESİ SOKAĞI,2019,7901.02
35,BÜYÜK HENDEK CADDESİ,2019,15803.16
36,CAMEKAN SOKAĞI,2019,7901.02
37,DEFNE ÇİÇEĞİ ÇIKMAZI,2019,9876.56
38,ESKİ BANKA SOKAĞI,2019,9876.56
39,FELEK SOKAĞI,2019,9876.56
40,FIRÇACI SOKAĞI,2019,11852.09
41,GALATA KULESİ SOKAĞI,2019,9876.56
42,GALİP DEDE CADDESİ,2019,19754.24
43,HACI ALİ SOKAĞI,2019,5925.48
44,HOROZ SOKAĞI,2019,5925.48
45,İPEK ÇIKMAZI,2019,11852.09
46,KABAK ÇİÇEĞİ SOKAĞI,2019,11852.09
47,KART ÇINAR SOKAĞI,2019,7901.02
48,KEMERALTI CADDESİ,2019,31983.32
49,KULE ÇIKMAZI,2019,5925.48
50,LAKERDACI SOKAĞI,2019,9876.56
51,LALELİ ÇEŞME SOKAĞI,2019,9876.56
52,MİDİLLİ SOKAĞI,2019,13827.63
53,OKÇU MUSA CADDESİ,2019,26338.61
54,PORTAKAL SOKAĞI,2019,5925.48
55,SAVCI BEY ÇIKMAZI,2019,11852.09
56,ŞAHKAPISI SOKAĞI,2019,11852.09
57,ŞAİR EŞREF PAŞA SOKAĞI,2019,11852.09
58,ŞAİR ZİYA PAŞA CADDESİ,2019,13827.63
59,ŞİMŞİR SOKAĞI,2019,9876.56
