,sokak,yil,rayic
0,ADAM MİCKİEWİCZ SOKAĞI,2020,1360.72
1,DİLBAZ SOKAĞI,2020,1988.17
2,DÜĞÜN SOKAĞI,2020,1045.75
3,FESLEĞEN ÇIKMAZI,2020,1045.75
4,FESLEĞEN SOKAĞI,2020,1988.17
5,GÜLFİDAN SOKAĞI,2020,1569.87
6,IRMAK CADDESİ,2020,6594.47
7,KADINCIK SOKAĞI,2020,1360.72
8,KAHYA BEY SOKAĞI,2020,1569.87
9,KALYONCU KULLUĞU CADDESİ,2020,4186.75
10,KAMER BOSTAN SOKAĞI,2020,1569.87
11,KARAKURUM SOKAĞI,2020,2197.32
12,KARPUZ SOKAĞI,2020,2197.32
13,KAŞKAVAL SOKAĞI,2020,1569.87
14,KURDELA SOKAĞI,2020,3454.72
15,KURTULUŞ DERESİ CADDESİ,2020,6594.47
16,KÜÇÜK ODALAR SOKAĞI,2020,2197.32
17,MENEKŞE ÇIKMAZI,2020,1045.75
18,ÖMER HAYYAM CADDESİ,2020,6594.47
19,SERDAR ÖMERPAŞA CADDESİ,2020,4395.9
20,SOLAK SOKAĞI,2020,2197.32
21,ŞİRKET SOKAĞI,2020,2197.32
22,TATLI BADEM SOKAĞI,2020,2197.32
23,TAYYARECİ RIZA SOKAĞI,2020,2197.32
24,TEVFİK EFENDİ SOKAĞI,2020,2197.32
25,YAYA KÖPRÜSÜ SOKAĞI,2020,3454.72
26,ADAM MİCKİEWİCZ SOKAĞI,2019,1222.68
27,DİLBAZ SOKAĞI,2019,1786.48
28,DÜĞÜN SOKAĞI,2019,939.66
29,FESLEĞEN ÇIKMAZI,2019,939.66
30,FESLEĞEN SOKAĞI,2019,1786.48
31,GÜLFİDAN SOKAĞI,2019,1410.61
32,IRMAK CADDESİ,2019,5925.48
33,KADINCIK SOKAĞI,2019,1222.68
34,KAHYA BEY SOKAĞI,2019,1410.61
35,KALYONCU KULLUĞU CADDESİ,2019,3762.01
36,KAMER BOSTAN SOKAĞI,2019,1410.61
37,KARAKURUM SOKAĞI,2019,1974.41
38,KARPUZ SOKAĞI,2019,1974.41
39,KAŞKAVAL SOKAĞI,2019,1410.61
40,KURDELA SOKAĞI,2019,3104.25
41,KURTULUŞ DERESİ CADDESİ,2019,5925.48
42,KÜÇÜK ODALAR SOKAĞI,2019,1974.41
43,MENEKŞE ÇIKMAZI,2019,939.66
