,sokak,yil,rayic
0,AĞA DERESİ SOKAĞI,2020,1569.87
1,AŞIKLAR SOKAĞI,2020,1360.72
2,ATLI ASES SOKAĞI,2020,1569.87
3,BÜYÜK KIRLANGIÇ SOKAĞI,2020,1360.72
4,BÜYÜK ŞİŞHANE SOKAĞI,2020,1779.02
5,ÇALGICI SOKAĞI,2020,1045.75
6,DEREOTU SOKAĞI,2020,2721.45
7,DİP SOKAĞI,2020,1569.87
8,DUVARCI ADEM SOKAĞI,2020,1569.87
9,FARABİ SOKAĞI,2020,1569.87
10,FINDIKLI SOKAĞI,2020,1045.75
11,GÖLBAŞI SOKAĞI,2020,3454.72
12,GRANİT SOKAĞI,2020,1569.87
13,HAVA HOŞ SOKAĞI,2020,1045.75
14,HÜSEYİN AĞA KİREÇHANE SOKAĞI,2020,1045.75
15,IRMAK CADDESİ,2020,6594.47
16,KAPANCA SOKAĞI,2020,1045.75
17,KARACA SOKAĞI,2020,2197.32
18,KARAKURUM SOKAĞI,2020,2197.32
19,KARPUZ SOKAĞI,2020,2197.32
20,KAŞKAVAL SOKAĞI,2020,1988.17
21,KAVUNCU HASAN SOKAĞI,2020,1569.87
22,KERESTECİ RECEP SOKAĞI,2020,1045.75
23,KILBURNU SOKAĞI,2020,1045.75
24,KURTULDU SOKAĞI,2020,1569.87
25,KÜÇÜK DUVARCI SOKAĞI,2020,1045.75
26,KÜÇÜK KIRLANGIÇ SOKAĞI,2020,1045.75
27,LEMAN SOKAĞI,2020,1569.87
28,MACAR ARALIĞI,2020,1045.75
29,MADIRGA SOKAĞI,2020,1569.87
30,MISIR BUĞDAYI SOKAĞI,2020,1569.87
31,PAŞA BAKKAL SOKAĞI,2020,1569.87
32,SAKIZ AĞACI CADDESİ,2020,3454.72
33,SERDAR ÖMERPAŞA CADDESİ,2020,4395.9
34,ŞEHİT İLYAS SOKAĞI,2020,1569.87
35,TAKSİM ÇEŞMESİ SOKAĞI,2020,1045.75
36,TAVLA SOKAĞI,2020,1569.87
37,TAVŞAN SOKAĞI,2020,1569.87
38,TURAN CADDESİ,2020,2197.32
39,UYGUR SOKAĞI,2020,1779.02
40,VİŞNECİ SOKAĞI,2020,2197.32
41,YENİ KAFA SOKAĞI,2020,1360.72
42,ZABITA SOKAĞI,2020,1779.02
43,AĞA DERESİ SOKAĞI,2019,1410.61
44,AŞIKLAR SOKAĞI,2019,1222.68
45,ATLI ASES SOKAĞI,2019,1410.61
46,BÜYÜK KIRLANGIÇ SOKAĞI,2019,1222.68
47,BÜYÜK ŞİŞHANE SOKAĞI,2019,1598.55
48,ÇALGICI SOKAĞI,2019,939.66
49,DEREOTU SOKAĞI,2019,2445.36
50,DİP SOKAĞI,2019,1410.61
51,DUVARCI ADEM SOKAĞI,2019,1410.61
52,FARABİ SOKAĞI,2019,1410.61
53,FINDIKLI SOKAĞI,2019,939.66
54,GÖLBAŞI SOKAĞI,2019,3104.25
55,GRANİT SOKAĞI,2019,1410.61
56,HAVA HOŞ SOKAĞI,2019,939.66
57,HÜSEYİN AĞA KİREÇHANE SOKAĞI,2019,939.66
58,IRMAK CADDESİ,2019,5925.48
59,KAPANCA SOKAĞI,2019,939.66
60,KARACA SOKAĞI,2019,1974.41
61,KARAKURUM SOKAĞI,2019,1974.41
62,KARPUZ SOKAĞI,2019,1974.41
63,KAŞKAVAL SOKAĞI,2019,1786.48
64,KAVUNCU HASAN SOKAĞI,2019,1410.61
65,KERESTECİ RECEP SOKAĞI,2019,939.66
66,KILBURNU SOKAĞI,2019,939.66
67,KURTULDU SOKAĞI,2019,1410.61
68,KÜÇÜK DUVARCI SOKAĞI,2019,939.66
69,KÜÇÜK KIRLANGIÇ SOKAĞI,2019,939.66
70,LEMAN SOKAĞI,2019,1410.61
71,MACAR ARALIĞI,2019,939.66
72,MADIRGA SOKAĞI,2019,1410.61
73,MISIR BUĞDAYI SOKAĞI,2019,1410.61
74,PAŞA BAKKAL SOKAĞI,2019,1410.61
75,SAKIZ AĞACI CADDESİ,2019,3104.25
76,SERDAR ÖMERPAŞA CADDESİ,2019,3949.95
77,ŞEHİT İLYAS SOKAĞI,2019,1410.61
78,TAKSİM ÇEŞMESİ SOKAĞI,2019,939.66
79,TAVLA SOKAĞI,2019,1410.61
80,TAVŞAN SOKAĞI,2019,1410.61
81,TURAN CADDESİ,2019,1974.41
82,UYGUR SOKAĞI,2019,1598.55
83,VİŞNECİ SOKAĞI,2019,1974.41
84,YENİ KAFA SOKAĞI,2019,1222.68
85,ZABITA SOKAĞI,2019,1598.55
86,AĞA DERESİ SOKAĞI,2018,1261.0
87,AŞIKLAR SOKAĞI,2018,1093.0
88,ATLI ASES SOKAĞI,2018,1261.0
89,BÜYÜK KIRLANGIÇ SOKAĞI,2018,1093.0
90,BÜYÜK ŞİŞHANE SOKAĞI,2018,1429.0
91,ÇALGICI SOKAĞI,2018,840.0
92,DEREOTU SOKAĞI,2018,2186.0
93,DİP SOKAĞI,2018,1261.0
94,DUVARCI ADEM SOKAĞI,2018,1261.0
95,FARABİ SOKAĞI,2018,1261.0
96,FINDIKLI SOKAĞI,2018,840.0
97,GÖLBAŞI SOKAĞI,2018,2775.0
98,GRANİT SOKAĞI,2018,1261.0
99,HAVA HOŞ SOKAĞI,2018,840.0
100,HÜSEYİN AĞA KİREÇHANE SOKAĞI,2018,840.0
101,IRMAK CADDESİ,2018,5297.0
102,KAPANCA SOKAĞI,2018,840.0
103,KARACA SOKAĞI,2018,1765.0
104,KARAKURUM SOKAĞI,2018,1765.0
105,KARPUZ SOKAĞI,2018,1765.0
106,KAŞKAVAL SOKAĞI,2018,1597.0
107,KAVUNCU HASAN SOKAĞI,2018,1261.0
108,KERESTECİ RECEP SOKAĞI,2018,840.0
109,KILBURNU SOKAĞI,2018,840.0
110,KURTULDU SOKAĞI,2018,1261.0
111,KÜÇÜK DUVARCI SOKAĞI,2018,840.0
112,KÜÇÜK KIRLANGIÇ SOKAĞI,2018,840.0
113,LEMAN SOKAĞI,2018,1261.0
114,MACAR ARALIĞI,2018,840.0
115,MADIRGA SOKAĞI,2018,1261.0
116,MISIR BUĞDAYI SOKAĞI,2018,1261.0
117,PAŞA BAKKAL SOKAĞI,2018,1261.0
118,SAKIZ AĞACI CADDESİ,2018,2775.0
119,SERDAR ÖMERPAŞA CADDESİ,2018,3531.0
120,ŞEHİT İLYAS SOKAĞI,2018,1261.0
121,TAKSİM ÇEŞMESİ SOKAĞI,2018,840.0
122,TAVLA SOKAĞI,2018,1261.0
123,TAVŞAN SOKAĞI,2018,1261.0
124,TURAN CADDESİ,2018,1765.0
125,UYGUR SOKAĞI,2018,1429.0
126,VİŞNECİ SOKAĞI,2018,1765.0
127,YENİ KAFA SOKAĞI,2018,1093.0
128,ZABITA SOKAĞI,2018,1429.0
129,AĞA DERESİ SOKAĞI,2017,840.91
130,AŞIKLAR SOKAĞI,2017,728.79
131,ATLI ASES SOKAĞI,2017,840.91
132,BÜYÜK KIRLANGIÇ SOKAĞI,2017,728.79
133,BÜYÜK ŞİŞHANE SOKAĞI,2017,953.03
134,ÇALGICI SOKAĞI,2017,560.6
135,DEREOTU SOKAĞI,2017,1457.58
136,DİP SOKAĞI,2017,840.91
137,DUVARCI ADEM SOKAĞI,2017,840.91
138,FARABİ SOKAĞI,2017,840.91
139,FINDIKLI SOKAĞI,2017,560.6
140,GÖLBAŞI SOKAĞI,2017,1850.01
141,GRANİT SOKAĞI,2017,840.91
142,HAVA HOŞ SOKAĞI,2017,560.6
143,HÜSEYİN AĞA KİREÇHANE SOKAĞI,2017,560.6
144,IRMAK CADDESİ,2017,3531.83
145,KAPANCA SOKAĞI,2017,560.6
146,KARACA SOKAĞI,2017,1177.27
