,sokak,yil,rayic
0,AYNALI KAVAK CADDESİ,2020,2197.32
1,BAHRİYE CADDESİ,2020,13190.19
2,BAŞHANE ARALIĞI,2020,4815.44
3,BAŞHANE SOKAĞI,2020,4815.44
4,BAYRAM YERİ SOKAĞI,2020,4395.9
5,BÜLENT DEMİR CADDESİ,2020,6489.9
6,CEZAYİRLİ MEKTEBİ SOKAĞI,2020,5442.9
7,ÇAYDANLIK SOKAĞI,2020,5442.9
8,DEREBOYU CADDESİ,2020,6489.9
9,DONANMA CADDESİ,2020,4815.44
10,DÖRTKUYU CADDESİ,2020,6489.9
11,ESKİ BÖREKÇİ SOKAĞI,2020,4395.9
12,GAZİ HASAN PAŞA MESCİDİ SOKAĞI,2020,5442.9
13,GÜLLEHANE SOKAĞI,2020,5442.9
14,HAKİM SOKAĞI,2020,3454.72
15,HASKÖY CAMİİ SOKAĞI,2020,4815.44
16,HOCA AHMET SOKAĞI,2020,4815.44
17,KASAP ZEKERİYA SOKAĞI,2020,5442.9
18,KASIMPAŞA CAMİ SOKAĞI,2020,5442.9
19,KASIMPAŞA FIRINI SOKAĞI,2020,3454.72
20,KASIMPAŞA KÜLHAN SOKAĞI,2020,5442.9
21,KASIMPAŞA MEDRESESİ SOKAĞI,2020,5442.9
22,KASIMPAŞA MESCİT SOKAĞI,2020,4815.44
23,KASIMPAŞA SALHANESİ SOKAĞI,2020,3768.45
24,KASIMPAŞA TABAKHANE CADDESİ,2020,5442.9
25,KASIMPAŞA ZİNCİRLİKUYU CADDESİ,2020,5442.9
26,KEBAPÇI ŞERİF SOKAĞI,2020,3977.6
27,KIZILAY MEYDANI CADDESİ,2020,6594.47
28,MATBAA ARKASI SOKAĞI,2020,5442.9
29,MELEK SOKAĞI,2020,8793.05
30,MUTFAK KAPISI CADDESİ,2020,4395.9
31,PAŞA DERESİ SOKAĞI,2020,5442.9
32,POTİNCİLER SOKAĞI,2020,4395.9
33,SAFRA SOKAĞI,2020,5442.9
34,SARNIÇ SOKAĞI,2020,6594.47
35,SIRABERBERLER SOKAĞI,2020,5442.9
36,ŞAİR MİHRİ SOKAĞI,2020,4395.9
37,TABAKHANE YOKUŞU,2020,5442.9
38,TABAKLAR LONCASI SOKAĞI,2020,4395.9
39,TAŞKIZAK TERSANESİ CADDESİ,2020,5442.9
40,TOYGAR SOKAĞI,2020,4395.9
41,TURABİ BABA CADDESİ,2020,8793.05
42,TURŞUCU BAYRAM SOKAĞI,2020,5442.9
43,YEŞİL TULUMBA SOKAĞI,2020,4395.9
44,ZİYAFET SOKAĞI,2020,4082.17
45,AYNALI KAVAK CADDESİ,2019,1974.41
46,BAHRİYE CADDESİ,2019,11852.09
47,BAŞHANE ARALIĞI,2019,4326.93
48,BAŞHANE SOKAĞI,2019,4326.93
49,BAYRAM YERİ SOKAĞI,2019,3949.95
50,BÜLENT DEMİR CADDESİ,2019,5831.52
51,CEZAYİRLİ MEKTEBİ SOKAĞI,2019,4890.73
52,ÇAYDANLIK SOKAĞI,2019,4890.73
53,DEREBOYU CADDESİ,2019,5831.52
54,DONANMA CADDESİ,2019,4326.93
55,DÖRTKUYU CADDESİ,2019,5831.52
56,ESKİ BÖREKÇİ SOKAĞI,2019,3949.95
57,GAZİ HASAN PAŞA MESCİDİ SOKAĞI,2019,4890.73
58,GÜLLEHANE SOKAĞI,2019,4890.73
59,HAKİM SOKAĞI,2019,3104.25
60,HASKÖY CAMİİ SOKAĞI,2019,4326.93
61,HOCA AHMET SOKAĞI,2019,4326.93
62,KASAP ZEKERİYA SOKAĞI,2019,4890.73
63,KASIMPAŞA CAMİ SOKAĞI,2019,4890.73
64,KASIMPAŞA FIRINI SOKAĞI,2019,3104.25
65,KASIMPAŞA KÜLHAN SOKAĞI,2019,4890.73
66,KASIMPAŞA MEDRESESİ SOKAĞI,2019,4890.73
67,KASIMPAŞA MESCİT SOKAĞI,2019,4326.93
68,KASIMPAŞA SALHANESİ SOKAĞI,2019,3386.15
69,KASIMPAŞA TABAKHANE CADDESİ,2019,4890.73
70,KASIMPAŞA ZİNCİRLİKUYU CADDESİ,2019,4890.73
71,KEBAPÇI ŞERİF SOKAĞI,2019,3574.08
72,KIZILAY MEYDANI CADDESİ,2019,5925.48
73,MATBAA ARKASI SOKAĞI,2019,4890.73
74,MELEK SOKAĞI,2019,7901.02
75,MUTFAK KAPISI CADDESİ,2019,3949.95
76,PAŞA DERESİ SOKAĞI,2019,4890.73
77,POTİNCİLER SOKAĞI,2019,3949.95
78,SAFRA SOKAĞI,2019,4890.73
79,SARNIÇ SOKAĞI,2019,5925.48
80,SIRABERBERLER SOKAĞI,2019,4890.73
81,ŞAİR MİHRİ SOKAĞI,2019,3949.95
82,TABAKHANE YOKUŞU,2019,4890.73
83,TABAKLAR LONCASI SOKAĞI,2019,3949.95
84,TAŞKIZAK TERSANESİ CADDESİ,2019,4890.73
85,TOYGAR SOKAĞI,2019,3949.95
86,TURABİ BABA CADDESİ,2019,7901.02
87,TURŞUCU BAYRAM SOKAĞI,2019,4890.73
88,YEŞİL TULUMBA SOKAĞI,2019,3949.95
89,ZİYAFET SOKAĞI,2019,3668.05
90,AYNALI KAVAK CADDESİ,2018,1765.0
91,BAHRİYE CADDESİ,2018,10595.0
92,BAŞHANE ARALIĞI,2018,3868.0
93,BAŞHANE SOKAĞI,2018,3868.0
94,BAYRAM YERİ SOKAĞI,2018,3531.0
95,BÜLENT DEMİR CADDESİ,2018,5213.0
96,CEZAYİRLİ MEKTEBİ SOKAĞI,2018,4372.0
97,ÇAYDANLIK SOKAĞI,2018,4372.0
98,DEREBOYU CADDESİ,2018,5213.0
99,DONANMA CADDESİ,2018,3868.0
100,DÖRTKUYU CADDESİ,2018,5213.0
101,ESKİ BÖREKÇİ SOKAĞI,2018,3531.0
102,GAZİ HASAN PAŞA MESCİDİ SOKAĞI,2018,4372.0
103,GÜLLEHANE SOKAĞI,2018,4372.0
104,HAKİM SOKAĞI,2018,2775.0
105,HASKÖY CAMİİ SOKAĞI,2018,3868.0
106,HOCA AHMET SOKAĞI,2018,3868.0
