,sokak,yil,rayic
0,AKYOL SOKAĞI,2020,19785.92
1,ALÇAKDAM YOKUŞU,2020,17587.34
2,ASLAN YATAĞI SOKAĞI,2020,17587.34
3,BAKRAÇ SOKAĞI,2020,17587.34
4,BAŞKURT SOKAĞI,2020,17587.34
5,CİHANGİR CADDESİ,2020,21984.49
6,DR. MEHMET ÖZ SOKAĞI,2020,17587.34
7,GÜNEŞLİ SOKAĞI,2020,17587.34
8,HAVYAR SOKAĞI,2020,14237.19
9,KAZANCI YOKUŞU,2020,19785.92
10,KUMRULU YOKUŞU,2020,15597.92
11,LENGER SOKAĞI,2020,15597.92
12,MATARA SOKAĞI,2020,17587.34
13,MEBUSAN YOKUŞU,2020,21984.49
14,OBA SOKAĞI,2020,17587.34
15,PÜRTELAŞ SOKAĞI,2020,17587.34
16,SAĞIROĞLU SOKAĞI,2020,15597.92
17,SIRASELVİLER CADDESİ,2020,35594.23
18,SİRKECİ MESCİT SOKAĞI,2020,15597.92
19,SOĞANCI SOKAĞI,2020,17587.34
20,SOMUNCU SOKAĞI,2020,10991.62
21,SUSAM SOKAĞI,2020,17587.34
22,ŞEHİT AHMET ÇIKMAZI,2020,12981.04
23,YENİ YUVA SOKAĞI,2020,17587.34
24,AKYOL SOKAĞI,2019,17778.7
25,ALÇAKDAM YOKUŞU,2019,15803.16
26,ASLAN YATAĞI SOKAĞI,2019,15803.16
27,BAKRAÇ SOKAĞI,2019,15803.16
28,BAŞKURT SOKAĞI,2019,15803.16
29,CİHANGİR CADDESİ,2019,19754.24
30,DR. MEHMET ÖZ SOKAĞI,2019,15803.16
31,GÜNEŞLİ SOKAĞI,2019,15803.16
32,HAVYAR SOKAĞI,2019,12792.88
33,KAZANCI YOKUŞU,2019,17778.7
34,KUMRULU YOKUŞU,2019,14015.56
35,LENGER SOKAĞI,2019,14015.56
36,MATARA SOKAĞI,2019,15803.16
37,MEBUSAN YOKUŞU,2019,19754.24
38,OBA SOKAĞI,2019,15803.16
39,PÜRTELAŞ SOKAĞI,2019,15803.16
40,SAĞIROĞLU SOKAĞI,2019,14015.56
41,SIRASELVİLER CADDESİ,2019,31983.32
42,SİRKECİ MESCİT SOKAĞI,2019,14015.56
43,SOĞANCI SOKAĞI,2019,15803.16
44,SOMUNCU SOKAĞI,2019,9876.56
45,SUSAM SOKAĞI,2019,15803.16
46,ŞEHİT AHMET ÇIKMAZI,2019,11664.16
47,YENİ YUVA SOKAĞI,2019,15803.16
48,AKYOL SOKAĞI,2018,15893.0
49,ALÇAKDAM YOKUŞU,2018,14127.0
50,ASLAN YATAĞI SOKAĞI,2018,14127.0
51,BAKRAÇ SOKAĞI,2018,14127.0
52,BAŞKURT SOKAĞI,2018,14127.0
53,CİHANGİR CADDESİ,2018,17659.0
54,DR. MEHMET ÖZ SOKAĞI,2018,14127.0
55,GÜNEŞLİ SOKAĞI,2018,14127.0
56,HAVYAR SOKAĞI,2018,11436.0
57,KAZANCI YOKUŞU,2018,15893.0
58,KUMRULU YOKUŞU,2018,12529.0
59,LENGER SOKAĞI,2018,12529.0
60,MATARA SOKAĞI,2018,14127.0
61,MEBUSAN YOKUŞU,2018,17659.0
62,OBA SOKAĞI,2018,14127.0
63,PÜRTELAŞ SOKAĞI,2018,14127.0
64,SAĞIROĞLU SOKAĞI,2018,12529.0
65,SIRASELVİLER CADDESİ,2018,28591.0
