,sokak,yil,rayic
0,ABDUSSALAH ÇIKMAZI,2020,9106.77
1,ABDUSSALAH SOKAĞI,2020,11724.89
2,AKİK SOKAĞI,2020,10991.62
3,ANBAR SOKAĞI,2020,10364.17
4,AYLAK SOKAĞI,2020,11724.89
5,BUĞULU SOKAĞI,2020,9106.77
6,ÇAM SOKAĞI,2020,11724.89
7,DEMİRCİ FETTAH ÇIKMAZI,2020,10991.62
8,DEVE DİKENİ SOKAĞI,2020,11724.89
9,DİK SOKAĞI,2020,8793.05
10,EFLATUN ÇIKMAZI,2020,8793.05
11,EMEK YEMEZ SOKAĞI,2020,11724.89
12,FÜTUHAT SOKAĞI,2020,11724.89
13,GÜMÜŞ GERDAN SOKAĞI,2020,11724.89
14,GÜVEZ SOKAĞI,2020,10991.62
15,HARUP SOKAĞI,2020,8793.05
16,KARTOPU SOKAĞI,2020,13190.19
17,MÜRDÜM SOKAĞI,2020,8793.05
18,MÜRVER SOKAĞI,2020,11724.89
19,NAZLI HANIM SOKAĞI,2020,14028.04
20,OKÇU MUSA CADDESİ,2020,29312.24
21,PORSUK SOKAĞI,2020,11724.89
22,REFİK SAYDAM CADDESİ,2020,25124.24
23,SARI ZEYBEK SOKAĞI,2020,11724.89
24,SARIKLI SOKAĞI,2020,9106.77
25,ŞİŞHANE SOKAĞI,2020,14237.19
26,TALAŞÇI SOKAĞI,2020,9106.77
27,TENHA SOKAĞI,2020,14237.19
28,TERSANE CADDESİ,2020,28474.39
29,TERSANE KAVŞAĞI BAĞLANTI YOLU,2020,28474.39
30,TUTSAK SOKAĞI,2020,14237.19
31,YANIK KAPI SOKAĞI,2020,18110.22
32,YAPRAK ÇIKMAZI,2020,10991.62
33,YENİ MERDİVEN SOKAĞI,2020,10991.62
34,YOLCU HAMAM SOKAĞI,2020,14237.19
35,YOLCUZADE İSKENDER CADDESİ,2020,24183.06
36,YOLCUZADE MEKTEB SOKAĞI,2020,11724.89
37,YOLCUZADE MEKTEBİ SOKAĞI,2020,11724.89
38,YOLCUZADE SOKAĞI,2020,11724.89
39,YÜKSEK MİNARE SOKAĞI,2020,11724.89
40,ABDUSSALAH ÇIKMAZI,2019,8182.92
41,ABDUSSALAH SOKAĞI,2019,10535.44
42,AKİK SOKAĞI,2019,9876.56
43,ANBAR SOKAĞI,2019,9312.76
44,AYLAK SOKAĞI,2019,10535.44
45,BUĞULU SOKAĞI,2019,8182.92
46,ÇAM SOKAĞI,2019,10535.44
47,DEMİRCİ FETTAH ÇIKMAZI,2019,9876.56
48,DEVE DİKENİ SOKAĞI,2019,10535.44
49,DİK SOKAĞI,2019,7901.02
50,EFLATUN ÇIKMAZI,2019,7901.02
51,EMEK YEMEZ SOKAĞI,2019,10535.44
52,FÜTUHAT SOKAĞI,2019,10535.44
53,GÜMÜŞ GERDAN SOKAĞI,2019,10535.44
54,GÜVEZ SOKAĞI,2019,9876.56
55,HARUP SOKAĞI,2019,7901.02
56,KARTOPU SOKAĞI,2019,11852.09
57,MÜRDÜM SOKAĞI,2019,7901.02
58,MÜRVER SOKAĞI,2019,10535.44
59,NAZLI HANIM SOKAĞI,2019,12604.94
60,OKÇU MUSA CADDESİ,2019,26338.61
61,PORSUK SOKAĞI,2019,10535.44
