,sokak,yil,rayic
0,ASMALI MESCİT CADDESİ,2020,28474.39
1,AYBASTI SOKAĞI,2020,10991.62
2,BALYOZ SOKAĞI,2020,31406.24
3,BEDRETTİN SOKAĞI,2020,10991.62
4,EVLİYA ÇELEBİ CADDESİ,2020,21984.49
5,HOŞCAN ÇIKMAZI,2020,10991.62
6,KARAYEL SOKAĞI,2020,25124.24
7,KIBLELİZADE SOKAĞI,2020,10991.62
8,KUYTU SOKAĞI,2020,13190.19
9,MELTEM SOKAĞI,2020,10991.62
10,MEŞRUTİYET CAD.,2020,31406.24
11,REFİK SAYDAM CADDESİ,2020,25124.24
12,SADİ KONURALP CADDESİ,2020,31406.24
13,ŞİMAL SOKAĞI,2020,13190.19
14,ASMALI MESCİT CADDESİ,2019,25585.76
15,AYBASTI SOKAĞI,2019,9876.56
16,BALYOZ SOKAĞI,2019,28220.18
17,BEDRETTİN SOKAĞI,2019,9876.56
18,EVLİYA ÇELEBİ CADDESİ,2019,19754.24
19,HOŞCAN ÇIKMAZI,2019,9876.56
20,KARAYEL SOKAĞI,2019,22575.47
21,KIBLELİZADE SOKAĞI,2019,9876.56
22,KUYTU SOKAĞI,2019,11852.09
23,MELTEM SOKAĞI,2019,9876.56
24,MEŞRUTİYET CAD.,2019,28220.18
25,REFİK SAYDAM CADDESİ,2019,22575.47
26,SADİ KONURALP CADDESİ,2019,28220.18
27,ŞİMAL SOKAĞI,2019,11852.09
28,ASMALI MESCİT CADDESİ,2018,22872.0
29,AYBASTI SOKAĞI,2018,8829.0
30,BALYOZ SOKAĞI,2018,25227.0
31,BEDRETTİN SOKAĞI,2018,8829.0
32,EVLİYA ÇELEBİ CADDESİ,2018,17659.0
33,HOŞCAN ÇIKMAZI,2018,8829.0
34,KARAYEL SOKAĞI,2018,20181.0
35,KIBLELİZADE SOKAĞI,2018,8829.0
36,KUYTU SOKAĞI,2018,10595.0
37,MELTEM SOKAĞI,2018,8829.0
38,MEŞRUTİYET CAD.,2018,25227.0
39,REFİK SAYDAM CADDESİ,2018,20181.0
40,SADİ KONURALP CADDESİ,2018,25227.0
41,ŞİMAL SOKAĞI,2018,10595.0
42,ASMALI MESCİT CADDESİ,2017,15248.57
43,AYBASTI SOKAĞI,2017,5886.39
44,BALYOZ SOKAĞI,2017,16818.28
45,BEDRETTİN SOKAĞI,2017,5886.39
46,EVLİYA ÇELEBİ CADDESİ,2017,11772.79
47,HOŞCAN ÇIKMAZI,2017,5886.39
48,KARAYEL SOKAĞI,2017,13454.62
49,KIBLELİZADE SOKAĞI,2017,5886.39
50,KUYTU SOKAĞI,2017,7063.67
51,MELTEM SOKAĞI,2017,5886.39
52,MEŞRUTİYET CAD.,2017,16818.28
53,REFİK SAYDAM CADDESİ,2017,13454.62
54,SADİ KONURALP CADDESİ,2017,16818.28
55,ŞİMAL SOKAĞI,2017,7063.67
56,ASMALI MESCİT CADDESİ,2016,14686.1
57,AYBASTI SOKAĞI,2016,5669.26
58,BALYOZ SOKAĞI,2016,16197.9
59,BEDRETTİN SOKAĞI,2016,5669.26
60,EVLİYA ÇELEBİ CADDESİ,2016,11338.53
61,HOŞCAN ÇIKMAZI,2016,5669.26
62,KARAYEL SOKAĞI,2016,12958.32
63,KIBLELİZADE SOKAĞI,2016,5669.26
64,KUYTU SOKAĞI,2016,6803.12
65,MELTEM SOKAĞI,2016,5669.26
66,MEŞRUTİYET CAD.,2016,16197.9
67,REFİK SAYDAM CADDESİ,2016,12958.32
68,SADİ KONURALP CADDESİ,2016,16197.9
69,ŞİMAL SOKAĞI,2016,6803.12
70,ASMALI MESCİT CADDESİ,2015,14287.48
71,AYBASTI SOKAĞI,2015,5515.38
72,BALYOZ SOKAĞI,2015,15758.25
73,BEDRETTİN SOKAĞI,2015,5515.38
74,EVLİYA ÇELEBİ CADDESİ,2015,11030.77
75,HOŞCAN ÇIKMAZI,2015,5515.38
76,KARAYEL SOKAĞI,2015,12606.6
77,KIBLELİZADE SOKAĞI,2015,5515.38
78,KUYTU SOKAĞI,2015,6618.46
79,MELTEM SOKAĞI,2015,5515.38
80,MEŞRUTİYET CAD.,2015,15758.25
81,REFİK SAYDAM CADDESİ,2015,12606.6
82,SADİ KONURALP CADDESİ,2015,15758.25
83,ŞİMAL SOKAĞI,2015,6618.46
84,ASMALI MESCİT CADDESİ,2014,13600.0
85,AYBASTI SOKAĞI,2014,5250.0
86,BALYOZ SOKAĞI,2014,15000.0
87,BEDRETTİN SOKAĞI,2014,5250.0
88,EVLİYA ÇELEBİ CADDESİ,2014,10500.0
89,HOŞCAN ÇIKMAZI,2014,5250.0
90,KARAYEL SOKAĞI,2014,12000.0
91,KIBLELİZADE SOKAĞI,2014,5250.0
92,KUYTU SOKAĞI,2014,6300.0
93,MELTEM SOKAĞI,2014,5250.0
94,MEŞRUTİYET CAD.,2014,15000.0
95,REFİK SAYDAM CADDESİ,2014,12000.0
96,SADİ KONURALP CADDESİ,2014,15000.0
97,ŞİMAL SOKAĞI,2014,6300.0
98,ASMALI MESCİT CADDESİ,2013,13578.01
99,AYBASTI SOKAĞI,2013,5246.05
100,BALYOZ SOKAĞI,2013,14812.37
101,BEDRETTİN SOKAĞI,2013,5246.05
102,EVLİYA ÇELEBİ CADDESİ,2013,10492.09
103,HOŞCAN ÇIKMAZI,2013,5246.05
104,KARAYEL SOKAĞI,2013,12096.77
105,KIBLELİZADE SOKAĞI,2013,5246.05
106,KUYTU SOKAĞI,2013,6295.26
107,MELTEM SOKAĞI,2013,5246.05
108,MEŞRUTİYET CAD.,2013,14812.37
109,REFİK SAYDAM CADDESİ,2013,12096.77
110,SADİ KONURALP CADDESİ,2013,14812.37
111,ŞİMAL SOKAĞI,2013,6295.26
112,ASMALI MESCİT CADDESİ,2012,12595.56
113,AYBASTI SOKAĞI,2012,4866.47
114,BALYOZ SOKAĞI,2012,13740.61
115,BEDRETTİN SOKAĞI,2012,4866.47
116,EVLİYA ÇELEBİ CADDESİ,2012,9732.93
117,HOŞCAN ÇIKMAZI,2012,4866.47
118,KARAYEL SOKAĞI,2012,11221.5
119,KIBLELİZADE SOKAĞI,2012,4866.47
120,KUYTU SOKAĞI,2012,5839.76
121,MELTEM SOKAĞI,2012,4866.47
122,MEŞRUTİYET CAD.,2012,13740.61
123,REFİK SAYDAM CADDESİ,2012,11221.5
124,SADİ KONURALP CADDESİ,2012,13740.61
125,ŞİMAL SOKAĞI,2012,5839.76
126,ASMALI MESCİT CADDESİ,2011,11423.5
127,AYBASTI SOKAĞI,2011,4413.63
128,BALYOZ SOKAĞI,2011,12462.0
129,BEDRETTİN SOKAĞI,2011,4413.63
130,EVLİYA ÇELEBİ CADDESİ,2011,8827.25
131,HOŞCAN ÇIKMAZI,2011,4413.63
132,KARAYEL SOKAĞI,2011,10177.3
133,KIBLELİZADE SOKAĞI,2011,4413.63
134,KUYTU SOKAĞI,2011,5296.35
135,MELTEM SOKAĞI,2011,4413.63
136,MEŞRUTİYET CAD.,2011,12462.0
137,REFİK SAYDAM CADDESİ,2011,10177.3
