,sokak,yil,rayic
0,AKTAŞ ARALIĞI,2020,470.58
1,AKTAŞ SOKAĞI,2020,470.58
2,ALACEYLAN SOKAĞI,2020,470.58
3,ANA YURT SOKAĞI,2020,470.58
4,ARKOÇ SOKAĞI,2020,522.87
5,ASKER SOKAĞI,2020,470.58
6,ATA ARALIĞI,2020,470.58
7,ATA SOKAĞI,2020,470.58
8,ATAÇ SOKAĞI,2020,470.58
9,ATILIM SOKAĞI,2020,470.58
10,BEYAZ SOKAĞI,2020,470.58
11,BÖĞÜRTLEN SOKAĞI,2020,470.58
12,CAMİ SOKAĞI,2020,470.58
13,ÇAĞDAŞ SOKAĞI,2020,470.58
14,ÇEŞME SOKAĞI,2020,470.58
15,ÇETİN SOKAĞI,2020,470.58
16,ÇINAR SOKAĞI,2020,470.58
17,ÇİÇEKLİ SOKAĞI,2020,470.58
18,ÇİLESİZ SOKAĞI,2020,470.58
19,DEFNE SOKAĞI,2020,522.87
20,DEMİRKIRAN ARALIĞI,2020,470.58
21,DEMİRKIRAN SOKAĞI,2020,470.58
22,DEREİÇİ SOKAĞI,2020,470.58
23,DOĞANAY ARALIĞI,2020,470.58
24,DOĞANAY SOKAĞI,2020,470.58
25,DOĞANŞAH SOKAĞI,2020,470.58
26,DÖNEM SOKAĞI,2020,470.58
27,DUTLUK ÇIKMAZI,2020,470.58
28,ELMAS SOKAĞI,2020,522.87
29,ERDEMLİ SOKAĞI,2020,470.58
30,ESER ARALIĞI,2020,470.58
31,ESER SOKAĞI,2020,470.58
32,FATİH SULTAN CADDESİ,2020,1422.97
33,FETİHTEPE CAMİ SOKAĞI,2020,470.58
34,FETİHTEPE CAMİ ÇIKMAZI,2020,470.58
35,FETİHTEPE SOKAĞI,2020,470.58
36,GENİŞ SOKAĞI,2020,470.58
37,GEZEN SOKAĞI,2020,522.87
38,HALICIOĞLU YAN YOL CADDESİ,2020,1422.97
39,IŞILDAK SOKAĞI,2020,470.58
40,İLK DURAK SOKAĞI,2020,522.87
41,İPEKLİ SOKAĞI,2020,470.58
42,KAPTAN SOKAĞI,2020,470.58
43,KARAÇAYIR SOKAĞI,2020,470.58
44,KAYA SOKAĞI,2020,470.58
45,KESKİN ARALIĞI,2020,470.58
46,KESKİN SOKAĞI,2020,522.87
47,KILIÇ SOKAĞI,2020,470.58
48,KİRİŞ SOKAĞI,2020,470.58
49,KUMSAL SOKAĞI,2020,470.58
50,KURBAN SOKAĞI,2020,470.58
51,MABET SOKAĞI,2020,470.58
52,MEYDAN SOKAĞI,2020,470.58
53,MÜVERRİH ALİ CADDESİ,2020,931.21
54,MÜVERRİH ALİ ÇIKMAZI,2020,470.58
55,NESİL SOKAĞI,2020,470.58
56,OKÇULAR ARALIĞI,2020,470.58
57,OKÇULAR YOLU SOKAĞI,2020,470.58
58,ÖNEM SOKAĞI,2020,470.58
59,ÖZGÜL ARALIĞI,2020,470.58
60,ÖZGÜL SOKAĞI,2020,522.87
61,ÖZLEM SOKAĞI,2020,470.58
62,PAPATYALI SOKAĞI,2020,522.87
63,SEDEFOĞLU SOKAĞI,2020,470.58
64,SEVİNÇ SOKAĞI,2020,470.58
65,SİVAS SOKAĞI,2020,470.58
66,SOLAK ÇEŞME ARALIĞI,2020,470.58
67,SOLAK ÇEŞME SOKAĞI,2020,522.87
68,SÜSLÜ SOKAĞI,2020,522.87
69,ŞEHİT ER MURAT CELEP SOKAĞI,2020,470.58
70,ŞENER SOKAĞI,2020,470.58
71,TAHİR AĞA ARALIĞI,2020,470.58
72,TAŞLI SOKAĞI,2020,470.58
73,TEPE ÜSTÜ SOKAĞI,2020,522.87
74,TÜTÜNCÜ SOKAĞI,2020,470.58
75,UÇ HİSAR SOKAĞI,2020,470.58
76,UMAR ARALIĞI,2020,470.58
77,UMAR SOKAĞI,2020,470.58
78,YAMAK ÇIKMAZI,2020,470.58
79,YAMAK SOKAĞI,2020,522.87
80,YAVUZ SOKAĞI,2020,470.58
81,YAYLA ARALIĞI,2020,470.58
82,YAYLA ÇIKMAZI,2020,470.58
83,YAYLA SOKAĞI,2020,470.58
84,ZERAFET SOKAĞI,2020,470.58
85,ZÜMRÜT ARALIĞI,2020,470.58
86,ZÜMRÜT SOKAĞI,2020,470.58
87,AKTAŞ ARALIĞI,2019,422.84
88,AKTAŞ SOKAĞI,2019,422.84
89,ALACEYLAN SOKAĞI,2019,422.84
90,ANA YURT SOKAĞI,2019,422.84
91,ARKOÇ SOKAĞI,2019,469.83
92,ASKER SOKAĞI,2019,422.84
93,ATA ARALIĞI,2019,422.84
94,ATA SOKAĞI,2019,422.84
95,ATAÇ SOKAĞI,2019,422.84
96,ATILIM SOKAĞI,2019,422.84
97,BEYAZ SOKAĞI,2019,422.84
98,BÖĞÜRTLEN SOKAĞI,2019,422.84
99,CAMİ SOKAĞI,2019,422.84
100,ÇAĞDAŞ SOKAĞI,2019,422.84
101,ÇEŞME SOKAĞI,2019,422.84
102,ÇETİN SOKAĞI,2019,422.84
103,ÇINAR SOKAĞI,2019,422.84
104,ÇİÇEKLİ SOKAĞI,2019,422.84
105,ÇİLESİZ SOKAĞI,2019,422.84
106,DEFNE SOKAĞI,2019,469.83
107,DEMİRKIRAN ARALIĞI,2019,422.84
108,DEMİRKIRAN SOKAĞI,2019,422.84
109,DEREİÇİ SOKAĞI,2019,422.84
110,DOĞANAY ARALIĞI,2019,422.84
111,DOĞANAY SOKAĞI,2019,422.84
112,DOĞANŞAH SOKAĞI,2019,422.84
113,DÖNEM SOKAĞI,2019,422.84
114,DUTLUK ÇIKMAZI,2019,422.84
115,ELMAS SOKAĞI,2019,469.83
