,sokak,yil,rayic
0,AĞA HAMAMI SOKAĞI,2020,10991.62
1,BATARYA SOKAĞI,2020,7850.62
2,BOĞAZKESEN CADDESİ,2020,13190.19
3,BORAZAN SOKAĞI,2020,6594.47
4,BOSTAN BAŞI CADDESİ,2020,7850.62
5,CEZAYİR ÇIKMAZI,2020,6594.47
6,CEZAYİR SOKAĞI,2020,10991.62
7,ÇUKUR CUMA CADDESİ,2020,8793.05
8,ÇUKUR CUMA CAMİ SOKAĞI,2020,6594.47
9,ÇUKUR CUMA CAMİİ ÇIKMAZI,2020,6594.47
10,DALGIÇ ÇIKMAZI,2020,6594.47
11,DALGIÇ SOKAĞI,2020,6594.47
12,DEFTERDAR YOKUŞU,2020,17587.34
13,EKMEKÇİBAŞI CAMİ ÇIKMAZI,2020,4395.9
14,EKMEKÇİBAŞI CAMİİ SOKAĞI,2020,7850.62
15,FAİK PAŞA CADDESİ,2020,8793.05
16,FİRUZAĞA CAMİİ SOKAĞI,2020,10991.62
17,HACI OSMAN ÇIKMAZI,2020,4395.9
18,HACIOĞLU SOKAĞI,2020,4395.9
19,HAYRİYE CADDESİ,2020,8793.05
20,HÜSEYİN AĞA BAHÇE SOKAĞI,2020,7850.62
21,KADİRİLER YOKUŞU,2020,8793.05
22,KALKAN SOKAĞI,2020,6594.47
23,KASATURA SOKAĞI,2020,6594.47
24,KÜLHAN ÇIKMAZI,2020,4395.9
25,MEŞALECİ SOKAĞI,2020,6594.47
26,NÖBETÇİ SOKAĞI,2020,6594.47
27,PALASKA SOKAĞI,2020,6594.47
28,SET SOKAĞI,2020,8793.05
29,SÜNGÜ SOKAĞI,2020,7746.05
30,TAKTAKİ YOKUŞU,2020,6594.47
31,TOMBAZ SOKAĞI,2020,6594.47
32,TÜRKGÜCÜ CADDESİ,2020,10991.62
33,YAZICI ÇIKMAZI,2020,4395.9
34,YENİ ÇARŞI CADDESİ,2020,13190.19
35,AĞA HAMAMI SOKAĞI,2019,9876.56
36,BATARYA SOKAĞI,2019,7054.2
37,BOĞAZKESEN CADDESİ,2019,11852.09
38,BORAZAN SOKAĞI,2019,5925.48
39,BOSTAN BAŞI CADDESİ,2019,7054.2
40,CEZAYİR ÇIKMAZI,2019,5925.48
41,CEZAYİR SOKAĞI,2019,9876.56
42,ÇUKUR CUMA CADDESİ,2019,7901.02
43,ÇUKUR CUMA CAMİ SOKAĞI,2019,5925.48
44,ÇUKUR CUMA CAMİİ ÇIKMAZI,2019,5925.48
45,DALGIÇ ÇIKMAZI,2019,5925.48
46,DALGIÇ SOKAĞI,2019,5925.48
47,DEFTERDAR YOKUŞU,2019,15803.16
48,EKMEKÇİBAŞI CAMİ ÇIKMAZI,2019,3949.95
49,EKMEKÇİBAŞI CAMİİ SOKAĞI,2019,7054.2
50,FAİK PAŞA CADDESİ,2019,7901.02
51,FİRUZAĞA CAMİİ SOKAĞI,2019,9876.56
52,HACI OSMAN ÇIKMAZI,2019,3949.95
53,HACIOĞLU SOKAĞI,2019,3949.95
54,HAYRİYE CADDESİ,2019,7901.02
55,HÜSEYİN AĞA BAHÇE SOKAĞI,2019,7054.2
56,KADİRİLER YOKUŞU,2019,7901.02
57,KALKAN SOKAĞI,2019,5925.48
58,KASATURA SOKAĞI,2019,5925.48
59,KÜLHAN ÇIKMAZI,2019,3949.95
60,MEŞALECİ SOKAĞI,2019,5925.48
61,NÖBETÇİ SOKAĞI,2019,5925.48
62,PALASKA SOKAĞI,2019,5925.48
63,SET SOKAĞI,2019,7901.02
64,SÜNGÜ SOKAĞI,2019,6960.24
65,TAKTAKİ YOKUŞU,2019,5925.48
66,TOMBAZ SOKAĞI,2019,5925.48
67,TÜRKGÜCÜ CADDESİ,2019,9876.56
