,sokak,yil,rayic
0,AĞA ÇIRAĞI SOKAĞI,2020,19472.19
1,ANIT CADDESİ,2020,67000.48
2,ASKER OCAĞI CADDESİ,2020,52343.73
3,AYAZ PAŞA CAMİİ SOKAĞI,2020,21984.49
4,BOL AHENK SOKAĞI,2020,17587.34
5,BOSTAN GAZHANESİ SOKAĞI,2020,28474.39
6,CAMİ ARKASI SOKAĞI,2020,13190.19
7,CUMHURİYET CADDESİ,2020,46062.98
8,ÇİFTEVAV SOKAĞI,2020,21984.49
9,DOLMABAHÇE GAZHANE CADDESİ,2020,28474.39
10,DÜNYA SAĞLIK SOKAĞI,2020,28474.39
11,HARİCİYE KONAĞI SOKAĞI,2020,21984.49
12,İNÖNÜ CADDESİ,2020,47109.98
13,KAMPÜS SOKAĞI,2020,32976.11
14,KAZANCI CAMİ SOKAĞI,2020,17587.34
15,KAZANCI YOKUŞU,2020,21984.49
16,KOLÇAK SOKAĞI,2020,21984.49
17,KUTLU SOKAĞI,2020,21984.49
18,KÜLTÜR ÇIKMAZI,2020,32976.11
19,KÜTÜPHANE ÇIKMAZI,2020,32976.11
20,MEBUSAN YOKUŞU,2020,21984.49
21,MERDİVEN ÇIKMAZI,2020,17587.34
22,METE CADDESİ,2020,52343.73
23,MİRALAY ŞEFİKBEY SOKAĞI,2020,32348.66
24,MUHTAR KAMİL SOKAĞI,2020,21984.49
25,OSMANLI SOKAĞI,2020,21984.49
26,PEMBE SOKAĞI,2020,17587.34
27,PROF. DR. BEDRİ KARAFAKİOĞLU CADDESİ,2020,28474.39
28,REİS ÇIKMAZI,2020,19472.19
29,SAĞIROĞLU SOKAĞI,2020,10991.62
30,SARAY ARKASI SOKAĞI,2020,28474.39
31,SELİME HATUN CAMİİ SOKAĞI,2020,23345.21
32,SIRASELVİLER CADDESİ,2020,48156.98
33,TAK-I ZAFER CADDESİ,2020,62812.48
34,TARLABAŞI BULVARI,2020,46585.86
35,TATLI ÇIKIŞ SOKAĞI,2020,19472.19
36,TAYYARECİ ETHEM SOKAĞI,2020,17587.34
37,TİMSAH SOKAĞI,2020,17587.34
38,UFAK SOKAĞI,2020,17587.34
39,ÜLKER SOKAĞI,2020,17587.34
40,VAKIF ÇIKMAZI,2020,23345.21
41,YENİ KİBAR ÇIKMAZI,2020,19472.19
42,AĞA ÇIRAĞI SOKAĞI,2019,17496.8
43,ANIT CADDESİ,2019,60203.5
44,ASKER OCAĞI CADDESİ,2019,47033.63
45,AYAZ PAŞA CAMİİ SOKAĞI,2019,19754.24
46,BOL AHENK SOKAĞI,2019,15803.16
47,BOSTAN GAZHANESİ SOKAĞI,2019,25585.76
48,CAMİ ARKASI SOKAĞI,2019,11852.09
49,CUMHURİYET CADDESİ,2019,41390.05
50,ÇİFTEVAV SOKAĞI,2019,19754.24
51,DOLMABAHÇE GAZHANE CADDESİ,2019,25585.76
52,DÜNYA SAĞLIK SOKAĞI,2019,25585.76
53,HARİCİYE KONAĞI SOKAĞI,2019,19754.24
54,İNÖNÜ CADDESİ,2019,42330.83
55,KAMPÜS SOKAĞI,2019,29630.8
56,KAZANCI CAMİ SOKAĞI,2019,15803.16
57,KAZANCI YOKUŞU,2019,19754.24
58,KOLÇAK SOKAĞI,2019,19754.24
59,KUTLU SOKAĞI,2019,19754.24
60,KÜLTÜR ÇIKMAZI,2019,29630.8
61,KÜTÜPHANE ÇIKMAZI,2019,29630.8
62,MEBUSAN YOKUŞU,2019,19754.24
63,MERDİVEN ÇIKMAZI,2019,15803.16
64,METE CADDESİ,2019,47033.63
65,MİRALAY ŞEFİKBEY SOKAĞI,2019,29067.0
66,MUHTAR KAMİL SOKAĞI,2019,19754.24
67,OSMANLI SOKAĞI,2019,19754.24
68,PEMBE SOKAĞI,2019,15803.16
69,PROF. DR. BEDRİ KARAFAKİOĞLU CADDESİ,2019,25585.76
70,REİS ÇIKMAZI,2019,17496.8
71,SAĞIROĞLU SOKAĞI,2019,9876.56
72,SARAY ARKASI SOKAĞI,2019,25585.76
73,SELİME HATUN CAMİİ SOKAĞI,2019,20976.92
74,SIRASELVİLER CADDESİ,2019,43271.61
75,TAK-I ZAFER CADDESİ,2019,56440.36
76,TARLABAŞI BULVARI,2019,41859.88
77,TATLI ÇIKIŞ SOKAĞI,2019,17496.8
78,TAYYARECİ ETHEM SOKAĞI,2019,15803.16
79,TİMSAH SOKAĞI,2019,15803.16
80,UFAK SOKAĞI,2019,15803.16
81,ÜLKER SOKAĞI,2019,15803.16
82,VAKIF ÇIKMAZI,2019,20976.92
83,YENİ KİBAR ÇIKMAZI,2019,17496.8
84,AĞA ÇIRAĞI SOKAĞI,2018,15641.0
85,ANIT CADDESİ,2018,53818.0
86,ASKER OCAĞI CADDESİ,2018,42045.0
87,AYAZ PAŞA CAMİİ SOKAĞI,2018,17659.0
88,BOL AHENK SOKAĞI,2018,14127.0
89,BOSTAN GAZHANESİ SOKAĞI,2018,22872.0
90,CAMİ ARKASI SOKAĞI,2018,10595.0
91,CUMHURİYET CADDESİ,2018,37000.0
92,ÇİFTEVAV SOKAĞI,2018,17659.0
93,DOLMABAHÇE GAZHANE CADDESİ,2018,22872.0
94,DÜNYA SAĞLIK SOKAĞI,2018,22872.0
95,HARİCİYE KONAĞI SOKAĞI,2018,17659.0
96,İNÖNÜ CADDESİ,2018,37841.0
97,KAMPÜS SOKAĞI,2018,26488.0
98,KAZANCI CAMİ SOKAĞI,2018,14127.0
99,KAZANCI YOKUŞU,2018,17659.0
100,KOLÇAK SOKAĞI,2018,17659.0
101,KUTLU SOKAĞI,2018,17659.0
102,KÜLTÜR ÇIKMAZI,2018,26488.0
103,KÜTÜPHANE ÇIKMAZI,2018,26488.0
104,MEBUSAN YOKUŞU,2018,17659.0
105,MERDİVEN ÇIKMAZI,2018,14127.0
106,METE CADDESİ,2018,42045.0
107,MİRALAY ŞEFİKBEY SOKAĞI,2018,25984.0
108,MUHTAR KAMİL SOKAĞI,2018,17659.0
109,OSMANLI SOKAĞI,2018,17659.0
110,PEMBE SOKAĞI,2018,14127.0
111,PROF. DR. BEDRİ KARAFAKİOĞLU CADDESİ,2018,22872.0
112,REİS ÇIKMAZI,2018,15641.0
113,SAĞIROĞLU SOKAĞI,2018,8829.0
114,SARAY ARKASI SOKAĞI,2018,22872.0
115,SELİME HATUN CAMİİ SOKAĞI,2018,18752.0
116,SIRASELVİLER CADDESİ,2018,38682.0
117,TAK-I ZAFER CADDESİ,2018,50454.0
118,TARLABAŞI BULVARI,2018,37420.0
119,TATLI ÇIKIŞ SOKAĞI,2018,15641.0
120,TAYYARECİ ETHEM SOKAĞI,2018,14127.0
121,TİMSAH SOKAĞI,2018,14127.0
122,UFAK SOKAĞI,2018,14127.0
123,ÜLKER SOKAĞI,2018,14127.0
124,VAKIF ÇIKMAZI,2018,18752.0
125,YENİ KİBAR ÇIKMAZI,2018,15641.0
126,AĞA ÇIRAĞI SOKAĞI,2017,10427.33
127,ANIT CADDESİ,2017,35879.0
128,ASKER OCAĞI CADDESİ,2017,28030.47
129,AYAZ PAŞA CAMİİ SOKAĞI,2017,11772.79
130,BOL AHENK SOKAĞI,2017,9418.23
131,BOSTAN GAZHANESİ SOKAĞI,2017,15248.57
132,CAMİ ARKASI SOKAĞI,2017,7063.67
133,CUMHURİYET CADDESİ,2017,24666.81
134,ÇİFTEVAV SOKAĞI,2017,11772.79
135,DOLMABAHÇE GAZHANE CADDESİ,2017,15248.57
136,DÜNYA SAĞLIK SOKAĞI,2017,15248.57
137,HARİCİYE KONAĞI SOKAĞI,2017,11772.79
138,İNÖNÜ CADDESİ,2017,25227.42
139,KAMPÜS SOKAĞI,2017,17659.19
140,KAZANCI CAMİ SOKAĞI,2017,9418.23
141,KAZANCI YOKUŞU,2017,11772.79
142,KOLÇAK SOKAĞI,2017,11772.79
143,KUTLU SOKAĞI,2017,11772.79
144,KÜLTÜR ÇIKMAZI,2017,17659.19
145,KÜTÜPHANE ÇIKMAZI,2017,17659.19
146,MEBUSAN YOKUŞU,2017,11772.79
147,MERDİVEN ÇIKMAZI,2017,9418.23
148,METE CADDESİ,2017,28030.47
149,MİRALAY ŞEFİKBEY SOKAĞI,2017,17322.83
150,MUHTAR KAMİL SOKAĞI,2017,11772.79
151,OSMANLI SOKAĞI,2017,11772.79
152,PEMBE SOKAĞI,2017,9418.23
153,PROF. DR. BEDRİ KARAFAKİOĞLU CADDESİ,2017,15248.57
154,REİS ÇIKMAZI,2017,10427.33
155,SAĞIROĞLU SOKAĞI,2017,5886.39
