,sokak,yil,rayic
0,AĞA SOKAĞI,2020,3768.45
1,ALİ AĞA SOKAĞI,2020,4395.9
2,ASYA SOKAĞI,2020,3768.45
3,ATALAY SOKAĞI,2020,3768.45
4,ATEŞ BÖCEĞİ SOKAĞI,2020,3768.45
5,ATEŞ SOKAĞI,2020,1171.49
6,BALTABAŞ SOKAĞI,2020,3348.9
7,CİN DERESİ ÇIKMAZI,2020,1171.49
8,CİN DERESİ SOKAĞI,2020,1171.49
9,DALFES SOKAĞI,2020,3348.9
10,DEV SÜLEYMAN SOKAĞI,2020,3768.45
11,DEVŞİRMELER SOKAĞI,2020,3348.9
12,EBURIZA DERGAHI SOKAĞI,2020,3977.6
13,ELMAS TRAŞ SOKAĞI,2020,3348.9
14,ERMEYDANI CADDESİ,2020,4395.9
15,FADIL ARİF SOKAĞI,2020,3348.9
16,FIRÇACI SOKAĞI,2020,3348.9
17,GEÇİCİ SOKAĞI,2020,3348.9
18,GÜLİSTAN SOKAĞI,2020,1171.49
19,HACI AHMET BOSTANI SOKAĞI,2020,3348.9
20,HACI AHMET KARAKOLU SOKAĞI,2020,3768.45
21,HACI ZEYNEL SOKAĞI,2020,3348.9
22,HAKEM SOKAĞI,2020,3768.45
23,HORTUMCU SOKAĞI,2020,3348.9
24,IRMAK CADDESİ,2020,6594.47
25,İLYAS BEY ARALIĞI,2020,1171.49
26,İLYAS BEY SOKAĞI,2020,1171.49
27,İPLİKÇİ ARALIĞI,2020,1171.49
28,İPLİKÇİ FIRINI CADDESİ,2020,1569.87
29,KABADAYI SOKAĞI,2020,2197.32
30,KIR KAHYASI SOKAĞI,2020,3768.45
31,KOKOROZ SOKAĞI,2020,3768.45
32,KURTOĞLU CADDESİ,2020,4395.9
33,KURTULUŞ DERESİ CADDESİ,2020,6594.47
34,KURTULUŞ SALHANESİ SOKAĞI,2020,3348.9
35,LOKUMCU SOKAĞI,2020,3348.9
36,MACAR BOSTANI SOKAĞI,2020,3348.9
37,MEZARLIK YANI SOKAĞI,2020,1171.49
38,MEZARLIK YOKUŞU,2020,1171.49
39,MOR SALKIM SOKAĞI,2020,2197.32
40,MUMCU REŞİT SOKAĞI,2020,3348.9
41,NİLÜFER SOKAĞI,2020,1171.49
42,NOTACI SOKAĞI,2020,3348.9
43,OMUZDAŞ SOKAĞI,2020,3348.9
44,OYA SOKAĞI,2020,4395.9
45,PİR HÜSAMETTİN SOKAĞI,2020,4395.9
46,REMZİ BABA SOKAĞI,2020,3348.9
47,SAFA MEYDANI SOKAĞI,2020,4395.9
48,SAHANCI SOKAĞI,2020,3348.9
49,ŞEFKAT SOKAĞI,2020,3348.9
50,TEŞRİFATÇI SOKAĞI,2020,3348.9
51,YAHYA KÖPRÜSÜ SOKAĞI,2020,4395.9
52,YENİ ALEM SOKAĞI,2020,3348.9
53,YENİ ASIR SOKAĞI,2020,3348.9
54,YENİ BOSTAN SOKAĞI,2020,3768.45
55,YENİ NESİL SOKAĞI,2020,3348.9
56,YENİYOL ZARİF SOKAĞI,2020,3768.45
57,YOKUŞBAŞI SOKAĞI,2020,3348.9
58,YUNAK SOKAĞI,2020,3348.9
59,AĞA SOKAĞI,2019,3386.15
60,ALİ AĞA SOKAĞI,2019,3949.95
61,ASYA SOKAĞI,2019,3386.15
62,ATALAY SOKAĞI,2019,3386.15
63,ATEŞ BÖCEĞİ SOKAĞI,2019,3386.15
64,ATEŞ SOKAĞI,2019,1052.64
65,BALTABAŞ SOKAĞI,2019,3009.16
66,CİN DERESİ ÇIKMAZI,2019,1052.64
67,CİN DERESİ SOKAĞI,2019,1052.64
68,DALFES SOKAĞI,2019,3009.16
69,DEV SÜLEYMAN SOKAĞI,2019,3386.15
70,DEVŞİRMELER SOKAĞI,2019,3009.16
71,EBURIZA DERGAHI SOKAĞI,2019,3574.08
72,ELMAS TRAŞ SOKAĞI,2019,3009.16
73,ERMEYDANI CADDESİ,2019,3949.95
74,FADIL ARİF SOKAĞI,2019,3009.16
