,sokak,yil,rayic
0,ARAP OĞLAN SOKAĞI,2020,17587.34
1,BOĞAZKESEN CADDESİ,2020,13190.19
2,DİBEK SOKAĞI,2020,3454.72
3,DÖŞEMECİ SOKAĞI,2020,17587.34
4,ESKİ PARMAKKAPI SOKAĞI,2020,5442.9
5,FAHRETTİNİ ACEMİ SOKAĞI,2020,3454.72
6,GALATA BEYAZIT SOKAĞI,2020,8793.05
7,GALATA MANDIRASI SOKAĞI,2020,4395.9
8,HACI MİMİ KÜLHANİ SOKAĞI,2020,3454.72
9,HİSARYANI SOKAĞI,2020,4395.9
10,HOCA ALİ SOKAĞI,2020,6594.47
11,ISSIZ SOKAĞI,2020,3454.72
12,KAFESÇİ NACİ SOKAĞI,2020,4395.9
13,KANARYALI SOKAĞI,2020,10991.62
14,KAPIKULU SOKAĞI,2020,4395.9
15,KARABAŞ CADDESİ,2020,6594.47
16,KARABAŞ DERE SOKAĞI,2020,4395.9
17,KARABAŞ MEKTEBİ SOKAĞI,2020,6594.47
18,KARINCA SOKAĞI,2020,8793.05
19,KEMERALTI CADDESİ,2020,35594.23
20,KOLTUKÇULAR ÇIKMAZI,2020,3454.72
21,KÖLEMEN ÇIKMAZI,2020,4395.9
22,KÖPRÜ SOKAĞI,2020,3454.72
23,KUMBARACI YOKUŞU,2020,6847.2
24,KUMBARACI YOKUŞU,2020,10991.62
25,KUTUCU KERİM SOKAĞI,2020,4395.9
26,LÜLECİ HENDEK CADDESİ,2020,10991.62
27,LÜLECİLER ARASTASI SOKAĞI,2020,7850.62
28,LÜLECİLER CADDESİ,2020,8793.05
29,NECATİ BEY CADDESİ,2020,31406.24
30,ORDU AĞASI SOKAĞI,2020,4395.9
31,REVANİ SOKAĞI,2020,8793.05
32,SAKIZCILAR SOKAĞI,2020,10991.62
33,SERDAR-I EKREM CADDESİ,2020,10991.62
34,VEKİLHARÇ SOKAĞI,2020,10991.62
35,YAZICILAR ÇIKMAZI,2020,3454.72
36,ARAP OĞLAN SOKAĞI,2019,15803.16
37,BOĞAZKESEN CADDESİ,2019,11852.09
38,DİBEK SOKAĞI,2019,3104.25
39,DÖŞEMECİ SOKAĞI,2019,15803.16
40,ESKİ PARMAKKAPI SOKAĞI,2019,4890.73
41,FAHRETTİNİ ACEMİ SOKAĞI,2019,3104.25
42,GALATA BEYAZIT SOKAĞI,2019,7901.02
43,GALATA MANDIRASI SOKAĞI,2019,3949.95
44,HACI MİMİ KÜLHANİ SOKAĞI,2019,3104.25
45,HİSARYANI SOKAĞI,2019,3949.95
46,HOCA ALİ SOKAĞI,2019,5925.48
47,ISSIZ SOKAĞI,2019,3104.25
48,KAFESÇİ NACİ SOKAĞI,2019,3949.95
49,KANARYALI SOKAĞI,2019,9876.56
50,KAPIKULU SOKAĞI,2019,3949.95
51,KARABAŞ CADDESİ,2019,5925.48
52,KARABAŞ DERE SOKAĞI,2019,3949.95
