,sokak,yil,rayic
0,ABACI HALİM SOKAĞI,2020,3559.29
1,ABDUSSELAM SOKAĞI,2020,4186.75
2,AHRETLİK SOKAĞI,2020,3559.29
3,AKİBET SOKAĞI,2020,3559.29
4,ALT MALTIZ SOKAĞI,2020,3139.75
5,AYAZMA SOKAĞI,2020,3139.75
6,AYAZMA ÜSTÜ SOKAĞI,2020,3139.75
7,BABA SOKAĞI,2020,3139.75
8,BADEM ÖNÜ SOKAĞI,2020,3139.75
9,BONCUK SOKAĞI,2020,3139.75
10,BÜKLÜM SOKAĞI,2020,3139.75
11,CELALZADE SOKAĞI,2020,3139.75
12,ÇAKIRBEYLER SOKAĞI,2020,4186.75
13,ÇIKSALIN ARALIĞI,2020,3139.75
14,ÇIKSALIN MEYDANI SOKAĞI,2020,3559.29
15,ÇIKSALIN SOKAĞI,2020,3139.75
16,DENİZ SOKAĞI,2020,3139.75
17,DERE KARŞISI YANI SOKAĞI,2020,3139.75
18,DİLEK SOKAĞI,2020,3139.75
19,E-5 KARAYOLU,2020,8793.05
20,ELVANDİREK SOKAĞI,2020,3139.75
21,EMİN SOKAĞI,2020,3139.75
22,ERDEN SOKAĞI,2020,3139.75
23,ERENLER TEKKESİ SOKAĞI,2020,3139.75
24,FISTIKLI BAHÇE SOKAĞI,2020,3139.75
25,FİDAN SOKAĞI,2020,3139.75
26,FUTACI SOKAĞI,2020,3139.75
27,HALICIOĞLU KAVŞAĞI,2020,8793.05
28,HALICIOĞLU OKMEYDANI CADDESİ,2020,8793.05
29,HALİL AĞA SOKAĞI,2020,3139.75
30,IHLAMUR SOKAĞI,2020,3139.75
31,KALFA YAMAĞI SOKAĞI,2020,3139.75
32,KANDEMİR ÇIKMAZI,2020,3139.75
33,KANDEMİR SOKAĞI,2020,3139.75
34,KAPI KAHYASI ARALIĞI,2020,3139.75
35,KAPI KAHYASI SOKAĞI,2020,3139.75
36,KAYALAR SOKAĞI,2020,3139.75
37,KİŞMİRİ SOKAĞI,2020,3139.75
38,KUDÜM SOKAĞI,2020,3139.75
39,KUMBARAHANE CADDESİ,2020,8793.05
40,MALTIZ SOKAĞI,2020,3139.75
41,MUHİBBAN SOKAĞI,2020,3559.29
42,OKUMUŞOĞLU SOKAĞI,2020,3454.72
43,PEŞTEMALCI SOKAĞI,2020,4186.75
44,SAFA SOKAĞI,2020,3139.75
45,SALLABAŞ SOKAĞI,2020,3139.75
46,SIVACI AHMET SOKAĞI,2020,3139.75
47,SİVAS SOKAĞI,2020,470.58
48,ŞAHİNLER SOKAĞI,2020,3139.75
49,ŞAN SOKAĞI,2020,3559.29
50,ŞEREF SOKAĞI,2020,3559.29
51,TAŞCI AKİF SOKAĞI,2020,4186.75
52,TATAROĞLU SOKAĞI,2020,3139.75
53,TOKAÇ SOKAĞI,2020,3559.29
54,TOPAĞAÇ SOKAĞI,2020,3139.75
55,TUNÇ SOKAĞI,2020,3559.29
56,TURŞUCU HÜSEYİN SOKAĞI,2020,3139.75
57,TÜTÜNCÜ ABBAS SOKAĞI,2020,3454.72
58,ÜÇ KARDEŞLER SOKAĞI,2020,3139.75
59,ÜNVAN SOKAĞI,2020,4186.75
60,YENİ ÇIKSALIN CAMİİ SOKAĞI,2020,4186.75
61,YEŞİM SOKAĞI,2020,3139.75
62,YILDIRIM SOKAĞI,2020,3139.75
