,sokak,yil,rayic
0,ATIF YILMAZ CADDESİ,2020,10991.62
1,AYNALI PASAJI SOKAĞI,2020,15597.92
2,BALO SOKAĞI,2020,18843.49
3,BÜYÜK BAYRAM SOKAĞI,2020,9840.04
4,DUDU ODALARI SOKAĞI,2020,17587.34
5,DUDULAR ÇIKMAZI,2020,7850.62
6,EKREM TUR SOKAĞI,2020,8793.05
7,HALAS SOKAĞI,2020,15597.92
8,HAMALBAŞI CADDESİ,2020,10991.62
9,İSTİKLAL CADDESİ,2020,52343.73
10,KALYONCU KULLUĞU CADDESİ,2020,4186.75
11,KAMER HATUN CADDESİ,2020,6489.9
12,KAMERİYE SOKAĞI,2020,8793.05
13,KİLİT SOKAĞI,2020,6489.9
14,KÜÇÜK BAYRAM SOKAĞI,2020,9840.04
15,MEŞRUTİYET CAD.,2020,31406.24
16,NEVİZADE SOKAĞI,2020,15597.92
17,ÖMER HAYYAM CADDESİ,2020,6594.47
18,SAHNE SOKAĞI,2020,37686.99
19,SAİT PAŞA GEÇİDİ SOKAĞI,2020,37686.99
20,SAKIZ AĞACI CADDESİ,2020,3454.72
21,SOLAKZADE SOKAĞI,2020,9840.04
22,TARLABAŞI BULVARI,2020,11724.89
23,TOPÇEKENLER SOKAĞI,2020,8793.05
24,TOPRAK LÜLE SOKAĞI,2020,8793.05
25,YEŞİLÇAM SOKAĞI,2020,17587.34
26,ATIF YILMAZ CADDESİ,2019,9876.56
27,AYNALI PASAJI SOKAĞI,2019,14015.56
28,BALO SOKAĞI,2019,16931.88
29,BÜYÜK BAYRAM SOKAĞI,2019,8841.8
30,DUDU ODALARI SOKAĞI,2019,15803.16
31,DUDULAR ÇIKMAZI,2019,7054.2
32,EKREM TUR SOKAĞI,2019,7901.02
33,HALAS SOKAĞI,2019,14015.56
34,HAMALBAŞI CADDESİ,2019,9876.56
35,İSTİKLAL CADDESİ,2019,47033.63
36,KALYONCU KULLUĞU CADDESİ,2019,3762.01
37,KAMER HATUN CADDESİ,2019,5831.52
38,KAMERİYE SOKAĞI,2019,7901.02
39,KİLİT SOKAĞI,2019,5831.52
40,KÜÇÜK BAYRAM SOKAĞI,2019,8841.8
41,MEŞRUTİYET CAD.,2019,28220.18
42,NEVİZADE SOKAĞI,2019,14015.56
43,ÖMER HAYYAM CADDESİ,2019,5925.48
44,SAHNE SOKAĞI,2019,33863.77
45,SAİT PAŞA GEÇİDİ SOKAĞI,2019,33863.77
46,SAKIZ AĞACI CADDESİ,2019,3104.25
47,SOLAKZADE SOKAĞI,2019,8841.8
48,TARLABAŞI BULVARI,2019,10535.44
49,TOPÇEKENLER SOKAĞI,2019,7901.02
50,TOPRAK LÜLE SOKAĞI,2019,7901.02
51,YEŞİLÇAM SOKAĞI,2019,15803.16
52,ATIF YILMAZ CADDESİ,2018,8829.0
53,AYNALI PASAJI SOKAĞI,2018,12529.0
54,BALO SOKAĞI,2018,15136.0
