,sokak,yil,rayic
0,AKBABA YOKUŞU,2020,3768.45
1,AKİDE SOKAĞI,2020,3768.45
2,ARAPLIK SOKAĞI,2020,3768.45
3,ARDA CADDESİ,2020,4395.9
4,BABA DAĞI YOKUŞU,2020,3348.9
5,BAHRİYE HASTANESİ ARKA SOKAĞI,2020,3768.45
6,BAHRİYE HASTANESİ YOKUŞU,2020,3768.45
7,DEĞİRMEN ARKASI SOKAĞI,2020,4395.9
8,DONANMA CADDESİ,2020,6594.47
9,EMİN ÇEŞMESİ SOKAĞI,2020,3348.9
10,EMİR EFENDİ CAMİ SOKAĞI,2020,3348.9
11,EMİR EFENDİ ÇIKMAZI,2020,3348.9
12,HASKÖY ARALIĞI,2020,3977.6
13,HASKÖY CADDESİ,2020,6594.47
14,HASTANE ARKASI ARALIĞI,2020,3348.9
15,İBADULLAH SOKAĞI,2020,3348.9
16,KADI MEHMET CADDESİ,2020,3977.6
17,KADI MEHMET ÇIKMAZI,2020,3977.6
18,KASIMPATI SOKAĞI,2020,3977.6
19,KULAKSIZ CADDESİ,2020,3348.9
20,KURT ÇELEBİ CAMİİ SOKAĞI,2020,3768.45
21,KÜRKÇÜ ŞAHİN ÇIKMAZI,2020,3348.9
22,KÜRKÇÜ ŞAHİN SOKAĞI,2020,3768.45
23,MABUT LİZBUT SOKAĞI,2020,3348.9
24,MELEK SOKAĞI,2020,8793.05
25,MESCİT SOKAĞI,2020,3348.9
26,MUİT ARALIĞI,2020,3348.9
27,MUİT SOKAĞI,2020,3348.9
28,MUTFAK KAPISI CADDESİ,2020,4395.9
29,NALINCI BAYIRI SOKAĞI,2020,4395.9
30,NALINCI MEKTEBİ SOKAĞI,2020,3348.9
31,PAŞA ÇEŞMESİ SOKAĞI,2020,3768.45
32,PAŞA ÇEŞMESİ YOKUŞU,2020,3768.45
33,PAŞA YOKUŞU,2020,3977.6
34,PİYADE SOKAĞI,2020,3348.9
35,SERİN SOKAĞI,2020,3768.45
36,ŞEN BÜLBÜL SOKAĞI,2020,3977.6
37,ŞEYH VELİ SOKAĞI,2020,3977.6
38,TOPRAK YOKUŞU,2020,3768.45
39,YELPAZE ARALIĞI,2020,3768.45
40,YELPAZE SOKAĞI,2020,3768.45
41,YENİ ÇEŞME MERDİVEN SOKAĞI,2020,3768.45
42,YENİ ÇEŞME SOKAĞI,2020,3768.45
43,YENİ SOKAĞI,2020,3768.45
44,AKBABA YOKUŞU,2019,3386.15
45,AKİDE SOKAĞI,2019,3386.15
46,ARAPLIK SOKAĞI,2019,3386.15
47,ARDA CADDESİ,2019,3949.95
48,BABA DAĞI YOKUŞU,2019,3009.16
49,BAHRİYE HASTANESİ ARKA SOKAĞI,2019,3386.15
50,BAHRİYE HASTANESİ YOKUŞU,2019,3386.15
51,DEĞİRMEN ARKASI SOKAĞI,2019,3949.95
52,DONANMA CADDESİ,2019,5925.48
53,EMİN ÇEŞMESİ SOKAĞI,2019,3009.16
54,EMİR EFENDİ CAMİ SOKAĞI,2019,3009.16
55,EMİR EFENDİ ÇIKMAZI,2019,3009.16
56,HASKÖY ARALIĞI,2019,3574.08
57,HASKÖY CADDESİ,2019,5925.48
58,HASTANE ARKASI ARALIĞI,2019,3009.16
59,İBADULLAH SOKAĞI,2019,3009.16
60,KADI MEHMET CADDESİ,2019,3574.08
61,KADI MEHMET ÇIKMAZI,2019,3574.08
62,KASIMPATI SOKAĞI,2019,3574.08
63,KULAKSIZ CADDESİ,2019,3009.16
64,KURT ÇELEBİ CAMİİ SOKAĞI,2019,3386.15
65,KÜRKÇÜ ŞAHİN ÇIKMAZI,2019,3009.16
66,KÜRKÇÜ ŞAHİN SOKAĞI,2019,3386.15
67,MABUT LİZBUT SOKAĞI,2019,3009.16
68,MELEK SOKAĞI,2019,7901.02
69,MESCİT SOKAĞI,2019,3009.16
70,MUİT ARALIĞI,2019,3009.16
71,MUİT SOKAĞI,2019,3009.16
72,MUTFAK KAPISI CADDESİ,2019,3949.95
73,NALINCI BAYIRI SOKAĞI,2019,3949.95
74,NALINCI MEKTEBİ SOKAĞI,2019,3009.16
75,PAŞA ÇEŞMESİ SOKAĞI,2019,3386.15
76,PAŞA ÇEŞMESİ YOKUŞU,2019,3386.15
77,PAŞA YOKUŞU,2019,3574.08
78,PİYADE SOKAĞI,2019,3009.16
79,SERİN SOKAĞI,2019,3386.15
80,ŞEN BÜLBÜL SOKAĞI,2019,3574.08
81,ŞEYH VELİ SOKAĞI,2019,3574.08
82,TOPRAK YOKUŞU,2019,3386.15
83,YELPAZE ARALIĞI,2019,3386.15
84,YELPAZE SOKAĞI,2019,3386.15
85,YENİ ÇEŞME MERDİVEN SOKAĞI,2019,3386.15
86,YENİ ÇEŞME SOKAĞI,2019,3386.15
87,YENİ SOKAĞI,2019,3386.15
88,AKBABA YOKUŞU,2018,3027.0
89,AKİDE SOKAĞI,2018,3027.0
90,ARAPLIK SOKAĞI,2018,3027.0
91,ARDA CADDESİ,2018,3531.0
92,BABA DAĞI YOKUŞU,2018,2690.0
93,BAHRİYE HASTANESİ ARKA SOKAĞI,2018,3027.0
94,BAHRİYE HASTANESİ YOKUŞU,2018,3027.0
95,DEĞİRMEN ARKASI SOKAĞI,2018,3531.0
96,DONANMA CADDESİ,2018,5297.0
97,EMİN ÇEŞMESİ SOKAĞI,2018,2690.0
98,EMİR EFENDİ CAMİ SOKAĞI,2018,2690.0
99,EMİR EFENDİ ÇIKMAZI,2018,2690.0
100,HASKÖY ARALIĞI,2018,3195.0
101,HASKÖY CADDESİ,2018,5297.0
102,HASTANE ARKASI ARALIĞI,2018,2690.0
103,İBADULLAH SOKAĞI,2018,2690.0
104,KADI MEHMET CADDESİ,2018,3195.0
105,KADI MEHMET ÇIKMAZI,2018,3195.0
106,KASIMPATI SOKAĞI,2018,3195.0
107,KULAKSIZ CADDESİ,2018,2690.0
108,KURT ÇELEBİ CAMİİ SOKAĞI,2018,3027.0
109,KÜRKÇÜ ŞAHİN ÇIKMAZI,2018,2690.0
110,KÜRKÇÜ ŞAHİN SOKAĞI,2018,3027.0
111,MABUT LİZBUT SOKAĞI,2018,2690.0
