,sokak,yil,rayic
0,AKKİRAZ SOKAĞI,2020,1569.87
1,ATAMAN SOKAĞI,2020,1569.87
2,BEYAZ YASEMİN SOKAĞI,2020,1569.87
3,BİLGİN SOKAĞI,2020,1109.24
4,CAMCI MUSA SOKAĞI,2020,2616.87
5,CEYLANIM SOKAĞI,2020,1569.87
6,DÜĞÜN SOKAĞI,2020,1109.24
7,EMİN CAMİİ SOKAĞI,2020,3348.9
8,GÜMÜŞ KÜPE SOKAĞI,2020,2197.32
9,HARMAN SOKAĞI,2020,1569.87
10,İNCE KAŞ SOKAĞI,2020,5233.75
11,KAHYA BEY SOKAĞI,2020,1569.87
12,KALYONCU KULLUĞU CADDESİ,2020,4186.75
13,KİRMAN SOKAĞI,2020,1569.87
14,KÖMÜRCÜ ZEYNEL SOKAĞI,2020,1569.87
15,KURDELA SOKAĞI,2020,2616.87
16,NİLGÜN SOKAĞI,2020,1569.87
17,ÖMER HAYYAM CADDESİ,2020,6594.47
18,SAMANCI ALİ SOKAĞI,2020,1569.87
19,SAMANCI FERHAT CADDESİ,2020,5233.75
20,SİMİTÇİ SOKAĞI,2020,1569.87
21,TARLABAŞI BULVARI,2020,11724.89
22,TEKİR SOKAĞI,2020,1569.87
23,TURUNÇ SOKAĞI,2020,1569.87
24,AKKİRAZ SOKAĞI,2019,1410.61
25,ATAMAN SOKAĞI,2019,1410.61
26,BEYAZ YASEMİN SOKAĞI,2019,1410.61
27,BİLGİN SOKAĞI,2019,996.71
28,CAMCI MUSA SOKAĞI,2019,2351.4
29,CEYLANIM SOKAĞI,2019,1410.61
30,DÜĞÜN SOKAĞI,2019,996.71
31,EMİN CAMİİ SOKAĞI,2019,3009.16
32,GÜMÜŞ KÜPE SOKAĞI,2019,1974.41
33,HARMAN SOKAĞI,2019,1410.61
34,İNCE KAŞ SOKAĞI,2019,4702.8
35,KAHYA BEY SOKAĞI,2019,1410.61
36,KALYONCU KULLUĞU CADDESİ,2019,3762.01
37,KİRMAN SOKAĞI,2019,1410.61
38,KÖMÜRCÜ ZEYNEL SOKAĞI,2019,1410.61
39,KURDELA SOKAĞI,2019,2351.4
40,NİLGÜN SOKAĞI,2019,1410.61
41,ÖMER HAYYAM CADDESİ,2019,5925.48
42,SAMANCI ALİ SOKAĞI,2019,1410.61
43,SAMANCI FERHAT CADDESİ,2019,4702.8
44,SİMİTÇİ SOKAĞI,2019,1410.61
45,TARLABAŞI BULVARI,2019,10535.44
46,TEKİR SOKAĞI,2019,1410.61
47,TURUNÇ SOKAĞI,2019,1410.61
48,AKKİRAZ SOKAĞI,2018,1261.0
49,ATAMAN SOKAĞI,2018,1261.0
50,BEYAZ YASEMİN SOKAĞI,2018,1261.0
51,BİLGİN SOKAĞI,2018,891.0
52,CAMCI MUSA SOKAĞI,2018,2102.0
53,CEYLANIM SOKAĞI,2018,1261.0
54,DÜĞÜN SOKAĞI,2018,891.0
55,EMİN CAMİİ SOKAĞI,2018,2690.0
56,GÜMÜŞ KÜPE SOKAĞI,2018,1765.0
57,HARMAN SOKAĞI,2018,1261.0
58,İNCE KAŞ SOKAĞI,2018,4204.0
59,KAHYA BEY SOKAĞI,2018,1261.0
60,KALYONCU KULLUĞU CADDESİ,2018,3363.0
61,KİRMAN SOKAĞI,2018,1261.0
62,KÖMÜRCÜ ZEYNEL SOKAĞI,2018,1261.0
63,KURDELA SOKAĞI,2018,2102.0
64,NİLGÜN SOKAĞI,2018,1261.0
65,ÖMER HAYYAM CADDESİ,2018,5297.0
66,SAMANCI ALİ SOKAĞI,2018,1261.0
67,SAMANCI FERHAT CADDESİ,2018,4204.0
68,SİMİTÇİ SOKAĞI,2018,1261.0
69,TARLABAŞI BULVARI,2018,9418.0
70,TEKİR SOKAĞI,2018,1261.0
71,TURUNÇ SOKAĞI,2018,1261.0
72,AKKİRAZ SOKAĞI,2017,840.91
73,ATAMAN SOKAĞI,2017,840.91
74,BEYAZ YASEMİN SOKAĞI,2017,840.91
75,BİLGİN SOKAĞI,2017,594.24
76,CAMCI MUSA SOKAĞI,2017,1401.52
77,CEYLANIM SOKAĞI,2017,840.91
78,DÜĞÜN SOKAĞI,2017,594.24
79,EMİN CAMİİ SOKAĞI,2017,1793.95
80,GÜMÜŞ KÜPE SOKAĞI,2017,1177.27
81,HARMAN SOKAĞI,2017,840.91
82,İNCE KAŞ SOKAĞI,2017,2803.04
83,KAHYA BEY SOKAĞI,2017,840.91
84,KALYONCU KULLUĞU CADDESİ,2017,2242.43
85,KİRMAN SOKAĞI,2017,840.91
86,KÖMÜRCÜ ZEYNEL SOKAĞI,2017,840.91
87,KURDELA SOKAĞI,2017,1401.52
88,NİLGÜN SOKAĞI,2017,840.91
89,ÖMER HAYYAM CADDESİ,2017,3531.83
90,SAMANCI ALİ SOKAĞI,2017,840.91
91,SAMANCI FERHAT CADDESİ,2017,2803.04
92,SİMİTÇİ SOKAĞI,2017,840.91
93,TARLABAŞI BULVARI,2017,6278.82
94,TEKİR SOKAĞI,2017,840.91
95,TURUNÇ SOKAĞI,2017,840.91
96,AKKİRAZ SOKAĞI,2016,809.89
97,ATAMAN SOKAĞI,2016,809.89
98,BEYAZ YASEMİN SOKAĞI,2016,809.89
99,BİLGİN SOKAĞI,2016,572.32
100,CAMCI MUSA SOKAĞI,2016,1349.82
101,CEYLANIM SOKAĞI,2016,809.89
102,DÜĞÜN SOKAĞI,2016,572.32
103,EMİN CAMİİ SOKAĞI,2016,1727.77
104,GÜMÜŞ KÜPE SOKAĞI,2016,1133.85
105,HARMAN SOKAĞI,2016,809.89
106,İNCE KAŞ SOKAĞI,2016,2699.65
107,KAHYA BEY SOKAĞI,2016,809.89
108,KALYONCU KULLUĞU CADDESİ,2016,2159.72
109,KİRMAN SOKAĞI,2016,809.89
110,KÖMÜRCÜ ZEYNEL SOKAĞI,2016,809.89
111,KURDELA SOKAĞI,2016,1349.82
112,NİLGÜN SOKAĞI,2016,809.89
113,ÖMER HAYYAM CADDESİ,2016,3401.56
114,SAMANCI ALİ SOKAĞI,2016,809.89
115,SAMANCI FERHAT CADDESİ,2016,2699.65
116,SİMİTÇİ SOKAĞI,2016,809.89
117,TARLABAŞI BULVARI,2016,6047.21
118,TEKİR SOKAĞI,2016,809.89
119,TURUNÇ SOKAĞI,2016,809.89
120,AKKİRAZ SOKAĞI,2015,787.91
121,ATAMAN SOKAĞI,2015,787.91
122,BEYAZ YASEMİN SOKAĞI,2015,787.91
123,BİLGİN SOKAĞI,2015,556.79
124,CAMCI MUSA SOKAĞI,2015,1313.18
125,CEYLANIM SOKAĞI,2015,787.91
126,DÜĞÜN SOKAĞI,2015,556.79
127,EMİN CAMİİ SOKAĞI,2015,1680.88
128,GÜMÜŞ KÜPE SOKAĞI,2015,1103.07
129,HARMAN SOKAĞI,2015,787.91
130,İNCE KAŞ SOKAĞI,2015,2626.37
131,KAHYA BEY SOKAĞI,2015,787.91
132,KALYONCU KULLUĞU CADDESİ,2015,2101.1
133,KİRMAN SOKAĞI,2015,787.91
134,KÖMÜRCÜ ZEYNEL SOKAĞI,2015,787.91
135,KURDELA SOKAĞI,2015,1313.18
136,NİLGÜN SOKAĞI,2015,787.91
137,ÖMER HAYYAM CADDESİ,2015,3309.23
138,SAMANCI ALİ SOKAĞI,2015,787.91
139,SAMANCI FERHAT CADDESİ,2015,2626.37
140,SİMİTÇİ SOKAĞI,2015,787.91
141,TARLABAŞI BULVARI,2015,5883.08
142,TEKİR SOKAĞI,2015,787.91
143,TURUNÇ SOKAĞI,2015,787.91
144,AKKİRAZ SOKAĞI,2014,750.0
145,ATAMAN SOKAĞI,2014,750.0
146,BEYAZ YASEMİN SOKAĞI,2014,750.0
147,BİLGİN SOKAĞI,2014,530.0
148,CAMCI MUSA SOKAĞI,2014,1250.0
149,CEYLANIM SOKAĞI,2014,750.0
150,DÜĞÜN SOKAĞI,2014,530.0
151,EMİN CAMİİ SOKAĞI,2014,1600.0
152,GÜMÜŞ KÜPE SOKAĞI,2014,1050.0
153,HARMAN SOKAĞI,2014,750.0
154,İNCE KAŞ SOKAĞI,2014,2500.0
155,KAHYA BEY SOKAĞI,2014,750.0
156,KALYONCU KULLUĞU CADDESİ,2014,2000.0
157,KİRMAN SOKAĞI,2014,750.0
158,KÖMÜRCÜ ZEYNEL SOKAĞI,2014,750.0
159,KURDELA SOKAĞI,2014,1250.0
160,NİLGÜN SOKAĞI,2014,750.0
161,ÖMER HAYYAM CADDESİ,2014,3150.0
162,SAMANCI ALİ SOKAĞI,2014,750.0
163,SAMANCI FERHAT CADDESİ,2014,2500.0
164,SİMİTÇİ SOKAĞI,2014,750.0
165,TARLABAŞI BULVARI,2014,5600.0
166,TEKİR SOKAĞI,2014,750.0
167,TURUNÇ SOKAĞI,2014,750.0
168,AKKİRAZ SOKAĞI,2013,740.62
169,ATAMAN SOKAĞI,2013,740.62
170,BEYAZ YASEMİN SOKAĞI,2013,740.62
171,BİLGİN SOKAĞI,2013,524.61
172,CAMCI MUSA SOKAĞI,2013,1234.37
173,CEYLANIM SOKAĞI,2013,740.62
174,DÜĞÜN SOKAĞI,2013,524.61
175,EMİN CAMİİ SOKAĞI,2013,1573.82
176,GÜMÜŞ KÜPE SOKAĞI,2013,1049.21
177,HARMAN SOKAĞI,2013,740.62
178,İNCE KAŞ SOKAĞI,2013,2468.73
179,KAHYA BEY SOKAĞI,2013,740.62
180,KALYONCU KULLUĞU CADDESİ,2013,1974.99
181,KİRMAN SOKAĞI,2013,740.62
182,KÖMÜRCÜ ZEYNEL SOKAĞI,2013,740.62
183,KURDELA SOKAĞI,2013,1234.37
184,NİLGÜN SOKAĞI,2013,740.62
185,ÖMER HAYYAM CADDESİ,2013,3147.64
186,SAMANCI ALİ SOKAĞI,2013,740.62
187,SAMANCI FERHAT CADDESİ,2013,2468.73
188,SİMİTÇİ SOKAĞI,2013,740.62
189,TARLABAŞI BULVARI,2013,5554.64
190,TEKİR SOKAĞI,2013,740.62
191,TURUNÇ SOKAĞI,2013,740.62
192,AKKİRAZ SOKAĞI,2012,687.04
193,ATAMAN SOKAĞI,2012,687.04
194,BEYAZ YASEMİN SOKAĞI,2012,687.04
195,BİLGİN SOKAĞI,2012,486.66
196,CAMCI MUSA SOKAĞI,2012,1145.06
197,CEYLANIM SOKAĞI,2012,687.04
198,DÜĞÜN SOKAĞI,2012,486.66
199,EMİN CAMİİ SOKAĞI,2012,1459.95
200,GÜMÜŞ KÜPE SOKAĞI,2012,973.3
201,HARMAN SOKAĞI,2012,687.04
202,İNCE KAŞ SOKAĞI,2012,2290.11
203,KAHYA BEY SOKAĞI,2012,687.04
204,KALYONCU KULLUĞU CADDESİ,2012,1832.09
205,KİRMAN SOKAĞI,2012,687.04
206,KÖMÜRCÜ ZEYNEL SOKAĞI,2012,687.04
207,KURDELA SOKAĞI,2012,1145.06
208,NİLGÜN SOKAĞI,2012,687.04
209,ÖMER HAYYAM CADDESİ,2012,2919.89
210,SAMANCI ALİ SOKAĞI,2012,687.04
211,SAMANCI FERHAT CADDESİ,2012,2290.11
212,SİMİTÇİ SOKAĞI,2012,687.04
213,TARLABAŞI BULVARI,2012,5152.73
214,TEKİR SOKAĞI,2012,687.04
215,TURUNÇ SOKAĞI,2012,687.04
216,AKKİRAZ SOKAĞI,2011,623.1
217,ATAMAN SOKAĞI,2011,623.1
218,BEYAZ YASEMİN SOKAĞI,2011,623.1
219,BİLGİN SOKAĞI,2011,441.37
220,CAMCI MUSA SOKAĞI,2011,1038.5
221,CEYLANIM SOKAĞI,2011,623.1
222,DÜĞÜN SOKAĞI,2011,441.37
223,EMİN CAMİİ SOKAĞI,2011,1324.09
224,GÜMÜŞ KÜPE SOKAĞI,2011,882.73
225,HARMAN SOKAĞI,2011,623.1
226,İNCE KAŞ SOKAĞI,2011,2077.0
227,KAHYA BEY SOKAĞI,2011,623.1
228,KALYONCU KULLUĞU CADDESİ,2011,1661.6
229,KİRMAN SOKAĞI,2011,623.1
230,KÖMÜRCÜ ZEYNEL SOKAĞI,2011,623.1
231,KURDELA SOKAĞI,2011,1038.5
232,NİLGÜN SOKAĞI,2011,623.1
233,ÖMER HAYYAM CADDESİ,2011,2648.18
234,SAMANCI ALİ SOKAĞI,2011,623.1
235,SAMANCI FERHAT CADDESİ,2011,2077.0
236,SİMİTÇİ SOKAĞI,2011,623.1
