,sokak,yil,rayic
0,AĞAÇ ÇİLEĞİ SOKAĞI,2020,4395.9
1,AL HATUN SOKAĞI,2020,3977.6
2,AYNALI ÇEŞME CADDESİ,2020,5442.9
3,BALIK SOKAĞI,2020,5442.9
4,CAMCI MUSA SOKAĞI,2020,3348.9
5,ÇATIK KAŞ SOKAĞI,2020,3768.45
6,ÇEKİÇ SOKAĞI,2020,25124.24
7,DARACIK SOKAĞI,2020,5547.47
8,EMİN CAMİİ SOKAĞI,2020,3348.9
9,GÜMÜŞ KÜPE SOKAĞI,2020,2930.6
10,HAMALBAŞI CADDESİ,2020,6594.47
11,KALYONCU KULLUĞU CADDESİ,2020,4186.75
12,KAMER HATUN CADDESİ,2020,6594.47
13,KARAYEL SOKAĞI,2020,25124.24
14,KILIÇ ASLAN SOKAĞI,2020,3768.45
15,LÜLE SOKAĞI,2020,3768.45
16,MEŞRUTİYET CAD.,2020,31406.24
17,ÖMER HAYYAM CADDESİ,2020,6594.47
18,REFİK SAYDAM CADDESİ,2020,25124.24
19,SANTUR SOKAĞI,2020,3768.45
20,TARLABAŞI BULVARI,2020,11724.89
21,TUTKALCI SOKAĞI,2020,3768.45
22,AĞAÇ ÇİLEĞİ SOKAĞI,2019,3949.95
23,AL HATUN SOKAĞI,2019,3574.08
24,AYNALI ÇEŞME CADDESİ,2019,4890.73
25,BALIK SOKAĞI,2019,4890.73
26,CAMCI MUSA SOKAĞI,2019,3009.16
27,ÇATIK KAŞ SOKAĞI,2019,3386.15
28,ÇEKİÇ SOKAĞI,2019,22575.47
29,DARACIK SOKAĞI,2019,4984.7
30,EMİN CAMİİ SOKAĞI,2019,3009.16
31,GÜMÜŞ KÜPE SOKAĞI,2019,2633.3
32,HAMALBAŞI CADDESİ,2019,5925.48
33,KALYONCU KULLUĞU CADDESİ,2019,3762.01
34,KAMER HATUN CADDESİ,2019,5925.48
35,KARAYEL SOKAĞI,2019,22575.47
36,KILIÇ ASLAN SOKAĞI,2019,3386.15
37,LÜLE SOKAĞI,2019,3386.15
38,MEŞRUTİYET CAD.,2019,28220.18
39,ÖMER HAYYAM CADDESİ,2019,5925.48
40,REFİK SAYDAM CADDESİ,2019,22575.47
41,SANTUR SOKAĞI,2019,3386.15
42,TARLABAŞI BULVARI,2019,10535.44
43,TUTKALCI SOKAĞI,2019,3386.15
44,AĞAÇ ÇİLEĞİ SOKAĞI,2018,3531.0
45,AL HATUN SOKAĞI,2018,3195.0
46,AYNALI ÇEŞME CADDESİ,2018,4372.0
47,BALIK SOKAĞI,2018,4372.0
48,CAMCI MUSA SOKAĞI,2018,2690.0
49,ÇATIK KAŞ SOKAĞI,2018,3027.0
