,sokak,yil,rayic
0,ABDULLAH SOKAĞI,2020,15388.77
1,AĞA HAMAMI SOKAĞI,2020,10991.62
2,AĞAYI SEBİL SOKAĞI,2020,6594.47
3,ANADOLU SOKAĞI,2020,8793.05
4,BAHÇELİ HAMAM SOKAĞI,2020,10991.62
5,BALTACI ÇIKMAZI,2020,6594.47
6,BİLLURCU ÇIKMAZI,2020,6594.47
7,BİLLURCU SOKAĞI,2020,8793.05
8,BÜYÜK PARMAKKAPI SOK,2020,21984.49
9,ÇUKURLU ÇEŞME SOKAĞI,2020,10991.62
10,HASNUN GALİP SOKAĞI,2020,17587.34
11,HOCAZADE SOKAĞI,2020,13190.19
12,İPEK SOKAĞI,2020,15597.92
13,İSTİKLAL CADDESİ,2020,52343.73
14,KÜÇÜK PARMAK KAPI SOK.,2020,21984.49
15,LAPACI ÇIKMAZI,2020,6594.47
16,LİVA SOKAĞI,2020,8793.05
17,MAÇ ÇIKMAZI,2020,6594.47
18,MAÇ SOKAĞI,2020,8793.05
19,MEŞELİK SOKAĞI,2020,21984.49
20,MÜCADELE ÇIKMAZI,2020,6594.47
21,PEMBE ÇIKMAZI,2020,6594.47
22,SADRİ ALIŞIK SOKAĞI,2020,21984.49
23,SIRASELVİLER CADDESİ,2020,35594.23
24,TAKSİM KUYU SOKAĞI,2020,6594.47
25,TEL SOKAĞI,2020,10991.62
26,TURNACI BAŞI CADDESİ,2020,15597.92
27,ABDULLAH SOKAĞI,2019,13827.63
28,AĞA HAMAMI SOKAĞI,2019,9876.56
29,AĞAYI SEBİL SOKAĞI,2019,5925.48
30,ANADOLU SOKAĞI,2019,7901.02
31,BAHÇELİ HAMAM SOKAĞI,2019,9876.56
32,BALTACI ÇIKMAZI,2019,5925.48
33,BİLLURCU ÇIKMAZI,2019,5925.48
34,BİLLURCU SOKAĞI,2019,7901.02
35,BÜYÜK PARMAKKAPI SOK,2019,19754.24
36,ÇUKURLU ÇEŞME SOKAĞI,2019,9876.56
37,HASNUN GALİP SOKAĞI,2019,15803.16
38,HOCAZADE SOKAĞI,2019,11852.09
39,İPEK SOKAĞI,2019,14015.56
40,İSTİKLAL CADDESİ,2019,47033.63
41,KÜÇÜK PARMAK KAPI SOK.,2019,19754.24
42,LAPACI ÇIKMAZI,2019,5925.48
43,LİVA SOKAĞI,2019,7901.02
44,MAÇ ÇIKMAZI,2019,5925.48
45,MAÇ SOKAĞI,2019,7901.02
46,MEŞELİK SOKAĞI,2019,19754.24
47,MÜCADELE ÇIKMAZI,2019,5925.48
48,PEMBE ÇIKMAZI,2019,5925.48
49,SADRİ ALIŞIK SOKAĞI,2019,19754.24
50,SIRASELVİLER CADDESİ,2019,31983.32
51,TAKSİM KUYU SOKAĞI,2019,5925.48
52,TEL SOKAĞI,2019,9876.56
53,TURNACI BAŞI CADDESİ,2019,14015.56
54,ABDULLAH SOKAĞI,2018,12361.0
55,AĞA HAMAMI SOKAĞI,2018,8829.0
56,AĞAYI SEBİL SOKAĞI,2018,5297.0
57,ANADOLU SOKAĞI,2018,7063.0
58,BAHÇELİ HAMAM SOKAĞI,2018,8829.0
