,sokak,yil,rayic
0,AĞAÇ TULUMBA SOKAĞI,2020,15597.92
1,AKÇE SOKAĞI,2020,15597.92
2,ALİ PAŞA DEĞİRMENİ SOKAĞI,2020,19785.92
3,ALİ PAŞA MEDRESESİ SOKAĞI,2020,19785.92
4,BAŞ CERRAH SOKAĞI,2020,15597.92
5,ÇELEBİLER SOKAĞI,2020,19785.92
6,DEMİRCİLER SOKAĞI,2020,19785.92
7,DENİZCİLER SOKAĞI,2020,24183.06
8,DERİCİLER SOKAĞI,2020,15597.92
9,DÖŞEMECİ SOKAĞI,2020,21984.49
10,ERİŞTECİ SOKAĞI,2020,21984.49
11,FRANSIZ ÇIKMAZI,2020,19785.92
12,FRANSIZ GEÇİDİ SOKAĞI,2020,19785.92
13,GALATA ŞARAP İSKELESİ SOKAĞI,2020,21984.49
14,GECE KUŞU SOKAĞI,2020,19785.92
15,GÜMRÜK SOKAĞI,2020,21984.49
16,GÜMÜŞ HALKA SOKAĞI,2020,21984.49
17,HALİL PAŞA SOKAĞI,2020,17587.34
18,HAMAM SOKAĞI,2020,21984.49
19,HAVYAR HAN İÇİ SOKAĞI,2020,21984.49
20,HOCA TAHSİN SOK.,2020,19785.92
21,KARAALİ KAPTAN SOKAĞI,2020,19785.92
22,KARANLIK FIRIN SOKAĞI,2020,15597.92
23,KARANTİNA SOKAĞI,2020,19785.92
24,KARATAVUK SOKAĞI,2020,15597.92
25,KEMANKEŞ CAD.,2020,26381.64
26,KEMERALTI CADDESİ,2020,35594.23
27,KILIÇ ALİ PAŞA CADDESİ,2020,26381.64
28,KILIÇ ALİPAŞA MESCİDİ SOK,2020,15597.92
29,KÖLEMEN SOKAĞI,2020,19785.92
30,MALİYE CADDESİ,2020,31406.24
31,MANGIR SOKAĞI,2020,19785.92
32,MUMHANE CADDESİ,2020,26381.64
33,MURAKIP SOKAĞI,2020,17587.34
34,NECATİ BEY CADDESİ,2020,31406.24
35,ODUN MEYDANI SK.,2020,15597.92
36,RIHTIM ARALIĞI,2020,26381.64
37,RIHTIM CADDESİ,2020,33500.24
38,TOPHANE İSKELE CADDESİ,2020,26381.64
39,YEMİŞÇİ HASAN SOK.,2020,19785.92
40,YUVA SOKAĞI,2020,21984.49
41,AĞAÇ TULUMBA SOKAĞI,2019,14015.56
42,AKÇE SOKAĞI,2019,14015.56
43,ALİ PAŞA DEĞİRMENİ SOKAĞI,2019,17778.7
44,ALİ PAŞA MEDRESESİ SOKAĞI,2019,17778.7
45,BAŞ CERRAH SOKAĞI,2019,14015.56
46,ÇELEBİLER SOKAĞI,2019,17778.7
47,DEMİRCİLER SOKAĞI,2019,17778.7
48,DENİZCİLER SOKAĞI,2019,21729.77
49,DERİCİLER SOKAĞI,2019,14015.56
50,DÖŞEMECİ SOKAĞI,2019,19754.24
51,ERİŞTECİ SOKAĞI,2019,19754.24
52,FRANSIZ ÇIKMAZI,2019,17778.7
53,FRANSIZ GEÇİDİ SOKAĞI,2019,17778.7
54,GALATA ŞARAP İSKELESİ SOKAĞI,2019,19754.24
55,GECE KUŞU SOKAĞI,2019,17778.7
56,GÜMRÜK SOKAĞI,2019,19754.24
57,GÜMÜŞ HALKA SOKAĞI,2019,19754.24
58,HALİL PAŞA SOKAĞI,2019,15803.16
59,HAMAM SOKAĞI,2019,19754.24
60,HAVYAR HAN İÇİ SOKAĞI,2019,19754.24
61,HOCA TAHSİN SOK.,2019,17778.7
62,KARAALİ KAPTAN SOKAĞI,2019,17778.7
63,KARANLIK FIRIN SOKAĞI,2019,14015.56
