,sokak,yil,rayic
0,AHMET TURAN SOKAĞI,2020,878.93
1,AHMET TURHAN ARALIĞI,2020,878.93
2,AKASYALAR ÇIKMAZI,2020,470.58
3,AKASYALAR SOKAĞI,2020,585.12
4,AKIN SOKAĞI,2020,2197.32
5,AYNALI KAVAK CADDESİ,2020,2197.32
6,AZİZ ÇIKMAZI,2020,2721.45
7,AZİZ SOKAĞI,2020,2721.45
8,BACTAR SOKAĞI,2020,2197.32
9,BAHÇELER İÇİ SOKAĞI,2020,470.58
10,BAHÇELER ÜSTÜ SOKAĞI,2020,585.12
11,BASMACI RUŞEN SOKAĞI,2020,2721.45
12,BÜLBÜL SOKAĞI,2020,470.58
13,BÜYÜKTAŞ SOKAĞI,2020,470.58
14,CAMİ ARALIĞI,2020,2721.45
15,CAVKAYTAR SOKAĞI,2020,470.58
16,ÇAKIRGÖZ SOKAĞI,2020,2197.32
17,ÇAMLICA SOKAĞI,2020,2197.32
18,ÇEKİRDEKÇİ SOKAĞI,2020,2197.32
19,ÇİĞDEM SOKAĞI,2020,2721.45
20,ÇÖP ÜSTÜ SOKAĞI,2020,2721.45
21,DERE SOKAĞI,2020,2197.32
22,DOĞA SOKAĞI,2020,470.58
23,DONANMA CADDESİ,2020,2197.32
24,DOYMAZ DERE ÇIKMAZI,2020,470.58
25,DOYMAZ DERE SOKAĞI,2020,470.58
26,DURU PINAR SOKAĞI,2020,585.12
27,DURU SOKAĞI,2020,2721.45
28,DUTLU SOKAĞI,2020,470.58
29,DÜNDAR SOKAĞI,2020,2721.45
30,FATİH SULTAN MİNBERİ CADDESİ,2020,1422.97
31,FISTIKÇI SOKAĞI,2020,2197.32
32,FLORYA SOKAĞI,2020,470.58
33,GAZİ SOKAĞI,2020,2197.32
34,GECELER SOKAĞI,2020,470.58
35,GEÇİT SOKAĞI,2020,470.58
36,GÜLBAHÇE SOKAĞI,2020,470.58
37,GÜLER SOKAĞI,2020,470.58
38,GÜLERYÜZ SOKAĞI,2020,470.58
39,GÜNEŞ SOKAĞI,2020,470.58
40,GÜR SOKAĞI,2020,585.12
41,GÜVENLİ SOKAĞI,2020,585.12
42,HACI ŞABAN MEKTEBİ SOKAĞI,2020,2197.32
43,HAN SOKAĞI,2020,585.12
44,HARAP ÇEŞME ARALIĞI,2020,2721.45
45,HARAP ÇEŞME ÇIKMAZI,2020,2721.45
46,HARAP ÇEŞME SOKAĞI,2020,2721.45
47,HASBAHÇE ARALIĞI,2020,470.58
48,HASBAHÇE SOKAĞI,2020,585.12
49,HASKÖY CADDESİ,2020,6594.47
50,HASKÖY CAMİİ SOKAĞI,2020,2197.32
51,HASKÖY FIRINI SOKAĞI,2020,3348.9
52,HASKÖY KÖPRÜLÜ SOKAĞI,2020,2197.32
53,HASKÖY MEKTEBİ SOKAĞI,2020,2721.45
54,HASKÖY MEYDANI SOKAĞI,2020,2197.32
55,HAZAR SOKAĞI,2020,470.58
56,İLİM SOKAĞI,2020,2197.32
57,KADRİYE SOKAĞI,2020,2197.32
58,KARAİM ÇIKMAZI,2020,2197.32
59,KARDEŞLER SOKAĞI,2020,470.58
60,KAYNAK SOKAĞI,2020,585.12
61,KEÇECİ PİRİ CAMİ SOKAĞI,2020,2197.32
62,KEÇECİ PİRİ CAMİ SOKAĞI,2020,585.12
63,KEÇECİPİRİ CAMİ ARALIĞI,2020,2721.45
64,KİLİSE ARALIĞI,2020,2721.45
65,KİRACI ODALARI SOKAĞI,2020,878.93
66,KİRACI ODALARI SOKAĞI,2020,2197.32
67,KİRAZ SOKAĞI,2020,585.12
68,KİTABİ SOKAĞI,2020,2197.32
69,KONUK ÇIKMAZI,2020,470.58
70,KONUK SOKAĞI,2020,470.58
71,KÖMÜRCÜ ABDİ SOKAĞI,2020,2197.32
72,KULÜBE SOKAĞI,2020,3348.9
73,KÜÇÜK KÖPRÜLÜ SOKAĞI,2020,2197.32
74,LEYLAK SOKAĞI,2020,470.58
75,MAHLÜL SOKAĞI,2020,2721.45
76,MEMURLAR SOKAĞI,2020,585.12
77,MERHAMET SOKAĞI,2020,2721.45
78,MEŞVERET SOKAĞI,2020,2197.32
79,MEZARLIK ÜSTÜ SOKAĞI,2020,2197.32
80,MİNE ÇİÇEĞİ SOKAĞI,2020,2197.32
81,MİSAFİR SOKAĞI,2020,2197.32
82,MUSLUKLU ÇEŞME SOKAĞI,2020,2197.32
