,sokak,yil,rayic
0,AKARSU ÇIKMAZI,2020,14237.19
1,AKARSU YOKUŞU,2020,15597.92
2,ALTIN BİLEZİK SOKAĞI,2020,7746.05
3,AMERİKAN PAZARI SOKAĞI,2020,26381.64
4,ANAHTAR SOKAĞI,2020,6594.47
5,BALABANBEY ÇIKMAZI,2020,10991.62
6,BATARYA SOKAĞI,2020,7746.05
7,BOĞAZKESEN CADDESİ,2020,13190.19
8,CİHANGİR YOKUŞU,2020,17587.34
9,COŞKUN SOKAĞI,2020,10991.62
10,DEFTERDAR YOKUŞU,2020,17587.34
11,ENLİ YOKUŞU,2020,19785.92
12,HASİBE HANIM SOKAĞI,2020,15597.92
13,HAVYAR SOKAĞI,2020,14237.19
14,İLYAS ÇELEBİ CAMİİ SOKAĞI,2020,13190.19
15,İLYAS ÇELEBİ SOKAĞI,2020,15597.92
16,KAMACI USTASI SOKAĞI,2020,10991.62
17,KASATURA SOKAĞI,2020,6594.47
18,KEMANKEŞ CAD.,2020,26381.64
19,KILIÇ ALİ PAŞA CADDESİ,2020,26381.64
20,KUMRULU SOKAĞI,2020,15597.92
21,KUMRULU YOKUŞU,2020,15597.92
22,MATARA SOKAĞI,2020,17587.34
23,MECLİS-İ MEBUSAN CAD.,2020,38733.99
24,MİRALAY ÇIKMAZI,2020,15597.92
25,MÜNİR ÖZKUL SOKAĞI,2020,17587.34
26,RIFKI EFENDİ SOKAĞI,2020,15597.92
27,SALI PAZARI ÇIKMAZI,2020,17587.34
28,SALI PAZARI YOKUŞU,2020,17587.34
29,SANATKARLAR CADDESİ,2020,21984.49
30,SANATKARLAR MEKTEBİ SOKAĞI,2020,17587.34
31,SIRASELVİLER CADDESİ,2020,35594.23
32,SUSAM SOKAĞI,2020,17587.34
33,ŞİMŞİRCİ SOKAĞI,2020,17587.34
34,TOPHANE İSKELE CADDESİ,2020,26381.64
35,TÜFEKÇİ SALİH SOKAĞI,2020,6594.47
36,YENİ YUVA SOKAĞI,2020,17587.34
37,AKARSU ÇIKMAZI,2019,12792.88
38,AKARSU YOKUŞU,2019,14015.56
39,ALTIN BİLEZİK SOKAĞI,2019,6960.24
40,AMERİKAN PAZARI SOKAĞI,2019,23705.31
41,ANAHTAR SOKAĞI,2019,5925.48
42,BALABANBEY ÇIKMAZI,2019,9876.56
43,BATARYA SOKAĞI,2019,6960.24
44,BOĞAZKESEN CADDESİ,2019,11852.09
45,CİHANGİR YOKUŞU,2019,15803.16
46,COŞKUN SOKAĞI,2019,9876.56
47,DEFTERDAR YOKUŞU,2019,15803.16
48,ENLİ YOKUŞU,2019,17778.7
49,HASİBE HANIM SOKAĞI,2019,14015.56
50,HAVYAR SOKAĞI,2019,12792.88
51,İLYAS ÇELEBİ CAMİİ SOKAĞI,2019,11852.09
52,İLYAS ÇELEBİ SOKAĞI,2019,14015.56
53,KAMACI USTASI SOKAĞI,2019,9876.56
54,KASATURA SOKAĞI,2019,5925.48
55,KEMANKEŞ CAD.,2019,23705.31
56,KILIÇ ALİ PAŞA CADDESİ,2019,23705.31
57,KUMRULU SOKAĞI,2019,14015.56
58,KUMRULU YOKUŞU,2019,14015.56
59,MATARA SOKAĞI,2019,15803.16
60,MECLİS-İ MEBUSAN CAD.,2019,34804.55
61,MİRALAY ÇIKMAZI,2019,14015.56
62,MÜNİR ÖZKUL SOKAĞI,2019,15803.16
63,RIFKI EFENDİ SOKAĞI,2019,14015.56
64,SALI PAZARI ÇIKMAZI,2019,15803.16
65,SALI PAZARI YOKUŞU,2019,15803.16
66,SANATKARLAR CADDESİ,2019,19754.24
67,SANATKARLAR MEKTEBİ SOKAĞI,2019,15803.16
68,SIRASELVİLER CADDESİ,2019,31983.32
69,SUSAM SOKAĞI,2019,15803.16
70,ŞİMŞİRCİ SOKAĞI,2019,15803.16
71,TOPHANE İSKELE CADDESİ,2019,23705.31
72,TÜFEKÇİ SALİH SOKAĞI,2019,5925.48
73,YENİ YUVA SOKAĞI,2019,15803.16
74,AKARSU ÇIKMAZI,2018,11436.0
75,AKARSU YOKUŞU,2018,12529.0
76,ALTIN BİLEZİK SOKAĞI,2018,6222.0
77,AMERİKAN PAZARI SOKAĞI,2018,21191.0
78,ANAHTAR SOKAĞI,2018,5297.0
79,BALABANBEY ÇIKMAZI,2018,8829.0
80,BATARYA SOKAĞI,2018,6222.0
81,BOĞAZKESEN CADDESİ,2018,10595.0
82,CİHANGİR YOKUŞU,2018,14127.0
83,COŞKUN SOKAĞI,2018,8829.0
84,DEFTERDAR YOKUŞU,2018,14127.0
85,ENLİ YOKUŞU,2018,15893.0
86,HASİBE HANIM SOKAĞI,2018,12529.0
87,HAVYAR SOKAĞI,2018,11436.0
88,İLYAS ÇELEBİ CAMİİ SOKAĞI,2018,10595.0
89,İLYAS ÇELEBİ SOKAĞI,2018,12529.0
90,KAMACI USTASI SOKAĞI,2018,8829.0
91,KASATURA SOKAĞI,2018,5297.0
92,KEMANKEŞ CAD.,2018,21191.0
93,KILIÇ ALİ PAŞA CADDESİ,2018,21191.0
94,KUMRULU SOKAĞI,2018,12529.0
95,KUMRULU YOKUŞU,2018,12529.0
96,MATARA SOKAĞI,2018,14127.0
97,MECLİS-İ MEBUSAN CAD.,2018,31113.0
98,MİRALAY ÇIKMAZI,2018,12529.0
99,MÜNİR ÖZKUL SOKAĞI,2018,14127.0
100,RIFKI EFENDİ SOKAĞI,2018,12529.0
101,SALI PAZARI ÇIKMAZI,2018,14127.0
102,SALI PAZARI YOKUŞU,2018,14127.0
103,SANATKARLAR CADDESİ,2018,17659.0
104,SANATKARLAR MEKTEBİ SOKAĞI,2018,14127.0
105,SIRASELVİLER CADDESİ,2018,28591.0
106,SUSAM SOKAĞI,2018,14127.0
107,ŞİMŞİRCİ SOKAĞI,2018,14127.0
108,TOPHANE İSKELE CADDESİ,2018,21191.0
109,TÜFEKÇİ SALİH SOKAĞI,2018,5297.0
110,YENİ YUVA SOKAĞI,2018,14127.0
111,AKARSU ÇIKMAZI,2017,7624.28
112,AKARSU YOKUŞU,2017,8353.08
113,ALTIN BİLEZİK SOKAĞI,2017,4148.51
114,AMERİKAN PAZARI SOKAĞI,2017,14127.35
115,ANAHTAR SOKAĞI,2017,3531.83
116,BALABANBEY ÇIKMAZI,2017,5886.39
117,BATARYA SOKAĞI,2017,4148.51
118,BOĞAZKESEN CADDESİ,2017,7063.67
119,CİHANGİR YOKUŞU,2017,9418.23
120,COŞKUN SOKAĞI,2017,5886.39
121,DEFTERDAR YOKUŞU,2017,9418.23
122,ENLİ YOKUŞU,2017,10595.51
123,HASİBE HANIM SOKAĞI,2017,8353.08
124,HAVYAR SOKAĞI,2017,7624.28
125,İLYAS ÇELEBİ CAMİİ SOKAĞI,2017,7063.67
126,İLYAS ÇELEBİ SOKAĞI,2017,8353.08
127,KAMACI USTASI SOKAĞI,2017,5886.39
128,KASATURA SOKAĞI,2017,3531.83
129,KEMANKEŞ CAD.,2017,14127.35
130,KILIÇ ALİ PAŞA CADDESİ,2017,14127.35
131,KUMRULU SOKAĞI,2017,8353.08
132,KUMRULU YOKUŞU,2017,8353.08
133,MATARA SOKAĞI,2017,9418.23
134,MECLİS-İ MEBUSAN CAD.,2017,20742.55
135,MİRALAY ÇIKMAZI,2017,8353.08
136,MÜNİR ÖZKUL SOKAĞI,2017,9418.23
137,RIFKI EFENDİ SOKAĞI,2017,8353.08
138,SALI PAZARI ÇIKMAZI,2017,9418.23
139,SALI PAZARI YOKUŞU,2017,9418.23
140,SANATKARLAR CADDESİ,2017,11772.79
141,SANATKARLAR MEKTEBİ SOKAĞI,2017,9418.23
142,SIRASELVİLER CADDESİ,2017,19060.72
143,SUSAM SOKAĞI,2017,9418.23
144,ŞİMŞİRCİ SOKAĞI,2017,9418.23
145,TOPHANE İSKELE CADDESİ,2017,14127.35
146,TÜFEKÇİ SALİH SOKAĞI,2017,3531.83
147,YENİ YUVA SOKAĞI,2017,9418.23
148,AKARSU ÇIKMAZI,2016,7343.05
149,AKARSU YOKUŞU,2016,8044.95
150,ALTIN BİLEZİK SOKAĞI,2016,3995.48
151,AMERİKAN PAZARI SOKAĞI,2016,13606.24
152,ANAHTAR SOKAĞI,2016,3401.56
153,BALABANBEY ÇIKMAZI,2016,5669.26
154,BATARYA SOKAĞI,2016,3995.48
155,BOĞAZKESEN CADDESİ,2016,6803.12
156,CİHANGİR YOKUŞU,2016,9070.82
157,COŞKUN SOKAĞI,2016,5669.26
158,DEFTERDAR YOKUŞU,2016,9070.82
159,ENLİ YOKUŞU,2016,10204.68
160,HASİBE HANIM SOKAĞI,2016,8044.95
161,HAVYAR SOKAĞI,2016,7343.05
162,İLYAS ÇELEBİ CAMİİ SOKAĞI,2016,6803.12
163,İLYAS ÇELEBİ SOKAĞI,2016,8044.95
164,KAMACI USTASI SOKAĞI,2016,5669.26
165,KASATURA SOKAĞI,2016,3401.56
166,KEMANKEŞ CAD.,2016,13606.24
167,KILIÇ ALİ PAŞA CADDESİ,2016,13606.24
168,KUMRULU SOKAĞI,2016,8044.95
169,KUMRULU YOKUŞU,2016,8044.95
170,MATARA SOKAĞI,2016,9070.82
171,MECLİS-İ MEBUSAN CAD.,2016,19977.41
172,MİRALAY ÇIKMAZI,2016,8044.95
173,MÜNİR ÖZKUL SOKAĞI,2016,9070.82
174,RIFKI EFENDİ SOKAĞI,2016,8044.95
175,SALI PAZARI ÇIKMAZI,2016,9070.82
176,SALI PAZARI YOKUŞU,2016,9070.82
177,SANATKARLAR CADDESİ,2016,11338.53
178,SANATKARLAR MEKTEBİ SOKAĞI,2016,9070.82
179,SIRASELVİLER CADDESİ,2016,18357.62
180,SUSAM SOKAĞI,2016,9070.82
