,sokak,yil,rayic
0,ABDÜLHAK HAMİT CADDESİ,2020,46062.98
1,ANA ÇEŞMESİ SOKAĞI,2020,13190.19
2,ANIT CADDESİ,2020,56531.73
3,AŞIKLAR SOKAĞI,2020,2197.32
4,AYDEDE CADDESİ,2020,46062.98
5,BÜYÜK ŞİŞHANE SOKAĞI,2020,2197.32
6,CAMBAZOĞLU SOKAĞI,2020,2197.32
7,CUMHURİYET CADDESİ,2020,46062.98
8,ÇAYLAK SOKAĞI,2020,2197.32
9,DOLAPDERE TAKSİM CADDESİ,2020,10991.62
10,DUVARCI ADEM SOKAĞI,2020,2197.32
11,FARABİ SOKAĞI,2020,2197.32
12,FERİDİYE CADDESİ,2020,6594.47
13,IRMAK CADDESİ,2020,6594.47
14,İSTİKLAL CADDESİ,2020,52343.73
15,KILBURNU SOKAĞI,2020,2197.32
16,KÜÇÜK MUMHANE SOKAĞI,2020,2197.32
17,KÜÇÜK ŞİŞHANE SOKAĞI,2020,2197.32
18,LAMARTİN CADDESİ,2020,48156.98
19,NİZAMİYE CADDESİ,2020,48156.98
20,RECEP PAŞA CADDESİ,2020,48156.98
21,SIRASELVİLER CADDESİ,2020,48156.98
22,ŞEHİT MUHTAR BEY CADDESİ,2020,48156.98
23,TAKSİM CADDESİ,2020,13190.19
24,TAKSİM ÇEŞMESİ SOKAĞI,2020,2197.32
25,TARLABAŞI BULVARI,2020,41874.98
26,TAVŞAN SOKAĞI,2020,2197.32
27,TOPÇU CADDESİ,2020,48156.98
28,UZUNCA SOKAĞI,2020,48156.98
29,YEDİ KUYULAR CADDESİ,2020,46062.98
30,YENİ KAFA SOKAĞI,2020,2197.32
31,ABDÜLHAK HAMİT CADDESİ,2019,41390.05
32,ANA ÇEŞMESİ SOKAĞI,2019,11852.09
33,ANIT CADDESİ,2019,50796.77
34,AŞIKLAR SOKAĞI,2019,1974.41
35,AYDEDE CADDESİ,2019,41390.05
