,sokak,yil,rayic
0,ARDA CADDESİ,2020,4395.9
1,DOĞRAMACI KEMAL SOKAĞI,2020,3348.9
2,DONANMA CADDESİ,2020,6594.47
3,DOYMAZ DERE SOKAĞI,2020,470.58
4,DUT DİBİ ARALIĞI,2020,3348.9
5,DUT DİBİ SOKAĞI,2020,3348.9
6,EBE HATUN ÇIKMAZI,2020,3348.9
7,EMİN ÇEŞMESİ ARALIĞI,2020,3348.9
8,EMİN ÇEŞMESİ SOKAĞI,2020,3348.9
9,EMİR EFENDİ CAMİ SOKAĞI,2020,3348.9
10,EYÜP PAŞA SOKAĞI,2020,3348.9
11,HALİL EFENDİ ÇIKMAZI,2020,3348.9
12,HASBAHÇE SOKAĞI,2020,585.12
13,İBADULLAH CAMİİ SOKAĞI,2020,3348.9
14,İBADULLAH SOKAĞI,2020,3348.9
15,KADI MEHMET CADDESİ,2020,3977.6
16,KARAKOL SOKAĞI,2020,3348.9
17,KASIMPAŞA HASKÖY YOLU,2020,6594.47
18,KASIMPAŞA KABRİSTANI SOKAĞI,2020,4395.9
19,KULAKSIZ CADDESİ,2020,3348.9
20,KULAKSIZ ÇEŞME SOKAĞI,2020,3348.9
21,KULAKSIZ TEKKESİ ÇIKMAZI,2020,2197.32
22,KULAKSIZ YAĞHANESİ ARALIĞI,2020,2197.32
23,KULAKSIZ YAĞHANESİ SOKAĞI,2020,2197.32
24,LAMİ ÇELEBİ ÇIKMAZI,2020,2197.32
25,MABUT LİZBUT SOKAĞI,2020,3348.9
26,NALINCI BAYIRI SOKAĞI,2020,4395.9
27,NALINCI MEKTEBİ SOKAĞI,2020,3348.9
28,NİSA MEKTEBİ ÇIKMAZI,2020,3348.9
29,NİSA MEKTEBİ SOKAĞI,2020,3348.9
30,OKÇU YÜCEL SOKAĞI,2020,3768.45
31,PAŞA YOKUŞU,2020,3977.6
32,PİYADE SOKAĞI,2020,3348.9
33,SEFERİKOZ SOKAĞI,2020,5547.47
34,SEVGİ SOKAĞI,2020,3348.9
35,SEYİD ALİ MESCİDİ SOKAĞI,2020,3348.9
36,ŞİMAL YILDIZI SOKAĞI,2020,3348.9
37,TEK MİNARE DİKİ SOKAĞI,2020,2197.32
38,TEKKE SOKAĞI,2020,1779.02
39,UZUN SOKAĞI,2020,470.58
40,YENİ DERE SOKAĞI,2020,3348.9
41,ZİNDAN ARKASI SOKAĞI,2020,3348.9
42,ARDA CADDESİ,2019,3949.95
43,DOĞRAMACI KEMAL SOKAĞI,2019,3009.16
44,DONANMA CADDESİ,2019,5925.48
45,DOYMAZ DERE SOKAĞI,2019,422.84
46,DUT DİBİ ARALIĞI,2019,3009.16
47,DUT DİBİ SOKAĞI,2019,3009.16
48,EBE HATUN ÇIKMAZI,2019,3009.16
49,EMİN ÇEŞMESİ ARALIĞI,2019,3009.16
50,EMİN ÇEŞMESİ SOKAĞI,2019,3009.16
51,EMİR EFENDİ CAMİ SOKAĞI,2019,3009.16
