,sokak,yil,rayic
0,ACI ÇEŞME YOKUŞU,2020,6594.47
1,ADİLE NAŞİT SOKAĞI,2020,6594.47
2,AĞA HAMAMI SOKAĞI,2020,10991.62
3,AĞA KÜLHANI SOKAĞI,2020,6594.47
4,ALTI PATLAR SOKAĞI,2020,6594.47
5,ALTIPATLAR ÇIKMAZI,2020,6594.47
6,ALYON GEÇİDİ SOKAĞI,2020,8793.05
7,AYHAN IŞIK SOKAĞI,2020,10991.62
8,BAŞ AĞA ÇEŞMESİ SOKAĞI,2020,6594.47
9,ÇAPANOĞLU SOKAĞI,2020,6594.47
10,ÇUBUKÇU ÇIKMAZI,2020,6594.47
11,ÇUKUR CUMA CADDESİ,2020,10991.62
12,ÇUKUR CUMA CAMİ SOKAĞI,2020,6594.47
13,EROL TAŞ SOKAĞI,2020,6594.47
14,FAİK PAŞA CADDESİ,2020,8793.05
15,FİRUZAĞA CAMİİ SOKAĞI,2020,10991.62
16,FUAT UZKINAY SOKAĞI,2020,10991.62
17,GAZETECİ EROL DERNEK SOKAĞI,2020,13190.19
18,GÜLLABİCİ SOKAĞI,2020,6594.47
19,GÜLÜMSEYEN ÇIKMAZI,2020,8793.05
20,HACIOĞLU SOKAĞI,2020,6594.47
21,HAYRİYE CADDESİ,2020,8793.05
22,İSTİKLAL CADDESİ,2020,52343.73
23,KARTAL SOKAĞI,2020,10991.62
24,KOCAAĞA SOKAĞI,2020,6594.47
25,LİVA SOKAĞI,2020,8793.05
26,OSMAN HACI ÇIKMAZI,2020,8793.05
27,SADRİ ALIŞIK SOKAĞI,2020,21984.49
28,SIRASELVİLER CADDESİ,2020,35594.23
29,TAKTAKİ YOKUŞU,2020,6594.47
30,TURNACI BAŞI CADDESİ,2020,15597.92
31,YADİGAR SOKAĞI,2020,6594.47
32,YENİ ÇARŞI CADDESİ,2020,17587.34
33,ACI ÇEŞME YOKUŞU,2019,5925.48
34,ADİLE NAŞİT SOKAĞI,2019,5925.48
35,AĞA HAMAMI SOKAĞI,2019,9876.56
36,AĞA KÜLHANI SOKAĞI,2019,5925.48
37,ALTI PATLAR SOKAĞI,2019,5925.48
38,ALTIPATLAR ÇIKMAZI,2019,5925.48
39,ALYON GEÇİDİ SOKAĞI,2019,7901.02
40,AYHAN IŞIK SOKAĞI,2019,9876.56
41,BAŞ AĞA ÇEŞMESİ SOKAĞI,2019,5925.48
42,ÇAPANOĞLU SOKAĞI,2019,5925.48
43,ÇUBUKÇU ÇIKMAZI,2019,5925.48
44,ÇUKUR CUMA CADDESİ,2019,9876.56
45,ÇUKUR CUMA CAMİ SOKAĞI,2019,5925.48
46,EROL TAŞ SOKAĞI,2019,5925.48
47,FAİK PAŞA CADDESİ,2019,7901.02
48,FİRUZAĞA CAMİİ SOKAĞI,2019,9876.56
