,sokak,yil,rayic
0,AĞAÇ KÖPRÜ SOKAĞI,2020,5547.47
1,ALTIN TOP SOKAĞI,2020,3768.45
2,BAHÇE İÇİ SOKAĞI,2020,4920.02
3,BAHRİYE CADDESİ,2020,13190.19
4,BAYRAM YERİ SOKAĞI,2020,4395.9
5,BOSTAN ÇIKMAZI,2020,4395.9
6,BURAKCAN KARAMANOĞLU SOKAĞI,2020,4395.9
7,CAMCI ÇIKMAZI,2020,3348.9
8,DEĞİRMEN ARKASI SOKAĞI,2020,4395.9
9,DEREBOYU CADDESİ,2020,6594.47
10,FİŞEKHANE DERESİ CADDESİ,2020,6594.47
11,GEDİK ABDİ CAMİİ ÇIKMAZI,2020,4920.02
12,HAKİM SOKAĞI,2020,3348.9
13,KASIMPAŞA AKARCASI SOKAĞI,2020,3348.9
14,KASIMPAŞA FIRINI SOKAĞI,2020,3348.9
15,KASIMPAŞA ZİNCİRLİKUYU CADDESİ,2020,5547.47
16,KIZILAY MEYDANI CADDESİ,2020,6594.47
17,KUTU ÇIKMAZI,2020,3348.9
18,KUTUCU ÇIKMAZI,2020,4395.9
19,KÜREKÇİ ÇIKMAZI,2020,4395.9
20,MAKARACI ÇIKMAZI,2020,3348.9
21,MEYDAN SOKAĞI,2020,3348.9
22,MUHALLEBİCİ ÇIKMAZI,2020,4395.9
23,MÜMEYYİZ ÇIKMAZI,2020,3348.9
24,NALINCI BAYIRI SOKAĞI,2020,4395.9
25,ORBAY SOKAĞI,2020,3348.9
26,PİŞMANİYE CAMİİ SOKAĞI,2020,4395.9
27,PİŞMANİYE SOKAĞI,2020,4395.9
28,PİYALE DEĞİRMEN SOKAĞI,2020,2616.87
29,PİYALEPAŞA BULVARI,2020,7014.02
30,SAKALAR ÇIKMAZI,2020,3348.9
31,TAHTA KADI SOKAĞI,2020,3348.9
32,TOPRAK TABYA SOKAĞI,2020,4395.9
33,TULUMBACI ÇIKMAZI,2020,3348.9
34,YENİ YOL ARA SOKAĞI,2020,4395.9
35,YOLCU SOKAĞI,2020,4395.9
36,ZİNCİRLİKUYU CAMİİ ÇIKMAZI,2020,4395.9
37,ZİYAFET SOKAĞI,2020,3348.9
