,sokak,yil,rayic
0,ALAGEYİK SOKAĞI,2020,17587.34
1,ALİ HOCA ARALIĞI,2020,5547.47
2,ARAP OĞLAN SOKAĞI,2020,17587.34
3,ARŞIN SOKAĞI,2020,17587.34
4,AYNALI LOKANTA SOKAĞI,2020,17587.34
5,CENGİZ SOKAĞI,2020,17587.34
6,GALİP DEDE CADDESİ,2020,21984.49
7,HOCA ALİ SOKAĞI,2020,6594.47
8,KADEM SOKAĞI,2020,21984.49
9,KARAOĞLAN SOKAĞI,2020,26381.64
10,KEMERALTI CADDESİ,2020,35594.23
11,KEMERALTI KUYU SOKAĞI,2020,19785.92
12,LEBLEBİCİ ŞABAN SOKAĞI,2020,21984.49
13,LÜLECİ HENDEK CADDESİ,2020,10991.62
14,MALİYE CADDESİ,2020,31406.24
15,NECATİ BEY CADDESİ,2020,31406.24
16,REVANİ SOKAĞI,2020,8793.05
17,SERÇE SOKAĞI,2020,17587.34
18,SERDAR-I EKREM CADDESİ,2020,10991.62
19,ŞAHKAPISI SOKAĞI,2020,13190.19
20,TATAR BEYİ SOKAĞI,2020,6594.47
21,TERSANE KAVŞAĞI BAĞLANTI YOLU,2020,28474.39
22,YÜKSEK KALDIRIM CADDESİ,2020,21984.49
23,YÜKSEK KALDIRIM ÇIKMAZI,2020,21984.49
24,ZÜRAFA SOKAĞI,2020,17587.34
25,ALAGEYİK SOKAĞI,2019,15803.16
26,ALİ HOCA ARALIĞI,2019,4984.7
27,ARAP OĞLAN SOKAĞI,2019,15803.16
28,ARŞIN SOKAĞI,2019,15803.16
29,AYNALI LOKANTA SOKAĞI,2019,15803.16
30,CENGİZ SOKAĞI,2019,15803.16
31,GALİP DEDE CADDESİ,2019,19754.24
32,HOCA ALİ SOKAĞI,2019,5925.48
33,KADEM SOKAĞI,2019,19754.24
34,KARAOĞLAN SOKAĞI,2019,23705.31
35,KEMERALTI CADDESİ,2019,31983.32
36,KEMERALTI KUYU SOKAĞI,2019,17778.7
37,LEBLEBİCİ ŞABAN SOKAĞI,2019,19754.24
38,LÜLECİ HENDEK CADDESİ,2019,9876.56
39,MALİYE CADDESİ,2019,28220.18
40,NECATİ BEY CADDESİ,2019,28220.18
41,REVANİ SOKAĞI,2019,7901.02
42,SERÇE SOKAĞI,2019,15803.16
43,SERDAR-I EKREM CADDESİ,2019,9876.56
44,ŞAHKAPISI SOKAĞI,2019,11852.09
45,TATAR BEYİ SOKAĞI,2019,5925.48
46,TERSANE KAVŞAĞI BAĞLANTI YOLU,2019,25585.76
47,YÜKSEK KALDIRIM CADDESİ,2019,19754.24
48,YÜKSEK KALDIRIM ÇIKMAZI,2019,19754.24
49,ZÜRAFA SOKAĞI,2019,15803.16
50,ALAGEYİK SOKAĞI,2018,14127.0
51,ALİ HOCA ARALIĞI,2018,4456.0
52,ARAP OĞLAN SOKAĞI,2018,14127.0
53,ARŞIN SOKAĞI,2018,14127.0
54,AYNALI LOKANTA SOKAĞI,2018,14127.0
55,CENGİZ SOKAĞI,2018,14127.0
56,GALİP DEDE CADDESİ,2018,17659.0
57,HOCA ALİ SOKAĞI,2018,5297.0
58,KADEM SOKAĞI,2018,17659.0
59,KARAOĞLAN SOKAĞI,2018,21191.0
60,KEMERALTI CADDESİ,2018,28591.0
61,KEMERALTI KUYU SOKAĞI,2018,15893.0
