,sokak,yil,rayic
0,AKYOL SOKAĞI,2020,19785.92
1,ALÇAKDAM YOKUŞU,2020,17587.34
2,ALİ KAPTAN SOKAĞI,2020,17587.34
3,ATEŞPARE SOKAĞI,2020,15597.92
4,BAŞKURT SOKAĞI,2020,17587.34
5,CİHANGİR CADDESİ,2020,21984.49
6,CİHANGİR YOKUŞU,2020,17587.34
7,EMANETÇİ SOKAĞI,2020,19785.92
8,ER SOKAĞI,2020,15597.92
9,FINDIKLI YOKUŞU,2020,15388.77
10,GÜNEŞLİ SOKAĞI,2020,17587.34
11,HARDAL SOKAĞI,2020,17587.34
12,İLYAS ÇELEBİ SOKAĞI,2020,15597.92
13,İSMAİL DÜMBÜLLÜ SOKAĞI,2020,13190.19
14,KUMRULU YOKUŞU,2020,15597.92
15,LENGER SOKAĞI,2020,15597.92
16,MEBUSAN YOKUŞU,2020,21984.49
17,MECLİS-İ MEBUSAN CAD.,2020,38733.99
18,MERKEP BAĞIRTAN SOKAĞI,2020,15388.77
19,MÜNİR ÖZKUL SOKAĞI,2020,17587.34
20,NECATİ BEY CADDESİ,2020,31406.24
21,ÖZOĞUL SOKAĞI,2020,17587.34
22,PERİZAT ÇIKMAZI,2020,13190.19
23,SALI PAZARI YOKUŞU,2020,17587.34
24,SUSAM SOKAĞI,2020,17587.34
25,TAŞ MERDİVEN ARALIĞI,2020,15597.92
26,TAŞ MERDİVEN SOKAĞI,2020,15597.92
27,TEKKE YOKUŞU,2020,15597.92
28,VİŞNE SOKAĞI,2020,17587.34
29,VİŞNECİ SOKAĞI,2020,17587.34
30,YENİ YUVA SOKAĞI,2020,17587.34
31,AKYOL SOKAĞI,2019,17778.7
32,ALÇAKDAM YOKUŞU,2019,15803.16
33,ALİ KAPTAN SOKAĞI,2019,15803.16
34,ATEŞPARE SOKAĞI,2019,14015.56
35,BAŞKURT SOKAĞI,2019,15803.16
36,CİHANGİR CADDESİ,2019,19754.24
37,CİHANGİR YOKUŞU,2019,15803.16
38,EMANETÇİ SOKAĞI,2019,17778.7
39,ER SOKAĞI,2019,14015.56
40,FINDIKLI YOKUŞU,2019,13827.63
41,GÜNEŞLİ SOKAĞI,2019,15803.16
42,HARDAL SOKAĞI,2019,15803.16
43,İLYAS ÇELEBİ SOKAĞI,2019,14015.56
44,İSMAİL DÜMBÜLLÜ SOKAĞI,2019,11852.09
45,KUMRULU YOKUŞU,2019,14015.56
46,LENGER SOKAĞI,2019,14015.56
47,MEBUSAN YOKUŞU,2019,19754.24
48,MECLİS-İ MEBUSAN CAD.,2019,34804.55
49,MERKEP BAĞIRTAN SOKAĞI,2019,13827.63
50,MÜNİR ÖZKUL SOKAĞI,2019,15803.16
51,NECATİ BEY CADDESİ,2019,28220.18
52,ÖZOĞUL SOKAĞI,2019,15803.16
53,PERİZAT ÇIKMAZI,2019,11852.09
54,SALI PAZARI YOKUŞU,2019,15803.16
55,SUSAM SOKAĞI,2019,15803.16
56,TAŞ MERDİVEN ARALIĞI,2019,14015.56
57,TAŞ MERDİVEN SOKAĞI,2019,14015.56
58,TEKKE YOKUŞU,2019,14015.56
59,VİŞNE SOKAĞI,2019,15803.16
60,VİŞNECİ SOKAĞI,2019,15803.16
61,YENİ YUVA SOKAĞI,2019,15803.16
62,AKYOL SOKAĞI,2018,15893.0
63,ALÇAKDAM YOKUŞU,2018,14127.0
