,sokak,yil,rayic
0,ABDUSSELAM SOKAĞI,2020,5547.47
1,AHBAP SOKAĞI,2020,2197.32
2,AKGEYİK SOKAĞI,2020,2197.32
3,AKGEYİK SOKAĞI,2020,1422.97
4,ANIT SOKAĞI,2020,470.58
5,ASLAN SOKAĞI,2020,470.58
6,ASLAN SOKAĞI,2020,2197.32
7,AYAZMA ALTI SOKAĞI,2020,470.58
8,AYAZMA SOKAĞI,2020,470.58
9,AYAZMA ÜSTÜ SOKAĞI,2020,470.58
10,BACTAR SOKAĞI,2020,2197.32
11,BERABERLİK SOKAĞI,2020,2197.32
12,BEYAZ PAPATYA SOKAĞI,2020,2197.32
13,BEZİRGAN SOKAĞI,2020,470.58
14,BODUROĞLU SOKAĞI,2020,5547.47
15,ÇAKIRKEYF SOKAĞI,2020,2197.32
16,ÇAM AĞACI SOKAĞI,2020,2197.32
17,ÇAN ÇAN ARALIĞI,2020,3348.9
18,ÇAN ÇAN SOKAĞI,2020,3348.9
19,ÇOPUR SOKAĞI,2020,2197.32
20,DEREİÇİ SOKAĞI,2020,585.12
21,DİRLİK SOKAĞI,2020,4395.9
22,DÖNMEZ SOKAĞI,2020,470.58
23,ECDAT SOKAĞI,2020,2197.32
24,EMRE ÇIKMAZI,2020,470.58
25,ERGANUH SOKAĞI,2020,2197.32
26,ESKİCİ SOKAĞI,2020,2197.32
27,FABRİKA SOKAĞI,2020,5547.47
28,FISTIKLI BAHÇE ARALIĞI,2020,2197.32
29,FISTIKLI BAHÇE ÇIKMAZI,2020,2197.32
30,FISTIKLI BAHÇE SOKAĞI,2020,2197.32
31,FUTACI SOKAĞI,2020,470.58
32,GÖKTUĞ ARALIĞI,2020,2197.32
33,GÖKTUĞ ÇIKMAZI,2020,2197.32
34,GÖKTUĞ SOKAĞI,2020,2197.32
35,GÜL ARALIĞI,2020,2197.32
36,HACI İMAM SOKAĞI,2020,2197.32
37,HACI ŞABAN CAMİ SOKAĞI,2020,2197.32
38,HACI ŞABAN MEKTEBİ SOKAĞI,2020,585.12
39,HALICIOĞLU YAĞHANESİ SOKAĞI,2020,4395.9
40,HAMURSUZ SOKAĞI,2020,3348.9
41,HARMAN YERİ SOKAĞI,2020,2616.87
42,HASKÖY CADDESİ,2020,8793.05
43,HİSAR SOKAĞI,2020,470.58
44,HÖRGÜÇ SOKAĞI,2020,470.58
45,HÖRGÜÇ SOKAĞI,2020,2197.32
46,İÇ BOSTAN SOKAĞI,2020,3348.9
47,İLAÇ SOKAĞI,2020,2197.32
48,İLK DURAK SOKAĞI,2020,2197.32
49,İLK DURAK SOKAĞI,2020,522.87
50,İNCİ SOKAĞI,2020,470.58
51,KALAFATÇI HAMAM SOKAĞI,2020,4395.9
52,KALAFATÇIBAŞI SOKAĞI,2020,2197.32
53,KALAYCI BAHÇE SOKAĞI,2020,3348.9
54,KAMİL BEY SOKAĞI,2020,2197.32
55,KARAGÖZ SOKAĞI,2020,6594.47
56,KAZAK SOKAĞI,2020,878.93
57,KAZAK SOKAĞI,2020,2197.32
58,KEÇE KÜLAH SOKAĞI,2020,4395.9
59,KETEN SOKAĞI,2020,3348.9
60,KIRMIZI MİNARE SOKAĞI,2020,6594.47
61,KUMBARAHANE CADDESİ,2020,8793.05
62,KÜÇÜK PARMAKLIK ARKA SOKAĞI,2020,3348.9
63,LALELİ SOKAĞI,2020,470.58
64,LİSE ARKASI SOKAĞI,2020,3348.9
65,MANOLYA SOKAĞI,2020,2197.32
66,MEŞVERET SOKAĞI,2020,2197.32
67,MİSKET SOKAĞI,2020,2197.32
68,MÜVERRİH ALİ CADDESİ,2020,878.93
69,MÜVERRİH ÇIKMAZI,2020,470.58
70,MÜZE SOKAĞI,2020,6594.47
71,OKÇULAR YOLU SOKAĞI,2020,470.58
72,ORKİDE SOKAĞI,2020,470.58
73,PİRESÇİLER SOKAĞI,2020,4395.9
74,PİRİ PAŞA HAMAMI SOKAĞI,2020,5547.47
75,SAİT BEY SOKAĞI,2020,470.58
76,SAKIZLI BOSTAN SOKAĞI,2020,2197.32
77,SAKIZLI BOSTAN SOKAĞI,2020,470.58
78,SALİMBEY SOKAĞI,2020,3768.45
79,SİVAS ARALIĞI,2020,470.58
80,SİVAS SOKAĞI,2020,470.58
81,SOLAK ÇEŞME SOKAĞI,2020,470.58
82,SÜMBÜL SOKAĞI,2020,470.58
83,SÜPÜRGECİ SOKAĞI,2020,470.58
84,SÜRÜCÜLER SOKAĞI,2020,2616.87
85,ŞABAN DERESİ SOKAĞI,2020,3348.9
86,ŞATAFATLI SOKAĞI,2020,470.58
87,ŞEVKİYE SOKAĞI,2020,2197.32
88,ŞİRİN BAHÇE SOKAĞI,2020,2197.32
89,TAHİR ZÜMRE SOKAĞI,2020,2197.32
90,TAŞKESEN SOKAĞI,2020,3348.9
91,TELLAL ARALIĞI ÇIKMAZI,2020,2197.32
92,TELLAL ÇIKMAZI,2020,2197.32
93,TENEKECİ SOKAĞI,2020,2197.32
94,TURŞUCU CAMİ SOKAĞI,2020,3348.9
95,TURŞUCU ÇEŞMESİ SOKAĞI,2020,3348.9
96,TURŞUCU HÜSEYİN ÇIKMAZI,2020,2197.32
97,TURŞUCU HÜSEYİN SOKAĞI,2020,3768.45
98,TÜRKELİ SOKAĞI,2020,2197.32
99,UĞUR ULUNÇ SOKAĞI,2020,2197.32
100,UMUT SOKAĞI,2020,2197.32
101,ÜTÜCÜ FERHAT SOKAĞI,2020,5547.47
102,VEZNEDAR SOKAĞI,2020,3348.9
103,VİRAN ARALIĞI,2020,2197.32
104,VİRAN SOKAĞI,2020,2197.32
105,YAPRAKLI ÇIKMAZI SOKAĞI,2020,2197.32
106,YASEMİN SOKAĞI,2020,470.58
107,YENİYOL ÇIKMAZI,2020,3348.9
108,YILDIRIM ARALIĞI,2020,470.58
109,YILDIRIM ÇIKMAZI,2020,470.58
110,YILDIRIM SOKAĞI,2020,470.58
111,YÜKSEK MERDİVEN SOKAĞI,2020,2197.32
112,ABDUSSELAM SOKAĞI,2019,4984.7
113,AHBAP SOKAĞI,2019,1974.41
114,AKGEYİK SOKAĞI,2019,1278.61
115,AKGEYİK SOKAĞI,2019,1974.41
116,ANIT SOKAĞI,2019,422.84
117,ASLAN SOKAĞI,2019,1974.41
118,ASLAN SOKAĞI,2019,422.84
119,AYAZMA ALTI SOKAĞI,2019,422.84
120,AYAZMA SOKAĞI,2019,422.84
121,AYAZMA ÜSTÜ SOKAĞI,2019,422.84
122,BACTAR SOKAĞI,2019,1974.41
123,BERABERLİK SOKAĞI,2019,1974.41
124,BEYAZ PAPATYA SOKAĞI,2019,1974.41
125,BEZİRGAN SOKAĞI,2019,422.84
126,BODUROĞLU SOKAĞI,2019,4984.7
127,ÇAKIRKEYF SOKAĞI,2019,1974.41
128,ÇAM AĞACI SOKAĞI,2019,1974.41
129,ÇAN ÇAN ARALIĞI,2019,3009.16
130,ÇAN ÇAN SOKAĞI,2019,3009.16
131,ÇOPUR SOKAĞI,2019,1974.41
132,DEREİÇİ SOKAĞI,2019,525.76
133,DİRLİK SOKAĞI,2019,3949.95
134,DÖNMEZ SOKAĞI,2019,422.84
135,ECDAT SOKAĞI,2019,1974.41
136,EMRE ÇIKMAZI,2019,422.84
137,ERGANUH SOKAĞI,2019,1974.41
138,ESKİCİ SOKAĞI,2019,1974.41
139,FABRİKA SOKAĞI,2019,4984.7
140,FISTIKLI BAHÇE ARALIĞI,2019,1974.41
141,FISTIKLI BAHÇE ÇIKMAZI,2019,1974.41
142,FISTIKLI BAHÇE SOKAĞI,2019,1974.41
143,FUTACI SOKAĞI,2019,422.84
144,GÖKTUĞ ARALIĞI,2019,1974.41
145,GÖKTUĞ ÇIKMAZI,2019,1974.41
