,sokak,yil,rayic
0,AÇIK SOKAĞI,2020,470.58
1,AHMET TURHAN ARALIĞI,2020,470.58
2,AKARSU SOKAĞI,2020,470.58
3,AKÇAY SOKAĞI,2020,470.58
4,AKÇİÇEK SOKAĞI,2020,470.58
5,AKMAN SOKAĞI,2020,470.58
6,AKŞEMSETTİN CAMİİ SOKAĞI,2020,470.58
7,ALAN SOKAĞI,2020,470.58
8,ALT BARUTHANE CADDESİ,2020,878.93
9,ARDIÇ SOKAĞI,2020,470.58
10,ATAK SOKAĞI,2020,470.58
11,ATLAS SOKAĞI,2020,470.58
12,AVCILAR SOKAĞI,2020,470.58
13,AYDIN SOKAĞI,2020,470.58
14,AYDINLIK SOKAĞI,2020,470.58
15,AYGÜL SOKAĞI,2020,470.58
16,BABAPINAR ARALIĞI,2020,470.58
17,BABAPINAR SOKAĞI,2020,470.58
18,BAKKAL ARALIĞI,2020,470.58
19,BAKKAL SOKAĞI,2020,470.58
20,BARUTHANE SIRTI SOKAĞI,2020,470.58
21,BEYAZ GÜL SOKAĞI,2020,470.58
22,BLOKLAR ARALIĞI,2020,470.58
23,BLOKLAR ÇIKMAZI,2020,470.58
24,BLOKLAR SOKAĞI,2020,470.58
25,BULUT SOKAĞI,2020,470.58
26,BÜYÜK ATAK SOKAĞI,2020,470.58
27,CAN KARDEŞLER SOKAĞI,2020,470.58
28,CAN SOKAĞI,2020,470.58
29,CANDAN SOKAĞI,2020,470.58
30,CEM SOKAĞI,2020,470.58
31,CEMİYET SOKAĞI,2020,470.58
32,ÇAMLI YAYLA SOKAĞI,2020,470.58
33,ÇAVUŞOĞLU SOKAĞI,2020,470.58
34,ÇINARLI SOKAĞI,2020,470.58
35,ÇİÇEK SOKAĞI,2020,470.58
36,ÇİMEN SOKAĞI,2020,470.58
37,DARÜLACEZE CADDESİ,2020,470.58
38,DEMİRCİ SOKAĞI,2020,470.58
39,DİLEK SOKAĞI,2020,470.58
40,DİRİ SOKAĞI,2020,470.58
41,DOĞAN SOKAĞI,2020,470.58
42,EFEM ÇIKMAZI,2020,470.58
43,EFEM SOKAĞI,2020,470.58
44,EKİN SOKAĞI,2020,470.58
45,EMİR SOKAĞI,2020,470.58
46,ERDEM SOKAĞI,2020,585.12
47,ERENLER SOKAĞI,2020,470.58
48,FATİH SULTAN CADDESİ,2020,1422.97
49,FEN İŞLERİ ÇIKMAZI,2020,470.58
50,FEVZİ ÇAKMAK SOKAĞI,2020,470.58
51,FINDIK SOKAĞI,2020,470.58
52,FİLİZ SOKAĞI,2020,470.58
53,FLORYA SOKAĞI,2020,470.58
54,GELİNCİK SOKAĞI,2020,470.58
55,GÜLŞEN SOKAĞI,2020,470.58
56,GÜNEŞ ARALIĞI,2020,470.58
57,GÜNÜ GÜZEL SOKAĞI,2020,470.58
58,GÜVEN SOKAĞI,2020,470.58
59,GÜZEL BAHÇE SOKAĞI,2020,470.58
60,GÜZELLER SOKAĞI,2020,470.58
61,HALICIOĞLU YAN YOL CADDESİ,2020,1422.97
62,HASAT SOKAĞI,2020,470.58
63,HOŞGÖR SOKAĞI,2020,470.58
64,IŞIKLI SOKAĞI,2020,470.58
65,İLK ADIM SOKAĞI,2020,470.58
66,İNCİRKUŞU SOKAĞI,2020,470.58
67,KAAN SOKAĞI,2020,470.58
68,KADINLAR ÇEŞMESİ SOKAĞI,2020,470.58
69,KAHAN SOKAĞI,2020,470.58
70,KARAAĞAÇ SOKAĞI,2020,470.58
71,KARADUT SOKAĞI,2020,470.58
72,KAYIŞOĞLU SOKAĞI,2020,470.58
73,KIRANKAYA SOKAĞI,2020,470.58
74,KONAK CAMİİ ÇIKMAZI,2020,470.58
75,KOYUNCU SOKAĞI,2020,470.58
76,KUMRU SOKAĞI,2020,470.58
77,KURUDERE ÇIKMAZI,2020,470.58
78,KURUDERE SOKAĞI,2020,470.58
79,KUZEY SOKAĞI,2020,585.12
80,KÜÇÜK EFEM SOKAĞI,2020,470.58
81,KÜÇÜK ULAŞ SOKAĞI,2020,470.58
82,KÜME SOKAĞI,2020,470.58
83,LALEZAR SOKAĞI,2020,470.58
84,MEKTEP SOKAĞI,2020,470.58
85,MENEVŞE SOKAĞI,2020,470.58
86,MERDİVENLİ SOKAĞI,2020,470.58
87,MURADİYE SOKAĞI,2020,470.58
88,NARİN SOKAĞI,2020,470.58
89,NAZ SOKAĞI,2020,470.58
90,NÜKHET SOKAĞI,2020,470.58
91,OKÇULAR ÇEŞME SOKAĞI,2020,470.58
92,OKUL SOKAĞI,2020,470.58
93,OSMANOĞLU SOKAĞI,2020,1318.39
94,PİYALEPAŞA BULVARI,2020,6594.47
95,PİYALEPAŞA CADDESİ,2020,878.93
96,SAĞLIK OCAĞI SOKAĞI,2020,470.58
97,SELÇUK SOKAĞI,2020,470.58
98,SESSİZ SOKAĞI,2020,470.58
99,SEYHAN SOKAĞI,2020,470.58
100,SIRAÇ SOKAĞI,2020,470.58
101,SOSYAL MESKENLER SOKAĞI,2020,470.58
102,SPOR SOKAĞI,2020,470.58
103,STAD SOKAĞI,2020,470.58
104,SULTAN SOKAĞI,2020,470.58
105,ŞAHİNCE SOKAĞI,2020,470.58
106,ŞARK SOKAĞI,2020,470.58
107,ŞEN SOKAĞI,2020,470.58
108,ŞENAY SOKAĞI,2020,470.58
109,ŞENGÜL SOKAĞI,2020,470.58
110,ŞİRİNCE SOKAĞI,2020,470.58
111,TAŞTAN SOKAĞI,2020,470.58
112,TOROS SOKAĞI,2020,470.58
113,TORPİL SOKAĞI,2020,470.58
114,ULAŞ SOKAĞI,2020,470.58
115,USLU SOKAĞI,2020,470.58
116,ÜLEV SOKAĞI,2020,470.58
117,ÜST BARUTHANE CADDESİ,2020,878.93
118,ÜST SEYHAN SOKAĞI,2020,470.58
119,VALİDE ÇEŞMESİ SOKAĞI,2020,470.58
120,YAKA ÇIKMAZI,2020,470.58
121,YARPUZ SOKAĞI,2020,470.58
122,YENER SOKAĞI,2020,470.58
123,YILDIRIM BEYAZIT SOKAĞI,2020,585.12
124,YILMAZ SOKAĞI,2020,470.58
125,YÜRÜYEN SOKAĞI,2020,470.58
126,AÇIK SOKAĞI,2019,422.84
127,AHMET TURHAN ARALIĞI,2019,422.84
128,AKARSU SOKAĞI,2019,422.84
129,AKÇAY SOKAĞI,2019,422.84
130,AKÇİÇEK SOKAĞI,2019,422.84
131,AKMAN SOKAĞI,2019,422.84
132,AKŞEMSETTİN CAMİİ SOKAĞI,2019,422.84
133,ALAN SOKAĞI,2019,422.84
134,ALT BARUTHANE CADDESİ,2019,789.76
135,ARDIÇ SOKAĞI,2019,422.84
136,ATAK SOKAĞI,2019,422.84
137,ATLAS SOKAĞI,2019,422.84
138,AVCILAR SOKAĞI,2019,422.84
139,AYDIN SOKAĞI,2019,422.84
140,AYDINLIK SOKAĞI,2019,422.84
141,AYGÜL SOKAĞI,2019,422.84
142,BABAPINAR ARALIĞI,2019,422.84
143,BABAPINAR SOKAĞI,2019,422.84
144,BAKKAL ARALIĞI,2019,422.84
145,BAKKAL SOKAĞI,2019,422.84
146,BARUTHANE SIRTI SOKAĞI,2019,422.84
147,BEYAZ GÜL SOKAĞI,2019,422.84
148,BLOKLAR ARALIĞI,2019,422.84
149,BLOKLAR ÇIKMAZI,2019,422.84
150,BLOKLAR SOKAĞI,2019,422.84
151,BULUT SOKAĞI,2019,422.84
152,BÜYÜK ATAK SOKAĞI,2019,422.84
153,CAN KARDEŞLER SOKAĞI,2019,422.84
154,CAN SOKAĞI,2019,422.84
155,CANDAN SOKAĞI,2019,422.84
156,CEM SOKAĞI,2019,422.84
157,CEMİYET SOKAĞI,2019,422.84
158,ÇAMLI YAYLA SOKAĞI,2019,422.84
159,ÇAVUŞOĞLU SOKAĞI,2019,422.84
160,ÇINARLI SOKAĞI,2019,422.84
161,ÇİÇEK SOKAĞI,2019,422.84
162,ÇİMEN SOKAĞI,2019,422.84
163,DARÜLACEZE CADDESİ,2019,422.84
164,DEMİRCİ SOKAĞI,2019,422.84
165,DİLEK SOKAĞI,2019,422.84
166,DİRİ SOKAĞI,2019,422.84
167,DOĞAN SOKAĞI,2019,422.84
168,EFEM ÇIKMAZI,2019,422.84
169,EFEM SOKAĞI,2019,422.84
170,EKİN SOKAĞI,2019,422.84
171,EMİR SOKAĞI,2019,422.84
172,ERDEM SOKAĞI,2019,525.76
173,ERENLER SOKAĞI,2019,422.84
174,FATİH SULTAN CADDESİ,2019,1278.61
175,FEN İŞLERİ ÇIKMAZI,2019,422.84
176,FEVZİ ÇAKMAK SOKAĞI,2019,422.84
177,FINDIK SOKAĞI,2019,422.84
178,FİLİZ SOKAĞI,2019,422.84
179,FLORYA SOKAĞI,2019,422.84
180,GELİNCİK SOKAĞI,2019,422.84
181,GÜLŞEN SOKAĞI,2019,422.84
182,GÜNEŞ ARALIĞI,2019,422.84
183,GÜNÜ GÜZEL SOKAĞI,2019,422.84
184,GÜVEN SOKAĞI,2019,422.84
185,GÜZEL BAHÇE SOKAĞI,2019,422.84
186,GÜZELLER SOKAĞI,2019,422.84
187,HALICIOĞLU YAN YOL CADDESİ,2019,1278.61
188,HASAT SOKAĞI,2019,422.84
189,HOŞGÖR SOKAĞI,2019,422.84
190,IŞIKLI SOKAĞI,2019,422.84
191,İLK ADIM SOKAĞI,2019,422.84
192,İNCİRKUŞU SOKAĞI,2019,422.84
193,KAAN SOKAĞI,2019,422.84
194,KADINLAR ÇEŞMESİ SOKAĞI,2019,422.84
195,KAHAN SOKAĞI,2019,422.84
196,KARAAĞAÇ SOKAĞI,2019,422.84
197,KARADUT SOKAĞI,2019,422.84
198,KAYIŞOĞLU SOKAĞI,2019,422.84
199,KIRANKAYA SOKAĞI,2019,422.84
200,KONAK CAMİİ ÇIKMAZI,2019,422.84
201,KOYUNCU SOKAĞI,2019,422.84
202,KUMRU SOKAĞI,2019,422.84
203,KURUDERE ÇIKMAZI,2019,422.84
204,KURUDERE SOKAĞI,2019,422.84
205,KUZEY SOKAĞI,2019,525.76
206,KÜÇÜK EFEM SOKAĞI,2019,422.84
207,KÜÇÜK ULAŞ SOKAĞI,2019,422.84
208,KÜME SOKAĞI,2019,422.84
209,LALEZAR SOKAĞI,2019,422.84
210,MEKTEP SOKAĞI,2019,422.84
211,MENEVŞE SOKAĞI,2019,422.84
212,MERDİVENLİ SOKAĞI,2019,422.84
213,MURADİYE SOKAĞI,2019,422.84
214,NARİN SOKAĞI,2019,422.84
215,NAZ SOKAĞI,2019,422.84
216,NÜKHET SOKAĞI,2019,422.84
217,OKÇULAR ÇEŞME SOKAĞI,2019,422.84
218,OKUL SOKAĞI,2019,422.84
219,OSMANOĞLU SOKAĞI,2019,1184.65
220,PİYALEPAŞA BULVARI,2019,5925.48
221,PİYALEPAŞA CADDESİ,2019,789.76
222,SAĞLIK OCAĞI SOKAĞI,2019,422.84
223,SELÇUK SOKAĞI,2019,422.84
224,SESSİZ SOKAĞI,2019,422.84
225,SEYHAN SOKAĞI,2019,422.84
226,SIRAÇ SOKAĞI,2019,422.84
227,SOSYAL MESKENLER SOKAĞI,2019,422.84
228,SPOR SOKAĞI,2019,422.84
229,STAD SOKAĞI,2019,422.84
230,SULTAN SOKAĞI,2019,422.84
231,ŞAHİNCE SOKAĞI,2019,422.84
232,ŞARK SOKAĞI,2019,422.84
233,ŞEN SOKAĞI,2019,422.84
