,sokak,yil,rayic
0,AHMET EFENDİ CAMİİ SOK,2020,5757.87
1,AKINCI SOKAĞI,2020,4395.9
2,ARMAĞAN SOKAĞI,2020,3454.72
3,ATLAMA SOKAĞI,2020,3454.72
4,AYNALI ÇEŞME CADDESİ,2020,7850.62
5,BAHRİYE CADDESİ,2020,15597.92
6,BOCURGAT ÇIKMAZI,2020,3454.72
7,BOCURGAT SOKAĞI,2020,3454.72
8,CEDİDİYE SOKAĞI,2020,3454.72
9,ÇATIK KAŞ SOKAĞI,2020,4395.9
10,EHİL SOKAĞI,2020,5757.87
11,EMİN CAMİİ SOKAĞI,2020,4395.9
12,EREN SOKAĞI,2020,3454.72
13,EYYÜHÜM SOKAĞI,2020,3454.72
14,İNCE KAŞ SOKAĞI,2020,5757.87
15,KADI ÇEŞME ÇIKMAZI,2020,5757.87
16,KAHYA BEY SOKAĞI,2020,3454.72
17,KAMER SOKAĞI,2020,3454.72
18,KARANFİL ÇIKMAZI,2020,4395.9
19,KASIMPAŞA MEVLEVİHANE SOKAĞI,2020,3454.72
20,KASIMPAŞA YAĞHANESİ ÇIKMAZI,2020,5757.87
21,KERAMET ÇIKMAZI,2020,3454.72
22,KERAMET SOKAĞI,2020,4395.9
23,KILAVUZ SOKAĞI,2020,5757.87
24,KURTULUŞ DERESİ CADDESİ,2020,6594.47
25,ÖMER HAYYAM CADDESİ,2020,6594.47
26,SAMANCI ALİ SOKAĞI,2020,1569.87
27,SAMANCI FERHAT CADDESİ,2020,5757.87
28,SİPAHİ FIRINI SOKAĞI,2020,6594.47
29,SURURİ CAMİİ ÇIKMAZI,2020,4395.9
30,SURURİ ÇEŞME SOKAĞI,2020,4395.9
31,TAHTA FIRIN SOKAĞI,2020,5757.87
32,TENNURE ÇIKMAZI,2020,4395.9
33,TENNURE SOKAĞI,2020,4395.9
34,UFAK KÖPRÜ SOKAĞI,2020,5757.87
35,AHMET EFENDİ CAMİİ SOK,2019,5173.75
36,AKINCI SOKAĞI,2019,3949.95
37,ARMAĞAN SOKAĞI,2019,3104.25
38,ATLAMA SOKAĞI,2019,3104.25
39,AYNALI ÇEŞME CADDESİ,2019,7054.2
40,BAHRİYE CADDESİ,2019,14015.56
41,BOCURGAT ÇIKMAZI,2019,3104.25
42,BOCURGAT SOKAĞI,2019,3104.25
43,CEDİDİYE SOKAĞI,2019,3104.25
44,ÇATIK KAŞ SOKAĞI,2019,3949.95
45,EHİL SOKAĞI,2019,5173.75
46,EMİN CAMİİ SOKAĞI,2019,3949.95
47,EREN SOKAĞI,2019,3104.25
48,EYYÜHÜM SOKAĞI,2019,3104.25
49,İNCE KAŞ SOKAĞI,2019,5173.75
50,KADI ÇEŞME ÇIKMAZI,2019,5173.75
51,KAHYA BEY SOKAĞI,2019,3104.25
52,KAMER SOKAĞI,2019,3104.25
53,KARANFİL ÇIKMAZI,2019,3949.95
54,KASIMPAŞA MEVLEVİHANE SOKAĞI,2019,3104.25
55,KASIMPAŞA YAĞHANESİ ÇIKMAZI,2019,5173.75
56,KERAMET ÇIKMAZI,2019,3104.25
57,KERAMET SOKAĞI,2019,3949.95
58,KILAVUZ SOKAĞI,2019,5173.75
59,KURTULUŞ DERESİ CADDESİ,2019,5925.48
60,ÖMER HAYYAM CADDESİ,2019,5925.48
61,SAMANCI ALİ SOKAĞI,2019,1410.61
62,SAMANCI FERHAT CADDESİ,2019,5173.75
63,SİPAHİ FIRINI SOKAĞI,2019,5925.48
64,SURURİ CAMİİ ÇIKMAZI,2019,3949.95
65,SURURİ ÇEŞME SOKAĞI,2019,3949.95
66,TAHTA FIRIN SOKAĞI,2019,5173.75
67,TENNURE ÇIKMAZI,2019,3949.95
68,TENNURE SOKAĞI,2019,3949.95
69,UFAK KÖPRÜ SOKAĞI,2019,5173.75
70,AHMET EFENDİ CAMİİ SOK,2018,4625.0
71,AKINCI SOKAĞI,2018,3531.0
72,ARMAĞAN SOKAĞI,2018,2775.0
73,ATLAMA SOKAĞI,2018,2775.0
74,AYNALI ÇEŞME CADDESİ,2018,6306.0
75,BAHRİYE CADDESİ,2018,12529.0
76,BOCURGAT ÇIKMAZI,2018,2775.0
77,BOCURGAT SOKAĞI,2018,2775.0
78,CEDİDİYE SOKAĞI,2018,2775.0
79,ÇATIK KAŞ SOKAĞI,2018,3531.0
80,EHİL SOKAĞI,2018,4625.0
81,EMİN CAMİİ SOKAĞI,2018,3531.0
82,EREN SOKAĞI,2018,2775.0
83,EYYÜHÜM SOKAĞI,2018,2775.0
84,İNCE KAŞ SOKAĞI,2018,4625.0
85,KADI ÇEŞME ÇIKMAZI,2018,4625.0
86,KAHYA BEY SOKAĞI,2018,2775.0
87,KAMER SOKAĞI,2018,2775.0
88,KARANFİL ÇIKMAZI,2018,3531.0
89,KASIMPAŞA MEVLEVİHANE SOKAĞI,2018,2775.0
90,KASIMPAŞA YAĞHANESİ ÇIKMAZI,2018,4625.0
91,KERAMET ÇIKMAZI,2018,2775.0
92,KERAMET SOKAĞI,2018,3531.0
93,KILAVUZ SOKAĞI,2018,4625.0
94,KURTULUŞ DERESİ CADDESİ,2018,5297.0
95,ÖMER HAYYAM CADDESİ,2018,5297.0
96,SAMANCI ALİ SOKAĞI,2018,1261.0
97,SAMANCI FERHAT CADDESİ,2018,4625.0
98,SİPAHİ FIRINI SOKAĞI,2018,5297.0
99,SURURİ CAMİİ ÇIKMAZI,2018,3531.0
100,SURURİ ÇEŞME SOKAĞI,2018,3531.0
101,TAHTA FIRIN SOKAĞI,2018,4625.0
102,TENNURE ÇIKMAZI,2018,3531.0
103,TENNURE SOKAĞI,2018,3531.0
104,UFAK KÖPRÜ SOKAĞI,2018,4625.0
105,AHMET EFENDİ CAMİİ SOK,2017,3083.35
106,AKINCI SOKAĞI,2017,2354.55
107,ARMAĞAN SOKAĞI,2017,1850.01
108,ATLAMA SOKAĞI,2017,1850.01
109,AYNALI ÇEŞME CADDESİ,2017,4204.57
110,BAHRİYE CADDESİ,2017,8353.08
111,BOCURGAT ÇIKMAZI,2017,1850.01
112,BOCURGAT SOKAĞI,2017,1850.01
113,CEDİDİYE SOKAĞI,2017,1850.01
114,ÇATIK KAŞ SOKAĞI,2017,2354.55
115,EHİL SOKAĞI,2017,3083.35
116,EMİN CAMİİ SOKAĞI,2017,2354.55
117,EREN SOKAĞI,2017,1850.01
118,EYYÜHÜM SOKAĞI,2017,1850.01
119,İNCE KAŞ SOKAĞI,2017,3083.35
120,KADI ÇEŞME ÇIKMAZI,2017,3083.35
121,KAHYA BEY SOKAĞI,2017,1850.01
122,KAMER SOKAĞI,2017,1850.01
123,KARANFİL ÇIKMAZI,2017,2354.55
124,KASIMPAŞA MEVLEVİHANE SOKAĞI,2017,1850.01
125,KASIMPAŞA YAĞHANESİ ÇIKMAZI,2017,3083.35
126,KERAMET ÇIKMAZI,2017,1850.01
127,KERAMET SOKAĞI,2017,2354.55
128,KILAVUZ SOKAĞI,2017,3083.35
129,KURTULUŞ DERESİ CADDESİ,2017,3531.83
130,ÖMER HAYYAM CADDESİ,2017,3531.83
131,SAMANCI ALİ SOKAĞI,2017,840.91
132,SAMANCI FERHAT CADDESİ,2017,3083.35
133,SİPAHİ FIRINI SOKAĞI,2017,3531.83
134,SURURİ CAMİİ ÇIKMAZI,2017,2354.55
135,SURURİ ÇEŞME SOKAĞI,2017,2354.55
136,TAHTA FIRIN SOKAĞI,2017,3083.35
137,TENNURE ÇIKMAZI,2017,2354.55
138,TENNURE SOKAĞI,2017,2354.55
139,UFAK KÖPRÜ SOKAĞI,2017,3083.35
