,sokak,yil,rayic
0,AKDAĞ SOKAĞI,2020,2638.03
1,AKŞAHİN SOKAĞI,2020,2638.03
2,AKTARLAR KAHYASI SOKAĞI,2020,3139.75
3,ATMACA SOKAĞI,2020,3139.75
4,BADE SOKAĞI,2020,3139.75
5,BAYIR SOKAĞI,2020,2638.03
6,BAYRAK SOKAĞI,2020,3139.75
7,BEKÇİ SOKAĞI,2020,3139.75
8,BERBER SOKAĞI,2020,3139.75
9,BILDIRCIN SOKAĞI,2020,3139.75
10,BİNEKTAŞI SOKAĞI,2020,3139.75
11,ÇELEBİ SOKAĞI,2020,3348.9
12,DAMAR SOKAĞI,2020,3139.75
13,DEREİÇİ BORSA SOKAĞI,2020,2197.32
14,DERKA ARALIĞI,2020,2638.03
15,DERKA SOKAĞI,2020,2638.03
16,DUTLUK SOKAĞI,2020,2197.32
17,E-5 KARAYOLU,2020,8793.05
18,EKOL SOKAĞI,2020,2638.03
19,ELİF EFENDİ ÇIKMAZI,2020,2638.03
20,ELİF EFENDİ SOKAĞI,2020,3139.75
21,FUADİYE ÇIKMAZI,2020,2638.03
22,FUADİYE SOKAĞI,2020,2638.03
23,GAYSUNİ MEHMET EFENDİ SOKAĞI,2020,3139.75
24,GÜLDÜRMEZ SOKAĞI,2020,2638.03
25,HACI GÜLSEN ÇIKMAZI,2020,3139.75
26,HALICIOĞLU KAVŞAĞI,2020,8793.05
27,HALICIOĞLU OKMEYDANI CADDESİ,2020,8793.05
28,HAMAM ARKASI SOKAĞI,2020,3139.75
29,İMRAHOR CADDESİ,2020,8793.05
30,KANLI SOKAĞI,2020,8793.05
31,KAR SOKAĞI,2020,3139.75
32,KARAAĞAÇ CADDESİ,2020,8793.05
33,KAZIM KARABEKİR CADDESİ,2020,8793.05
34,KELKİT SOKAĞI,2020,3139.75
35,KESER SOKAĞI,2020,2197.32
36,KIRKAYAK SOKAĞI,2020,3139.75
37,KISA BAYIR SOKAĞI,2020,2638.03
38,KUMBARAHANE CADDESİ,2020,8793.05
39,LEYLEK SOKAĞI,2020,3139.75
40,MAHMUT DAYI SOKAĞI,2020,3139.75
41,MUHLİS BAKKAL SOKAĞI,2020,3348.9
42,MURAT SOKAĞI,2020,2638.03
43,NAS SOKAĞI,2020,3139.75
44,NURİ KİLLİGİL SOKAĞI,2020,2638.03
45,ÖZGÜR SOKAĞI,2020,3348.9
46,POLİS SOKAĞI,2020,2197.32
47,SAKA SOKAĞI,2020,3139.75
48,SALAŞ SOKAĞI,2020,3139.75
49,SANDALCI KERİM MEZARLIK ARALIĞI,2020,2638.03
50,SANDALCI KERİM SOKAĞI,2020,3139.75
51,SEDEF SOKAĞI,2020,3139.75
52,SULTAN SOKAĞI,2020,2638.03
53,ŞEKER KUYUSU SOKAĞI,2020,3139.75
54,TALİP PAŞA ARKASI ARALIĞI,2020,3348.9
55,TALİP PAŞA ARKASI SOKAĞI,2020,3348.9
56,TALİP PAŞA CAMİ SOKAĞI,2020,3348.9
57,TALİP PAŞA SOKAĞI,2020,3348.9
58,TAVCI SOKAĞI,2020,3348.9
59,UZUN BAYIR SOKAĞI,2020,2638.03
60,YAKUT SOKAĞI,2020,3139.75
61,YAZMACI BAYRAM SOKAĞI,2020,3348.9
62,YENİ BAYIR ARALIĞI,2020,2197.32
63,YENİ BAYIR SOKAĞI,2020,2638.03
64,YENİ ÇINAR SOKAĞI,2020,2638.03
65,YUNUS SOKAĞI,2020,3139.75
66,ZOR BAYIR SOKAĞI,2020,2638.03
67,AKDAĞ SOKAĞI,2019,2370.41
68,AKŞAHİN SOKAĞI,2019,2370.41
69,AKTARLAR KAHYASI SOKAĞI,2019,2821.23
70,ATMACA SOKAĞI,2019,2821.23
71,BADE SOKAĞI,2019,2821.23
72,BAYIR SOKAĞI,2019,2370.41
73,BAYRAK SOKAĞI,2019,2821.23
74,BEKÇİ SOKAĞI,2019,2821.23
75,BERBER SOKAĞI,2019,2821.23
76,BILDIRCIN SOKAĞI,2019,2821.23
77,BİNEKTAŞI SOKAĞI,2019,2821.23
78,ÇELEBİ SOKAĞI,2019,3009.16
79,DAMAR SOKAĞI,2019,2821.23
80,DEREİÇİ BORSA SOKAĞI,2019,1974.41
81,DERKA ARALIĞI,2019,2370.41
82,DERKA SOKAĞI,2019,2370.41
83,DUTLUK SOKAĞI,2019,1974.41
84,E-5 KARAYOLU,2019,7901.02
85,EKOL SOKAĞI,2019,2370.41
86,ELİF EFENDİ ÇIKMAZI,2019,2370.41
87,ELİF EFENDİ SOKAĞI,2019,2821.23
