,sokak,yil,rayic
0,ACARA SOKAĞI,2020,8793.05
1,AKANSU SOKAĞI,2020,8793.05
2,ARA GÜLER SOKAĞI,2020,10991.62
3,BABAOCAĞI SOKAĞI,2020,6594.47
4,BOĞAZKESEN CADDESİ,2020,13190.19
5,BOSTANİÇİ CAMİİ SOKAĞI,2020,4395.9
6,BOSTANİÇİ ÇEŞME ÇIKMAZI,2020,4395.9
7,BOSTANİÇİ SOKAĞI,2020,4395.9
8,CAMCI FEVZİ SOKAĞI,2020,3112.36
9,CAMCI FEVZİ SOKAĞI,2020,4395.9
10,CİCİM SOKAĞI,2020,4395.9
11,ÇUKUR BOSTAN SOKAĞI,2020,4395.9
12,ESKİ ÇİÇEKÇİ SOKAĞI,2020,8793.05
13,EVCİL ÇIKMAZI,2020,4395.9
14,GÜL BABA SOKAĞI,2020,6594.47
15,İSTİKLAL CADDESİ,2020,46585.86
16,KAPIKULU SOKAĞI,2020,4395.9
17,KARABAŞ CADDESİ,2020,6594.47
18,KARABAŞ DERE SOKAĞI,2020,4395.9
19,KARABAŞ KUYU ÇIKMAZI,2020,4395.9
20,KAYMAKAM REŞAT BEY SOKAĞI,2020,8793.05
21,KIVRINTILI SOKAĞI,2020,4395.9
22,KUMBARACI YOKUŞU,2020,10991.62
23,KUTUCU KERİM SOKAĞI,2020,4395.9
24,MUAMMER KARACA TİYATRO ÇIKMAZI,2020,14028.04
25,NUR-I ZİYA SOKAĞI,2020,10991.62
26,ORDU AĞASI SOKAĞI,2020,4395.9
27,ÖRTME ALTI SOKAĞI,2020,5547.47
28,PARK SOKAĞI,2020,4395.9
29,POSTACILAR SOKAĞI,2020,8793.05
30,SEFER BOSTAN ÇIKMAZI,2020,4395.9
31,SEFER BOSTANI SOKAĞI,2020,4395.9
32,SELAHATTİN ODALARI ÇIKMAZI,2020,4395.9
33,TERCÜMAN ÇIKMAZI,2020,6594.47
34,TOMTOM KAPTAN SOKAĞI,2020,7850.62
35,YENİ ÇARŞI CADDESİ,2020,17587.34
36,ACARA SOKAĞI,2019,7901.02
37,AKANSU SOKAĞI,2019,7901.02
38,ARA GÜLER SOKAĞI,2019,9876.56
39,BABAOCAĞI SOKAĞI,2019,5925.48
40,BOĞAZKESEN CADDESİ,2019,11852.09
41,BOSTANİÇİ CAMİİ SOKAĞI,2019,3949.95
42,BOSTANİÇİ ÇEŞME ÇIKMAZI,2019,3949.95
43,BOSTANİÇİ SOKAĞI,2019,3949.95
44,CAMCI FEVZİ SOKAĞI,2019,3949.95
45,CAMCI FEVZİ SOKAĞI,2019,2796.62
46,CİCİM SOKAĞI,2019,3949.95
47,ÇUKUR BOSTAN SOKAĞI,2019,3949.95
48,ESKİ ÇİÇEKÇİ SOKAĞI,2019,7901.02
49,EVCİL ÇIKMAZI,2019,3949.95
50,GÜL BABA SOKAĞI,2019,5925.48
51,İSTİKLAL CADDESİ,2019,41859.88
52,KAPIKULU SOKAĞI,2019,3949.95
53,KARABAŞ CADDESİ,2019,5925.48
54,KARABAŞ DERE SOKAĞI,2019,3949.95
55,KARABAŞ KUYU ÇIKMAZI,2019,3949.95
56,KAYMAKAM REŞAT BEY SOKAĞI,2019,7901.02
57,KIVRINTILI SOKAĞI,2019,3949.95
58,KUMBARACI YOKUŞU,2019,9876.56
59,KUTUCU KERİM SOKAĞI,2019,3949.95
60,MUAMMER KARACA TİYATRO ÇIKMAZI,2019,12604.94
61,NUR-I ZİYA SOKAĞI,2019,9876.56
62,ORDU AĞASI SOKAĞI,2019,3949.95
63,ÖRTME ALTI SOKAĞI,2019,4984.7
64,PARK SOKAĞI,2019,3949.95
65,POSTACILAR SOKAĞI,2019,7901.02
66,SEFER BOSTAN ÇIKMAZI,2019,3949.95
67,SEFER BOSTANI SOKAĞI,2019,3949.95
68,SELAHATTİN ODALARI ÇIKMAZI,2019,3949.95
69,TERCÜMAN ÇIKMAZI,2019,5925.48
70,TOMTOM KAPTAN SOKAĞI,2019,7054.2
71,YENİ ÇARŞI CADDESİ,2019,15803.16
72,ACARA SOKAĞI,2018,7063.0
73,AKANSU SOKAĞI,2018,7063.0
74,ARA GÜLER SOKAĞI,2018,8829.0
75,BABAOCAĞI SOKAĞI,2018,5297.0
76,BOĞAZKESEN CADDESİ,2018,10595.0
77,BOSTANİÇİ CAMİİ SOKAĞI,2018,3531.0
78,BOSTANİÇİ ÇEŞME ÇIKMAZI,2018,3531.0
79,BOSTANİÇİ SOKAĞI,2018,3531.0
80,CAMCI FEVZİ SOKAĞI,2018,3531.0
81,CAMCI FEVZİ SOKAĞI,2018,2500.0
82,CİCİM SOKAĞI,2018,3531.0
83,ÇUKUR BOSTAN SOKAĞI,2018,3531.0
84,ESKİ ÇİÇEKÇİ SOKAĞI,2018,7063.0
85,EVCİL ÇIKMAZI,2018,3531.0
86,GÜL BABA SOKAĞI,2018,5297.0
87,İSTİKLAL CADDESİ,2018,37420.0
88,KAPIKULU SOKAĞI,2018,3531.0
89,KARABAŞ CADDESİ,2018,5297.0
90,KARABAŞ DERE SOKAĞI,2018,3531.0
91,KARABAŞ KUYU ÇIKMAZI,2018,3531.0
92,KAYMAKAM REŞAT BEY SOKAĞI,2018,7063.0
93,KIVRINTILI SOKAĞI,2018,3531.0
94,KUMBARACI YOKUŞU,2018,8829.0
95,KUTUCU KERİM SOKAĞI,2018,3531.0
96,MUAMMER KARACA TİYATRO ÇIKMAZI,2018,11268.0
97,NUR-I ZİYA SOKAĞI,2018,8829.0
98,ORDU AĞASI SOKAĞI,2018,3531.0
99,ÖRTME ALTI SOKAĞI,2018,4456.0
100,PARK SOKAĞI,2018,3531.0
101,POSTACILAR SOKAĞI,2018,7063.0
102,SEFER BOSTAN ÇIKMAZI,2018,3531.0
103,SEFER BOSTANI SOKAĞI,2018,3531.0
104,SELAHATTİN ODALARI ÇIKMAZI,2018,3531.0
105,TERCÜMAN ÇIKMAZI,2018,5297.0
106,TOMTOM KAPTAN SOKAĞI,2018,6306.0
107,YENİ ÇARŞI CADDESİ,2018,14127.0
108,ACARA SOKAĞI,2017,4709.11
109,AKANSU SOKAĞI,2017,4709.11
110,ARA GÜLER SOKAĞI,2017,5886.39
111,BABAOCAĞI SOKAĞI,2017,3531.83
112,BOĞAZKESEN CADDESİ,2017,7063.67
113,BOSTANİÇİ CAMİİ SOKAĞI,2017,2354.55
114,BOSTANİÇİ ÇEŞME ÇIKMAZI,2017,2354.55
115,BOSTANİÇİ SOKAĞI,2017,2354.55
116,CAMCI FEVZİ SOKAĞI,2017,2354.55
117,CİCİM SOKAĞI,2017,2354.55
118,ÇUKUR BOSTAN SOKAĞI,2017,2354.55
119,ESKİ ÇİÇEKÇİ SOKAĞI,2017,4709.11
120,EVCİL ÇIKMAZI,2017,2354.55
121,GÜL BABA SOKAĞI,2017,3531.83
122,İSTİKLAL CADDESİ,2017,24947.12
123,KAPIKULU SOKAĞI,2017,2354.55
124,KARABAŞ CADDESİ,2017,3531.83
125,KARABAŞ DERE SOKAĞI,2017,2354.55
126,KARABAŞ KUYU ÇIKMAZI,2017,2354.55
127,KAYMAKAM REŞAT BEY SOKAĞI,2017,4709.11
128,KIVRINTILI SOKAĞI,2017,2354.55
129,KUMBARACI YOKUŞU,2017,5886.39
130,KUTUCU KERİM SOKAĞI,2017,2354.55
131,MUAMMER KARACA TİYATRO ÇIKMAZI,2017,7512.16
132,NUR-I ZİYA SOKAĞI,2017,5886.39
133,ORDU AĞASI SOKAĞI,2017,2354.55
134,ÖRTME ALTI SOKAĞI,2017,2971.23
135,PARK SOKAĞI,2017,2354.55
136,POSTACILAR SOKAĞI,2017,4709.11
137,SEFER BOSTAN ÇIKMAZI,2017,2354.55
138,SEFER BOSTANI SOKAĞI,2017,2354.55
139,SELAHATTİN ODALARI ÇIKMAZI,2017,2354.55
140,TERCÜMAN ÇIKMAZI,2017,3531.83
141,TOMTOM KAPTAN SOKAĞI,2017,4204.57
142,YENİ ÇARŞI CADDESİ,2017,9418.23
143,ACARA SOKAĞI,2016,4535.41
144,AKANSU SOKAĞI,2016,4535.41
145,ARA GÜLER SOKAĞI,2016,5669.26
146,BABAOCAĞI SOKAĞI,2016,3401.56
147,BOĞAZKESEN CADDESİ,2016,6803.12
148,BOSTANİÇİ CAMİİ SOKAĞI,2016,2267.7
149,BOSTANİÇİ ÇEŞME ÇIKMAZI,2016,2267.7
150,BOSTANİÇİ SOKAĞI,2016,2267.7
151,CAMCI FEVZİ SOKAĞI,2016,2267.7
152,CİCİM SOKAĞI,2016,2267.7
153,ÇUKUR BOSTAN SOKAĞI,2016,2267.7
154,ESKİ ÇİÇEKÇİ SOKAĞI,2016,4535.41
155,EVCİL ÇIKMAZI,2016,2267.7
156,GÜL BABA SOKAĞI,2016,3401.56
157,İSTİKLAL CADDESİ,2016,24026.89
158,KAPIKULU SOKAĞI,2016,2267.7
159,KARABAŞ CADDESİ,2016,3401.56
160,KARABAŞ DERE SOKAĞI,2016,2267.7
161,KARABAŞ KUYU ÇIKMAZI,2016,2267.7
162,KAYMAKAM REŞAT BEY SOKAĞI,2016,4535.41
163,KIVRINTILI SOKAĞI,2016,2267.7
164,KUMBARACI YOKUŞU,2016,5669.26
165,KUTUCU KERİM SOKAĞI,2016,2267.7
166,MUAMMER KARACA TİYATRO ÇIKMAZI,2016,7235.06
167,NUR-I ZİYA SOKAĞI,2016,5669.26
168,ORDU AĞASI SOKAĞI,2016,2267.7
169,ÖRTME ALTI SOKAĞI,2016,2861.62
170,PARK SOKAĞI,2016,2267.7
171,POSTACILAR SOKAĞI,2016,4535.41
172,SEFER BOSTAN ÇIKMAZI,2016,2267.7
173,SEFER BOSTANI SOKAĞI,2016,2267.7
174,SELAHATTİN ODALARI ÇIKMAZI,2016,2267.7
175,TERCÜMAN ÇIKMAZI,2016,3401.56
176,TOMTOM KAPTAN SOKAĞI,2016,4049.47
177,YENİ ÇARŞI CADDESİ,2016,9070.82
178,ACARA SOKAĞI,2015,4412.31
179,AKANSU SOKAĞI,2015,4412.31
180,ARA GÜLER SOKAĞI,2015,5515.38
181,BABAOCAĞI SOKAĞI,2015,3309.23
182,BOĞAZKESEN CADDESİ,2015,6618.46
183,BOSTANİÇİ CAMİİ SOKAĞI,2015,2206.15
184,BOSTANİÇİ ÇEŞME ÇIKMAZI,2015,2206.15
185,BOSTANİÇİ SOKAĞI,2015,2206.15
186,CAMCI FEVZİ SOKAĞI,2015,2206.15
187,CİCİM SOKAĞI,2015,2206.15
188,ÇUKUR BOSTAN SOKAĞI,2015,2206.15
189,ESKİ ÇİÇEKÇİ SOKAĞI,2015,4412.31
190,EVCİL ÇIKMAZI,2015,2206.15
191,GÜL BABA SOKAĞI,2015,3309.23
192,İSTİKLAL CADDESİ,2015,23374.73
193,KAPIKULU SOKAĞI,2015,2206.15
194,KARABAŞ CADDESİ,2015,3309.23
195,KARABAŞ DERE SOKAĞI,2015,2206.15
196,KARABAŞ KUYU ÇIKMAZI,2015,2206.15
197,KAYMAKAM REŞAT BEY SOKAĞI,2015,4412.31
198,KIVRINTILI SOKAĞI,2015,2206.15
199,KUMBARACI YOKUŞU,2015,5515.38
200,KUTUCU KERİM SOKAĞI,2015,2206.15
201,MUAMMER KARACA TİYATRO ÇIKMAZI,2015,7038.68
202,NUR-I ZİYA SOKAĞI,2015,5515.38
203,ORDU AĞASI SOKAĞI,2015,2206.15
204,ÖRTME ALTI SOKAĞI,2015,2783.95
205,PARK SOKAĞI,2015,2206.15
206,POSTACILAR SOKAĞI,2015,4412.31
207,SEFER BOSTAN ÇIKMAZI,2015,2206.15
208,SEFER BOSTANI SOKAĞI,2015,2206.15
209,SELAHATTİN ODALARI ÇIKMAZI,2015,2206.15
210,TERCÜMAN ÇIKMAZI,2015,3309.23
211,TOMTOM KAPTAN SOKAĞI,2015,3939.56
212,YENİ ÇARŞI CADDESİ,2015,8824.62
213,ACARA SOKAĞI,2014,4200.0
214,AKANSU SOKAĞI,2014,4200.0
215,ARA GÜLER SOKAĞI,2014,5250.0
216,BABAOCAĞI SOKAĞI,2014,3150.0
217,BOĞAZKESEN CADDESİ,2014,6300.0
218,BOSTANİÇİ CAMİİ SOKAĞI,2014,2100.0
219,BOSTANİÇİ ÇEŞME ÇIKMAZI,2014,2100.0
220,BOSTANİÇİ SOKAĞI,2014,2100.0
221,CAMCI FEVZİ SOKAĞI,2014,2100.0
222,CİCİM SOKAĞI,2014,2100.0
223,ÇUKUR BOSTAN SOKAĞI,2014,2100.0
224,ESKİ ÇİÇEKÇİ SOKAĞI,2014,4200.0
225,EVCİL ÇIKMAZI,2014,2100.0
226,GÜL BABA SOKAĞI,2014,3150.0
227,İSTİKLAL CADDESİ,2014,22250.0
228,KAPIKULU SOKAĞI,2014,2100.0
229,KARABAŞ CADDESİ,2014,3150.0
230,KARABAŞ DERE SOKAĞI,2014,2100.0
231,KARABAŞ KUYU ÇIKMAZI,2014,2100.0
232,KAYMAKAM REŞAT BEY SOKAĞI,2014,4200.0
233,KIVRINTILI SOKAĞI,2014,2100.0
234,KUMBARACI YOKUŞU,2014,5250.0
235,KUTUCU KERİM SOKAĞI,2014,2100.0
236,MUAMMER KARACA TİYATRO ÇIKMAZI,2014,6700.0
237,NUR-I ZİYA SOKAĞI,2014,5250.0
238,ORDU AĞASI SOKAĞI,2014,2100.0
239,ÖRTME ALTI SOKAĞI,2014,2650.0
240,PARK SOKAĞI,2014,2100.0
241,POSTACILAR SOKAĞI,2014,4200.0
242,SEFER BOSTAN ÇIKMAZI,2014,2100.0
243,SEFER BOSTANI SOKAĞI,2014,2100.0
244,SELAHATTİN ODALARI ÇIKMAZI,2014,2100.0
245,TERCÜMAN ÇIKMAZI,2014,3150.0
246,TOMTOM KAPTAN SOKAĞI,2014,3750.0
247,YENİ ÇARŞI CADDESİ,2014,8400.0
248,ACARA SOKAĞI,2013,4196.84
249,AKANSU SOKAĞI,2013,4196.84
250,ARA GÜLER SOKAĞI,2013,5246.05
251,BABAOCAĞI SOKAĞI,2013,3147.64
252,BOĞAZKESEN CADDESİ,2013,6295.26
253,BOSTANİÇİ CAMİİ SOKAĞI,2013,2098.42
254,BOSTANİÇİ ÇEŞME ÇIKMAZI,2013,2098.42
255,BOSTANİÇİ SOKAĞI,2013,2098.42
256,CAMCI FEVZİ SOKAĞI,2013,2098.42
257,CİCİM SOKAĞI,2013,2098.42
258,ÇUKUR BOSTAN SOKAĞI,2013,2098.42
259,ESKİ ÇİÇEKÇİ SOKAĞI,2013,4196.84
260,EVCİL ÇIKMAZI,2013,2098.42
261,GÜL BABA SOKAĞI,2013,3147.64
262,İSTİKLAL CADDESİ,2013,20984.19
263,KAPIKULU SOKAĞI,2013,2098.42
264,KARABAŞ CADDESİ,2013,3147.64
265,KARABAŞ DERE SOKAĞI,2013,2098.42
266,KARABAŞ KUYU ÇIKMAZI,2013,2098.42
267,KAYMAKAM REŞAT BEY SOKAĞI,2013,4196.84
268,KIVRINTILI SOKAĞI,2013,2098.42
269,KUMBARACI YOKUŞU,2013,5246.05
270,KUTUCU KERİM SOKAĞI,2013,2098.42
271,MUAMMER KARACA TİYATRO ÇIKMAZI,2013,6665.57
272,NUR-I ZİYA SOKAĞI,2013,5246.05
273,ORDU AĞASI SOKAĞI,2013,2098.42
274,ÖRTME ALTI SOKAĞI,2013,2623.03
275,PARK SOKAĞI,2013,2098.42
276,POSTACILAR SOKAĞI,2013,4196.84
277,SEFER BOSTAN ÇIKMAZI,2013,2098.42
278,SEFER BOSTANI SOKAĞI,2013,2098.42
279,SELAHATTİN ODALARI ÇIKMAZI,2013,2098.42
280,TERCÜMAN ÇIKMAZI,2013,3147.64
281,TOMTOM KAPTAN SOKAĞI,2013,3703.1
282,YENİ ÇARŞI CADDESİ,2013,8393.68
283,ACARA SOKAĞI,2012,3893.18
284,AKANSU SOKAĞI,2012,3893.18
285,ARA GÜLER SOKAĞI,2012,4866.47
286,BABAOCAĞI SOKAĞI,2012,2919.89
287,BOĞAZKESEN CADDESİ,2012,5839.76
288,BOSTANİÇİ CAMİİ SOKAĞI,2012,1946.59
289,BOSTANİÇİ ÇEŞME ÇIKMAZI,2012,1946.59
290,BOSTANİÇİ SOKAĞI,2012,1946.59
291,CAMCI FEVZİ SOKAĞI,2012,1946.59
292,CİCİM SOKAĞI,2012,1946.59
293,ÇUKUR BOSTAN SOKAĞI,2012,1946.59
294,ESKİ ÇİÇEKÇİ SOKAĞI,2012,3893.18
295,EVCİL ÇIKMAZI,2012,1946.59
296,GÜL BABA SOKAĞI,2012,2919.89
297,İSTİKLAL CADDESİ,2012,19465.86
298,KAPIKULU SOKAĞI,2012,1946.59
299,KARABAŞ CADDESİ,2012,2919.89
300,KARABAŞ DERE SOKAĞI,2012,1946.59
301,KARABAŞ KUYU ÇIKMAZI,2012,1946.59
302,KAYMAKAM REŞAT BEY SOKAĞI,2012,3893.18
303,KIVRINTILI SOKAĞI,2012,1946.59
304,KUMBARACI YOKUŞU,2012,4866.47
305,KUTUCU KERİM SOKAĞI,2012,1946.59
306,MUAMMER KARACA TİYATRO ÇIKMAZI,2012,6183.28
307,NUR-I ZİYA SOKAĞI,2012,4866.47
308,ORDU AĞASI SOKAĞI,2012,1946.59
309,ÖRTME ALTI SOKAĞI,2012,2433.24
310,PARK SOKAĞI,2012,1946.59
311,POSTACILAR SOKAĞI,2012,3893.18
312,SEFER BOSTAN ÇIKMAZI,2012,1946.59
313,SEFER BOSTANI SOKAĞI,2012,1946.59
314,SELAHATTİN ODALARI ÇIKMAZI,2012,1946.59
315,TERCÜMAN ÇIKMAZI,2012,2919.89
316,TOMTOM KAPTAN SOKAĞI,2012,3435.16
317,YENİ ÇARŞI CADDESİ,2012,7786.35
318,ACARA SOKAĞI,2011,3530.9
319,AKANSU SOKAĞI,2011,3530.9
320,ARA GÜLER SOKAĞI,2011,4413.63
321,BABAOCAĞI SOKAĞI,2011,2648.18
322,BOĞAZKESEN CADDESİ,2011,5296.35
323,BOSTANİÇİ CAMİİ SOKAĞI,2011,1765.45
324,BOSTANİÇİ ÇEŞME ÇIKMAZI,2011,1765.45
325,BOSTANİÇİ SOKAĞI,2011,1765.45
326,CAMCI FEVZİ SOKAĞI,2011,1765.45
327,CİCİM SOKAĞI,2011,1765.45
328,ÇUKUR BOSTAN SOKAĞI,2011,1765.45
329,ESKİ ÇİÇEKÇİ SOKAĞI,2011,3530.9
330,EVCİL ÇIKMAZI,2011,1765.45
331,GÜL BABA SOKAĞI,2011,2648.18
332,İSTİKLAL CADDESİ,2011,17654.5
333,KAPIKULU SOKAĞI,2011,1765.45
334,KARABAŞ CADDESİ,2011,2648.18
335,KARABAŞ DERE SOKAĞI,2011,1765.45
336,KARABAŞ KUYU ÇIKMAZI,2011,1765.45
337,KAYMAKAM REŞAT BEY SOKAĞI,2011,3530.9
338,KIVRINTILI SOKAĞI,2011,1765.45
339,KUMBARACI YOKUŞU,2011,4413.63
340,KUTUCU KERİM SOKAĞI,2011,1765.45
341,MUAMMER KARACA TİYATRO ÇIKMAZI,2011,5607.9
342,NUR-I ZİYA SOKAĞI,2011,4413.63
343,ORDU AĞASI SOKAĞI,2011,1765.45
344,ÖRTME ALTI SOKAĞI,2011,2206.82
345,PARK SOKAĞI,2011,1765.45
346,POSTACILAR SOKAĞI,2011,3530.9
347,SEFER BOSTAN ÇIKMAZI,2011,1765.45
348,SEFER BOSTANI SOKAĞI,2011,1765.45
349,SELAHATTİN ODALARI ÇIKMAZI,2011,1765.45
350,TERCÜMAN ÇIKMAZI,2011,2648.18
351,TOMTOM KAPTAN SOKAĞI,2011,3115.5
352,YENİ ÇARŞI CADDESİ,2011,7061.8
353,ACARA SOKAĞI,2010,3400.0
354,AKANSU SOKAĞI,2010,3400.0
355,ARA GÜLER SOKAĞI,2010,4250.0
356,BABAOCAĞI SOKAĞI,2010,2550.0
357,BOĞAZKESEN CADDESİ,2010,5100.0
358,BOSTANİÇİ CAMİİ SOKAĞI,2010,1700.0
359,BOSTANİÇİ ÇEŞME ÇIKMAZI,2010,1700.0
360,BOSTANİÇİ SOKAĞI,2010,1700.0
361,CAMCI FEVZİ SOKAĞI,2010,1700.0
362,CİCİM SOKAĞI,2010,1700.0
363,ÇUKUR BOSTAN SOKAĞI,2010,1700.0
364,ESKİ ÇİÇEKÇİ SOKAĞI,2010,3400.0
365,EVCİL ÇIKMAZI,2010,1700.0
366,GÜL BABA SOKAĞI,2010,2550.0
367,İSTİKLAL CADDESİ,2010,17000.0
368,KAPIKULU SOKAĞI,2010,1700.0
369,KARABAŞ CADDESİ,2010,2550.0
370,KARABAŞ DERE SOKAĞI,2010,1700.0
371,KARABAŞ KUYU ÇIKMAZI,2010,1700.0
372,KAYMAKAM REŞAT BEY SOKAĞI,2010,3400.0
373,KIVRINTILI SOKAĞI,2010,1700.0
374,KUMBARACI YOKUŞU,2010,4250.0
375,KUTUCU KERİM SOKAĞI,2010,1700.0
376,MUAMMER KARACA TİYATRO ÇIKMAZI,2010,5400.0
377,NUR-I ZİYA SOKAĞI,2010,4250.0
378,ORDU AĞASI SOKAĞI,2010,1700.0
379,ÖRTME ALTI SOKAĞI,2010,2125.0
380,PARK SOKAĞI,2010,1700.0
381,POSTACILAR SOKAĞI,2010,3400.0
382,SEFER BOSTAN ÇIKMAZI,2010,1700.0
