,sokak,yil,rayic
0,ALTI OCAK SOKAĞI,2020,3348.9
1,AŞIKLAR MEYDANI ÇIKMAZI,2020,4395.9
2,AŞIKLAR MEYDANI SOKAĞI,2020,5547.47
3,AYNALI ÇEŞME CADDESİ,2020,7746.05
4,BAHRİYE CADDESİ,2020,15597.92
5,ÇİVİCİ SOKAĞI,2020,6594.47
6,DENİZCİ SOKAĞI,2020,3348.9
7,ESKİ KARAKOL SOKAĞI,2020,5547.47
8,KARACI ÇIKMAZI,2020,5547.47
9,KASIMPAŞA BOSTANI SOKAĞI,2020,6594.47
10,KASIMPAŞA YAĞHANESİ SOKAĞI,2020,6594.47
11,LEVENT ÇIKMAZI,2020,3348.9
12,NEVA SOKAĞI,2020,6594.47
13,ORTA MEKTEP SOKAĞI,2020,3348.9
14,PİRİNÇÇİ KAHYA SOKAĞI,2020,3348.9
15,PİYADE ÇIKMAZI,2020,3348.9
16,REFİK SAYDAM CADDESİ,2020,25124.24
17,SİPAHİ FIRINI SOKAĞI,2020,6594.47
18,ŞEHİT ŞEYHMUZ DEMİR SOKAĞI,2020,3348.9
19,TAHTA FIRIN SOKAĞI,2020,5547.47
20,YAKUPAĞA SOKAĞI,2020,6594.47
21,YILDIZ SOKAĞI,2020,2197.32
22,ZEYTİN DALI SOKAK,2020,3348.9
23,ALTI OCAK SOKAĞI,2019,3009.16
24,AŞIKLAR MEYDANI ÇIKMAZI,2019,3949.95
25,AŞIKLAR MEYDANI SOKAĞI,2019,4984.7
26,AYNALI ÇEŞME CADDESİ,2019,6960.24
27,BAHRİYE CADDESİ,2019,14015.56
28,ÇİVİCİ SOKAĞI,2019,5925.48
29,DENİZCİ SOKAĞI,2019,3009.16
30,ESKİ KARAKOL SOKAĞI,2019,4984.7
31,KARACI ÇIKMAZI,2019,4984.7
32,KASIMPAŞA BOSTANI SOKAĞI,2019,5925.48
33,KASIMPAŞA YAĞHANESİ SOKAĞI,2019,5925.48
34,LEVENT ÇIKMAZI,2019,3009.16
35,NEVA SOKAĞI,2019,5925.48
36,ORTA MEKTEP SOKAĞI,2019,3009.16
37,PİRİNÇÇİ KAHYA SOKAĞI,2019,3009.16
38,PİYADE ÇIKMAZI,2019,3009.16
39,REFİK SAYDAM CADDESİ,2019,22575.47
40,SİPAHİ FIRINI SOKAĞI,2019,5925.48
41,ŞEHİT ŞEYHMUZ DEMİR SOKAĞI,2019,3009.16
42,TAHTA FIRIN SOKAĞI,2019,4984.7
43,YAKUPAĞA SOKAĞI,2019,5925.48
44,YILDIZ SOKAĞI,2019,1974.41
45,ZEYTİN DALI SOKAK,2019,3009.16
46,ALTI OCAK SOKAĞI,2018,2690.0
47,AŞIKLAR MEYDANI ÇIKMAZI,2018,3531.0
48,AŞIKLAR MEYDANI SOKAĞI,2018,4456.0
49,AYNALI ÇEŞME CADDESİ,2018,6222.0
50,BAHRİYE CADDESİ,2018,12529.0
51,ÇİVİCİ SOKAĞI,2018,5297.0
52,DENİZCİ SOKAĞI,2018,2690.0
53,ESKİ KARAKOL SOKAĞI,2018,4456.0
54,KARACI ÇIKMAZI,2018,4456.0
55,KASIMPAŞA BOSTANI SOKAĞI,2018,5297.0
56,KASIMPAŞA YAĞHANESİ SOKAĞI,2018,5297.0
57,LEVENT ÇIKMAZI,2018,2690.0
58,NEVA SOKAĞI,2018,5297.0
59,ORTA MEKTEP SOKAĞI,2018,2690.0
60,PİRİNÇÇİ KAHYA SOKAĞI,2018,2690.0
61,PİYADE ÇIKMAZI,2018,2690.0
62,REFİK SAYDAM CADDESİ,2018,20181.0
63,SİPAHİ FIRINI SOKAĞI,2018,5297.0
64,ŞEHİT ŞEYHMUZ DEMİR SOKAĞI,2018,2690.0
65,TAHTA FIRIN SOKAĞI,2018,4456.0
66,YAKUPAĞA SOKAĞI,2018,5297.0
67,YILDIZ SOKAĞI,2018,1765.0
68,ZEYTİN DALI SOKAK,2018,2690.0
69,ALTI OCAK SOKAĞI,2017,1793.95
70,AŞIKLAR MEYDANI ÇIKMAZI,2017,2354.55
71,AŞIKLAR MEYDANI SOKAĞI,2017,2971.23
72,AYNALI ÇEŞME CADDESİ,2017,4148.51
73,BAHRİYE CADDESİ,2017,8353.08
74,ÇİVİCİ SOKAĞI,2017,3531.83
75,DENİZCİ SOKAĞI,2017,1793.95
76,ESKİ KARAKOL SOKAĞI,2017,2971.23
77,KARACI ÇIKMAZI,2017,2971.23
78,KASIMPAŞA BOSTANI SOKAĞI,2017,3531.83
79,KASIMPAŞA YAĞHANESİ SOKAĞI,2017,3531.83
80,LEVENT ÇIKMAZI,2017,1793.95
81,NEVA SOKAĞI,2017,3531.83
82,ORTA MEKTEP SOKAĞI,2017,1793.95
83,PİRİNÇÇİ KAHYA SOKAĞI,2017,1793.95
84,PİYADE ÇIKMAZI,2017,1793.95
85,REFİK SAYDAM CADDESİ,2017,13454.62
86,SİPAHİ FIRINI SOKAĞI,2017,3531.83
87,ŞEHİT ŞEYHMUZ DEMİR SOKAĞI,2017,1793.95
88,TAHTA FIRIN SOKAĞI,2017,2971.23
89,YAKUPAĞA SOKAĞI,2017,3531.83
90,YILDIZ SOKAĞI,2017,1177.27
91,ZEYTİN DALI SOKAK,2017,1793.95
92,ALTI OCAK SOKAĞI,2016,1727.77
93,AŞIKLAR MEYDANI ÇIKMAZI,2016,2267.7
94,AŞIKLAR MEYDANI SOKAĞI,2016,2861.62
95,AYNALI ÇEŞME CADDESİ,2016,3995.48
96,BAHRİYE CADDESİ,2016,8044.95
97,ÇİVİCİ SOKAĞI,2016,3401.56
98,DENİZCİ SOKAĞI,2016,1727.77
99,ESKİ KARAKOL SOKAĞI,2016,2861.62
100,KARACI ÇIKMAZI,2016,2861.62
101,KASIMPAŞA BOSTANI SOKAĞI,2016,3401.56
102,KASIMPAŞA YAĞHANESİ SOKAĞI,2016,3401.56
103,LEVENT ÇIKMAZI,2016,1727.77
104,NEVA SOKAĞI,2016,3401.56
105,ORTA MEKTEP SOKAĞI,2016,1727.77
106,PİRİNÇÇİ KAHYA SOKAĞI,2016,1727.77
107,PİYADE ÇIKMAZI,2016,1727.77
108,REFİK SAYDAM CADDESİ,2016,12958.32
109,SİPAHİ FIRINI SOKAĞI,2016,3401.56
