,sokak,yil,rayic
0,AKSİ SOKAĞI,2020,3348.9
1,ALÇAKDAM SOKAĞI,2020,3977.6
2,ALİ AĞA SOKAĞI,2020,4395.9
3,AVŞAR SOKAĞI,2020,3348.9
4,AYLIKÇI SOKAĞI,2020,3348.9
5,BABADAĞ SOKAĞI,2020,2638.03
6,BARDAKÇI SOKAĞI,2020,3348.9
7,BEKÇİ MAHMUT SOKAĞI,2020,3348.9
8,CAN ERİĞİ SOKAĞI,2020,4395.9
9,ÇAKMAK SOKAĞI,2020,3348.9
10,ÇAVDAR SOKAĞI,2020,2638.03
11,DEV SÜLEYMAN SOKAĞI,2020,3768.45
12,DİREKÇİBAŞI SOKAĞI,2020,4395.9
13,DÜZENLİK SOKAĞI,2020,2638.03
14,EKŞİNAR SOKAĞI,2020,2197.32
15,FERAH SOKAĞI,2020,4395.9
16,FİTİL SOKAĞI,2020,4395.9
17,GÜLLECİ SOKAĞI,2020,3348.9
18,HACI İLBEY SOKAĞI,2020,4395.9
19,HAKEM SOKAĞI,2020,3768.45
20,HORTUMCU SOKAĞI,2020,3348.9
21,IRMAK CADDESİ,2020,6594.47
22,İSTİFÇİ SOKAĞI,2020,3348.9
23,KABADAYI SOKAĞI,2020,2197.32
24,KAÇAR SOKAĞI,2020,2197.32
25,KALKAN BOSTANI SOKAĞI,2020,2638.03
26,KASAP HURŞİT SOKAĞI,2020,3348.9
27,KATMERLİ SOKAĞI,2020,4395.9
28,KERESTECİ ALİ SOKAĞI,2020,4395.9
29,KOÇYİĞİT SOKAĞI,2020,3348.9
30,KOPUZLU SOKAĞI,2020,2197.32
31,KÖMÜRCÜ LÜTFÜ SOKAĞI,2020,2638.03
32,KURTULUŞ FIRINI SOKAĞI,2020,3348.9
33,KUYUCU KERİM SOKAĞI,2020,3348.9
34,MANDIRA SOKAĞI,2020,3348.9
35,MAVİŞ SOKAĞI,2020,2197.32
36,MİRMİRAN SOKAĞI,2020,3348.9
37,MUHTAR SAADETTİN SOKAĞI,2020,3348.9
38,OYA SOKAĞI,2020,4395.9
39,SAFA MEYDANI SOKAĞI,2020,4395.9
40,SAKSAĞAN SOKAĞI,2020,2197.32
41,SANDALCI SOKAĞI,2020,2197.32
42,SU YOLU SOKAĞI,2020,2197.32
43,TABUR AĞASI SOKAĞI,2020,2638.03
44,TEŞRİFATÇI SOKAĞI,2020,3348.9
45,TIRMIK SOKAĞI,2020,3768.45
46,VARYEMEZ SOKAĞI,2020,2197.32
47,YAMAN ALİ SOKAĞI,2020,3348.9
48,YENİ BOSTANLI SOKAĞI,2020,3348.9
49,YOKUŞBAŞI SOKAĞI,2020,3348.9
50,AKSİ SOKAĞI,2019,3009.16
51,ALÇAKDAM SOKAĞI,2019,3574.08
52,ALİ AĞA SOKAĞI,2019,3949.95
53,AVŞAR SOKAĞI,2019,3009.16
54,AYLIKÇI SOKAĞI,2019,3009.16
55,BABADAĞ SOKAĞI,2019,2370.41
56,BARDAKÇI SOKAĞI,2019,3009.16
57,BEKÇİ MAHMUT SOKAĞI,2019,3009.16
58,CAN ERİĞİ SOKAĞI,2019,3949.95
59,ÇAKMAK SOKAĞI,2019,3009.16
60,ÇAVDAR SOKAĞI,2019,2370.41
61,DEV SÜLEYMAN SOKAĞI,2019,3386.15
62,DİREKÇİBAŞI SOKAĞI,2019,3949.95
63,DÜZENLİK SOKAĞI,2019,2370.41
64,EKŞİNAR SOKAĞI,2019,1974.41
65,FERAH SOKAĞI,2019,3949.95
66,FİTİL SOKAĞI,2019,3949.95
67,GÜLLECİ SOKAĞI,2019,3009.16
68,HACI İLBEY SOKAĞI,2019,3949.95
69,HAKEM SOKAĞI,2019,3386.15
70,HORTUMCU SOKAĞI,2019,3009.16
71,IRMAK CADDESİ,2019,5925.48
72,İSTİFÇİ SOKAĞI,2019,3009.16
73,KABADAYI SOKAĞI,2019,1974.41
74,KAÇAR SOKAĞI,2019,1974.41
75,KALKAN BOSTANI SOKAĞI,2019,2370.41
76,KASAP HURŞİT SOKAĞI,2019,3009.16
77,KATMERLİ SOKAĞI,2019,3949.95
78,KERESTECİ ALİ SOKAĞI,2019,3949.95
79,KOÇYİĞİT SOKAĞI,2019,3009.16
80,KOPUZLU SOKAĞI,2019,1974.41
81,KÖMÜRCÜ LÜTFÜ SOKAĞI,2019,2370.41
82,KURTULUŞ FIRINI SOKAĞI,2019,3009.16
83,KUYUCU KERİM SOKAĞI,2019,3009.16
84,MANDIRA SOKAĞI,2019,3009.16
85,MAVİŞ SOKAĞI,2019,1974.41
86,MİRMİRAN SOKAĞI,2019,3009.16
87,MUHTAR SAADETTİN SOKAĞI,2019,3009.16
88,OYA SOKAĞI,2019,3949.95
89,SAFA MEYDANI SOKAĞI,2019,3949.95
90,SAKSAĞAN SOKAĞI,2019,1974.41
91,SANDALCI SOKAĞI,2019,1974.41
92,SU YOLU SOKAĞI,2019,1974.41
93,TABUR AĞASI SOKAĞI,2019,2370.41
94,TEŞRİFATÇI SOKAĞI,2019,3009.16
95,TIRMIK SOKAĞI,2019,3386.15
96,VARYEMEZ SOKAĞI,2019,1974.41
97,YAMAN ALİ SOKAĞI,2019,3009.16
98,YENİ BOSTANLI SOKAĞI,2019,3009.16
99,YOKUŞBAŞI SOKAĞI,2019,3009.16
100,AKSİ SOKAĞI,2018,2690.0
101,ALÇAKDAM SOKAĞI,2018,3195.0
102,ALİ AĞA SOKAĞI,2018,3531.0
103,AVŞAR SOKAĞI,2018,2690.0
104,AYLIKÇI SOKAĞI,2018,2690.0
105,BABADAĞ SOKAĞI,2018,2119.0
106,BARDAKÇI SOKAĞI,2018,2690.0
