,sokak,yil,rayic
0,AKARCA SOKAĞI,2020,6594.47
1,ARIKAY SOKAĞI,2020,6594.47
2,AŞIKLAR MEYDANI SOKAĞI,2020,5442.9
3,BAHRİYE CADDESİ,2020,15597.92
4,CAMADAN SOKAĞI,2020,3454.72
5,ÇATMA MEKTEP SOKAĞI,2020,3454.72
6,ÇATMA MERDİVEN SOKAĞI,2020,3454.72
7,ÇATMA MESCİD ÇEŞME SOKAĞI,2020,3454.72
8,ÇATMA MESCİD SOKAĞI,2020,3454.72
9,ÇATMA MESCİT ATEŞ AHMET SOKAĞI,2020,3454.72
10,ÇATMA MESCİT KUYU SOKAĞI,2020,3454.72
11,ÇİVİCİ GEÇİDİ SOKAĞI,2020,5442.9
12,ÇİVİCİ SOKAĞI,2020,6594.47
13,DERVİŞ AHMET SOKAĞI,2020,3454.72
14,ELEKTRİK SOKAĞI,2020,5442.9
15,GÜZELCE SOKAĞI,2020,4395.9
16,HAYRATÇI SOKAĞI,2020,6594.47
17,KÜÇÜK HAMAM SOKAĞI,2020,3454.72
18,MEHMET PEHLİVAN SOKAĞI,2020,3454.72
19,REFİK SAYDAM CADDESİ,2020,25124.24
20,SÖĞÜT ÖZÜ SOKAĞI,2020,5442.9
21,TABUR İMAMI SOKAĞI,2020,3454.72
22,TALİ SOKAĞI,2020,6594.47
23,TAŞÇI KEMAL SOKAĞI,2020,3454.72
24,TEPEBAŞI CADDESİ,2020,7850.62
25,TEPEBAŞI ÇAMLIK SOKAĞI,2020,5442.9
26,TOZKOPARAN CAMİİ SOKAĞI,2020,5442.9
27,TRAFO SOKAĞI,2020,6594.47
28,YUNUS KAPTAN SOKAĞI,2020,3454.72
29,AKARCA SOKAĞI,2019,5925.48
30,ARIKAY SOKAĞI,2019,5925.48
31,AŞIKLAR MEYDANI SOKAĞI,2019,4890.73
32,BAHRİYE CADDESİ,2019,14015.56
33,CAMADAN SOKAĞI,2019,3104.25
34,ÇATMA MEKTEP SOKAĞI,2019,3104.25
35,ÇATMA MERDİVEN SOKAĞI,2019,3104.25
36,ÇATMA MESCİD ÇEŞME SOKAĞI,2019,3104.25
37,ÇATMA MESCİD SOKAĞI,2019,3104.25
38,ÇATMA MESCİT ATEŞ AHMET SOKAĞI,2019,3104.25
39,ÇATMA MESCİT KUYU SOKAĞI,2019,3104.25
40,ÇİVİCİ GEÇİDİ SOKAĞI,2019,4890.73
41,ÇİVİCİ SOKAĞI,2019,5925.48
42,DERVİŞ AHMET SOKAĞI,2019,3104.25
43,ELEKTRİK SOKAĞI,2019,4890.73
44,GÜZELCE SOKAĞI,2019,3949.95
45,HAYRATÇI SOKAĞI,2019,5925.48
46,KÜÇÜK HAMAM SOKAĞI,2019,3104.25
47,MEHMET PEHLİVAN SOKAĞI,2019,3104.25
48,REFİK SAYDAM CADDESİ,2019,22575.47
49,SÖĞÜT ÖZÜ SOKAĞI,2019,4890.73
50,TABUR İMAMI SOKAĞI,2019,3104.25
51,TALİ SOKAĞI,2019,5925.48
52,TAŞÇI KEMAL SOKAĞI,2019,3104.25
53,TEPEBAŞI CADDESİ,2019,7054.2
54,TEPEBAŞI ÇAMLIK SOKAĞI,2019,4890.73
55,TOZKOPARAN CAMİİ SOKAĞI,2019,4890.73
56,TRAFO SOKAĞI,2019,5925.48
57,YUNUS KAPTAN SOKAĞI,2019,3104.25
58,AKARCA SOKAĞI,2018,5297.0
59,ARIKAY SOKAĞI,2018,5297.0
60,AŞIKLAR MEYDANI SOKAĞI,2018,4372.0
61,BAHRİYE CADDESİ,2018,12529.0
62,CAMADAN SOKAĞI,2018,2775.0
63,ÇATMA MEKTEP SOKAĞI,2018,2775.0
64,ÇATMA MERDİVEN SOKAĞI,2018,2775.0
65,ÇATMA MESCİD ÇEŞME SOKAĞI,2018,2775.0
66,ÇATMA MESCİD SOKAĞI,2018,2775.0
67,ÇATMA MESCİT ATEŞ AHMET SOKAĞI,2018,2775.0
68,ÇATMA MESCİT KUYU SOKAĞI,2018,2775.0
69,ÇİVİCİ GEÇİDİ SOKAĞI,2018,4372.0
70,ÇİVİCİ SOKAĞI,2018,5297.0
71,DERVİŞ AHMET SOKAĞI,2018,2775.0
72,ELEKTRİK SOKAĞI,2018,4372.0
73,GÜZELCE SOKAĞI,2018,3531.0
74,HAYRATÇI SOKAĞI,2018,5297.0
75,KÜÇÜK HAMAM SOKAĞI,2018,2775.0
76,MEHMET PEHLİVAN SOKAĞI,2018,2775.0
77,REFİK SAYDAM CADDESİ,2018,20181.0
78,SÖĞÜT ÖZÜ SOKAĞI,2018,4372.0
79,TABUR İMAMI SOKAĞI,2018,2775.0
80,TALİ SOKAĞI,2018,5297.0
81,TAŞÇI KEMAL SOKAĞI,2018,2775.0
82,TEPEBAŞI CADDESİ,2018,6306.0
83,TEPEBAŞI ÇAMLIK SOKAĞI,2018,4372.0
84,TOZKOPARAN CAMİİ SOKAĞI,2018,4372.0
85,TRAFO SOKAĞI,2018,5297.0
86,YUNUS KAPTAN SOKAĞI,2018,2775.0
87,AKARCA SOKAĞI,2017,3531.83
88,ARIKAY SOKAĞI,2017,3531.83
89,AŞIKLAR MEYDANI SOKAĞI,2017,2915.16
90,BAHRİYE CADDESİ,2017,8353.08
91,CAMADAN SOKAĞI,2017,1850.01
92,ÇATMA MEKTEP SOKAĞI,2017,1850.01
93,ÇATMA MERDİVEN SOKAĞI,2017,1850.01
94,ÇATMA MESCİD ÇEŞME SOKAĞI,2017,1850.01
95,ÇATMA MESCİD SOKAĞI,2017,1850.01
96,ÇATMA MESCİT ATEŞ AHMET SOKAĞI,2017,1850.01
97,ÇATMA MESCİT KUYU SOKAĞI,2017,1850.01
98,ÇİVİCİ GEÇİDİ SOKAĞI,2017,2915.16
99,ÇİVİCİ SOKAĞI,2017,3531.83
100,DERVİŞ AHMET SOKAĞI,2017,1850.01
101,ELEKTRİK SOKAĞI,2017,2915.16
102,GÜZELCE SOKAĞI,2017,2354.55
103,HAYRATÇI SOKAĞI,2017,3531.83
104,KÜÇÜK HAMAM SOKAĞI,2017,1850.01
105,MEHMET PEHLİVAN SOKAĞI,2017,1850.01
106,REFİK SAYDAM CADDESİ,2017,13454.62
107,SÖĞÜT ÖZÜ SOKAĞI,2017,2915.16
108,TABUR İMAMI SOKAĞI,2017,1850.01
109,TALİ SOKAĞI,2017,3531.83
110,TAŞÇI KEMAL SOKAĞI,2017,1850.01
111,TEPEBAŞI CADDESİ,2017,4204.57
112,TEPEBAŞI ÇAMLIK SOKAĞI,2017,2915.16
113,TOZKOPARAN CAMİİ SOKAĞI,2017,2915.16
114,TRAFO SOKAĞI,2017,3531.83
115,YUNUS KAPTAN SOKAĞI,2017,1850.01
116,AKARCA SOKAĞI,2016,3401.56
117,ARIKAY SOKAĞI,2016,3401.56
118,AŞIKLAR MEYDANI SOKAĞI,2016,2807.63
119,BAHRİYE CADDESİ,2016,8044.95
120,CAMADAN SOKAĞI,2016,1781.76
121,ÇATMA MEKTEP SOKAĞI,2016,1781.76
122,ÇATMA MERDİVEN SOKAĞI,2016,1781.76
123,ÇATMA MESCİD ÇEŞME SOKAĞI,2016,1781.76
124,ÇATMA MESCİD SOKAĞI,2016,1781.76
125,ÇATMA MESCİT ATEŞ AHMET SOKAĞI,2016,1781.76
126,ÇATMA MESCİT KUYU SOKAĞI,2016,1781.76
127,ÇİVİCİ GEÇİDİ SOKAĞI,2016,2807.63
128,ÇİVİCİ SOKAĞI,2016,3401.56
129,DERVİŞ AHMET SOKAĞI,2016,1781.76
130,ELEKTRİK SOKAĞI,2016,2807.63
131,GÜZELCE SOKAĞI,2016,2267.7
132,HAYRATÇI SOKAĞI,2016,3401.56
133,KÜÇÜK HAMAM SOKAĞI,2016,1781.76
134,MEHMET PEHLİVAN SOKAĞI,2016,1781.76
135,REFİK SAYDAM CADDESİ,2016,12958.32
136,SÖĞÜT ÖZÜ SOKAĞI,2016,2807.63
137,TABUR İMAMI SOKAĞI,2016,1781.76
138,TALİ SOKAĞI,2016,3401.56
139,TAŞÇI KEMAL SOKAĞI,2016,1781.76
140,TEPEBAŞI CADDESİ,2016,4049.47
141,TEPEBAŞI ÇAMLIK SOKAĞI,2016,2807.63
142,TOZKOPARAN CAMİİ SOKAĞI,2016,2807.63
143,TRAFO SOKAĞI,2016,3401.56
144,YUNUS KAPTAN SOKAĞI,2016,1781.76
145,AKARCA SOKAĞI,2015,3309.23
146,ARIKAY SOKAĞI,2015,3309.23
147,AŞIKLAR MEYDANI SOKAĞI,2015,2731.43
148,BAHRİYE CADDESİ,2015,7826.59
149,CAMADAN SOKAĞI,2015,1733.4
150,ÇATMA MEKTEP SOKAĞI,2015,1733.4
151,ÇATMA MERDİVEN SOKAĞI,2015,1733.4
152,ÇATMA MESCİD ÇEŞME SOKAĞI,2015,1733.4
153,ÇATMA MESCİD SOKAĞI,2015,1733.4
154,ÇATMA MESCİT ATEŞ AHMET SOKAĞI,2015,1733.4
155,ÇATMA MESCİT KUYU SOKAĞI,2015,1733.4
156,ÇİVİCİ GEÇİDİ SOKAĞI,2015,2731.43
157,ÇİVİCİ SOKAĞI,2015,3309.23
158,DERVİŞ AHMET SOKAĞI,2015,1733.4
159,ELEKTRİK SOKAĞI,2015,2731.43
160,GÜZELCE SOKAĞI,2015,2206.15
161,HAYRATÇI SOKAĞI,2015,3309.23
162,KÜÇÜK HAMAM SOKAĞI,2015,1733.4
163,MEHMET PEHLİVAN SOKAĞI,2015,1733.4
164,REFİK SAYDAM CADDESİ,2015,12606.6
165,SÖĞÜT ÖZÜ SOKAĞI,2015,2731.43
166,TABUR İMAMI SOKAĞI,2015,1733.4
167,TALİ SOKAĞI,2015,3309.23
168,TAŞÇI KEMAL SOKAĞI,2015,1733.4
169,TEPEBAŞI CADDESİ,2015,3939.56
170,TEPEBAŞI ÇAMLIK SOKAĞI,2015,2731.43
171,TOZKOPARAN CAMİİ SOKAĞI,2015,2731.43
172,TRAFO SOKAĞI,2015,3309.23
173,YUNUS KAPTAN SOKAĞI,2015,1733.4
174,AKARCA SOKAĞI,2014,3150.0
175,ARIKAY SOKAĞI,2014,3150.0
176,AŞIKLAR MEYDANI SOKAĞI,2014,2600.0
177,BAHRİYE CADDESİ,2014,7450.0
178,CAMADAN SOKAĞI,2014,1650.0
179,ÇATMA MEKTEP SOKAĞI,2014,1650.0
180,ÇATMA MERDİVEN SOKAĞI,2014,1650.0
181,ÇATMA MESCİD ÇEŞME SOKAĞI,2014,1650.0
182,ÇATMA MESCİD SOKAĞI,2014,1650.0
183,ÇATMA MESCİT ATEŞ AHMET SOKAĞI,2014,1650.0
184,ÇATMA MESCİT KUYU SOKAĞI,2014,1650.0
