,sokak,yil,rayic
0,ADAM MİCKİEWİCZ SOKAĞI,2020,1360.72
1,BABACAN SOKAĞI,2020,1779.02
2,BERBER ŞAHİN SOKAĞI,2020,1988.17
3,BUDAK SOKAĞI,2020,1779.02
4,CEZAYİRLİ HASAN PAŞA SOKAĞI,2020,2197.32
5,ÇUKUR SOKAĞI,2020,2930.6
6,DEMİRBAŞ SOKAĞI,2020,3139.75
7,ERİK SOKAĞI,2020,1988.17
8,FEZA SOKAĞI,2020,1988.17
9,FIÇICI ABDİ SOKAĞI,2020,1988.17
10,GENİŞ YOKUŞU,2020,1988.17
11,HALEPLİ BEKİR SOKAĞI,2020,2197.32
12,KADIN ÇIKMAZI,2020,1360.72
13,KALYONCU KULLUĞU CADDESİ,2020,4186.75
14,KAMER BOSTAN SOKAĞI,2020,1569.87
15,KARAKURUM SOKAĞI,2020,2197.32
16,KARANLIK BAKKAL SOKAĞI,2020,1779.02
17,MERMER SOKAĞI,2020,1988.17
18,NARÇİL SOKAĞI,2020,2197.32
19,PEŞKİRCİ SOKAĞI,2020,2930.6
20,SAKIZ AĞACI CADDESİ,2020,3454.72
21,SALKIM SAÇAK SOKAĞI,2020,1360.72
22,SERDAR ÖMERPAŞA CADDESİ,2020,4395.9
23,ŞEHİT NEVRES SOKAĞI,2020,1988.17
24,TARLABAŞI BULVARI,2020,11724.89
25,TEK KUYULU SOKAĞI,2020,1988.17
26,TİRŞE SOKAĞI,2020,1779.02
27,YENİÇERİ AĞASI SOKAĞI,2020,1988.17
28,ZERDALİ SOKAĞI,2020,2197.32
29,ADAM MİCKİEWİCZ SOKAĞI,2019,1222.68
30,BABACAN SOKAĞI,2019,1598.55
31,BERBER ŞAHİN SOKAĞI,2019,1786.48
32,BUDAK SOKAĞI,2019,1598.55
33,CEZAYİRLİ HASAN PAŞA SOKAĞI,2019,1974.41
34,ÇUKUR SOKAĞI,2019,2633.3
35,DEMİRBAŞ SOKAĞI,2019,2821.23
36,ERİK SOKAĞI,2019,1786.48
37,FEZA SOKAĞI,2019,1786.48
38,FIÇICI ABDİ SOKAĞI,2019,1786.48
39,GENİŞ YOKUŞU,2019,1786.48
40,HALEPLİ BEKİR SOKAĞI,2019,1974.41
41,KADIN ÇIKMAZI,2019,1222.68
42,KALYONCU KULLUĞU CADDESİ,2019,3762.01
43,KAMER BOSTAN SOKAĞI,2019,1410.61
44,KARAKURUM SOKAĞI,2019,1974.41
45,KARANLIK BAKKAL SOKAĞI,2019,1598.55
46,MERMER SOKAĞI,2019,1786.48
47,NARÇİL SOKAĞI,2019,1974.41
48,PEŞKİRCİ SOKAĞI,2019,2633.3
49,SAKIZ AĞACI CADDESİ,2019,3104.25
50,SALKIM SAÇAK SOKAĞI,2019,1222.68
51,SERDAR ÖMERPAŞA CADDESİ,2019,3949.95
52,ŞEHİT NEVRES SOKAĞI,2019,1786.48
53,TARLABAŞI BULVARI,2019,10535.44
54,TEK KUYULU SOKAĞI,2019,1786.48
55,TİRŞE SOKAĞI,2019,1598.55
56,YENİÇERİ AĞASI SOKAĞI,2019,1786.48
57,ZERDALİ SOKAĞI,2019,1974.41
58,ADAM MİCKİEWİCZ SOKAĞI,2018,1093.0
59,BABACAN SOKAĞI,2018,1429.0
60,BERBER ŞAHİN SOKAĞI,2018,1597.0
61,BUDAK SOKAĞI,2018,1429.0
62,CEZAYİRLİ HASAN PAŞA SOKAĞI,2018,1765.0
63,ÇUKUR SOKAĞI,2018,2354.0
64,DEMİRBAŞ SOKAĞI,2018,2522.0
65,ERİK SOKAĞI,2018,1597.0
66,FEZA SOKAĞI,2018,1597.0
67,FIÇICI ABDİ SOKAĞI,2018,1597.0
68,GENİŞ YOKUŞU,2018,1597.0
69,HALEPLİ BEKİR SOKAĞI,2018,1765.0
70,KADIN ÇIKMAZI,2018,1093.0
71,KALYONCU KULLUĞU CADDESİ,2018,3363.0
72,KAMER BOSTAN SOKAĞI,2018,1261.0
73,KARAKURUM SOKAĞI,2018,1765.0
74,KARANLIK BAKKAL SOKAĞI,2018,1429.0
75,MERMER SOKAĞI,2018,1597.0
76,NARÇİL SOKAĞI,2018,1765.0
77,PEŞKİRCİ SOKAĞI,2018,2354.0
78,SAKIZ AĞACI CADDESİ,2018,2775.0
79,SALKIM SAÇAK SOKAĞI,2018,1093.0
80,SERDAR ÖMERPAŞA CADDESİ,2018,3531.0
81,ŞEHİT NEVRES SOKAĞI,2018,1597.0
82,TARLABAŞI BULVARI,2018,9418.0
83,TEK KUYULU SOKAĞI,2018,1597.0
84,TİRŞE SOKAĞI,2018,1429.0
85,YENİÇERİ AĞASI SOKAĞI,2018,1597.0
86,ZERDALİ SOKAĞI,2018,1765.0
87,ADAM MİCKİEWİCZ SOKAĞI,2017,728.79
88,BABACAN SOKAĞI,2017,953.03
89,BERBER ŞAHİN SOKAĞI,2017,1065.15
90,BUDAK SOKAĞI,2017,953.03
91,CEZAYİRLİ HASAN PAŞA SOKAĞI,2017,1177.27
92,ÇUKUR SOKAĞI,2017,1569.7
93,DEMİRBAŞ SOKAĞI,2017,1681.82
94,ERİK SOKAĞI,2017,1065.15
95,FEZA SOKAĞI,2017,1065.15
96,FIÇICI ABDİ SOKAĞI,2017,1065.15
97,GENİŞ YOKUŞU,2017,1065.15
98,HALEPLİ BEKİR SOKAĞI,2017,1177.27
99,KADIN ÇIKMAZI,2017,728.79
100,KALYONCU KULLUĞU CADDESİ,2017,2242.43
101,KAMER BOSTAN SOKAĞI,2017,840.91
102,KARAKURUM SOKAĞI,2017,1177.27
103,KARANLIK BAKKAL SOKAĞI,2017,953.03
104,MERMER SOKAĞI,2017,1065.15
105,NARÇİL SOKAĞI,2017,1177.27
106,PEŞKİRCİ SOKAĞI,2017,1569.7
107,SAKIZ AĞACI CADDESİ,2017,1850.01
108,SALKIM SAÇAK SOKAĞI,2017,728.79
109,SERDAR ÖMERPAŞA CADDESİ,2017,2354.55
110,ŞEHİT NEVRES SOKAĞI,2017,1065.15
111,TARLABAŞI BULVARI,2017,6278.82
112,TEK KUYULU SOKAĞI,2017,1065.15
113,TİRŞE SOKAĞI,2017,953.03
114,YENİÇERİ AĞASI SOKAĞI,2017,1065.15
115,ZERDALİ SOKAĞI,2017,1177.27
116,ADAM MİCKİEWİCZ SOKAĞI,2016,701.9
117,BABACAN SOKAĞI,2016,917.88
118,BERBER ŞAHİN SOKAĞI,2016,1025.86
119,BUDAK SOKAĞI,2016,917.88
120,CEZAYİRLİ HASAN PAŞA SOKAĞI,2016,1133.85
121,ÇUKUR SOKAĞI,2016,1511.8
122,DEMİRBAŞ SOKAĞI,2016,1619.79
123,ERİK SOKAĞI,2016,1025.86
124,FEZA SOKAĞI,2016,1025.86
125,FIÇICI ABDİ SOKAĞI,2016,1025.86
126,GENİŞ YOKUŞU,2016,1025.86
127,HALEPLİ BEKİR SOKAĞI,2016,1133.85
128,KADIN ÇIKMAZI,2016,701.9
129,KALYONCU KULLUĞU CADDESİ,2016,2159.72
130,KAMER BOSTAN SOKAĞI,2016,809.89
131,KARAKURUM SOKAĞI,2016,1133.85
132,KARANLIK BAKKAL SOKAĞI,2016,917.88
133,MERMER SOKAĞI,2016,1025.86
134,NARÇİL SOKAĞI,2016,1133.85
135,PEŞKİRCİ SOKAĞI,2016,1511.8
136,SAKIZ AĞACI CADDESİ,2016,1781.76
137,SALKIM SAÇAK SOKAĞI,2016,701.9
138,SERDAR ÖMERPAŞA CADDESİ,2016,2267.7
139,ŞEHİT NEVRES SOKAĞI,2016,1025.86
140,TARLABAŞI BULVARI,2016,6047.21
141,TEK KUYULU SOKAĞI,2016,1025.86
142,TİRŞE SOKAĞI,2016,917.88
143,YENİÇERİ AĞASI SOKAĞI,2016,1025.86
144,ZERDALİ SOKAĞI,2016,1133.85
145,ADAM MİCKİEWİCZ SOKAĞI,2015,682.85
146,BABACAN SOKAĞI,2015,892.96
147,BERBER ŞAHİN SOKAĞI,2015,998.02
148,BUDAK SOKAĞI,2015,892.96
149,CEZAYİRLİ HASAN PAŞA SOKAĞI,2015,1103.07
150,ÇUKUR SOKAĞI,2015,1470.77
151,DEMİRBAŞ SOKAĞI,2015,1575.82
152,ERİK SOKAĞI,2015,998.02
153,FEZA SOKAĞI,2015,998.02
154,FIÇICI ABDİ SOKAĞI,2015,998.02
155,GENİŞ YOKUŞU,2015,998.02
156,HALEPLİ BEKİR SOKAĞI,2015,1103.07
157,KADIN ÇIKMAZI,2015,682.85
158,KALYONCU KULLUĞU CADDESİ,2015,2101.1
159,KAMER BOSTAN SOKAĞI,2015,787.91
160,KARAKURUM SOKAĞI,2015,1103.07
161,KARANLIK BAKKAL SOKAĞI,2015,892.96
162,MERMER SOKAĞI,2015,998.02
163,NARÇİL SOKAĞI,2015,1103.07
164,PEŞKİRCİ SOKAĞI,2015,1470.77
165,SAKIZ AĞACI CADDESİ,2015,1733.4
166,SALKIM SAÇAK SOKAĞI,2015,682.85
167,SERDAR ÖMERPAŞA CADDESİ,2015,2206.15
168,ŞEHİT NEVRES SOKAĞI,2015,998.02
169,TARLABAŞI BULVARI,2015,5883.08
170,TEK KUYULU SOKAĞI,2015,998.02
171,TİRŞE SOKAĞI,2015,892.96
172,YENİÇERİ AĞASI SOKAĞI,2015,998.02
173,ZERDALİ SOKAĞI,2015,1103.07
174,ADAM MİCKİEWİCZ SOKAĞI,2014,650.0
175,BABACAN SOKAĞI,2014,850.0
176,BERBER ŞAHİN SOKAĞI,2014,950.0
177,BUDAK SOKAĞI,2014,850.0
178,CEZAYİRLİ HASAN PAŞA SOKAĞI,2014,1050.0
179,ÇUKUR SOKAĞI,2014,1400.0
180,DEMİRBAŞ SOKAĞI,2014,1500.0
181,ERİK SOKAĞI,2014,950.0
182,FEZA SOKAĞI,2014,950.0
183,FIÇICI ABDİ SOKAĞI,2014,950.0
184,GENİŞ YOKUŞU,2014,950.0
185,HALEPLİ BEKİR SOKAĞI,2014,1050.0
186,KADIN ÇIKMAZI,2014,650.0
187,KALYONCU KULLUĞU CADDESİ,2014,2000.0
188,KAMER BOSTAN SOKAĞI,2014,750.0
189,KARAKURUM SOKAĞI,2014,1050.0
190,KARANLIK BAKKAL SOKAĞI,2014,850.0
191,MERMER SOKAĞI,2014,950.0
192,NARÇİL SOKAĞI,2014,1050.0
193,PEŞKİRCİ SOKAĞI,2014,1400.0
