,sokak,yil,rayic
0,BALÇIK SOKAĞI,2020,4395.9
1,BEŞİRAĞA ÇIKMAZI,2020,4395.9
2,BEY ODALARI SOKAĞI,2020,4395.9
3,BEYTÜLMALCI SOKAĞI,2020,6594.47
4,BİLEZİK SOKAĞI,2020,16540.34
5,BOSTAN GAZHANESİ SOKAĞI,2020,28474.39
6,CANFEDA ÇIKMAZI,2020,16540.34
7,ÇİFTEVAV SOKAĞI,2020,21984.49
8,DÜMEN SOKAĞI,2020,21984.49
9,EBE HANIM SOKAĞI,2020,6489.9
10,EMEKTAR SOKAĞI,2020,5547.47
11,FEDA ÇIKMAZI,2020,5547.47
12,FINDIKLI ÇELEBİ HAMAMI SOKAĞI,2020,16540.34
13,GÜMÜŞSUYU KIŞLA ARALIĞI,2020,21984.49
14,HACI HANIM SOKAĞI,2020,6594.47
15,HACI İZZET PAŞA SOKAĞI,2020,6594.47
16,HACI İZZET PAŞA YOKUŞU,2020,21984.49
17,HOCA HANIM SOKAĞI,2020,6594.47
18,İMAM KERİM ÇIKMAZI,2020,4395.9
19,İNEBOLU ÇIKMAZI,2020,21984.49
20,İNEBOLU SOKAĞI,2020,32976.11
21,İNÖNÜ CADDESİ,2020,41874.98
22,KAMPÜS SOKAĞI,2020,48156.98
23,KARUN ÇIKMAZI,2020,16540.34
24,MASRAF NAZIRI SOKAĞI,2020,4395.9
25,MEBUSAN YOKUŞU,2020,13190.19
26,MECLİS-İ MEBUSAN CAD.,2020,38733.99
27,MERDİVEN SOKAĞI,2020,13190.19
28,MOLLA BAYIRI SOKAĞI,2020,13190.19
29,MOLLA ÇELEBİ ÇEŞME ÇIKMAZI,2020,4395.9
30,MUHTAR LEYLA ILDIR SOKAĞI,2020,5547.47
31,NAMIK PAŞA SOKAĞI,2020,10991.62
32,PROF. DR. TARIK ZAFER TUNAYA SOKAĞI,2020,10991.62
33,RIZA BEY SOKAĞI,2020,4395.9
34,SARAY ARKASI SOKAĞI,2020,32976.11
35,SELİME HATUN CAMİİ SOKAĞI,2020,16540.34
36,SULAK ÇEŞME SOKAĞI,2020,4395.9
37,TAŞLI ÇIKIŞ SOKAĞI,2020,14341.77
38,YARASA SOKAĞI,2020,7850.62
39,ZAFER ÇIKMAZI,2020,10991.62
40,BALÇIK SOKAĞI,2019,3949.95
41,BEŞİRAĞA ÇIKMAZI,2019,3949.95
42,BEY ODALARI SOKAĞI,2019,3949.95
43,BEYTÜLMALCI SOKAĞI,2019,5925.48
44,BİLEZİK SOKAĞI,2019,14862.38
45,BOSTAN GAZHANESİ SOKAĞI,2019,25585.76
46,CANFEDA ÇIKMAZI,2019,14862.38
47,ÇİFTEVAV SOKAĞI,2019,19754.24
48,DÜMEN SOKAĞI,2019,19754.24
49,EBE HANIM SOKAĞI,2019,5831.52
50,EMEKTAR SOKAĞI,2019,4984.7
51,FEDA ÇIKMAZI,2019,4984.7
52,FINDIKLI ÇELEBİ HAMAMI SOKAĞI,2019,14862.38
53,GÜMÜŞSUYU KIŞLA ARALIĞI,2019,19754.24
54,HACI HANIM SOKAĞI,2019,5925.48
55,HACI İZZET PAŞA SOKAĞI,2019,5925.48
56,HACI İZZET PAŞA YOKUŞU,2019,19754.24
57,HOCA HANIM SOKAĞI,2019,5925.48
58,İMAM KERİM ÇIKMAZI,2019,3949.95
59,İNEBOLU ÇIKMAZI,2019,19754.24
60,İNEBOLU SOKAĞI,2019,29630.8
61,İNÖNÜ CADDESİ,2019,37626.91
62,KAMPÜS SOKAĞI,2019,43271.61
63,KARUN ÇIKMAZI,2019,14862.38
64,MASRAF NAZIRI SOKAĞI,2019,3949.95
65,MEBUSAN YOKUŞU,2019,11852.09
66,MECLİS-İ MEBUSAN CAD.,2019,34804.55
67,MERDİVEN SOKAĞI,2019,11852.09
68,MOLLA BAYIRI SOKAĞI,2019,11852.09
69,MOLLA ÇELEBİ ÇEŞME ÇIKMAZI,2019,3949.95
70,MUHTAR LEYLA ILDIR SOKAĞI,2019,4984.7
71,NAMIK PAŞA SOKAĞI,2019,9876.56
72,PROF. DR. TARIK ZAFER TUNAYA SOKAĞI,2019,9876.56
73,RIZA BEY SOKAĞI,2019,3949.95
74,SARAY ARKASI SOKAĞI,2019,29630.8
75,SELİME HATUN CAMİİ SOKAĞI,2019,14862.38
76,SULAK ÇEŞME SOKAĞI,2019,3949.95
77,TAŞLI ÇIKIŞ SOKAĞI,2019,12886.84
78,YARASA SOKAĞI,2019,7054.2
79,ZAFER ÇIKMAZI,2019,9876.56
80,BALÇIK SOKAĞI,2018,3531.0
81,BEŞİRAĞA ÇIKMAZI,2018,3531.0
82,BEY ODALARI SOKAĞI,2018,3531.0
83,BEYTÜLMALCI SOKAĞI,2018,5297.0
84,BİLEZİK SOKAĞI,2018,13286.0
85,BOSTAN GAZHANESİ SOKAĞI,2018,22872.0
86,CANFEDA ÇIKMAZI,2018,13286.0
87,ÇİFTEVAV SOKAĞI,2018,17659.0
88,DÜMEN SOKAĞI,2018,17659.0
89,EBE HANIM SOKAĞI,2018,5213.0
90,EMEKTAR SOKAĞI,2018,4456.0
91,FEDA ÇIKMAZI,2018,4456.0
92,FINDIKLI ÇELEBİ HAMAMI SOKAĞI,2018,13286.0
93,GÜMÜŞSUYU KIŞLA ARALIĞI,2018,17659.0
94,HACI HANIM SOKAĞI,2018,5297.0
95,HACI İZZET PAŞA SOKAĞI,2018,5297.0
96,HACI İZZET PAŞA YOKUŞU,2018,17659.0
97,HOCA HANIM SOKAĞI,2018,5297.0
98,İMAM KERİM ÇIKMAZI,2018,3531.0
99,İNEBOLU ÇIKMAZI,2018,17659.0
100,İNEBOLU SOKAĞI,2018,26488.0
101,İNÖNÜ CADDESİ,2018,33636.0
102,KAMPÜS SOKAĞI,2018,38682.0
103,KARUN ÇIKMAZI,2018,13286.0
104,MASRAF NAZIRI SOKAĞI,2018,3531.0
105,MEBUSAN YOKUŞU,2018,10595.0
106,MECLİS-İ MEBUSAN CAD.,2018,31113.0
107,MERDİVEN SOKAĞI,2018,10595.0
108,MOLLA BAYIRI SOKAĞI,2018,10595.0
109,MOLLA ÇELEBİ ÇEŞME ÇIKMAZI,2018,3531.0
110,MUHTAR LEYLA ILDIR SOKAĞI,2018,4456.0
111,NAMIK PAŞA SOKAĞI,2018,8829.0
112,PROF. DR. TARIK ZAFER TUNAYA SOKAĞI,2018,8829.0
113,RIZA BEY SOKAĞI,2018,3531.0
114,SARAY ARKASI SOKAĞI,2018,26488.0
115,SELİME HATUN CAMİİ SOKAĞI,2018,13286.0
116,SULAK ÇEŞME SOKAĞI,2018,3531.0
117,TAŞLI ÇIKIŞ SOKAĞI,2018,11520.0
118,YARASA SOKAĞI,2018,6306.0
119,ZAFER ÇIKMAZI,2018,8829.0
120,BALÇIK SOKAĞI,2017,2354.55
121,BEŞİRAĞA ÇIKMAZI,2017,2354.55
122,BEY ODALARI SOKAĞI,2017,2354.55
123,BEYTÜLMALCI SOKAĞI,2017,3531.83
124,BİLEZİK SOKAĞI,2017,8857.63
125,BOSTAN GAZHANESİ SOKAĞI,2017,15248.58
126,CANFEDA ÇIKMAZI,2017,8857.63
127,ÇİFTEVAV SOKAĞI,2017,11772.79
128,DÜMEN SOKAĞI,2017,11772.79
129,EBE HANIM SOKAĞI,2017,3475.77
130,EMEKTAR SOKAĞI,2017,2971.23
131,FEDA ÇIKMAZI,2017,2971.23
132,FINDIKLI ÇELEBİ HAMAMI SOKAĞI,2017,8857.63
133,GÜMÜŞSUYU KIŞLA ARALIĞI,2017,11772.79
134,HACI HANIM SOKAĞI,2017,3531.83
135,HACI İZZET PAŞA SOKAĞI,2017,3531.83
136,HACI İZZET PAŞA YOKUŞU,2017,11772.79
137,HOCA HANIM SOKAĞI,2017,3531.83
138,İMAM KERİM ÇIKMAZI,2017,2354.55
139,İNEBOLU ÇIKMAZI,2017,11772.79
140,İNEBOLU SOKAĞI,2017,17659.19
141,İNÖNÜ CADDESİ,2017,22424.37
142,KAMPÜS SOKAĞI,2017,25788.03
143,KARUN ÇIKMAZI,2017,8857.63
144,MASRAF NAZIRI SOKAĞI,2017,2354.55
145,MEBUSAN YOKUŞU,2017,7063.67
146,MECLİS-İ MEBUSAN CAD.,2017,20742.55
147,MERDİVEN SOKAĞI,2017,7063.67
148,MOLLA BAYIRI SOKAĞI,2017,7063.67
149,MOLLA ÇELEBİ ÇEŞME ÇIKMAZI,2017,2354.55
150,MUHTAR LEYLA ILDIR SOKAĞI,2017,2971.23
151,NAMIK PAŞA SOKAĞI,2017,5886.39
152,PROF. DR. TARIK ZAFER TUNAYA SOKAĞI,2017,5886.39
153,RIZA BEY SOKAĞI,2017,2354.55
154,SARAY ARKASI SOKAĞI,2017,17659.19
155,SELİME HATUN CAMİİ SOKAĞI,2017,8857.63
156,SULAK ÇEŞME SOKAĞI,2017,2354.55
