,sokak,yil,rayic
0,AÇELYA SOKAĞI,2020,2197.32
1,ALİ EKBER ÇİÇEK SOKAĞI,2020,2638.03
2,AYDINCIK SOKAĞI,2020,2638.03
3,BAL SOKAĞI,2020,2638.03
4,BAŞ SOKAĞI,2020,2638.03
5,BEŞPARMAK SOKAĞI,2020,2197.32
6,BEYAZ ORKİDE SOKAĞI,2020,2197.32
7,BEYAZ ZAMBAK SOKAĞI,2020,2638.03
8,BİNALİ SOKAĞI,2020,2638.03
9,ÇAMLIK ALTI SOKAĞI,2020,2638.03
10,ÇAMLIK SOKAĞI,2020,2197.32
11,DEREİÇİ BORSA SOKAĞI,2020,2197.32
12,DERKA ARALIĞI,2020,2197.32
13,DERKA SOKAĞI,2020,2638.03
14,E-5 KARAYOLU,2020,8793.05
15,ESENYEL SOKAK,2020,2638.03
16,ETİBANK CADDESİ,2020,4395.9
17,FATİH SOKAĞI,2020,2638.03
18,GENÇ SOKAĞI,2020,2638.03
19,GÖKSU SOKAĞI,2020,2638.03
20,GÜLBAHAR SOKAĞI,2020,2197.32
21,GÜVERCİN SOKAĞI,2020,2197.32
22,HALICIOĞLU OKMEYDANI CADDESİ,2020,8793.05
23,HALICIOĞLU YAN YOL CADDESİ,2020,1422.97
24,HALİÇ SOKAĞI,2020,2638.03
25,İMRAHOR CADDESİ,2020,8793.05
26,KANARYA SOKAĞI,2020,2197.32
27,KAZIM KARABEKİR CADDESİ,2020,8793.05
28,KERVANSARAY ÇIKMAZI,2020,2638.03
29,KERVANSARAY SOKAĞI,2020,2638.03
30,KOCA ÇINAR SOKAĞI,2020,2638.03
31,LALE SOKAĞI,2020,2638.03
32,MANOLYALI SOKAĞI,2020,2638.03
33,MANSUR SOKAĞI,2020,2197.32
34,MEHTAP SOKAĞI,2020,2197.32
35,MENEKŞE SOKAĞI,2020,2638.03
36,MERCAN SOKAĞI,2020,2197.32
37,MEVLANA SOKAĞI,2020,2638.03
38,MİMAR SİNAN CADDESİ,2020,2638.03
39,OK SOKAĞI,2020,2638.03
40,ONUR SOKAĞI,2020,2197.32
41,ÖRNEK TEPE CADDESİ,2020,3139.75
42,PAPATYA SOKAĞI,2020,2638.03
43,PAŞALI SOKAĞI,2020,2638.03
44,PAZAR İÇİ ÇIKMAZI,2020,2197.32
45,PAZARALTI SOKAĞI,2020,2638.03
46,PINAR SOKAĞI,2020,2197.32
47,SALMAN ÇIKMAZI,2020,2197.32
48,SELVİ SOKAĞI,2020,2638.03
49,SİVASELİ SOKAĞI,2020,2638.03
50,ŞAFAK SOKAK,2020,2197.32
51,ŞAHADET CAMİİ SOKAĞI,2020,2638.03
52,ŞEHİT ABDULLAH KAYAR SOKAĞI,2020,2197.32
53,TAŞLIK SOKAĞI,2020,2197.32
54,TURNA ARALIĞI,2020,2197.32
55,TURNA SOKAĞI,2020,2197.32
56,YENİ UFUK SOKAĞI,2020,2197.32
57,YENİYOL ARALIĞI,2020,2638.03
58,YENİYOL SOKAĞI,2020,2638.03
59,YEŞİL KIBRIS SOKAĞI,2020,2638.03
60,ZAFER CADDESİ,2020,2638.03
61,ZAFER ÇIKMAZI,2020,2638.03
62,ZAKKUM SOKAĞI,2020,2638.03
63,ZÜMRÜT TAŞI SOKAĞI,2020,2638.03
64,AÇELYA SOKAĞI,2019,1974.41
65,ALİ EKBER ÇİÇEK SOKAĞI,2019,2370.41
66,AYDINCIK SOKAĞI,2019,2370.41
67,BAL SOKAĞI,2019,2370.41
68,BAŞ SOKAĞI,2019,2370.41
69,BEŞPARMAK SOKAĞI,2019,1974.41
70,BEYAZ ORKİDE SOKAĞI,2019,1974.41
71,BEYAZ ZAMBAK SOKAĞI,2019,2370.41
72,BİNALİ SOKAĞI,2019,2370.41
73,ÇAMLIK ALTI SOKAĞI,2019,2370.41
74,ÇAMLIK SOKAĞI,2019,1974.41
75,DEREİÇİ BORSA SOKAĞI,2019,1974.41
76,DERKA ARALIĞI,2019,1974.41
77,DERKA SOKAĞI,2019,2370.41
78,E-5 KARAYOLU,2019,7901.02
79,ESENYEL SOKAK,2019,2370.41
80,ETİBANK CADDESİ,2019,3949.95
81,FATİH SOKAĞI,2019,2370.41
82,GENÇ SOKAĞI,2019,2370.41
83,GÖKSU SOKAĞI,2019,2370.41
