,sokak,yil,rayic
0,BALKON ÇIKMAZI,2020,6594.47
1,BÜYÜK HENDEK CADDESİ,2020,17587.34
2,ENSİZ SOKAĞI,2020,21984.49
3,ERKANI HARP SOKAĞI,2020,6594.47
4,GALİP DEDE CADDESİ,2020,21984.49
5,İLK BELEDİYE CADDESİ,2020,15597.92
6,İSTİKLAL CADDESİ,2020,46585.86
7,KADRİ BEY ÇIKMAZI,2020,6594.47
8,KUMBARACI YOKUŞU,2020,10991.62
9,KÜÇÜK HENDEK CADDESİ,2020,10991.62
10,MARANGOZ ÇIKMAZI,2020,6594.47
11,MEŞRUTİYET CAD.,2020,31406.24
12,MÜELLİF SOKAĞI,2020,13190.19
13,NAKKAŞ ÇIKMAZI,2020,6594.47
14,NERGİZ SOKAĞI,2020,26381.64
15,OTÇU SOKAĞI,2020,6594.47
16,SERASKERCİ ÇIKMAZI,2020,6594.47
17,SERDAR-I EKREM CADDESİ,2020,10991.62
18,SERDAR-I EKREM CADDESİ,2020,6847.2
19,ŞAH DEĞİRMENİ SOKAĞI,2020,6594.47
20,ŞAH KULU BOSTAN SOKAĞI,2020,10991.62
21,ŞAHKAPISI SOKAĞI,2020,13190.19
22,ŞAHKULU SOKAĞI,2020,6594.47
23,TIMARCI SOKAĞI,2020,6594.47
24,TRAMVAY SOKAĞI,2020,6594.47
25,TÜNEL MEYDANI SOKAĞI,2020,33500.24
26,YÖRÜK ÇIKMAZI,2020,6594.47
27,BALKON ÇIKMAZI,2019,5925.48
28,BÜYÜK HENDEK CADDESİ,2019,15803.16
29,ENSİZ SOKAĞI,2019,19754.24
30,ERKANI HARP SOKAĞI,2019,5925.48
31,GALİP DEDE CADDESİ,2019,19754.24
32,İLK BELEDİYE CADDESİ,2019,14015.56
33,İSTİKLAL CADDESİ,2019,41859.88
34,KADRİ BEY ÇIKMAZI,2019,5925.48
35,KUMBARACI YOKUŞU,2019,9876.56
36,KÜÇÜK HENDEK CADDESİ,2019,9876.56
37,MARANGOZ ÇIKMAZI,2019,5925.48
38,MEŞRUTİYET CAD.,2019,28220.18
39,MÜELLİF SOKAĞI,2019,11852.09
40,NAKKAŞ ÇIKMAZI,2019,5925.48
41,NERGİZ SOKAĞI,2019,23705.31
42,OTÇU SOKAĞI,2019,5925.48
43,SERASKERCİ ÇIKMAZI,2019,5925.48
44,SERDAR-I EKREM CADDESİ,2019,6152.57
45,SERDAR-I EKREM CADDESİ,2019,9876.56
46,ŞAH DEĞİRMENİ SOKAĞI,2019,5925.48
47,ŞAH KULU BOSTAN SOKAĞI,2019,9876.56
48,ŞAHKAPISI SOKAĞI,2019,11852.09
49,ŞAHKULU SOKAĞI,2019,5925.48
50,TIMARCI SOKAĞI,2019,5925.48
51,TRAMVAY SOKAĞI,2019,5925.48
52,TÜNEL MEYDANI SOKAĞI,2019,30101.75
53,YÖRÜK ÇIKMAZI,2019,5925.48
54,BALKON ÇIKMAZI,2018,5297.0
55,BÜYÜK HENDEK CADDESİ,2018,14127.0
56,ENSİZ SOKAĞI,2018,17659.0
57,ERKANI HARP SOKAĞI,2018,5297.0
58,GALİP DEDE CADDESİ,2018,17659.0
59,İLK BELEDİYE CADDESİ,2018,12529.0
60,İSTİKLAL CADDESİ,2018,37420.0
61,KADRİ BEY ÇIKMAZI,2018,5297.0
62,KUMBARACI YOKUŞU,2018,8829.0
63,KÜÇÜK HENDEK CADDESİ,2018,8829.0
64,MARANGOZ ÇIKMAZI,2018,5297.0
65,MEŞRUTİYET CAD.,2018,25227.0
66,MÜELLİF SOKAĞI,2018,10595.0
67,NAKKAŞ ÇIKMAZI,2018,5297.0
68,NERGİZ SOKAĞI,2018,21191.0
69,OTÇU SOKAĞI,2018,5297.0
70,SERASKERCİ ÇIKMAZI,2018,5297.0
71,SERDAR-I EKREM CADDESİ,2018,5500.0
72,SERDAR-I EKREM CADDESİ,2018,8829.0
