,sokak,yil,rayic
0,ALTIN BAKKAL SOKAĞI,2020,2197.32
1,ANA ÇEŞMESİ SOKAĞI,2020,15597.92
2,ATIF YILMAZ CADDESİ,2020,10991.62
3,BASMA TULUMBA SOKAĞI,2020,2197.32
4,BEKAR SOKAĞI,2020,21984.49
5,CEVZA SOKAĞI,2020,2197.32
6,ÇAM DALI SOKAĞI,2020,2197.32
7,ÇORBACI SOKAĞI,2020,2197.32
8,DERNEK SOKAĞI,2020,2197.32
9,DOĞRAMACI ŞAKİR SOKAĞI,2020,2197.32
10,DOLAPDERE TAKSİM CADDESİ,2020,10991.62
11,ESKİ ÇEŞME SOKAĞI,2020,2197.32
12,FARABİ SOKAĞI,2020,2197.32
13,FERİDİYE CADDESİ,2020,6594.47
14,FINDIKLI SOKAĞI,2020,2197.32
15,HACI AHMET SOKAĞI,2020,15597.92
16,HALAS SOKAĞI,2020,13190.19
17,HÜSEYİN AĞA KİREÇHANE SOKAĞI,2020,2197.32
18,İMAM ADNAN SOKAĞI,2020,33500.24
19,İSTİKLAL CADDESİ,2020,52343.73
20,KAPANCA SOKAĞI,2020,2197.32
21,KERESTECİ RECEP SOKAĞI,2020,2197.32
22,KURABİYE SOKAĞI,2020,15597.92
23,MAHYACI SOKAĞI,2020,15597.92
24,MİS SOKAĞI,2020,33500.24
25,NANE SOKAĞI,2020,15597.92
26,NEFTİ SOKAĞI,2020,2197.32
27,ÖĞÜT SOKAĞI,2020,15597.92
28,PELESENK SOKAĞI,2020,2197.32
29,SAKIZ AĞACI CADDESİ,2020,3454.72
30,SÜSLÜ SAKSI SOKAĞI,2020,15597.92
31,TAKSİM AKARCASI SOKAĞI,2020,15597.92
32,TAKSİM CADDESİ,2020,13190.19
33,TAKSİM FIRINI SOKAĞI,2020,2197.32
34,TAKSİM YAĞHANESİ SOKAĞI,2020,2197.32
35,TARLABAŞI BULVARI,2020,11724.89
36,TAVLA SOKAĞI,2020,2197.32
37,TURAN CADDESİ,2020,2197.32
38,UTARİT SOKAĞI,2020,15597.92
39,YOĞURTÇU FAİK SOKAĞI,2020,6594.47
40,ZAMBAK SOKAĞI,2020,21984.49
41,ALTIN BAKKAL SOKAĞI,2019,1974.41
42,ANA ÇEŞMESİ SOKAĞI,2019,14015.56
43,ATIF YILMAZ CADDESİ,2019,9876.56
44,BASMA TULUMBA SOKAĞI,2019,1974.41
45,BEKAR SOKAĞI,2019,19754.24
46,CEVZA SOKAĞI,2019,1974.41
47,ÇAM DALI SOKAĞI,2019,1974.41
48,ÇORBACI SOKAĞI,2019,1974.41
49,DERNEK SOKAĞI,2019,1974.41
50,DOĞRAMACI ŞAKİR SOKAĞI,2019,1974.41
51,DOLAPDERE TAKSİM CADDESİ,2019,9876.56
52,ESKİ ÇEŞME SOKAĞI,2019,1974.41
53,FARABİ SOKAĞI,2019,1974.41
54,FERİDİYE CADDESİ,2019,5925.48
55,FINDIKLI SOKAĞI,2019,1974.41
56,HACI AHMET SOKAĞI,2019,14015.56
57,HALAS SOKAĞI,2019,11852.09
58,HÜSEYİN AĞA KİREÇHANE SOKAĞI,2019,1974.41
59,İMAM ADNAN SOKAĞI,2019,30101.75
60,İSTİKLAL CADDESİ,2019,47033.63
61,KAPANCA SOKAĞI,2019,1974.41
62,KERESTECİ RECEP SOKAĞI,2019,1974.41
63,KURABİYE SOKAĞI,2019,14015.56
64,MAHYACI SOKAĞI,2019,14015.56
65,MİS SOKAĞI,2019,30101.75
66,NANE SOKAĞI,2019,14015.56
67,NEFTİ SOKAĞI,2019,1974.41
68,ÖĞÜT SOKAĞI,2019,14015.56
69,PELESENK SOKAĞI,2019,1974.41
70,SAKIZ AĞACI CADDESİ,2019,3104.25
71,SÜSLÜ SAKSI SOKAĞI,2019,14015.56
72,TAKSİM AKARCASI SOKAĞI,2019,14015.56
73,TAKSİM CADDESİ,2019,11852.09
74,TAKSİM FIRINI SOKAĞI,2019,1974.41
75,TAKSİM YAĞHANESİ SOKAĞI,2019,1974.41
76,TARLABAŞI BULVARI,2019,10535.44
77,TAVLA SOKAĞI,2019,1974.41
78,TURAN CADDESİ,2019,1974.41
79,UTARİT SOKAĞI,2019,14015.56
80,YOĞURTÇU FAİK SOKAĞI,2019,5925.48
