,sokak,yil,rayic
0,-,2020,18674.18
1,-,2020,18674.18
2,-,2020,18674.18
3,-,2020,18674.18
4,-,2020,9422.05
5,-,2020,18674.18
6,-,2020,18674.18
7,-,2020,18674.18
8,-,2020,18674.18
9,-,2020,18674.18
10,-,2020,18674.18
11,-,2020,18674.18
12,-,2020,11204.51
13,-,2020,18674.18
14,-,2020,18674.18
15,-,2020,18674.18
16,-,2020,18674.18
17,-,2020,18674.18
18,-,2020,18674.18
19,18 MART Sok.,2020,10468.92
20,ADA Sok.,2020,10468.92
21,AGAHEFENDİ Sok.,2020,18674.18
22,AGAHEFENDİ Sok.,2020,7453.87
23,AŞIKLAR ÇIKMAZI Sok.,2020,10468.92
24,BAĞDAT Cad.,2020,18674.18
25,BAYCAN ÇIKMAZI Sok.,2020,10468.92
26,BEYAZ AKASYA Sok.,2020,7453.87
27,BİLİM Sok.,2020,6804.83
28,CADDEBOSTAN İSKELE Sok.,2020,9422.05
29,CADDEBOSTAN PLAJYOLU Sok.,2020,6804.83
30,ÇAKIR Sok.,2020,18674.18
31,ÇAM FISTIĞI Sok.,2020,6804.83
32,ÇETİN EMEÇ Bul.,2020,18674.18
33,DEMİRAĞA ÇIKMAZI Sok.,2020,6804.83
34,DR. ABDUL KADİR NOYAN Sok.,2020,7537.64
35,DR. VASIF ÇIKMAZI Sok.,2020,10468.92
36,ECVET GÜRESİN Sok.,2020,6804.83
37,ERENKÖY CAMİİ Sok.,2020,10468.92
38,ETHEMEFENDİ Cad.,2020,10468.92
39,FUNDA ÇIKMAZI Sok.,2020,11515.83
40,GELENGÜL Sok.,2020,6804.83
41,GÖKÇE Sok.,2020,6804.83
42,GÜLİSTAN Sok.,2020,6804.83
43,HALDUN TANER Sok.,2020,6804.83
44,HAMAM Sok.,2020,6804.83
45,HAMİYET YÜCESES Sok.,2020,7537.64
46,HASAN ALİ YÜCEL Sok.,2020,9422.05
47,KADİRAĞA Sok.,2020,6804.83
48,KANTARCI RIZA Sok.,2020,6804.83
49,KAVAKLI Sok.,2020,7537.64
50,KEMAL SUNAL Sok.,2020,6804.83
51,KİRAZ ÇIKMAZI Sok.,2020,6804.83
52,KÖŞK Sok.,2020,6804.83
53,MEHTAP Sok.,2020,6804.83
54,NİHAT KIZILTAN Sok.,2020,7537.64
55,NOTER Sok.,2020,9422.05
56,NURETTİN ALİ BERKOL Sok.,2020,6804.83
57,OGÜN Sok.,2020,7537.64
58,OPERATÖR CEMİL TOPUZLU Cad.,2020,18674.18
59,ÖMERPAŞA Sok.,2020,6804.83
60,PAPATYALI Sok.,2020,6804.83
61,PROF. DR. HULUSİ BEHÇET Cad.,2020,9422.05
62,PROF. MUSTAFA REŞİT BELGESAY Sok.,2020,6804.83
63,PROF.DR.HALUK TEZONAR Sok.,2020,18674.18
64,PROF.DR.HALUK TEZONAR Sok.,2020,10468.92
65,RESSAM VECİHİ BEREKETOĞLU Sok.,2020,6804.83
66,SARIGÜL Sok.,2020,7537.64
67,SELİN Sok.,2020,18674.18
68,SELİN Sok.,2020,6804.83
69,ŞEHİT KADİR YILDIRIM Sok.,2020,9422.05
70,ŞEHİT SELİN ÇELİK Sok.,2020,9422.05
71,ŞERAFETTİN Sok.,2020,6804.83
72,ŞİMŞEK Sok.,2020,6804.83
73,TANZİMAT Sok.,2020,6804.83
74,TOPAĞAÇ Sok.,2020,7537.64
75,TUNA ÇIKMAZI Sok.,2020,7537.64
76,TÜTÜNCÜ MEHMETEFENDİ Cad.,2020,9422.05
77,VARDAR Sok.,2020,6804.83
78,VEZİR Sok.,2020,7537.64
79,YENER Sok.,2020,6804.83
80,YEŞİLLİK Sok.,2020,6804.83
81,YOĞURTÇUBAŞI Sok.,2020,10468.92
82,ZİNCİRLİ KÖŞK Sok.,2020,10468.92
83,ZÜMRÜT ÇIKMAZI Sok.,2020,6804.83
84,-,2019,16779.75
85,-,2019,16779.75
86,-,2019,16779.75
87,-,2019,16779.75
88,-,2019,16779.75
89,-,2019,16779.75
90,-,2019,16779.75
91,-,2019,16779.75
92,-,2019,8466.21
93,-,2019,16779.75
94,-,2019,16779.75
95,-,2019,16779.75
96,-,2019,16779.75
97,-,2019,16779.75
98,-,2019,10067.85
99,-,2019,16779.75
100,-,2019,16779.75
101,-,2019,16779.75
102,18 MART Sok.,2019,9406.88
103,ADA Sok.,2019,9406.88
104,AGAHEFENDİ Sok.,2019,6697.7
105,AGAHEFENDİ Sok.,2019,16779.75
106,AŞIKLAR ÇIKMAZI Sok.,2019,9406.88
107,BAĞDAT Cad.,2019,16779.75
108,BAYCAN ÇIKMAZI Sok.,2019,9406.88
109,BEYAZ AKASYA Sok.,2019,6697.7
110,BİLİM Sok.,2019,6114.5
111,CADDEBOSTAN İSKELE Sok.,2019,8466.21
112,CADDEBOSTAN PLAJYOLU Sok.,2019,6114.5
113,ÇAKIR Sok.,2019,16779.75
114,ÇAM FISTIĞI Sok.,2019,6114.5
115,ÇETİN EMEÇ Bul.,2019,16779.75
116,DEMİRAĞA ÇIKMAZI Sok.,2019,6114.5
117,DR. ABDUL KADİR NOYAN Sok.,2019,6772.97
118,DR. VASIF ÇIKMAZI Sok.,2019,9406.88
119,ECVET GÜRESİN Sok.,2019,6114.5
120,ERENKÖY CAMİİ Sok.,2019,9406.88
121,ETHEMEFENDİ Cad.,2019,9406.88
122,FUNDA ÇIKMAZI Sok.,2019,10347.59
123,GELENGÜL Sok.,2019,6114.5
124,GÖKÇE Sok.,2019,6114.5
125,GÜLİSTAN Sok.,2019,6114.5
126,HALDUN TANER Sok.,2019,6114.5
127,HAMAM Sok.,2019,6114.5
128,HAMİYET YÜCESES Sok.,2019,6772.97
129,HASAN ALİ YÜCEL Sok.,2019,8466.21
130,KADİRAĞA Sok.,2019,6114.5
131,KANTARCI RIZA Sok.,2019,6114.5
132,KAVAKLI Sok.,2019,6772.97
133,KEMAL SUNAL Sok.,2019,6114.5
134,KİRAZ ÇIKMAZI Sok.,2019,6114.5
135,KÖŞK Sok.,2019,6114.5
136,MEHTAP Sok.,2019,6114.5
137,NİHAT KIZILTAN Sok.,2019,6772.97
138,NOTER Sok.,2019,8466.21
139,NURETTİN ALİ BERKOL Sok.,2019,6114.5
140,OGÜN Sok.,2019,6772.97
141,OPERATÖR CEMİL TOPUZLU Cad.,2019,16779.75
142,ÖMERPAŞA Sok.,2019,6114.5
143,PAPATYALI Sok.,2019,6114.5
144,PROF. DR. HULUSİ BEHÇET Cad.,2019,8466.21
145,PROF. MUSTAFA REŞİT BELGESAY Sok.,2019,6114.5
146,PROF.DR.HALUK TEZONAR Sok.,2019,9406.88
147,PROF.DR.HALUK TEZONAR Sok.,2019,16779.75
148,RESSAM VECİHİ BEREKETOĞLU Sok.,2019,6114.5
149,SARIGÜL Sok.,2019,6772.97
150,SELİN Sok.,2019,16779.75
151,SELİN Sok.,2019,6114.5
152,ŞEHİT KADİR YILDIRIM Sok.,2019,8466.21
153,ŞEHİT SELİN ÇELİK Sok.,2019,8466.21
154,ŞERAFETTİN Sok.,2019,6114.5
155,ŞİMŞEK Sok.,2019,6114.5
156,TANZİMAT Sok.,2019,6114.5
157,TOPAĞAÇ Sok.,2019,6772.97
158,TUNA ÇIKMAZI Sok.,2019,6772.97
159,TÜTÜNCÜ MEHMETEFENDİ Cad.,2019,8466.21
160,VARDAR Sok.,2019,6114.5
161,VEZİR Sok.,2019,6772.97
162,YENER Sok.,2019,6114.5
163,YEŞİLLİK Sok.,2019,6114.5
164,YOĞURTÇUBAŞI Sok.,2019,9406.88
165,ZİNCİRLİ KÖŞK Sok.,2019,9406.88
166,ZÜMRÜT ÇIKMAZI Sok.,2019,6114.5
167,-,2018,15000.0
168,-,2018,15000.0
169,-,2018,7568.24
170,-,2018,15000.0
171,-,2018,15000.0
172,-,2018,15000.0
173,-,2018,15000.0
174,-,2018,15000.0
175,-,2018,15000.0
176,-,2018,15000.0
177,-,2018,15000.0
178,-,2018,15000.0
179,-,2018,9000.0
180,-,2018,15000.0
181,-,2018,15000.0
182,-,2018,15000.0
183,-,2018,15000.0
184,18 MART Sok.,2018,8409.14
185,ADA Sok.,2018,8409.14
186,AGAHEFENDİ Sok.,2018,5987.31
187,AŞIKLAR ÇIKMAZI Sok.,2018,8409.14
188,BAĞDAT Cad.,2018,15000.0
189,BAYCAN ÇIKMAZI Sok.,2018,8409.14
190,BEYAZ AKASYA Sok.,2018,5987.31
191,BİLİM Sok.,2018,5465.96
192,CADDEBOSTAN İSKELE Sok.,2018,7568.24
193,CADDEBOSTAN PLAJYOLU Sok.,2018,5465.96
194,ÇAKIR Sok.,2018,15000.0
195,ÇAM FISTIĞI Sok.,2018,5465.96
196,ÇETİN EMEÇ Bul.,2018,15000.0
197,DEMİRAĞA ÇIKMAZI Sok.,2018,5465.96
198,DR. ABDUL KADİR NOYAN Sok.,2018,6054.59
199,DR. VASIF ÇIKMAZI Sok.,2018,8409.14
200,ECVET GÜRESİN Sok.,2018,5465.96
