,sokak,yil,rayic
0,-,2020,12449.46
1,-,2020,12449.46
2,-,2020,18051.72
3,-,2020,12449.46
4,-,2020,12449.46
5,-,2020,12449.46
6,-,2020,12449.46
7,-,2020,12449.46
8,-,2020,13190.87
9,-,2020,14656.49
10,-,2020,8092.15
11,-,2020,18051.72
12,-,2020,18844.07
13,-,2020,18844.07
14,-,2020,18674.18
15,-,2020,10468.92
16,-,2020,12449.46
17,ACAR Sok.,2020,8465.63
18,AĞABEY Sok.,2020,5851.25
19,AHTER Sok.,2020,5851.25
20,ALBAY FAİK SÖZDENER Cad.,2020,18674.18
21,ARAYICIBAŞI Sok.,2020,5851.25
22,ATIFET Sok.,2020,8465.63
23,BADEMALTI Sok.,2020,4357.32
24,BAŞAR ÇIKMAZI Sok.,2020,16184.29
25,BELKIS DİLLİGİL ÇIKMAZI Sok.,2020,13609.62
26,BÜLBÜLLÜ Sok.,2020,8465.63
27,CAFERAĞA MESCİDİ Sok.,2020,5228.77
28,CEM KARACA Sok.,2020,14192.38
29,CEM Sok.,2020,6847.21
30,CEMAL SÜREYA Sok.,2020,6847.21
31,DALGA Sok.,2020,4357.32
32,DAMACI Sok.,2020,5851.25
33,DAMGA Sok.,2020,18674.18
34,DR. ESAT IŞIK Cad.,2020,8714.62
35,DR. İHSAN ÜNLÜER Sok.,2020,5228.77
36,DR. ŞAKİRPAŞA Sok.,2020,7096.2
37,DUMLUPINAR Sok.,2020,5234.48
38,EMİN ONAT Sok.,2020,14192.38
39,FAZIL HÜSNÜ DAĞLARCA Sok.,2020,4979.78
40,FAZILPAŞA Sok.,2020,9959.56
41,FERİT TEK Sok.,2020,13190.87
42,FIRILDAK Sok.,2020,5851.25
43,GENERAL ASIM GÜNDÜZ Cad.,2020,15703.41
44,GİZEM Sok.,2020,7118.89
45,GÜLŞEN Sok.,2020,4357.32
46,GÜNER Sok.,2020,4501.64
47,GÜNEŞ Sok.,2020,4357.32
48,GÜNEŞLİBAHÇE Sok.,2020,8375.14
49,GÜRBÜZTÜRK Sok.,2020,5851.25
50,HACI AHMETBEY Sok.,2020,5851.25
51,HACI HÜSSAM Sok.,2020,5851.25
52,HACI İZZET Sok.,2020,8465.63
53,HACI ŞÜKRÜ Sok.,2020,5228.77
54,HALİL ETHEM Sok.,2020,5851.25
55,HALİSEFENDİ Sok.,2020,5228.77
56,HASIRCIBAŞI Cad.,2020,8092.15
57,HÜLYA Sok.,2020,8465.63
58,HÜNKAR Sok.,2020,8465.63
59,HÜSEYİNBEY Sok.,2020,9959.56
60,İLERİ Sok.,2020,5851.25
61,İLTER ERTÜZÜN Sok.,2020,5851.25
62,İMAMATA Sok.,2020,6071.98
63,KADİFE Sok.,2020,5443.85
64,KAĞNI Sok.,2020,5851.25
65,KERESTECİ AZİZ Sok.,2020,5851.25
66,KILAPTANCI Sok.,2020,8714.62
67,KUZU KESTANE Sok.,2020,5851.25
68,KÜÇÜKMODA BURNU Sok.,2020,18674.18
69,LEYLEK Sok.,2020,7328.27
70,LÜTFÜBEY Sok.,2020,9959.56
71,MİRALAY NAZIM Sok.,2020,5851.25
72,MİSBAH MUHAYYEŞ Sok.,2020,10468.92
73,MODA BOSTAN Sok.,2020,7469.67
74,MODA Cad.,2020,10468.92
75,MODA MEKTEBİ Sok.,2020,13190.87
76,MODA SAHİL YOLU Sok.,2020,18674.18
77,MURATBEY Sok.,2020,5851.25
78,MUVAKKITHANE Cad.,2020,10468.92
79,MÜHÜRDAR Cad.,2020,11515.83
80,MÜHÜRDAR KARAKOLU Sok.,2020,9959.56
81,MÜHÜRDARBAĞI Sok.,2020,5851.25
82,NAİLBEY Sok.,2020,6071.98
83,NAZMİBEY Sok.,2020,5851.25
84,NENEHATUN Sok.,2020,9959.56
85,NEŞE Sok.,2020,5851.25
86,NEŞET ÖMER Sok.,2020,7328.27
87,NEZİHE GÜRBÜZ Sok.,2020,14192.38
88,OSMAN ZEKİ ÜNGÖR Sok.,2020,9959.56
89,PAVLONYA Sok.,2020,6847.21
90,PROF. VEHBİ SARIDAL Sok.,2020,6100.24
91,RESSAM ŞEREF AKDİK Sok.,2020,5851.25
92,RIHTIM Cad.,2020,18674.18
93,RIZAPAŞA Sok.,2020,9959.56
94,RUŞENAĞA Sok.,2020,5851.25
95,SAADETTİN ÇIKMAZI Sok.,2020,9959.56
96,SAFA Sok.,2020,5851.25
97,SAĞLIK Sok.,2020,9959.56
98,SAKIZ Sok.,2020,7220.68
99,SAKIZGÜLÜ Sok.,2020,7220.68
100,SARRAF ALİ Sok.,2020,6071.98
101,SERASKER Cad.,2020,13609.62
102,SİVASTOPOL Sok.,2020,5851.25
103,SONER Sok.,2020,5851.25
104,SÖĞÜTLÜÇEŞME Cad.,2020,18674.18
105,ŞAİR LATİFİ Sok.,2020,6100.24
106,ŞAİR NEFİ Sok.,2020,9959.56
107,ŞEHİT CEM NURİ BAŞGİL Sok.,2020,14192.38
108,ŞEVKİBEY Sok.,2020,5851.25
109,ŞİFA Sok.,2020,9959.56
110,ŞİNASİEFENDİ Sok.,2020,6071.98
111,TAVUS Sok.,2020,10259.56
112,TELLALZADE Sok.,2020,5851.25
113,TUĞLACI EMİNBEY Sok.,2020,7851.68
114,ULUBATLI Sok.,2020,5851.25
115,ÜZERLİK Sok.,2020,10154.87
116,YASA Cad.,2020,12562.7
117,YAVERBEY Sok.,2020,8465.63
118,YENİFİKİR Sok.,2020,8793.9
119,YENİKAPI ÇIKMAZI Sok.,2020,9959.56
120,YOĞURTÇU PARKI Cad.,2020,11204.51
121,YUSUF KAMİLPAŞA Sok.,2020,8465.63
122,ZUHAL Sok.,2020,5851.25
123,-,2019,11186.5
124,-,2019,11186.5
125,-,2019,16932.4
126,-,2019,16932.4
127,-,2019,13169.64
128,-,2019,11186.5
129,-,2019,16220.43
130,-,2019,16220.43
131,-,2019,7271.23
132,-,2019,11852.7
133,-,2019,11186.5
134,-,2019,11186.5
135,-,2019,11186.5
136,-,2019,11186.5
137,-,2019,11186.5
138,-,2019,9406.88
139,ACAR Sok.,2019,7606.82
140,AĞABEY Sok.,2019,5257.66
141,AHTER Sok.,2019,5257.66
142,ALBAY FAİK SÖZDENER Cad.,2019,16779.75
143,ARAYICIBAŞI Sok.,2019,5257.66
144,ATIFET Sok.,2019,7606.82
145,BADEMALTI Sok.,2019,3915.28
146,BAŞAR ÇIKMAZI Sok.,2019,14542.45
147,BELKIS DİLLİGİL ÇIKMAZI Sok.,2019,12228.97
148,BÜLBÜLLÜ Sok.,2019,7606.82
149,CAFERAĞA MESCİDİ Sok.,2019,4698.33
150,CEM KARACA Sok.,2019,12752.61
151,CEM Sok.,2019,6152.58
152,CEMAL SÜREYA Sok.,2019,6152.58
153,DALGA Sok.,2019,3915.28
154,DAMACI Sok.,2019,5257.66
155,DAMGA Sok.,2019,16779.75
156,DR. ESAT IŞIK Cad.,2019,7830.55
157,DR. İHSAN ÜNLÜER Sok.,2019,4698.33
158,DR. ŞAKİRPAŞA Sok.,2019,6376.31
159,DUMLUPINAR Sok.,2019,4703.46
160,EMİN ONAT Sok.,2019,12752.61
161,FAZIL HÜSNÜ DAĞLARCA Sok.,2019,4474.6
162,FAZILPAŞA Sok.,2019,8949.2
163,FERİT TEK Sok.,2019,11852.7
164,FIRILDAK Sok.,2019,5257.66
165,GENERAL ASIM GÜNDÜZ Cad.,2019,14110.35
166,GİZEM Sok.,2019,6396.7
167,GÜLŞEN Sok.,2019,3915.28
168,GÜNER Sok.,2019,4044.96
169,GÜNEŞ Sok.,2019,3915.28
170,GÜNEŞLİBAHÇE Sok.,2019,7525.51
171,GÜRBÜZTÜRK Sok.,2019,5257.66
172,HACI AHMETBEY Sok.,2019,5257.66
173,HACI HÜSSAM Sok.,2019,5257.66
174,HACI İZZET Sok.,2019,7606.82
175,HACI ŞÜKRÜ Sok.,2019,4698.33
176,HALİL ETHEM Sok.,2019,5257.66
177,HALİSEFENDİ Sok.,2019,4698.33
178,HASIRCIBAŞI Cad.,2019,7271.23
179,HÜLYA Sok.,2019,7606.82
180,HÜNKAR Sok.,2019,7606.82
181,HÜSEYİNBEY Sok.,2019,8949.2
182,İLERİ Sok.,2019,5257.66
183,İLTER ERTÜZÜN Sok.,2019,5257.66
184,İMAMATA Sok.,2019,5456.0
185,KADİFE Sok.,2019,4891.59
186,KAĞNI Sok.,2019,5257.66
187,KERESTECİ AZİZ Sok.,2019,5257.66
188,KILAPTANCI Sok.,2019,7830.55
189,KUZU KESTANE Sok.,2019,5257.66
190,KÜÇÜKMODA BURNU Sok.,2019,16779.75
191,LEYLEK Sok.,2019,6584.84
192,LÜTFÜBEY Sok.,2019,8949.2
193,MİRALAY NAZIM Sok.,2019,5257.66
194,MİSBAH MUHAYYEŞ Sok.,2019,9406.88
195,MODA BOSTAN Sok.,2019,6711.9
196,MODA Cad.,2019,9406.88
197,MODA MEKTEBİ Sok.,2019,11852.7
198,MODA SAHİL YOLU Sok.,2019,16779.75
199,MURATBEY Sok.,2019,5257.66
200,MUVAKKITHANE Cad.,2019,9406.88
201,MÜHÜRDAR Cad.,2019,10347.59
202,MÜHÜRDAR KARAKOLU Sok.,2019,8949.2
203,MÜHÜRDARBAĞI Sok.,2019,5257.66
204,NAİLBEY Sok.,2019,5456.0
205,NAZMİBEY Sok.,2019,5257.66
206,NENEHATUN Sok.,2019,8949.2
207,NEŞE Sok.,2019,5257.66
208,NEŞET ÖMER Sok.,2019,6584.84
209,NEZİHE GÜRBÜZ Sok.,2019,12752.61
210,OSMAN ZEKİ ÜNGÖR Sok.,2019,8949.2
211,PAVLONYA Sok.,2019,6152.58
212,PROF. VEHBİ SARIDAL Sok.,2019,5481.39
213,RESSAM ŞEREF AKDİK Sok.,2019,5257.66
214,RIHTIM Cad.,2019,16779.75
215,RIZAPAŞA Sok.,2019,8949.2
216,RUŞENAĞA Sok.,2019,5257.66
217,SAADETTİN ÇIKMAZI Sok.,2019,8949.2
218,SAFA Sok.,2019,5257.66
219,SAĞLIK Sok.,2019,8949.2
220,SAKIZ Sok.,2019,6488.17
221,SAKIZGÜLÜ Sok.,2019,6488.17
222,SARRAF ALİ Sok.,2019,5456.0
223,SERASKER Cad.,2019,12228.97
224,SİVASTOPOL Sok.,2019,5257.66
225,SONER Sok.,2019,5257.66
226,SÖĞÜTLÜÇEŞME Cad.,2019,16779.75
227,ŞAİR LATİFİ Sok.,2019,5481.39
228,ŞAİR NEFİ Sok.,2019,8949.2
229,ŞEHİT CEM NURİ BAŞGİL Sok.,2019,12752.61
230,ŞEVKİBEY Sok.,2019,5257.66
231,ŞİFA Sok.,2019,8949.2
232,ŞİNASİEFENDİ Sok.,2019,5456.0
233,TAVUS Sok.,2019,9218.76
234,TELLALZADE Sok.,2019,5257.66
235,TUĞLACI EMİNBEY Sok.,2019,7055.15
236,ULUBATLI Sok.,2019,5257.66
237,ÜZERLİK Sok.,2019,9124.69
238,YASA Cad.,2019,11288.26
239,YAVERBEY Sok.,2019,7606.82
240,YENİFİKİR Sok.,2019,7901.79
241,YENİKAPI ÇIKMAZI Sok.,2019,8949.2
242,YOĞURTÇU PARKI Cad.,2019,10067.85
243,YUSUF KAMİLPAŞA Sok.,2019,7606.82
244,ZUHAL Sok.,2019,5257.66
245,-,2018,10000.0
246,-,2018,10000.0
247,-,2018,15136.46
248,-,2018,15136.46
249,-,2018,11772.8
250,-,2018,10000.0
251,-,2018,14500.0
252,-,2018,6500.0
253,-,2018,10595.54
254,-,2018,10000.0
255,-,2018,10000.0
256,-,2018,10000.0
257,-,2018,10000.0
258,-,2018,10000.0
259,-,2018,14500.0
260,ACAR Sok.,2018,6800.0
261,AĞABEY Sok.,2018,4700.0
262,AHTER Sok.,2018,4700.0
263,ALBAY FAİK SÖZDENER Cad.,2018,15000.0
264,ARAYICIBAŞI Sok.,2018,4700.0
265,ATIFET Sok.,2018,6800.0
266,BADEMALTI Sok.,2018,3500.0
267,BAŞAR ÇIKMAZI Sok.,2018,13000.0
268,BELKIS DİLLİGİL ÇIKMAZI Sok.,2018,10931.9
269,BÜLBÜLLÜ Sok.,2018,6800.0
270,CAFERAĞA MESCİDİ Sok.,2018,4200.0
271,CEM KARACA Sok.,2018,11400.0
272,CEM Sok.,2018,5500.0
273,CEMAL SÜREYA Sok.,2018,5500.0
274,DALGA Sok.,2018,3500.0
275,DAMACI Sok.,2018,4700.0
276,DAMGA Sok.,2018,15000.0
277,DR. ESAT IŞIK Cad.,2018,7000.0
278,DR. İHSAN ÜNLÜER Sok.,2018,4200.0
279,DR. ŞAKİRPAŞA Sok.,2018,5700.0
280,DUMLUPINAR Sok.,2018,4204.59
281,EMİN ONAT Sok.,2018,11400.0
282,FAZIL HÜSNÜ DAĞLARCA Sok.,2018,4000.0
283,FAZILPAŞA Sok.,2018,8000.0
284,FERİT TEK Sok.,2018,10595.54
285,FIRILDAK Sok.,2018,4700.0
286,GENERAL ASIM GÜNDÜZ Cad.,2018,12613.73
287,GİZEM Sok.,2018,5718.23
288,GÜLŞEN Sok.,2018,3500.0
289,GÜNER Sok.,2018,3615.93
290,GÜNEŞ Sok.,2018,3500.0
291,GÜNEŞLİBAHÇE Sok.,2018,6727.31
292,GÜRBÜZTÜRK Sok.,2018,4700.0
293,HACI AHMETBEY Sok.,2018,4700.0
294,HACI HÜSSAM Sok.,2018,4700.0
295,HACI İZZET Sok.,2018,6800.0
296,HACI ŞÜKRÜ Sok.,2018,4200.0
297,HALİL ETHEM Sok.,2018,4700.0
298,HALİSEFENDİ Sok.,2018,4200.0
299,HASIRCIBAŞI Cad.,2018,6500.0
300,HÜLYA Sok.,2018,6800.0
301,HÜNKAR Sok.,2018,6800.0
302,HÜSEYİNBEY Sok.,2018,8000.0
303,İLERİ Sok.,2018,4700.0
304,İLTER ERTÜZÜN Sok.,2018,4700.0
305,İMAMATA Sok.,2018,4877.31
306,KADİFE Sok.,2018,4372.76
307,KAĞNI Sok.,2018,4700.0
308,KERESTECİ AZİZ Sok.,2018,4700.0
309,KILAPTANCI Sok.,2018,7000.0
310,KUZU KESTANE Sok.,2018,4700.0
311,KÜÇÜKMODA BURNU Sok.,2018,15000.0
312,LEYLEK Sok.,2018,5886.42
313,LÜTFÜBEY Sok.,2018,8000.0
314,MİRALAY NAZIM Sok.,2018,4700.0
315,MİSBAH MUHAYYEŞ Sok.,2018,8409.14
316,MODA BOSTAN Sok.,2018,6000.0
317,MODA Cad.,2018,8409.14
318,MODA MEKTEBİ Sok.,2018,10595.54
319,MODA SAHİL YOLU Sok.,2018,15000.0
320,MURATBEY Sok.,2018,4700.0
321,MUVAKKITHANE Cad.,2018,8409.14
322,MÜHÜRDAR Cad.,2018,9250.07
323,MÜHÜRDAR KARAKOLU Sok.,2018,8000.0
324,MÜHÜRDARBAĞI Sok.,2018,4700.0
325,NAİLBEY Sok.,2018,4877.31
326,NAZMİBEY Sok.,2018,4700.0
327,NENEHATUN Sok.,2018,8000.0
328,NEŞE Sok.,2018,4700.0
329,NEŞET ÖMER Sok.,2018,5886.42
330,NEZİHE GÜRBÜZ Sok.,2018,11400.0
331,OSMAN ZEKİ ÜNGÖR Sok.,2018,8000.0
332,PAVLONYA Sok.,2018,5500.0
333,PROF. VEHBİ SARIDAL Sok.,2018,4900.0
334,RESSAM ŞEREF AKDİK Sok.,2018,4700.0
335,RIHTIM Cad.,2018,15000.0
336,RIZAPAŞA Sok.,2018,8000.0
337,RUŞENAĞA Sok.,2018,4700.0
338,SAADETTİN ÇIKMAZI Sok.,2018,8000.0
339,SAFA Sok.,2018,4700.0
340,SAĞLIK Sok.,2018,8000.0
341,SAKIZ Sok.,2018,5800.0
342,SAKIZGÜLÜ Sok.,2018,5800.0
343,SARRAF ALİ Sok.,2018,4877.31
344,SERASKER Cad.,2018,10931.9
345,SİVASTOPOL Sok.,2018,4700.0
346,SONER Sok.,2018,4700.0
347,SÖĞÜTLÜÇEŞME Cad.,2018,15000.0
348,ŞAİR LATİFİ Sok.,2018,4900.0
349,ŞAİR NEFİ Sok.,2018,8000.0
350,ŞEHİT CEM NURİ BAŞGİL Sok.,2018,11400.0
351,ŞEVKİBEY Sok.,2018,4700.0
352,ŞİFA Sok.,2018,8000.0
353,ŞİNASİEFENDİ Sok.,2018,4877.31
354,TAVUS Sok.,2018,8240.97
355,TELLALZADE Sok.,2018,4700.0
356,TUĞLACI EMİNBEY Sok.,2018,6306.84
357,ULUBATLI Sok.,2018,4700.0
358,ÜZERLİK Sok.,2018,8156.88
359,YASA Cad.,2018,10090.97
360,YAVERBEY Sok.,2018,6800.0
361,YENİFİKİR Sok.,2018,7063.68
362,YENİKAPI ÇIKMAZI Sok.,2018,8000.0
363,YOĞURTÇU PARKI Cad.,2018,9000.0
364,YUSUF KAMİLPAŞA Sok.,2018,6800.0
365,ZUHAL Sok.,2018,4700.0
366,-,2017,10090.97
367,-,2017,10090.97
368,-,2017,7063.69
369,ACAR Sok.,2017,4709.12
370,AĞABEY Sok.,2017,3251.54
371,AHTER Sok.,2017,3251.54
372,ALBAY FAİK SÖZDENER Cad.,2017,10090.97
373,ARAYICIBAŞI Sok.,2017,3251.54
374,ATIFET Sok.,2017,4709.12
375,BADEMALTI Sok.,2017,2466.68
376,BAŞAR ÇIKMAZI Sok.,2017,9025.82
