,sokak,yil,rayic
0,-,2020,2303.16
1,-,2020,9959.56
2,-,2020,11204.51
3,-,2020,8714.62
4,-,2020,9959.56
5,-,2020,9959.56
6,-,2020,9959.56
7,ABDİBEY Sok.,2020,2365.4
8,AÇIKGÖZ Sok.,2020,1556.18
9,ADIM Sok.,2020,1570.34
10,AHSEN ÇIKMAZI Sok.,2020,9088.11
11,ARALIK Sok.,2020,1556.18
12,ASİL Sok.,2020,9088.11
13,AŞİYAN Sok.,2020,2178.66
14,AYÇİÇEĞİ- Sok. (AYÇİÇEĞİ),2020,1556.18
15,AZRA Sok.,2020,9088.11
16,BABACAN Sok.,2020,1556.18
17,BAYRAKTAR CAMİİ Sok.,2020,1556.18
18,BEYZA Sok.,2020,1556.18
19,ÇAYIRİÇİ CAMİİ Sok.,2020,1556.18
20,ÇIRAĞAN Sok.,2020,2178.66
21,ÇİFTLİKİÇİ Sok.,2020,1556.18
22,DR. ERKİN Cad.,2020,7220.68
23,EYLÜL Sok.,2020,1570.34
24,FAHRETTİN KERİM GÖKAY Cad.,2020,11204.51
25,FEZA Sok.,2020,2365.4
26,GELİNCİK Sok.,2020,2365.4
27,GÖKKUŞAĞI Sok.,2020,1556.18
28,HAKKI MANÇO Sok.,2020,2365.4
29,HAKKIBEY Sok.,2020,2365.4
30,HALİLBEY Sok.,2020,1556.18
31,HALİMBEY- Sok. (HALİMBEY),2020,1556.18
32,HIZIRBEY Cad.,2020,2303.16
33,HİLMİBEY Sok.,2020,2365.4
34,KARACAN Sok.,2020,1556.18
35,KASAP İSMAİL Sok.,2020,1884.41
36,KASRI ALİ Cad.,2020,2365.4
37,KIRGÜLÜ Sok.,2020,1556.18
38,KRİSTAL Sok.,2020,1556.18
39,MELİKE Sok.,2020,1556.18
40,MURATPAŞA Cad.,2020,2365.4
41,MÜCEVHER Sok.,2020,1556.18
42,NAHİTBEY Sok.,2020,11204.51
43,NAHİTBEY Sok.,2020,2365.4
44,NARLIBAHÇE Sok.,2020,2489.89
45,NEZİHİBEY Sok.,2020,2365.4
46,NİL Sok.,2020,1556.18
47,ÖĞRETMEN NAZIM ÇIKMAZI Sok.,2020,1556.18
48,ÖMERBEY ÇIKMAZI Sok.,2020,1570.34
49,PATİKA Sok.,2020,2427.65
50,PATİKAYOL Sok.,2020,2427.65
51,PEMBEKÖŞK Sok.,2020,2178.66
52,POSTACI ÇIKMAZI Sok.,2020,1556.18
53,POSTANE Sok.,2020,1556.18
54,POYRAZ Sok.,2020,8714.62
55,SAĞLAM- Sok. (SAĞLAM),2020,1556.18
56,SAİTBEY Sok.,2020,1556.18
57,SANAT Sok.,2020,1556.18
58,SARAYÖNÜ Cad.,2020,2365.4
59,SAYGI Sok.,2020,1556.18
60,SEYYAH Sok.,2020,1556.18
61,SİGORTA EVLERİ Sok.,2020,2489.89
62,SİTEÖNÜ Sok.,2020,1556.18
63,SÖNMEZ Sok.,2020,1556.18
64,SUDE Sok.,2020,2489.89
65,SULUÇAYIR Sok.,2020,2178.66
66,SÜREYYA Sok.,2020,1556.18
