,sokak,yil,rayic
0,-,2020,18674.18
1,-,2020,10582.04
2,-,2020,18674.18
3,-,2020,18674.18
4,-,2020,11204.51
5,-,2020,11204.51
6,-,2020,9422.05
7,-,2020,9422.05
8,-,2020,18674.18
9,-,2020,9422.05
10,-,2020,11204.51
11,-,2020,10582.04
12,-,2020,11204.51
13,-,2020,18674.18
14,-,2020,5653.23
15,ABDİ İPEKÇİ Sok.,2020,8714.62
16,AKÇAM Sok.,2020,5353.27
17,ATILAY Sok.,2020,7220.68
18,BAĞDAT Cad.,2020,18674.18
19,BAHÇELER Sok.,2020,5602.26
20,BAYRAK ÇIKMAZI Sok.,2020,9088.11
21,BESTEKAR LEYLA Sok.,2020,5353.27
22,BOĞAZİÇİ ÇIKMAZI Sok.,2020,5353.27
23,BOZTEPE Sok.,2020,5353.27
24,CAMTEPE Sok.,2020,5353.27
25,CELAL TURŞUCU Sok.,2020,8714.62
26,CÖMERT Sok.,2020,5975.74
27,DOSTANE Sok.,2020,5353.27
28,DR. MUHİT TÜMERKAN Sok.,2020,4711.04
29,DR. MÜFİD EKDAL ÇIKMAZI Sok.,2020,5653.23
30,EBRU Sok.,2020,5975.74
31,ERDOĞDU Sok.,2020,5353.27
32,ESKİ KARAKOL Sok.,2020,4711.04
33,EYÜPPAŞA Sok.,2020,5353.27
34,FAHİR AÇAN Sok.,2020,5353.27
35,FAHRETTİN KERİM GÖKAY Cad.,2020,11204.51
36,FENERLİ AHMET Sok.,2020,5353.27
37,FENERYOLU HATBOYU Sok.,2020,6847.21
38,FENERYOLU Sok.,2020,5353.27
39,GAYE Sok.,2020,5353.27
40,GAZİ MUHTARPAŞA Sok.,2020,6847.21
41,GEDİKLİ Sok.,2020,5353.27
42,GEZGİN Sok.,2020,9088.11
43,GÖKTEPE Sok.,2020,5353.27
44,HAMDİBEY Sok.,2020,5353.27
45,HASANAMİR Sok.,2020,5353.27
46,HÜSEYİN HÜSNÜPAŞA Sok.,2020,5353.27
47,HÜSEYİN PAŞA ÇIKMAZI Sok.,2020,4711.04
48,İREM Sok.,2020,5353.27
49,İSTASYON ARKASI Sok.,2020,5353.27
50,KIZILTOPRAK İSTASYON Cad.,2020,5602.26
51,KORTANPAŞA Sok.,2020,7220.68
52,KUMBARACILAR Sok.,2020,6847.21
53,KUYUBAŞI Sok.,2020,5653.23
54,MAZHAR OSMAN Sok.,2020,5353.27
55,MUSTAFA MAZHARBEY Sok.,2020,8714.62
56,MUTLU Sok.,2020,5353.27
57,MÜDERRİS ZİYA Sok.,2020,5353.27
58,ÖLÇÜ Sok.,2020,4711.04
59,RÜZGARGÜLÜ ÇIKMAZI Sok.,2020,7469.67
60,SAFFET RONA Sok.,2020,5353.27
61,SALDIRAY Sok.,2020,5353.27
62,SELÇUK SİNDAL Sok.,2020,9088.11
63,SELVİ ÇIKMAZI Sok.,2020,8714.62
64,ŞEFİZADE Sok.,2020,5353.27
65,ŞEHİR KAHYA Sok.,2020,5353.27
66,TAHİR EKDAL Sok.,2020,5353.27
67,YARGIÇ TURHAN DEMİREL Sok.,2020,5353.27
68,YAZICIBAŞI Sok.,2020,5353.27
69,YILDIRAY Sok.,2020,5353.27
70,-,2019,8466.21
71,-,2019,10067.85
72,-,2019,10067.85
73,-,2019,8466.21
74,-,2019,16779.75
75,-,2019,16779.75
76,-,2019,8466.21
77,-,2019,10067.85
78,-,2019,9508.53
79,-,2019,9508.53
80,-,2019,5079.73
81,-,2019,16779.75
82,-,2019,16779.75
83,-,2019,16779.75
84,-,2019,10067.85
85,ABDİ İPEKÇİ Sok.,2019,7830.55
86,AKÇAM Sok.,2019,4810.2
87,ATILAY Sok.,2019,6488.17
88,BAĞDAT Cad.,2019,16779.75
89,BAHÇELER Sok.,2019,5033.93
90,BAYRAK ÇIKMAZI Sok.,2019,8166.15
91,BESTEKAR LEYLA Sok.,2019,4810.2
92,BOĞAZİÇİ ÇIKMAZI Sok.,2019,4810.2
93,BOZTEPE Sok.,2019,4810.2
94,CAMTEPE Sok.,2019,4810.2
95,CELAL TURŞUCU Sok.,2019,7830.55
96,CÖMERT Sok.,2019,5369.52
97,DOSTANE Sok.,2019,4810.2
98,DR. MUHİT TÜMERKAN Sok.,2019,4233.12
99,DR. MÜFİD EKDAL ÇIKMAZI Sok.,2019,5079.73
100,EBRU Sok.,2019,5369.52
101,ERDOĞDU Sok.,2019,4810.2
102,ESKİ KARAKOL Sok.,2019,4233.12
103,EYÜPPAŞA Sok.,2019,4810.2
104,FAHİR AÇAN Sok.,2019,4810.2
105,FAHRETTİN KERİM GÖKAY Cad.,2019,10067.85
106,FENERLİ AHMET Sok.,2019,4810.2
107,FENERYOLU HATBOYU Sok.,2019,6152.58
108,FENERYOLU Sok.,2019,4810.2
109,GAYE Sok.,2019,4810.2
110,GAZİ MUHTARPAŞA Sok.,2019,6152.58
111,GEDİKLİ Sok.,2019,4810.2
112,GEZGİN Sok.,2019,8166.15
113,GÖKTEPE Sok.,2019,4810.2
