,sokak,yil,rayic
0,-,2020,9959.56
1,-,2020,9959.56
2,-,2020,9959.56
3,-,2020,9959.56
4,-,2020,9959.56
5,-,2020,9959.56
6,-,2020,9959.56
7,-,2020,9959.56
8,-,2020,9959.56
9,-,2020,9959.56
10,-,2020,9959.56
11,-,2020,9959.56
12,-,2020,9959.56
13,-,2020,9959.56
14,-,2020,9959.56
15,-,2020,9959.56
16,-,2020,9959.56
17,-,2020,9959.56
18,-,2020,9959.56
19,-,2020,9959.56
20,-,2020,9959.56
21,-,2020,9959.56
22,-,2020,9959.56
23,-,2020,9959.56
24,-,2020,9959.56
25,-,2020,9959.56
26,-,2020,9959.56
27,-,2020,9959.56
28,-,2020,9959.56
29,-,2020,9959.56
30,-,2020,9959.56
31,ADİLBEY Sok.,2020,1493.93
32,AKÇAY Sok.,2020,1493.93
33,AKÇIRA Sok.,2020,1493.93
34,AKPINAR Sok.,2020,1493.93
35,BAHTLI Sok.,2020,2826.6
36,BARIŞ Sok.,2020,1493.93
37,BAŞYİĞİT Sok.,2020,1493.93
38,BILDIRCIN Sok.,2020,1493.93
39,BÜLBÜL Sok.,2020,1493.93
40,CANİÇİ- Sok. (CANİÇİ),2020,1493.93
41,CENGİZ- Sok. (CENGİZ),2020,1493.93
42,DEMİRCİ Sok.,2020,1493.93
43,DEREBOYU Sok.,2020,1493.93
44,DİCLE Sok.,2020,1493.93
45,DİSPANSER Sok.,2020,1493.93
46,DOĞAN Sok.,2020,1493.93
47,DORUK Sok.,2020,1493.93
48,DOSTLAR Sok.,2020,1493.93
49,DURU Sok.,2020,1493.93
50,EMİR Sok.,2020,1493.93
51,EMİROĞLU- Sok. (EMİROĞLU),2020,1493.93
52,ERDEMLER Sok.,2020,1493.93
53,ERLER Sok.,2020,1493.93
54,FIRAT Sok.,2020,1493.93
55,GEZİCİ- Sok. (GEZİCİ),2020,1493.93
56,GÜR Sok.,2020,1493.93
57,GÜVEN Sok.,2020,1493.93
58,HAKKI ÖZER- Sok. (HAKKI ÖZER),2020,1493.93
59,HANEDAN Sok.,2020,1493.93
60,HIZIRBEY Cad.,2020,2987.87
61,İLHAM Sok.,2020,1493.93
62,İNCİ Sok.,2020,1493.93
63,KADER Sok.,2020,1493.93
64,KALE Sok.,2020,1493.93
65,KALENDER Sok.,2020,1493.93
66,KALYONCU Sok.,2020,1493.93
67,KANYON Sok.,2020,1493.93
68,KARADAĞ Sok.,2020,1493.93
69,KARDEŞLER Sok.,2020,1493.93
70,KAYA Sok.,2020,1493.93
71,KEHRİBAR Sok.,2020,1493.93
72,KUMRU Sok.,2020,1493.93
73,MANDIRA Cad.,2020,3112.37
74,MENGÜ- Sok. (MENGÜ),2020,1493.93
75,METİN- Sok. (METİN),2020,1493.93
76,MOSTAR Sok.,2020,1493.93
77,NARÇİÇEĞİ Sok.,2020,1493.93
78,NARİN Sok.,2020,2738.88
79,NİYAZİBEY Sok.,2020,1493.93
80,ODABAŞI Sok.,2020,1493.93
81,OKYANUS Sok.,2020,1493.93
82,ORUÇ Sok.,2020,1493.93
83,OTANTİK Sok.,2020,1493.93
84,ÖZBEY Cad.,2020,2240.9
85,ÖZBEY ÇETİN Sok.,2020,1493.93
86,ÖZEN Sok.,2020,1493.93
87,PAKSU Sok.,2020,1493.93
88,RÜZGAR Sok.,2020,1493.93
89,SARDUNYA- Sok. (SARDUNYA),2020,1493.93
90,SEMA Sok.,2020,1493.93
91,SERDAR Sok.,2020,1493.93
92,SEVEN Sok.,2020,1493.93
93,ŞEHİT MEHMET EREN Sok.,2020,1493.93
94,ŞEN Sok.,2020,1493.93
95,ŞENEVLER Sok.,2020,1493.93
96,ŞENNUR- Sok. (ŞENNUR),2020,1493.93
97,ŞENOL Sok.,2020,1493.93
98,TOPEL- Sok. (TOPEL),2020,1493.93
99,VOLKAN Sok.,2020,2303.16
100,YADİGAR Sok.,2020,1493.93
101,YAREN Sok.,2020,1493.93
102,YASİN Sok.,2020,1493.93
103,YILDIRIM Sok.,2020,2240.9
104,YUMURTACI ABDİBEY Cad.,2020,1884.41
105,ZİRVE Sok.,2020,1493.93
106,-,2019,8949.2
107,-,2019,8949.2
108,-,2019,8949.2
109,-,2019,8949.2
110,-,2019,8949.2
111,-,2019,8949.2
112,-,2019,8949.2
113,-,2019,8949.2
114,-,2019,8949.2
115,-,2019,8949.2
116,-,2019,8949.2
117,-,2019,8949.2
118,-,2019,8949.2
119,-,2019,8949.2
120,-,2019,8949.2
121,-,2019,8949.2
122,-,2019,8949.2
123,-,2019,8949.2
124,-,2019,8949.2
125,-,2019,8949.2
126,-,2019,8949.2
127,-,2019,8949.2
128,-,2019,8949.2
129,-,2019,8949.2
130,-,2019,8949.2
131,-,2019,8949.2
132,-,2019,8949.2
133,-,2019,8949.2
134,-,2019,8949.2
135,-,2019,8949.2
136,-,2019,8949.2
137,ADİLBEY Sok.,2019,1342.38
138,AKÇAY Sok.,2019,1342.38
139,AKÇIRA Sok.,2019,1342.38
