,sokak,yil,rayic
0,-,2020,11204.51
1,-,2020,9422.05
2,-,2020,11204.51
3,-,2020,12562.7
4,-,2020,9422.05
5,-,2020,18674.18
6,-,2020,9422.05
7,13 MART ŞEHİTLERİ Sok.,2020,7469.67
8,ACEM Sok.,2020,7469.67
9,AHESTE Sok.,2020,7469.67
10,AHMET REFİK Sok.,2020,7469.67
11,AKIŞ Sok.,2020,7469.67
12,ATILAY Sok.,2020,7469.67
13,AVCI Sok.,2020,7469.67
14,AYAZMA Sok.,2020,7469.67
15,BAĞDAT Cad.,2020,18674.18
16,BAHARİYELİ Sok.,2020,7469.67
17,BESTEKAR ZİYA Sok.,2020,7469.67
18,BURÇAK Sok.,2020,7469.67
19,BUSE Sok.,2020,7469.67
20,CAVİTPAŞA Sok.,2020,7469.67
21,CENGİZHAN Sok.,2020,7469.67
22,CEZMİ OR Sok.,2020,7469.67
23,COŞKUN Sok.,2020,7469.67
24,ÇAKIL Sok.,2020,7469.67
25,ÇİĞDEM Sok.,2020,7469.67
26,ÇİMENZAR Sok.,2020,7469.67
27,DAMAK Sok.,2020,7469.67
28,DEMİRCİ FAİK Sok.,2020,7469.67
29,DİLSİZ Sok.,2020,7469.67
30,DOĞUŞ ÇIKMAZI Sok.,2020,8714.62
31,DR. FAZIL GÖKÇE ÖREN Sok.,2020,7469.67
32,DR. RIFATPAŞA Sok.,2020,7469.67
33,DR. ZEKİ ZEREN Sok.,2020,7469.67
34,EGE HATBOYU Sok.,2020,7469.67
35,EGE Sok.,2020,7469.67
36,ERCİYES ÇIKMAZI Sok.,2020,7469.67
37,EVSEN Sok.,2020,7469.67
38,EYÜPPAŞA Sok.,2020,5353.27
39,FAHRETTİN KERİM GÖKAY Cad.,2020,11204.51
40,FINDIKLI Sok.,2020,7469.67
41,GÜLDEN Sok.,2020,8092.15
42,GÜLHANE Sok.,2020,7469.67
43,GÜNEBAKAN Sok.,2020,7469.67
44,GÜVENÇ Sok.,2020,7469.67
45,GÜZEL Sok.,2020,7469.67
46,HAMİT OSKAY Sok.,2020,7469.67
47,HATTAT BAHATTİN Sok.,2020,7469.67
48,IHLAMUR Sok.,2020,7469.67
49,İDİL Sok.,2020,7469.67
50,İZZET BELTAN Sok.,2020,7469.67
51,KAPTAN İHSAN Sok.,2020,7469.67
52,KARANFİL Sok.,2020,7469.67
53,KEMAL SALİH SEL Sok.,2020,7469.67
54,KORTANPAŞA Sok.,2020,7469.67
55,KÜLTÜR Sok.,2020,7469.67
56,MEHMET SEYDA Sok.,2020,8092.15
57,MERYEM ATMACA Sok.,2020,7469.67
58,MERYEM ATMACA Sok.,2020,9422.05
59,MESİRE Sok.,2020,7469.67
60,MUSTAFA KAYA Sok.,2020,7469.67
61,MUSTAFA MAZHARBEY Sok.,2020,8714.62
62,MUSTAFA TÜMER Sok.,2020,7469.67
63,NADİRAĞA Sok.,2020,7469.67
64,ORAMİRAL KEMAL KAYACAN Sok.,2020,7469.67
65,ÖMERPAŞA Sok.,2020,7118.89
66,PERÇEM Sok.,2020,7469.67
67,PETEK Sok.,2020,7469.67
68,PINAR Sok.,2020,7469.67
69,PROF. CEVAT MEMDUH ALTAR Sok.,2020,7469.67
70,PROF. MUSTAFA REŞİT BELGESAY Sok.,2020,7469.67
71,PROF. ZÜHTÜ MÜRİDOĞLU ÇIKMAZI Sok.,2020,7469.67
72,REŞAT EKREM KOÇU ÇIKMAZI Sok.,2020,7469.67
73,RIDVANPAŞA Sok.,2020,7469.67
74,SERVER İSKİT Sok.,2020,7469.67
75,SEVÜK Sok.,2020,7469.67
76,ŞAİR AHMET KEMAL Sok.,2020,7469.67
