,sokak,yil,rayic
0,-,2020,6281.36
1,-,2020,6281.36
2,-,2020,9337.1
3,-,2020,6281.36
4,-,2020,6281.36
5,-,2020,6281.36
6,-,2020,5443.85
7,-,2020,6281.36
8,-,2020,6281.36
9,-,2020,6281.36
10,-,2020,6281.36
11,-,2020,6281.36
12,-,2020,6281.36
13,ABDÜLHALİM MEMDUH Sok.,2020,2365.4
14,AFŞARBEY Sok.,2020,3610.35
15,AHMET RASİM Sok.,2020,2365.4
16,ALİ FERRUH Sok.,2020,2365.4
17,ALİ RUHİ Sok.,2020,2365.4
18,ALİBEY Sok.,2020,2365.4
19,ALPER ÇIKMAZI Sok.,2020,3610.35
20,ANDELİP ESAT Sok.,2020,2365.4
21,ARZU Sok.,2020,2365.4
22,ASLI Sok.,2020,2365.4
23,ATABEY Sok.,2020,2365.4
24,BALSUYU Sok.,2020,2365.4
25,BERBERBAŞI Sok.,2020,2365.4
26,BERCESTE Sok.,2020,2365.4
27,BİLECİK Sok.,2020,2365.4
28,BİNGÖL Sok.,2020,2365.4
29,BORULUMASLAK Sok.,2020,2365.4
30,BOTANİK Sok.,2020,2365.4
31,BOYACI MEHMET Sok.,2020,2449.72
32,ÇALIKUŞU Sok.,2020,2365.4
33,ÇAVDAR Sok.,2020,2365.4
34,DENİZYILDIZI Sok.,2020,2365.4
35,DERİCİ ZEYNEL Sok.,2020,3768.82
36,ECE Sok.,2020,2365.4
37,EDAGÜL ÇIKMAZI Sok.,2020,2365.4
38,ETHEMKAPTAN Sok.,2020,2365.4
39,FAHRETTİN KERİM GÖKAY Cad.,2020,11204.51
40,FAİK BEY Sok.,2020,2303.16
41,FULYA Sok.,2020,3610.35
42,GAZHANE DERESİ Sok.,2020,2365.4
43,HACI NECİPUSTA Sok.,2020,2365.4
44,HAMİYET Sok.,2020,2365.4
45,HASANPAŞA MEKTEBİ Sok.,2020,2365.4
46,HIZIRBEY Cad.,2020,2303.16
47,HÜRRİYET Sok.,2020,2365.4
48,İKBAL ÇEŞME Sok.,2020,2987.87
49,İKBALİYE Sok.,2020,2365.4
50,İRFANBEY Sok.,2020,3768.82
51,KAHKEŞAN Sok.,2020,2365.4
52,KANDEMİR Sok.,2020,2449.72
53,KOZA Sok.,2020,3610.35
54,KURBAĞALIDERE Cad.,2020,9337.1
55,LAVANTA Sok.,2020,3610.35
56,MAHMUT SADIK Sok.,2020,2614.39
57,MAHMUTBABA Sok.,2020,3768.82
58,MANDIRA Cad.,2020,3610.35
59,MİRİM ÇELEBİ Sok.,2020,2365.4
60,MORALI İBRAHİMPAŞA Sok.,2020,2449.72
61,MUKBİL Sok.,2020,2365.4
62,MUSAVAT Sok.,2020,2365.4
63,MÜVERRİH ATA Sok.,2020,2365.4
64,NABİZADE Sok.,2020,2365.4
65,NAHİT Sok.,2020,2365.4
66,NAZİFBEY Sok.,2020,2449.72
67,NİLÜFER Sok.,2020,2365.4
68,PUSULA Sok.,2020,2365.4
69,RASİMPAŞA Sok.,2020,2449.72
70,SARAYARDI Cad.,2020,5602.26
71,SARMAŞIK ÇIKMAZI Sok.,2020,2365.4
72,SİNA Sok.,2020,2365.4
73,SÖĞÜTLÜÇEŞME Cad.,2020,16184.29
74,ŞAİR SURURİ Sok.,2020,2365.4
75,ŞARKILI Sok.,2020,2365.4
76,ŞEHİT BÜLENT ALTINSOY Sok.,2020,2365.4
77,ŞEHİT MUHİTTİN ALİNÇER Sok.,2020,2365.4
78,TAŞKÖPRÜ Cad.,2020,5602.26
79,TAŞOCAĞI Sok.,2020,3610.35
80,TELKAFES Sok.,2020,2365.4
81,TUR Sok.,2020,2449.72
82,TURAN ÇIKMAZI Sok.,2020,2365.4
83,UHUVVET Sok.,2020,2365.4
84,ULUSULUK Sok.,2020,2449.72
85,UZUNÇAYIR Cad.,2020,6224.73
86,YENİDUYGU Sok.,2020,2449.72
87,ZEAMET Cad.,2020,3768.82
88,ZERRİN Sok.,2020,3610.35
89,-,2019,5644.14
90,-,2019,5644.14
91,-,2019,8389.88
92,-,2019,5644.14
93,-,2019,5644.14
94,-,2019,5644.14
95,-,2019,4891.59
96,-,2019,5644.14
97,-,2019,5644.14
98,-,2019,5644.14
99,-,2019,5644.14
100,-,2019,5644.14
101,-,2019,5644.14
102,ABDÜLHALİM MEMDUH Sok.,2019,2125.44
103,AFŞARBEY Sok.,2019,3244.09
104,AHMET RASİM Sok.,2019,2125.44
105,ALİ FERRUH Sok.,2019,2125.44
106,ALİ RUHİ Sok.,2019,2125.44
107,ALİBEY Sok.,2019,2125.44
108,ALPER ÇIKMAZI Sok.,2019,3244.09
109,ANDELİP ESAT Sok.,2019,2125.44
110,ARZU Sok.,2019,2125.44
111,ASLI Sok.,2019,2125.44
112,ATABEY Sok.,2019,2125.44
113,BALSUYU Sok.,2019,2125.44
114,BERBERBAŞI Sok.,2019,2125.44
115,BERCESTE Sok.,2019,2125.44
116,BİLECİK Sok.,2019,2125.44
117,BİNGÖL Sok.,2019,2125.44
118,BORULUMASLAK Sok.,2019,2125.44
119,BOTANİK Sok.,2019,2125.44
120,BOYACI MEHMET Sok.,2019,2201.2
121,ÇALIKUŞU Sok.,2019,2125.44
122,ÇAVDAR Sok.,2019,2125.44
123,DENİZYILDIZI Sok.,2019,2125.44
124,DERİCİ ZEYNEL Sok.,2019,3386.49
125,ECE Sok.,2019,2125.44
126,EDAGÜL ÇIKMAZI Sok.,2019,2125.44
127,ETHEMKAPTAN Sok.,2019,2125.44
128,FAHRETTİN KERİM GÖKAY Cad.,2019,10067.85
129,FAİK BEY Sok.,2019,2069.51
130,FULYA Sok.,2019,3244.09
131,GAZHANE DERESİ Sok.,2019,2125.44
132,HACI NECİPUSTA Sok.,2019,2125.44
133,HAMİYET Sok.,2019,2125.44
134,HASANPAŞA MEKTEBİ Sok.,2019,2125.44
135,HIZIRBEY Cad.,2019,2069.51
136,HÜRRİYET Sok.,2019,2125.44
137,İKBAL ÇEŞME Sok.,2019,2684.76
138,İKBALİYE Sok.,2019,2125.44
139,İRFANBEY Sok.,2019,3386.49
140,KAHKEŞAN Sok.,2019,2125.44
141,KANDEMİR Sok.,2019,2201.2
142,KOZA Sok.,2019,3244.09
143,KURBAĞALIDERE Cad.,2019,8389.88
144,LAVANTA Sok.,2019,3244.09
145,MAHMUT SADIK Sok.,2019,2349.17
146,MAHMUTBABA Sok.,2019,3386.49
147,MANDIRA Cad.,2019,3244.09
148,MİRİM ÇELEBİ Sok.,2019,2125.44
149,MORALI İBRAHİMPAŞA Sok.,2019,2201.2
150,MUKBİL Sok.,2019,2125.44
151,MUSAVAT Sok.,2019,2125.44
152,MÜVERRİH ATA Sok.,2019,2125.44
153,NABİZADE Sok.,2019,2125.44
154,NAHİT Sok.,2019,2125.44
155,NAZİFBEY Sok.,2019,2201.2
156,NİLÜFER Sok.,2019,2125.44
157,PUSULA Sok.,2019,2125.44
158,RASİMPAŞA Sok.,2019,2201.2
159,SARAYARDI Cad.,2019,5033.93
160,SARMAŞIK ÇIKMAZI Sok.,2019,2125.44
161,SİNA Sok.,2019,2125.44
162,SÖĞÜTLÜÇEŞME Cad.,2019,14542.45
163,ŞAİR SURURİ Sok.,2019,2125.44
164,ŞARKILI Sok.,2019,2125.44
165,ŞEHİT BÜLENT ALTINSOY Sok.,2019,2125.44
166,ŞEHİT MUHİTTİN ALİNÇER Sok.,2019,2125.44
