,sokak,yil,rayic
0,-,2020,13086.16
1,-,2020,7158.44
2,-,2020,8714.62
3,-,2020,18674.18
4,-,2020,18674.18
5,-,2020,13086.16
6,-,2020,13086.16
7,-,2020,13086.16
8,-,2020,13086.16
9,-,2020,4187.58
10,-,2020,18674.18
11,-,2020,18674.18
12,-,2020,18674.18
13,-,2020,18674.18
14,-,2020,18674.18
15,-,2020,18674.18
16,-,2020,18674.18
17,-,2020,18674.18
18,-,2020,9422.05
19,-,2020,13071.93
20,-,2020,18674.18
21,-,2020,18674.18
22,-,2020,11204.51
23,-,2020,18674.18
24,-,2020,18674.18
25,-,2020,18674.18
26,-,2020,18674.18
27,-,2020,8714.62
28,-,2020,11204.51
29,-,2020,18674.18
30,-,2020,18674.18
31,-,2020,7328.27
32,-,2020,18674.18
33,-,2020,9959.56
34,-,2020,18674.18
35,-,2020,9959.56
36,-,2020,18674.18
37,-,2020,18674.18
38,-,2020,4187.58
39,-,2020,9088.11
40,-,2020,18674.18
41,-,2020,18674.18
42,-,2020,18674.18
43,-,2020,18674.18
44,-,2020,18674.18
45,-,2020,11204.51
46,-,2020,3559.44
47,-,2020,3559.44
48,-,2020,18674.18
49,-,2020,18674.18
50,-,2020,8714.62
51,-,2020,11204.51
52,-,2020,10468.92
53,-,2020,10468.92
54,-,2020,7158.44
55,-,2020,11204.51
56,-,2020,7537.64
57,-,2020,18674.18
58,ABDÜLEZELPAŞA Sok.,2020,3423.6
59,AVŞAR Sok.,2020,3423.6
60,AYÇİL Sok.,2020,3423.6
61,BALÖZÜ Sok.,2020,3423.6
62,BAYAR Cad.,2020,9959.56
63,BELEDİYE BLOKLARI Sok.,2020,3423.6
64,BEYAZKANARYA Sok.,2020,3423.6
65,BUKET Sok.,2020,3734.84
66,CAN Sok.,2020,3423.6
67,CEMİL AKDOĞAN Sok.,2020,3423.6
68,ÇARDAK Sok.,2020,3423.6
69,DEĞİRMEN Sok.,2020,3610.35
70,DİRLİK Sok.,2020,3423.6
71,DR. ŞÜKRÜ KUNT Sok.,2020,3423.6
72,FİLİZ SOYDEMİR Sok.,2020,3423.6
73,FORSA Sok.,2020,3423.6
74,GAZİ ETHEMPAŞA Sok.,2020,3423.6
75,GÖRGÜN Sok.,2020,3423.6
76,GÜLBAHAR Sok.,2020,4046.07
77,GÜN Sok.,2020,3423.6
78,HACI MUHTAR Sok.,2020,3423.6
79,HİLMİPAŞA Sok.,2020,5602.26
80,HÜSEYİN AYANOĞLU Sok.,2020,3734.84
81,HÜSEYİN ÇELİK Sok.,2020,7537.64
82,İBRAHİM AĞA Sok.,2020,4046.07
83,KADIPAŞA Sok.,2020,3734.84
84,KAYA SULTAN Sok.,2020,4046.07
85,KAYMAKAM KEMAL Sok.,2020,3423.6
86,KEREMBEY Sok.,2020,3423.6
87,KIRÇİÇEĞİ Sok.,2020,3423.6
88,KOCAYOL Cad.,2020,7158.44
89,KORKUT Sok.,2020,3423.6
90,KOZYATAĞI Sok.,2020,3423.6
91,LEMİ ATLI Sok.,2020,3423.6
92,LÜLE Sok.,2020,3423.6
93,MARMARA Cad.,2020,8714.62
94,MEDRESE ÇIKMAZI Sok.,2020,3423.6
95,MUALLİM Sok.,2020,3423.6
96,MUHTAR HALİL COŞKUN Sok.,2020,3768.82
97,NEVZAT BULUT Sok.,2020,3423.6
98,OKUL Sok.,2020,3423.6
99,ORAL Sok.,2020,4046.07
100,OYAK SİTESİ ÇIKMAZI Sok.,2020,3423.6
101,PAMUK Sok.,2020,3423.6
102,PAŞAZADE Sok.,2020,3423.6
103,PROF.DR. KEMAL AKGÜDER Cad.,2020,4979.78
104,RESSAM ŞEVKET Sok.,2020,3423.6
105,SANİYE ERMUTLU Sok.,2020,18674.18
106,SARIKANARYA Sok.,2020,5291.02
107,SARIKAYA Sok.,2020,3423.6
108,SEDA Sok.,2020,3423.6
109,SITMA PINAR Sok.,2020,3423.6
110,ŞAKACI Sok.,2020,4046.07
111,ŞANLIER Sok.,2020,3423.6
112,ŞEBNEM Sok.,2020,4046.07
113,ŞEHİT FATİH DEVRAVUT Sok.,2020,3423.6
114,ŞEHİT İLKNUR KELEŞ Sok.,2020,4979.78
115,ŞEHİT MEHMET FATİH ÖNGÜL Sok.,2020,18674.18
116,ŞEHİT MELTEM ÖZKILIÇ Sok.,2020,3423.6
117,ŞEHİT YILMAZ ERCAN- Sok. (ŞEHİT YILMAZ ERCAN),2020,3423.6
118,ŞEMSETTİN GÜNALTAY Cad.,2020,11204.51
119,TAÇ Sok.,2020,3423.6
120,TOKTAŞ Sok.,2020,3610.35
121,YAĞIZ Sok.,2020,3423.6
122,YEDİKULE ÇIKMAZI Sok.,2020,3423.6
123,YUSUF BAHA GÜRCAN Sok.,2020,3610.35
124,-,2019,6432.24
125,-,2019,11758.61
126,-,2019,9406.88
127,-,2019,9406.88
128,-,2019,16779.75
129,-,2019,10067.85
130,-,2019,6772.97
131,-,2019,16779.75
132,-,2019,10067.85
133,-,2019,16779.75
134,-,2019,7830.55
135,-,2019,7830.55
136,-,2019,16779.75
137,-,2019,11758.61
138,-,2019,7830.55
139,-,2019,11758.61
140,-,2019,11758.61
141,-,2019,11758.61
142,-,2019,3762.76
143,-,2019,16779.75
144,-,2019,16779.75
145,-,2019,16779.75
146,-,2019,6432.24
147,-,2019,16779.75
148,-,2019,16779.75
149,-,2019,16779.75
150,-,2019,16779.75
151,-,2019,10067.85
152,-,2019,16779.75
153,-,2019,11745.83
154,-,2019,16779.75
155,-,2019,10067.85
156,-,2019,16779.75
157,-,2019,16779.75
158,-,2019,16779.75
159,-,2019,16779.75
160,-,2019,16779.75
161,-,2019,16779.75
162,-,2019,16779.75
163,-,2019,6584.84
164,-,2019,8949.2
165,-,2019,16779.75
166,-,2019,16779.75
167,-,2019,8949.2
168,-,2019,16779.75
169,-,2019,16779.75
170,-,2019,16779.75
171,-,2019,3762.76
172,-,2019,8166.15
173,-,2019,16779.75
174,-,2019,16779.75
175,-,2019,16779.75
176,-,2019,16779.75
177,-,2019,16779.75
178,-,2019,10067.85
179,-,2019,3198.35
