,sokak,yil,rayic
0,-,2020,4711.04
1,-,2020,8375.14
2,-,2020,5234.48
3,-,2020,4711.04
4,-,2020,18674.18
5,ALİ NAZİMA Sok.,2020,2987.87
6,ALİDEDE Sok.,2020,5234.48
7,ARDA Sok.,2020,2489.89
8,ASMA DALI Sok.,2020,2987.87
9,BATUHAN ÇIKMAZI Sok.,2020,2987.87
10,CENAP ŞAHABETTİN Sok.,2020,1991.91
11,CEVATPAŞA Sok.,2020,2680.04
12,DİNLENÇ Cad.,2020,4711.04
13,DİREKLİ ÇARŞI Sok.,2020,4711.04
14,DR. EYÜP AKSOY Cad.,2020,2680.04
15,EMİNBEY Sok.,2020,3610.35
16,FERHAT ACARKENT Sok.,2020,2427.65
17,GÖMEÇ Sok.,2020,3734.84
18,GÖRGÜLÜ Sok.,2020,4232.81
19,GÜLDESTE ÇIKMAZI Sok.,2020,2489.89
20,HALİL ETHEM ELDEM Sok.,2020,2489.89
21,HALİLİ Sok.,2020,2489.89
22,İBRAHİM AĞA CAMİİ Sok.,2020,2489.89
23,İBRAHİMAĞA ZAVİYESİ Sok.,2020,2987.87
24,İMAR LİMİTED Sok.,2020,2987.87
25,İSMAİLPAŞA Sok.,2020,2987.87
26,İSTİKLAL Sok.,2020,2489.89
27,KALFA ÇEŞMESİ Sok. (KALFAÇEŞME),2020,3734.84
28,KATİP SALİH Sok.,2020,2093.79
29,KOŞUYOLU Cad.,2020,5234.48
30,KÖFTÜNCÜ Sok.,2020,4979.78
31,LAMBACI Sok.,2020,4711.04
32,MAHMUT YESARİ Cad.,2020,2489.89
33,MEHMET AKFAN Sok.,2020,3140.7
34,MUHİTTİN ÜSTÜNDAĞ Cad.,2020,4979.78
35,MÜTEVELLİ ÇEŞME Cad.,2020,3734.84
36,NAZLI Sok.,2020,2489.89
37,NESİM Sok.,2020,4711.04
38,ÖZDEN Sok.,2020,2987.87
39,SABİTBEY Sok.,2020,2489.89
40,SALİH OMURTAK Sok.,2020,2987.87
41,SENİRKENT Sok.,2020,2987.87
42,SİMGE Sok.,2020,2489.89
43,SUNGUR Sok.,2020,2987.87
44,SÜLEYMAN NAZİF Sok.,2020,2489.89
45,ŞAİR MUHİBBİ Sok.,2020,2489.89
46,ŞEKERCİOĞLU Sok.,2020,2489.89
47,ŞEVKET KAFTANCI Sok.,2020,4357.32
48,TEKİN Sok.,2020,3768.82
49,TÜRKAN Sok.,2020,2489.89
50,UYGAR Sok.,2020,2489.89
51,VAKIF Sok.,2020,2489.89
52,YENİCE Sok.,2020,2987.87
53,YÜZYIL Sok.,2020,2489.89
54,-,2019,4233.12
55,-,2019,7525.51
56,-,2019,4703.46
57,-,2019,4233.12
58,-,2019,16779.75
59,ALİ NAZİMA Sok.,2019,2684.76
60,ALİDEDE Sok.,2019,4703.46
61,ARDA Sok.,2019,2237.3
62,ASMA DALI Sok.,2019,2684.76
63,BATUHAN ÇIKMAZI Sok.,2019,2684.76
64,CENAP ŞAHABETTİN Sok.,2019,1789.84
65,CEVATPAŞA Sok.,2019,2408.16
66,DİNLENÇ Cad.,2019,4233.12
67,DİREKLİ ÇARŞI Sok.,2019,4233.12
68,DR. EYÜP AKSOY Cad.,2019,2408.16
69,EMİNBEY Sok.,2019,3244.09
70,FERHAT ACARKENT Sok.,2019,2181.37
71,GÖMEÇ Sok.,2019,3355.95
72,GÖRGÜLÜ Sok.,2019,3803.41
73,GÜLDESTE ÇIKMAZI Sok.,2019,2237.3
74,HALİL ETHEM ELDEM Sok.,2019,2237.3
75,HALİLİ Sok.,2019,2237.3
76,İBRAHİM AĞA CAMİİ Sok.,2019,2237.3
77,İBRAHİMAĞA ZAVİYESİ Sok.,2019,2684.76
78,İMAR LİMİTED Sok.,2019,2684.76
79,İSMAİLPAŞA Sok.,2019,2684.76
80,İSTİKLAL Sok.,2019,2237.3
81,KALFA ÇEŞMESİ Sok. (KALFAÇEŞME),2019,3355.95
82,KATİP SALİH Sok.,2019,1881.38
83,KOŞUYOLU Cad.,2019,4703.46
