,sokak,yil,rayic
0,-,2020,5602.26
1,-,2020,9959.56
2,-,2020,9959.56
3,-,2020,9959.56
4,-,2020,9959.56
5,-,2020,9959.56
6,-,2020,9959.56
7,-,2020,9959.56
8,-,2020,9959.56
9,-,2020,9959.56
10,-,2020,9959.56
11,-,2020,9959.56
12,-,2020,9959.56
13,-,2020,9959.56
14,-,2020,18674.18
15,-,2020,18674.18
16,-,2020,5602.26
17,-,2020,9959.56
18,-,2020,9959.56
19,-,2020,5602.26
20,-,2020,11204.51
21,-,2020,11204.51
22,-,2020,18674.18
23,-,2020,18674.18
24,-,2020,10582.04
25,-,2020,9959.56
26,ADALET Sok.,2020,1493.93
27,ADEM YAVUZ Sok.,2020,1493.93
28,AKÇAKOCA Sok.,2020,3140.7
29,AKKALE Sok.,2020,2987.87
30,AKŞEMSETTİN Sok.,2020,5602.26
31,AKTÜRK Sok.,2020,4979.78
32,ALTINÇAY Sok.,2020,1493.93
33,AYIŞIĞI Sok.,2020,2987.87
34,AYSUN Sok.,2020,1493.93
35,BABİL Sok.,2020,5602.26
36,BAHAR Sok.,2020,1493.93
37,BAHRİYELİ Sok.,2020,2987.87
38,BARBAROS Sok.,2020,2987.87
39,BEGÜM Sok.,2020,1493.93
40,BORA Sok.,2020,4046.07
41,BUHURBABA Cad.,2020,2987.87
42,CUMA Sok.,2020,1493.93
43,ÇAVUŞ KUŞU Sok.,2020,5602.26
44,ÇİMEN Sok.,2020,1493.93
45,ÇOBANOĞLU Sok.,2020,1493.93
46,ÇÖMLEKÇİ ÇUKURU Sok.,2020,2738.88
47,DEMİRLİ ÇIKMAZI Sok.,2020,5602.26
48,DERVİŞ Sok.,2020,1493.93
49,DİKYOL Sok.,2020,1493.93
50,DOLMABAHÇE Sok.,2020,5602.26
51,DR. ERKİN Cad.,2020,4979.78
52,EKABİRLER Sok.,2020,1493.93
53,EMİN ÇINARPAŞA Sok.,2020,5602.26
54,EROL Sok.,2020,1493.93
55,ESMER Sok.,2020,2987.87
56,FAHRETTİN KERİM GÖKAY Cad.,2020,11204.51
57,FERAH Sok.,2020,2863.38
58,GENÇLER Sok.,2020,1493.93
59,GİRNE Cad.,2020,1493.93
60,GÖKHAN Sok.,2020,1493.93
61,GÜLER Sok.,2020,1493.93
62,GÜMRÜK Sok.,2020,5602.26
63,GÜNAYDIN Sok.,2020,5602.26
64,GÜNDOĞDU Sok.,2020,1493.93
65,HALİT BERK Sok.,2020,1493.93
66,HAMLE Sok.,2020,5602.26
67,HASAT Sok.,2020,1493.93
68,HAYRETTİN Sok.,2020,2863.38
69,HEYBETLİ Sok.,2020,1493.93
70,HIZIRBEY Cad.,2020,5602.26
71,HIZIRREİS Sok.,2020,2863.38
72,HOŞGÖRÜ Sok.,2020,5602.26
73,HURMA Sok.,2020,3610.35
74,İLKYUVA Sok.,2020,5602.26
75,İMAM RAMİZ Sok.,2020,4979.78
76,İNCİRLİ Sok.,2020,5602.26
77,İPEKYOLU Sok.,2020,5602.26
78,KARAMAN Sok.,2020,5602.26
79,KATİP NAZMİLER Cad.,2020,1493.93
80,KIZIM Sok.,2020,2863.38
81,KOÇTAŞ Sok.,2020,1493.93
82,KÖPRÜLÜ Sok.,2020,5477.76
83,KUZEY YILDIZI Sok.,2020,4979.78
84,KÜME Sok.,2020,5602.26
85,LALE Sok.,2020,1493.93
86,LEYLA Sok.,2020,1493.93
87,LÜTFİYE Sok.,2020,5602.26
88,MANDIRA Cad.,2020,5602.26
89,MELİH CEVDET ANDAY Sok. (ZAMAN),2020,2987.87
90,MERDİVENKÖY Cad.,2020,3983.83
91,MOLLA Sok.,2020,2863.38
92,MUHTAR KADİR KURUÇAY Sok.,2020,5653.23
93,NAKIŞ ÇIKMAZI Sok.,2020,5353.27
94,NAZENİN Sok.,2020,5602.26
95,NECATİBEY Sok.,2020,1493.93
96,NESRİN Sok.,2020,5602.26
97,NİSAN Sok.,2020,3485.85
98,NUR Sok.,2020,1493.93
99,ONİKİLER CAMİİ Sok.,2020,1493.93
100,ORKİDE Sok.,2020,1493.93
101,ORTABAHAR Sok.,2020,5602.26
102,ÖĞRETMEN HARUN REŞİT Sok.,2020,5602.26
103,ÖZGÜR Sok.,2020,1493.93
104,ÖZLEM Sok.,2020,5602.26
105,REİS Sok.,2020,1493.93
106,RESSAM SALİH ERİMEZ Cad.,2020,5602.26
107,REŞAT NURİ Sok.,2020,2987.87
108,SAHRA ARALIĞI Sok.,2020,5602.26
109,SAYIM Sok.,2020,4979.78
110,SEYHAN Sok.,2020,3610.35
111,SEYMEN ÇIKMAZI Sok.,2020,1991.91
112,SİNEMACILAR Sok.,2020,1493.93
113,SURURİ Sok.,2020,1493.93
114,ŞAHİKA Sok.,2020,3112.37
115,ŞAİR ARŞİ Cad.,2020,5602.26
116,ŞANLI Sok.,2020,1493.93
117,ŞEHİT EMRE METE Sok.,2020,5602.26
118,ŞENOVA ÇIKMAZI Sok.,2020,2489.89
119,ŞOFÖR HÜSEYİNLER Sok.,2020,1493.93
120,TEKER Sok.,2020,1493.93
121,TEKKEALTI Sok.,2020,3610.35
122,TERZİ ÇIKMAZI Sok.,2020,5602.26
123,TÜLAY Sok.,2020,1493.93
124,TÜMER Sok.,2020,2863.38
125,UYANIŞ Sok.,2020,5602.26
126,ÜSTÇEŞME Sok.,2020,2489.89
127,VERİL Sok.,2020,1493.93
128,VURAL Sok.,2020,1493.93
129,YALVAÇ Sok.,2020,5602.26
130,YAVUZLAR Sok.,2020,1493.93
131,YEKTA Sok.,2020,4046.07
132,YELKENLİ DEĞİRMEN Sok.,2020,6847.21
133,YOL Sok.,2020,4979.78
134,YUMURTACI ABDİBEY Cad.,2020,1884.41
135,ZAFER Sok.,2020,1493.93
136,-,2019,5033.93
137,-,2019,8949.2
138,-,2019,8949.2
139,-,2019,8949.2
140,-,2019,8949.2
141,-,2019,8949.2
142,-,2019,8949.2
143,-,2019,8949.2
144,-,2019,8949.2
145,-,2019,8949.2
146,-,2019,8949.2
147,-,2019,8949.2
148,-,2019,8949.2
149,-,2019,8949.2
150,-,2019,16779.75
151,-,2019,16779.75
152,-,2019,5033.93
153,-,2019,8949.2
154,-,2019,8949.2
155,-,2019,5033.93
156,-,2019,10067.85
157,-,2019,10067.85
158,-,2019,16779.75
159,-,2019,16779.75
160,-,2019,9508.53
161,-,2019,8949.2
