,sokak,yil,rayic
0,-,2020,18674.18
1,-,2020,18674.18
2,-,2020,15703.41
3,-,2020,18674.18
4,-,2020,11515.83
5,-,2020,11515.83
6,-,2020,18674.18
7,-,2020,18674.18
8,30 AĞUSTOS Sok.,2020,7718.66
9,ALİ SUAVİ Sok.,2020,6071.98
10,ARAYICIBAŞI Sok.,2020,6071.98
11,BAŞÇAVUŞ Sok.,2020,13071.93
12,BAYRAMYERİ Sok.,2020,8092.15
13,BEDİA MUVAHHİT Sok.,2020,8465.63
14,BEKÇİ Sok.,2020,9959.56
15,BESTEKAR DİLHAYAT Sok.,2020,8714.62
16,CANAN Sok.,2020,5851.25
17,CEVAHİR Sok.,2020,7718.66
18,ÇİLEK Sok.,2020,10154.87
19,ÇUHADARAĞA Sok.,2020,9959.56
20,DERE GAZİNOSU Sok.,2020,5851.25
21,DR. ESAT IŞIK Cad.,2020,8714.62
22,EMİRGAN Sok.,2020,5851.25
23,GAZİOSMANPAŞA Sok.,2020,9337.1
24,GENÇLİK Sok.,2020,4187.58
25,GENERAL ASIM GÜNDÜZ Cad.,2020,15703.41
26,GEZİNME Sok.,2020,5851.25
27,GÜLŞEN Sok.,2020,4357.32
28,HALİL ETHEM Sok.,2020,5851.25
29,HALİTAĞA Cad.,2020,13071.93
30,HASIRCI Sok.,2020,5851.25
31,HASIRCIBAŞI Cad.,2020,8092.15
32,İHLAS Sok.,2020,5851.25
33,KALEM Sok.,2020,5851.25
34,KALFAOĞLU Sok.,2020,8465.63
35,KARADUT Sok.,2020,10154.87
36,KAZASKER Sok.,2020,9710.58
37,KIRMIZIKUŞAK Sok.,2020,6598.22
38,KIRTASİYECİ Sok.,2020,10154.87
39,KIVANÇ Sok.,2020,9710.58
40,KÖRLER Sok.,2020,9710.58
41,KUŞDİLİ Cad.,2020,11515.83
42,LEYLAK Sok.,2020,7956.39
43,MAHMUTBABA Sok.,2020,5975.74
44,MAYISGÜLÜ Sok.,2020,5851.25
45,MİMAR ÇIKMAZI Sok.,2020,9461.59
46,MİSAK-I MİLLİ Sok.,2020,9959.56
47,MİSK-İ AMBER Sok.,2020,5851.25
48,MÜHÜRDAR Cad.,2020,11515.83
49,MÜHÜRDAR FUAT Sok.,2020,4046.07
50,MÜRVER ÇİÇEĞİ Sok.,2020,9840.81
51,NAİLBEY Sok.,2020,6071.98
52,NAKİL Sok.,2020,6598.22
53,NAL Sok.,2020,9710.58
54,NEVZEMİN Sok.,2020,8465.63
55,NİHAL Sok.,2020,6847.21
56,NURİ DUYGUER Sok.,2020,5851.25
57,NÜSHETEFENDİ Sok.,2020,7469.67
58,OSMANCIK Sok.,2020,8375.14
59,ÖZPARK ÇIKMAZI Sok.,2020,9088.11
60,PARILTI Sok.,2020,4979.78
61,PAVLONYA Sok.,2020,6847.21
62,PAZAR YOLU Sok.,2020,18674.18
63,PİRİÇAVUŞ Sok.,2020,6071.98
64,PROF. VEHBİ SARIDAL Sok.,2020,5975.74
65,RAHMETİ ARAT Sok.,2020,8714.62
66,REŞİTEFENDİ Sok.,2020,9710.58
67,RIHTIM Cad.,2020,18674.18
68,SAKIZ Sok.,2020,7220.68
69,SERASKER Cad.,2020,13609.62
70,SÖĞÜTLÜÇEŞME Cad.,2020,18674.18
71,SÜLEYMANPAŞA Sok.,2020,9088.11
72,ŞAİR LATİFİ Sok.,2020,6100.24
73,ŞEMSİTAP Sok.,2020,10955.52
74,TALİMHANE Sok.,2020,5602.26
75,TAŞKÖPRÜ Cad.,2020,5602.26
76,TAVUS Sok.,2020,10259.56
77,TAYYARECİ SAMİ Sok.,2020,7220.68
78,TEVFİK GELENBE Sok.,2020,5851.25
79,TULUMBACI ASIM Sok.,2020,7220.68
80,ÜZERLİK Sok.,2020,10154.87
81,VAHAPBEY Sok.,2020,7220.68
82,VİŞNE Sok.,2020,10154.87
83,YAĞLIKÇI İSMAİL Sok.,2020,12449.46
84,YALIN Sok.,2020,6071.98
85,YASA Cad.,2020,12562.7
86,YOĞURTÇU PARKI Cad.,2020,11204.51
87,YOĞURTÇU ŞÜKRÜ Sok.,2020,10208.55
88,ZİYABEY Sok.,2020,9710.58
89,-,2019,16779.75
90,-,2019,10347.59
91,-,2019,10347.59
92,-,2019,16779.75
93,-,2019,16779.75
94,-,2019,16779.75
95,-,2019,16779.75
96,-,2019,14110.35
97,30 AĞUSTOS Sok.,2019,6935.63
98,ALİ SUAVİ Sok.,2019,5456.0
99,ARAYICIBAŞI Sok.,2019,5456.0
100,BAŞÇAVUŞ Sok.,2019,11745.83
101,BAYRAMYERİ Sok.,2019,7271.23
102,BEDİA MUVAHHİT Sok.,2019,7606.82
103,BEKÇİ Sok.,2019,8949.2
104,BESTEKAR DİLHAYAT Sok.,2019,7830.55
105,CANAN Sok.,2019,5257.66
106,CEVAHİR Sok.,2019,6935.63
107,ÇİLEK Sok.,2019,9124.69
108,ÇUHADARAĞA Sok.,2019,8949.2
109,DERE GAZİNOSU Sok.,2019,5257.66
110,DR. ESAT IŞIK Cad.,2019,7830.55
111,EMİRGAN Sok.,2019,5257.66
112,GAZİOSMANPAŞA Sok.,2019,8389.88
113,GENÇLİK Sok.,2019,3762.76
114,GENERAL ASIM GÜNDÜZ Cad.,2019,14110.35
115,GEZİNME Sok.,2019,5257.66
116,GÜLŞEN Sok.,2019,3915.28
117,HALİL ETHEM Sok.,2019,5257.66
118,HALİTAĞA Cad.,2019,11745.83
119,HASIRCI Sok.,2019,5257.66
120,HASIRCIBAŞI Cad.,2019,7271.23
121,İHLAS Sok.,2019,5257.66
122,KALEM Sok.,2019,5257.66
123,KALFAOĞLU Sok.,2019,7606.82
124,KARADUT Sok.,2019,9124.69
125,KAZASKER Sok.,2019,8725.47
126,KIRMIZIKUŞAK Sok.,2019,5928.85
127,KIRTASİYECİ Sok.,2019,9124.69
128,KIVANÇ Sok.,2019,8725.47
129,KÖRLER Sok.,2019,8725.47
130,KUŞDİLİ Cad.,2019,10347.59
131,LEYLAK Sok.,2019,7149.24
132,MAHMUTBABA Sok.,2019,5369.52
133,MAYISGÜLÜ Sok.,2019,5257.66
134,MİMAR ÇIKMAZI Sok.,2019,8501.74
135,MİSAK-I MİLLİ Sok.,2019,8949.2
136,MİSK-İ AMBER Sok.,2019,5257.66
137,MÜHÜRDAR Cad.,2019,10347.59
138,MÜHÜRDAR FUAT Sok.,2019,3635.61
139,MÜRVER ÇİÇEĞİ Sok.,2019,8842.49
140,NAİLBEY Sok.,2019,5456.0
141,NAKİL Sok.,2019,5928.85
142,NAL Sok.,2019,8725.47
143,NEVZEMİN Sok.,2019,7606.82
144,NİHAL Sok.,2019,6152.58
145,NURİ DUYGUER Sok.,2019,5257.66
146,NÜSHETEFENDİ Sok.,2019,6711.9
147,OSMANCIK Sok.,2019,7525.51
148,ÖZPARK ÇIKMAZI Sok.,2019,8166.15
149,PARILTI Sok.,2019,4474.6
150,PAVLONYA Sok.,2019,6152.58
151,PAZAR YOLU Sok.,2019,16779.75
152,PİRİÇAVUŞ Sok.,2019,5456.0
153,PROF. VEHBİ SARIDAL Sok.,2019,5369.52
154,RAHMETİ ARAT Sok.,2019,7830.55
155,REŞİTEFENDİ Sok.,2019,8725.47
156,RIHTIM Cad.,2019,16779.75
157,SAKIZ Sok.,2019,6488.17
158,SERASKER Cad.,2019,12228.97
159,SÖĞÜTLÜÇEŞME Cad.,2019,16779.75
160,SÜLEYMANPAŞA Sok.,2019,8166.15
161,ŞAİR LATİFİ Sok.,2019,5481.39
162,ŞEMSİTAP Sok.,2019,9844.12
163,TALİMHANE Sok.,2019,5033.93
164,TAŞKÖPRÜ Cad.,2019,5033.93
165,TAVUS Sok.,2019,9218.76
166,TAYYARECİ SAMİ Sok.,2019,6488.17
167,TEVFİK GELENBE Sok.,2019,5257.66
168,TULUMBACI ASIM Sok.,2019,6488.17
169,ÜZERLİK Sok.,2019,9124.69
170,VAHAPBEY Sok.,2019,6488.17
171,VİŞNE Sok.,2019,9124.69
172,YAĞLIKÇI İSMAİL Sok.,2019,11186.5
173,YALIN Sok.,2019,5456.0
174,YASA Cad.,2019,11288.26
175,YOĞURTÇU PARKI Cad.,2019,10067.85
176,YOĞURTÇU ŞÜKRÜ Sok.,2019,9172.93
177,ZİYABEY Sok.,2019,8725.47
178,-,2018,15000.0
179,-,2018,15000.0
180,-,2018,15000.0
181,-,2018,15000.0
182,-,2018,9250.07
183,-,2018,9250.07
184,-,2018,15000.0
185,30 AĞUSTOS Sok.,2018,6200.0
186,ALİ SUAVİ Sok.,2018,4877.31
187,ARAYICIBAŞI Sok.,2018,4877.31
188,BAŞÇAVUŞ Sok.,2018,10500.0
189,BAYRAMYERİ Sok.,2018,6500.0
190,BEDİA MUVAHHİT Sok.,2018,6800.0
191,BEKÇİ Sok.,2018,8000.0
192,BESTEKAR DİLHAYAT Sok.,2018,7000.0
193,CANAN Sok.,2018,4700.0
194,CEVAHİR Sok.,2018,6200.0
195,ÇİLEK Sok.,2018,8156.88
