,sokak,yil,rayic
0,-,2020,7469.67
1,-,2020,6224.45
2,AKİFBEY Sok.,2020,4046.07
3,ALİKALFA Sok.,2020,3112.37
4,AYRILIKÇEŞME Sok.,2020,1256.29
5,BAŞAKÇI Sok.,2020,4046.07
6,BAYRAMYERİ Sok.,2020,6281.36
7,BEHİÇBEY Sok.,2020,3112.37
8,BEYCİĞİM Sok.,2020,5851.25
9,BEYDAĞI Sok.,2020,5851.25
10,CELAL MUHTAR Sok.,2020,4357.32
11,ÇELTİKÇİ Sok.,2020,5851.25
12,DR. EYÜP AKSOY Cad.,2020,3140.7
13,DUATEPE Sok.,2020,4046.07
14,ELMALIÇEŞME Sok.,2020,5602.26
15,EŞREFOĞLU Sok.,2020,4357.32
16,HALİTAĞA Cad.,2020,13071.93
17,HAYRULLAHEFENDİ Sok.,2020,5851.25
18,İSKELE Sok.,2020,5851.25
19,İZZETTİN Sok.,2020,5851.25
20,KARAKOLHANE Cad.,2020,7469.67
21,KASIMAĞA Sok.,2020,5851.25
22,KIRKAHVESİ Sok.,2020,4046.07
23,KIRMIZIKUŞAK Sok.,2020,6598.22
24,KIZILAY Sok.,2020,4357.32
25,MACİT ERBUDAK Sok.,2020,5851.25
26,MELTEM Sok.,2020,5851.25
27,MİSAK-I MİLLİ Sok.,2020,9959.56
28,MÜHENDİS SARI ALİ Sok.,2020,4357.32
29,NAKİL Sok.,2020,6598.22
30,NEMLİZADE Sok.,2020,5851.25
31,NİZAMI CEDİT Sok.,2020,5851.25
32,NUHBEY Sok.,2020,4357.32
33,NÜSHETEFENDİ Sok.,2020,7469.67
34,ONAN Sok.,2020,4357.32
35,ORGENERAL ŞAHAP GÜRLER Cad.,2020,7469.67
36,ORTAÇ Sok.,2020,4357.32
37,RECAİZADE Sok.,2020,4357.32
38,RIHTIM Cad.,2020,18674.18
39,SİFTAH Sok.,2020,5602.26
40,SÖĞÜTLÜÇAYIR Sok.,2020,7220.68
41,SÖĞÜTLÜÇEŞME Cad.,2020,18674.18
42,SÜLEYMANBEY Sok.,2020,7220.68
43,SÜNGERTAŞI Sok.,2020,7220.68
44,TALATBEY Sok.,2020,4501.64
45,TALİMHANE Sok.,2020,5602.26
46,TAŞKÖPRÜ Cad.,2020,3768.82
47,TAŞLIBAYIR Sok.,2020,4046.07
48,TAYYARECİ SAMİ Sok.,2020,7469.67
49,TIBBİYE Cad.,2020,3112.37
50,TREN GARI Cad.,2020,5234.48
51,UZUN HAFIZ Sok.,2020,7469.67
52,YAVUZTÜRK Sok.,2020,5653.23
53,YELDEĞİRMENİ Sok.,2020,4187.58
54,YEŞİLAY Sok.,2020,4357.32
55,YURTTAŞ Sok.,2020,4357.32
56,-,2019,5593.0
57,-,2019,6711.9
58,AKİFBEY Sok.,2019,3635.61
59,ALİKALFA Sok.,2019,2796.63
60,AYRILIKÇEŞME Sok.,2019,1128.84
61,BAŞAKÇI Sok.,2019,3635.61
62,BAYRAMYERİ Sok.,2019,5644.14
63,BEHİÇBEY Sok.,2019,2796.63
64,BEYCİĞİM Sok.,2019,5257.66
