,sokak,yil,rayic
0,-,2020,18674.18
1,-,2020,3768.82
2,-,2020,18674.18
3,-,2020,18674.18
4,-,2020,3140.7
5,-,2020,10582.04
6,-,2020,18674.18
7,-,2020,18674.18
8,-,2020,18674.18
9,-,2020,3768.82
10,-,2020,3768.82
11,-,2020,2093.79
12,-,2020,18674.18
13,-,2020,2093.79
14,-,2020,3768.82
15,-,2020,18674.18
16,-,2020,18674.18
17,-,2020,3768.82
18,-,2020,18674.18
19,-,2020,18674.18
20,-,2020,18674.18
21,-,2020,18674.18
22,-,2020,18674.18
23,-,2020,18674.18
24,-,2020,11204.51
25,-,2020,10582.04
26,-,2020,10582.04
27,-,2020,10582.04
28,-,2020,11243.64
29,-,2020,10582.04
30,-,2020,10582.04
31,-,2020,10893.28
32,-,2020,10582.04
33,-,2020,10582.04
34,-,2020,10582.04
35,-,2020,10582.04
36,-,2020,18674.18
37,-,2020,10582.04
38,-,2020,10582.04
39,-,2020,10582.04
40,-,2020,10582.04
41,-,2020,3768.82
42,-,2020,10582.04
43,-,2020,18674.18
44,-,2020,16184.29
45,-,2020,18674.18
46,-,2020,18674.18
47,-,2020,18674.18
48,ADİLE NAŞİT Sok.,2020,3610.35
49,AKGÜN ÇIKMAZI Sok.,2020,1991.91
50,ASLAN KAPTAN ÇIKMAZI Sok.,2020,3768.82
51,ATATÜRK Cad.,2020,10582.04
52,BAHÇELİ Sok.,2020,3768.82
53,BANKACILAR Sok.,2020,3610.35
54,BATMAN Sok.,2020,3610.35
55,BAYAR Cad.,2020,9959.56
56,BİLGİNLER Sok.,2020,1991.91
57,BUHURBABA Cad.,2020,2987.87
58,CAMİ Sok.,2020,3610.35
59,CEBESOY Sok.,2020,3610.35
60,ÇAMLIPARK Sok.,2020,4108.33
61,ÇELİK Sok.,2020,3610.35
62,DERE Sok.,2020,3610.35
63,DR. MİTHAT SÜER Sok.,2020,7537.64
64,FAHRETTİN KERİM GÖKAY Cad.,2020,11204.51
65,FERİTBEY Sok.,2020,4108.33
66,GÖKAY Sok.,2020,3768.82
67,GÜLNUR Sok.,2020,2489.89
68,GÜZİDE Sok.,2020,3610.35
69,HAFIZ İMAM Sok.,2020,3610.35
70,HALK Sok.,2020,3610.35
71,İMAM RAMİZ Sok.,2020,4979.78
72,İNÖNÜ Cad.,2020,10582.04
73,KARABEKİR Sok.,2020,3734.84
74,KİREÇHANELER Sok.,2020,3734.84
75,MANOLYA ÇIKMAZI Sok.,2020,1991.91
76,MENGİ Sok.,2020,3610.35
77,MESCİTLİ Sok.,2020,3610.35
78,MÜMİN DERESİ Sok.,2020,3610.35
79,NEZİRAĞA Sok.,2020,3610.35
80,OMCA Sok.,2020,3768.82
81,ORTA Sok.,2020,3610.35
82,OSMAN NURİ ERGİN Sok.,2020,3610.35
83,ÖZDEMİR Sok.,2020,3610.35
84,ÖZNUR Sok.,2020,3610.35
85,PANAROMA Sok.,2020,3768.82
86,PIRLANTA ÇIKMAZI Sok.,2020,1991.91
87,RIZABEY Sok.,2020,4108.33
88,SAYIM Sok.,2020,4979.78
89,SEHER Sok.,2020,3610.35
90,SEYRAN Sok.,2020,3112.37
91,SİNAN Sok.,2020,4357.32
92,ŞAFAK Sok.,2020,3610.35
93,ŞEHİT İLHANLAR Sok.,2020,3610.35
94,ŞEKER ÇIKMAZI Sok.,2020,1991.91
95,ŞEMSETTİN GÜNALTAY Cad.,2020,11204.51
96,TAŞLIYOL Sok.,2020,3610.35
97,TEPE Sok.,2020,3610.35
98,TÜCCARBAŞI Sok.,2020,4979.78
99,UÇAR Sok.,2020,3734.84
100,ULAŞTIRICI Sok.,2020,3734.84
101,UMUTLAR Sok.,2020,3610.35
102,ÜSTÇEŞME Sok.,2020,2489.89
103,YAYLA KÜMESİ Sok.,2020,7220.68
104,-,2019,16779.75
105,-,2019,3386.49
106,-,2019,16779.75
107,-,2019,16779.75
108,-,2019,16779.75
109,-,2019,9508.53
110,-,2019,9508.53
111,-,2019,16779.75
112,-,2019,16779.75
113,-,2019,16779.75
114,-,2019,3386.49
115,-,2019,3386.49
116,-,2019,16779.75
117,-,2019,1881.38
118,-,2019,1881.38
119,-,2019,3386.49
120,-,2019,16779.75
121,-,2019,16779.75
122,-,2019,3386.49
123,-,2019,16779.75
124,-,2019,16779.75
125,-,2019,16779.75
126,-,2019,16779.75
127,-,2019,16779.75
128,-,2019,16779.75
129,-,2019,9508.53
130,-,2019,9508.53
131,-,2019,10103.01
132,-,2019,10067.85
133,-,2019,2822.09
134,-,2019,9508.53
135,-,2019,9788.19
136,-,2019,9508.53
137,-,2019,9508.53
138,-,2019,9508.53
139,-,2019,9508.53
140,-,2019,16779.75
141,-,2019,9508.53
142,-,2019,9508.53
143,-,2019,9508.53
144,-,2019,9508.53
145,-,2019,3386.49
146,-,2019,9508.53
147,-,2019,16779.75
148,-,2019,14542.45
149,-,2019,16779.75
150,-,2019,16779.75
151,ADİLE NAŞİT Sok.,2019,3244.09
152,AKGÜN ÇIKMAZI Sok.,2019,1789.84
153,ASLAN KAPTAN ÇIKMAZI Sok.,2019,3386.49
154,ATATÜRK Cad.,2019,9508.53
155,BAHÇELİ Sok.,2019,3386.49
156,BANKACILAR Sok.,2019,3244.09
157,BATMAN Sok.,2019,3244.09
158,BAYAR Cad.,2019,8949.2
159,BİLGİNLER Sok.,2019,1789.84
160,BUHURBABA Cad.,2019,2684.76
161,CAMİ Sok.,2019,3244.09
162,CEBESOY Sok.,2019,3244.09
163,ÇAMLIPARK Sok.,2019,3691.55
164,ÇELİK Sok.,2019,3244.09
165,DERE Sok.,2019,3244.09
166,DR. MİTHAT SÜER Sok.,2019,6772.97
167,FAHRETTİN KERİM GÖKAY Cad.,2019,10067.85
168,FERİTBEY Sok.,2019,3691.55
169,GÖKAY Sok.,2019,3386.49
170,GÜLNUR Sok.,2019,2237.3
171,GÜZİDE Sok.,2019,3244.09
172,HAFIZ İMAM Sok.,2019,3244.09
173,HALK Sok.,2019,3244.09
174,İMAM RAMİZ Sok.,2019,4474.6
175,İNÖNÜ Cad.,2019,9508.53
176,KARABEKİR Sok.,2019,3355.95
177,KİREÇHANELER Sok.,2019,3355.95
178,MANOLYA ÇIKMAZI Sok.,2019,1789.84
179,MENGİ Sok.,2019,3244.09
180,MESCİTLİ Sok.,2019,3244.09
181,MÜMİN DERESİ Sok.,2019,3244.09
182,NEZİRAĞA Sok.,2019,3244.09
183,OMCA Sok.,2019,3386.49
184,ORTA Sok.,2019,3244.09
185,OSMAN NURİ ERGİN Sok.,2019,3244.09
186,ÖZDEMİR Sok.,2019,3244.09
187,ÖZNUR Sok.,2019,3244.09
188,PANAROMA Sok.,2019,3386.49
189,PIRLANTA ÇIKMAZI Sok.,2019,1789.84
190,RIZABEY Sok.,2019,3691.55
191,SAYIM Sok.,2019,4474.6
192,SEHER Sok.,2019,3244.09
193,SEYRAN Sok.,2019,2796.63
194,SİNAN Sok.,2019,3915.28
195,ŞAFAK Sok.,2019,3244.09
196,ŞEHİT İLHANLAR Sok.,2019,3244.09
197,ŞEKER ÇIKMAZI Sok.,2019,1789.84
198,ŞEMSETTİN GÜNALTAY Cad.,2019,10067.85
199,TAŞLIYOL Sok.,2019,3244.09
200,TEPE Sok.,2019,3244.09
201,TÜCCARBAŞI Sok.,2019,4474.6
202,UÇAR Sok.,2019,3355.95
203,ULAŞTIRICI Sok.,2019,3355.95
204,UMUTLAR Sok.,2019,3244.09
205,ÜSTÇEŞME Sok.,2019,2237.3
206,YAYLA KÜMESİ Sok.,2019,6488.17
207,-,2018,15000.0
208,-,2018,3027.3
209,-,2018,15000.0
210,-,2018,15000.0
211,-,2018,15000.0
212,-,2018,8500.0
213,-,2018,8500.0
214,-,2018,15000.0
215,-,2018,15000.0
216,-,2018,15000.0
217,-,2018,3027.3
218,-,2018,3027.3
219,-,2018,15000.0
220,-,2018,1681.83
221,-,2018,1681.83
222,-,2018,3027.3
223,-,2018,15000.0
224,-,2018,15000.0
225,-,2018,3027.3
226,-,2018,15000.0
227,-,2018,15000.0
228,-,2018,15000.0
229,-,2018,15000.0
230,-,2018,15000.0
231,-,2018,15000.0
232,-,2018,8500.0
233,-,2018,8500.0
234,-,2018,9031.43
235,-,2018,9000.0
236,-,2018,2522.76
237,-,2018,8500.0
238,-,2018,8750.0
239,-,2018,8500.0
240,-,2018,8500.0
241,-,2018,8500.0
242,-,2018,8500.0
243,-,2018,15000.0
244,-,2018,8500.0
245,-,2018,8500.0
246,-,2018,8500.0
247,-,2018,8500.0
248,-,2018,3027.3
249,-,2018,8500.0
250,-,2018,15000.0
251,-,2018,13000.0
252,-,2018,15000.0
253,-,2018,15000.0
254,ADİLE NAŞİT Sok.,2018,2900.0
255,AKGÜN ÇIKMAZI Sok.,2018,1600.0
256,ASLAN KAPTAN ÇIKMAZI Sok.,2018,3027.3
257,ATATÜRK Cad.,2018,8500.0
258,BAHÇELİ Sok.,2018,3027.3
259,BANKACILAR Sok.,2018,2900.0
260,BATMAN Sok.,2018,2900.0
261,BAYAR Cad.,2018,8000.0
262,BİLGİNLER Sok.,2018,1600.0
263,BUHURBABA Cad.,2018,2400.0
264,CAMİ Sok.,2018,2900.0
265,CEBESOY Sok.,2018,2900.0
266,ÇAMLIPARK Sok.,2018,3300.0
267,ÇELİK Sok.,2018,2900.0
268,DERE Sok.,2018,2900.0
269,DR. MİTHAT SÜER Sok.,2018,6054.59
270,FAHRETTİN KERİM GÖKAY Cad.,2018,9000.0
271,FERİTBEY Sok.,2018,3300.0
272,GÖKAY Sok.,2018,3027.3
273,GÜLNUR Sok.,2018,2000.0
274,GÜZİDE Sok.,2018,2900.0
275,HAFIZ İMAM Sok.,2018,2900.0
276,HALK Sok.,2018,2900.0
277,İMAM RAMİZ Sok.,2018,4000.0
278,İNÖNÜ Cad.,2018,8500.0
279,KARABEKİR Sok.,2018,3000.0
280,KİREÇHANELER Sok.,2018,3000.0
281,MANOLYA ÇIKMAZI Sok.,2018,1600.0
282,MENGİ Sok.,2018,2900.0
283,MESCİTLİ Sok.,2018,2900.0
284,MÜMİN DERESİ Sok.,2018,2900.0
285,NEZİRAĞA Sok.,2018,2900.0
286,OMCA Sok.,2018,3027.3
287,ORTA Sok.,2018,2900.0
288,OSMAN NURİ ERGİN Sok.,2018,2900.0
289,ÖZDEMİR Sok.,2018,2900.0
290,ÖZNUR Sok.,2018,2900.0
291,PANAROMA Sok.,2018,3027.3
292,PIRLANTA ÇIKMAZI Sok.,2018,1600.0
293,RIZABEY Sok.,2018,3300.0
294,SAYIM Sok.,2018,4000.0
295,SEHER Sok.,2018,2900.0
296,SEYRAN Sok.,2018,2500.0
297,SİNAN Sok.,2018,3500.0
298,ŞAFAK Sok.,2018,2900.0
299,ŞEHİT İLHANLAR Sok.,2018,2900.0
300,ŞEKER ÇIKMAZI Sok.,2018,1600.0
301,ŞEMSETTİN GÜNALTAY Cad.,2018,9000.0
302,TAŞLIYOL Sok.,2018,2900.0
303,TEPE Sok.,2018,2900.0
304,TÜCCARBAŞI Sok.,2018,4000.0
305,UÇAR Sok.,2018,3000.0
306,ULAŞTIRICI Sok.,2018,3000.0
307,UMUTLAR Sok.,2018,2900.0
308,ÜSTÇEŞME Sok.,2018,2000.0
309,YAYLA KÜMESİ Sok.,2018,5800.0
310,-,2017,10090.97
311,-,2017,10090.97
312,-,2017,10090.97
313,-,2017,10090.97
314,-,2017,10090.97
315,-,2017,10090.97
316,-,2017,10090.97
317,-,2017,10090.97
318,-,2017,10090.97
319,-,2017,10090.97
320,-,2017,6020.95
321,-,2017,10090.97
322,-,2017,10090.97
323,-,2017,10090.97
324,-,2017,10090.97
325,-,2017,6020.95
326,-,2017,10090.97
327,-,2017,6020.95
328,-,2017,10090.97
329,-,2017,6020.95
330,-,2017,6020.95
331,-,2017,6020.95
332,-,2017,6020.95
333,-,2017,6020.95
334,-,2017,6020.95
335,-,2017,6020.95
336,-,2017,6020.95
337,-,2017,10090.97
338,-,2017,10090.97
339,-,2017,10090.97
340,-,2017,10090.97
341,ADİLE NAŞİT Sok.,2017,2018.2
342,AKGÜN ÇIKMAZI Sok.,2017,1121.22
343,ASLAN KAPTAN ÇIKMAZI Sok.,2017,2018.2
344,ATATÜRK Cad.,2017,6020.95
345,BAHÇELİ Sok.,2017,2018.2
346,BANKACILAR Sok.,2017,2018.2
347,BATMAN Sok.,2017,2018.2
348,BAYAR Cad.,2017,6020.95
349,BİLGİNLER Sok.,2017,1121.22
350,CAMİ Sok.,2017,2018.2
351,CEBESOY Sok.,2017,2018.2
352,ÇAMLIPARK Sok.,2017,2410.62
353,ÇELİK Sok.,2017,2018.2
354,DERE Sok.,2017,2018.2
355,DR. MİTHAT SÜER Sok.,2017,4036.39
356,FERİTBEY Sok.,2017,2410.62
357,GÖKAY Sok.,2017,2018.2
358,GÜLNUR Sok.,2017,1681.84
359,GÜZİDE Sok.,2017,2018.2
360,HAFIZ İMAM Sok.,2017,2018.2
361,HALK Sok.,2017,2018.2
362,İMAM RAMİZ Sok.,2017,2803.06
363,İNÖNÜ Cad.,2017,6020.95
364,KARABEKİR Sok.,2017,2018.2
365,KİREÇHANELER Sok.,2017,2018.2
366,MANOLYA ÇIKMAZI Sok.,2017,1121.22
367,MENGİ Sok.,2017,2018.2
368,MESCİTLİ Sok.,2017,2018.2
369,MÜMİN DERESİ Sok.,2017,2018.2
370,NEZİRAĞA Sok.,2017,2018.2
371,OMCA Sok.,2017,2018.2
372,ORTA Sok.,2017,2018.2
373,OSMAN NURİ ERGİN Sok.,2017,2018.2
374,ÖZDEMİR Sok.,2017,2018.2
375,PANAROMA Sok.,2017,2018.2
376,PIRLANTA ÇIKMAZI Sok.,2017,1121.22
377,RIZABEY Sok.,2017,2410.62
378,SAYIM Sok.,2017,2803.06
379,SEHER Sok.,2017,2018.2
380,SEYRAN Sok.,2017,2018.2
381,SİNAN Sok.,2017,2410.62
382,ŞAFAK Sok.,2017,2018.2
383,ŞEHİT İLHANLAR Sok.,2017,2018.2
384,ŞEKER ÇIKMAZI Sok.,2017,1121.22
385,ŞEMSETTİN GÜNALTAY Cad.,2017,6166.71
386,TAŞLIYOL Sok.,2017,2018.2
387,TEPE Sok.,2017,2018.2
388,TÜCCARBAŞI Sok.,2017,3027.3
389,UÇAR Sok.,2017,2018.2
390,ULAŞTIRICI Sok.,2017,2018.2
391,UMUTLAR Sok.,2017,2018.2
392,ÜSTÇEŞME Sok.,2017,1681.84
393,YAYLA KÜMESİ Sok.,2017,4036.39
394,-,2016,9718.74
395,-,2016,9718.74
396,-,2016,9718.74
397,-,2016,9718.74
398,-,2016,9718.74
399,-,2016,9718.74
400,-,2016,9718.74
401,-,2016,9718.74
402,-,2016,9718.74
403,-,2016,9718.74
404,-,2016,5798.85
405,-,2016,9718.74
406,-,2016,9718.74
407,-,2016,9718.74
408,-,2016,9718.74
409,-,2016,5798.85
410,-,2016,9718.74
411,-,2016,9718.74
412,-,2016,5798.85
413,-,2016,5798.85
414,-,2016,5798.85
415,-,2016,5798.85
416,-,2016,5798.85
417,-,2016,5798.85
418,-,2016,5798.85
419,-,2016,5798.85
420,-,2016,5798.85
421,-,2016,9718.74
422,-,2016,9718.74
423,-,2016,9718.74
424,-,2016,9718.74
425,ADİLE NAŞİT Sok.,2016,1943.75
426,AKGÜN ÇIKMAZI Sok.,2016,1079.86
427,ASLAN KAPTAN ÇIKMAZI Sok.,2016,1943.75
428,ATATÜRK Cad.,2016,5798.85
429,BAHÇELİ Sok.,2016,1943.75
430,BANKACILAR Sok.,2016,1943.75
431,BATMAN Sok.,2016,1943.75
432,BAYAR Cad.,2016,5798.85
433,BİLGİNLER Sok.,2016,1079.86
434,CAMİ Sok.,2016,1943.75
435,CEBESOY Sok.,2016,1943.75
436,ÇAMLIPARK Sok.,2016,2321.7
437,ÇELİK Sok.,2016,1943.75
438,DERE Sok.,2016,1943.75
439,DR. MİTHAT SÜER Sok.,2016,3887.5
440,FERİTBEY Sok.,2016,2321.7
441,GÖKAY Sok.,2016,1943.75
442,GÜLNUR Sok.,2016,1619.8
443,GÜZİDE Sok.,2016,1943.75
444,HAFIZ İMAM Sok.,2016,1943.75
445,HALK Sok.,2016,1943.75
446,İMAM RAMİZ Sok.,2016,2699.66
447,İNÖNÜ Cad.,2016,5798.85
448,KARABEKİR Sok.,2016,1943.75
449,KİREÇHANELER Sok.,2016,1943.75
450,MANOLYA ÇIKMAZI Sok.,2016,1079.86
451,MENGİ Sok.,2016,1943.75
452,MESCİTLİ Sok.,2016,1943.75
453,MÜMİN DERESİ Sok.,2016,1943.75
454,NEZİRAĞA Sok.,2016,1943.75
455,OMCA Sok.,2016,1943.75
456,ORTA Sok.,2016,1943.75
457,OSMAN NURİ ERGİN Sok.,2016,1943.75
458,ÖZDEMİR Sok.,2016,1943.75
459,PANAROMA Sok.,2016,1943.75
460,PIRLANTA ÇIKMAZI Sok.,2016,1079.86
461,RIZABEY Sok.,2016,2321.7
462,SAYIM Sok.,2016,2699.66
463,SEHER Sok.,2016,1943.75
464,SEYRAN Sok.,2016,1943.75
465,SİNAN Sok.,2016,2321.7
466,ŞAFAK Sok.,2016,1943.75
467,ŞEHİT İLHANLAR Sok.,2016,1943.75
468,ŞEKER ÇIKMAZI Sok.,2016,1079.86
469,ŞEMSETTİN GÜNALTAY Cad.,2016,5939.24
470,TAŞLIYOL Sok.,2016,1943.75
471,TEPE Sok.,2016,1943.75
472,TÜCCARBAŞI Sok.,2016,2915.63
473,UÇAR Sok.,2016,1943.75
474,ULAŞTIRICI Sok.,2016,1943.75
475,UMUTLAR Sok.,2016,1943.75
476,ÜSTÇEŞME Sok.,2016,1619.8
477,YAYLA KÜMESİ Sok.,2016,3887.5
478,-,2015,9454.95
479,-,2015,9454.95
480,-,2015,9454.95
481,-,2015,9454.95
482,-,2015,9454.95
483,-,2015,9454.95
484,-,2015,9454.95
485,-,2015,9454.95
486,-,2015,9454.95
487,-,2015,9454.95
488,-,2015,5641.45
489,-,2015,9454.95
490,-,2015,9454.95
491,-,2015,9454.95
492,-,2015,9454.95
493,-,2015,5641.45
494,-,2015,9454.95
495,-,2015,5641.45
496,-,2015,9454.95
497,-,2015,5641.45
498,-,2015,5641.45
499,-,2015,5641.45
500,-,2015,5641.45
501,-,2015,5641.45
502,-,2015,5641.45
503,-,2015,5641.45
504,-,2015,5641.45
505,-,2015,9454.95
506,-,2015,9454.95
507,-,2015,9454.95
508,-,2015,9454.95
509,ADİLE NAŞİT Sok.,2015,1890.99
510,AKGÜN ÇIKMAZI Sok.,2015,1050.55
511,ASLAN KAPTAN ÇIKMAZI Sok.,2015,1890.99
512,ATATÜRK Cad.,2015,5641.45
513,BAHÇELİ Sok.,2015,1890.99
514,BANKACILAR Sok.,2015,1890.99
515,BATMAN Sok.,2015,1890.99
516,BAYAR Cad.,2015,5641.45
517,BİLGİNLER Sok.,2015,1050.55
518,CAMİ Sok.,2015,1890.99
519,CEBESOY Sok.,2015,1890.99
520,ÇAMLIPARK Sok.,2015,2258.68
521,ÇELİK Sok.,2015,1890.99
522,DERE Sok.,2015,1890.99
523,DR. MİTHAT SÜER Sok.,2015,3781.98
524,FERİTBEY Sok.,2015,2258.68
525,GÖKAY Sok.,2015,1890.99
526,GÜLNUR Sok.,2015,1575.83
527,GÜZİDE Sok.,2015,1890.99
528,HAFIZ İMAM Sok.,2015,1890.99
529,HALK Sok.,2015,1890.99
530,İMAM RAMİZ Sok.,2015,2626.38
531,İNÖNÜ Cad.,2015,5641.45
532,KARABEKİR Sok.,2015,1890.99
533,KİREÇHANELER Sok.,2015,1890.99
534,MANOLYA ÇIKMAZI Sok.,2015,1050.55
535,MENGİ Sok.,2015,1890.99
536,MESCİTLİ Sok.,2015,1890.99
537,MÜMİN DERESİ Sok.,2015,1890.99
538,NEZİRAĞA Sok.,2015,1890.99
539,OMCA Sok.,2015,1890.99
540,ORTA Sok.,2015,1890.99
541,OSMAN NURİ ERGİN Sok.,2015,1890.99
542,ÖZDEMİR Sok.,2015,1890.99
543,PANAROMA Sok.,2015,1890.99
544,PIRLANTA ÇIKMAZI Sok.,2015,1050.55
545,RIZABEY Sok.,2015,2258.68
546,SAYIM Sok.,2015,2626.38
547,SEHER Sok.,2015,1890.99
548,SEYRAN Sok.,2015,1890.99
549,SİNAN Sok.,2015,2258.68
550,ŞAFAK Sok.,2015,1890.99
551,ŞEHİT İLHANLAR Sok.,2015,1890.99
552,ŞEKER ÇIKMAZI Sok.,2015,1050.55
553,ŞEMSETTİN GÜNALTAY Cad.,2015,5778.03
554,TAŞLIYOL Sok.,2015,1890.99
555,TEPE Sok.,2015,1890.99
556,TÜCCARBAŞI Sok.,2015,2836.49
557,UÇAR Sok.,2015,1890.99
558,ULAŞTIRICI Sok.,2015,1890.99
559,UMUTLAR Sok.,2015,1890.99
560,ÜSTÇEŞME Sok.,2015,1575.83
561,YAYLA KÜMESİ Sok.,2015,3781.98
562,-,2014,9000.0
563,-,2014,9000.0
564,-,2014,9000.0
565,-,2014,9000.0
566,-,2014,9000.0
567,-,2014,5370.0
568,-,2014,9000.0
569,-,2014,9000.0
570,-,2014,9000.0
571,-,2014,9000.0
572,-,2014,9000.0
573,-,2014,5370.0
574,-,2014,9000.0
575,-,2014,9000.0
576,-,2014,9000.0
577,-,2014,9000.0
578,-,2014,9000.0
579,-,2014,5370.0
580,-,2014,5370.0
581,-,2014,9000.0
582,-,2014,5370.0
583,-,2014,5370.0
584,-,2014,5370.0
585,-,2014,5370.0
586,-,2014,5370.0
587,-,2014,5370.0
588,-,2014,5370.0
589,-,2014,5370.0
590,-,2014,9000.0
591,-,2014,9000.0
592,-,2014,9000.0
593,-,2014,9000.0
594,ADİLE NAŞİT Sok.,2014,1800.0
595,AKGÜN ÇIKMAZI Sok.,2014,1000.0
596,ASLAN KAPTAN ÇIKMAZI Sok.,2014,1800.0
597,ATATÜRK Cad.,2014,5370.0
598,BAHÇELİ Sok.,2014,1800.0
599,BANKACILAR Sok.,2014,1800.0
600,BATMAN Sok.,2014,1800.0
601,BAYAR Cad.,2014,5370.0
602,BİLGİNLER Sok.,2014,1000.0
603,CAMİ Sok.,2014,1800.0
604,CEBESOY Sok.,2014,1800.0
605,ÇAMLIPARK Sok.,2014,2150.0
606,ÇELİK Sok.,2014,1800.0
607,DERE Sok.,2014,1800.0
608,DR. MİTHAT SÜER Sok.,2014,3600.0
609,FERİTBEY Sok.,2014,2150.0
610,GÖKAY Sok.,2014,1800.0
611,GÜLNUR Sok.,2014,1500.0
612,GÜZİDE Sok.,2014,1800.0
613,HAFIZ İMAM Sok.,2014,1800.0
614,HALK Sok.,2014,1800.0
615,İMAM RAMİZ Sok.,2014,2500.0
616,İNÖNÜ Cad.,2014,5370.0
617,KARABEKİR Sok.,2014,1800.0
618,KİREÇHANELER Sok.,2014,1800.0
619,MANOLYA ÇIKMAZI Sok.,2014,1000.0
620,MENGİ Sok.,2014,1800.0
621,MESCİTLİ Sok.,2014,1800.0
622,MÜMİN DERESİ Sok.,2014,1800.0
623,NEZİRAĞA Sok.,2014,1800.0
624,OMCA Sok.,2014,1800.0
625,ORTA Sok.,2014,1800.0
