,sokak,yil,rayic
0,-,2020,1244.95
1,-,2020,11080.02
2,-,2020,9959.6
3,-,2020,1244.95
4,-,2020,1244.95
5,-,2020,9959.56
6,-,2020,1244.95
7,1. HATBOYU Sok.,2020,6224.73
8,2. HATBOYU Sok.,2020,6224.73
9,AKTEPE Sok.,2020,5353.27
10,ASIM US Sok.,2020,5353.27
11,BAĞDAT Cad.,2020,9959.56
12,CEMRE Sok.,2020,5602.26
13,CUMHUR Sok.,2020,5353.27
14,ÇAMLIBEL Sok.,2020,3983.83
15,FAHRETTİN KERİM GÖKAY Cad.,2020,11204.51
16,GÜLEÇ ÇIKMAZI Sok.,2020,5602.26
17,HASAN KAMİL SPOREL Sok.,2020,5353.27
18,HASANAMİR Sok.,2020,4046.07
19,ITRİDEDE Sok.,2020,7537.64
20,İSTASYON ARKASI Sok.,2020,5353.27
21,KAVUKLU HAMDİ Sok.,2020,4232.81
22,KOLEJ Sok.,2020,7345.18
23,KÖRDERE Sok.,2020,6224.73
24,MERAM Sok.,2020,5477.76
25,MEVSİM ÇIKMAZI Sok.,2020,3983.83
26,MÜNİR NURETTİN SELÇUK Cad.,2020,18674.18
27,NİDA ÇIKMAZI Sok.,2020,6847.21
28,NİŞANCI Sok.,2020,4855.29
29,ÖMEREFENDİ Sok.,2020,5353.27
30,ÖZALP Sok.,2020,5353.27
31,RECEP PEKER Cad.,2020,9959.56
32,REŞİTPAŞA Sok.,2020,4108.33
33,RIFATBEY Sok.,2020,5353.27
34,RÜŞTİYE Sok.,2020,7469.67
35,SABRİ KİRAZ Sok.,2020,5353.27
36,ŞEFİKBEY Sok.,2020,5353.27
37,ŞEHİR KAHYA Sok.,2020,5353.27
38,TAŞKÖPRÜ- Cad. (TAŞKÖPRÜ),2020,5477.76
39,YILDIZ RONA Sok.,2020,5353.27
40,ZAHİTBEY Sok.,2020,5353.27
41,-,2019,1118.65
42,-,2019,9955.99
43,-,2019,1118.65
44,-,2019,1118.65
45,-,2019,1118.65
46,-,2019,8949.2
47,1. HATBOYU Sok.,2019,5593.25
48,2. HATBOYU Sok.,2019,5593.25
49,AKTEPE Sok.,2019,4810.2
50,ASIM US Sok.,2019,4810.2
51,BAĞDAT Cad.,2019,8949.2
52,CEMRE Sok.,2019,5033.93
53,CUMHUR Sok.,2019,4810.2
54,ÇAMLIBEL Sok.,2019,3579.68
55,FAHRETTİN KERİM GÖKAY Cad.,2019,10067.85
56,GÜLEÇ ÇIKMAZI Sok.,2019,5033.93
57,HASAN KAMİL SPOREL Sok.,2019,4810.2
58,HASANAMİR Sok.,2019,3635.61
59,ITRİDEDE Sok.,2019,6772.97
