,mahalle,sokak,yil,rayic
0,19 MAYIS,"1905 ADA, 48-220 PARSELLER",2020,25396.89
1,19 MAYIS,"1906 ADA, 13 PARSEL",2020,28384.76
2,19 MAYIS,19 MAYIS,2020,38842.3
3,19 MAYIS,19 MAYIS,2020,10457.54
4,19 MAYIS,AKKİRMAN,2020,10457.54
5,19 MAYIS,AL KARANFİL,2020,2240.9
6,19 MAYIS,ASLANYURT,2020,2240.9
7,19 MAYIS,AŞÇILAR,2020,3734.84
8,19 MAYIS,AYHAN IŞIK,2020,2240.9
9,19 MAYIS,AYTEKİN KOTİL,2020,10457.54
10,19 MAYIS,AYYILDIZ,2020,2240.9
11,19 MAYIS,BALÇIK TARLASI,2020,29878.69
12,19 MAYIS,BALÇIK TARLASI,2020,16806.77
13,19 MAYIS,BALÇIK TARLASI,2020,22409.02
14,19 MAYIS,BESTE,2020,2240.9
15,19 MAYIS,BİNBAŞI REFİK,2020,2240.9
16,19 MAYIS,BÜYÜKDERE,2020,38842.3
17,19 MAYIS,BÜYÜKDERE,2020,29878.69
18,19 MAYIS,CELAL ATİK,2020,2240.9
19,19 MAYIS,ÇORUH,2020,2987.87
20,19 MAYIS,DERE,2020,10457.54
21,19 MAYIS,DİK BAYIR,2020,2240.9
22,19 MAYIS,DR. HÜSNÜ İSMET ÖZTÜRK,2020,4929.98
23,19 MAYIS,DR. ŞEVKETBEY,2020,13445.41
24,19 MAYIS,DR. ŞEVKETBEY,2020,10457.54
25,19 MAYIS,ESER,2020,6274.53
26,19 MAYIS,ETFAL HASTANESİ,2020,10457.54
27,19 MAYIS,ETFAL HASTANESİ,2020,22409.02
28,19 MAYIS,FULYA BAYIRI,2020,3361.36
29,19 MAYIS,FULYA BAYIRI ÇIKMAZI,2020,6274.53
30,19 MAYIS,GAZİ BERKAY,2020,10457.54
31,19 MAYIS,GAZİ BERKAY,2020,6722.71
32,19 MAYIS,GENERAL NAZMİ YAVUZALP,2020,2240.9
33,19 MAYIS,GÜL 1,2020,2240.9
34,19 MAYIS,GÜVEN 1,2020,4929.98
35,19 MAYIS,HALASKARGAZİ,2020,31372.63
36,19 MAYIS,HALASKARGAZİ,2020,28384.76
37,19 MAYIS,HAMİDİYE SUYU,2020,7768.46
38,19 MAYIS,HAMİT KAPLAN,2020,2240.9
39,19 MAYIS,HAVVA HANIM,2020,2240.9
40,19 MAYIS,HİLAL 1,2020,2240.9
41,19 MAYIS,HRANT DİNK,2020,13445.41
42,19 MAYIS,KARACAOĞLAN,2020,2240.9
43,19 MAYIS,KİLİMCİ,2020,3734.84
44,19 MAYIS,KÜÇÜK,2020,2240.9
45,19 MAYIS,KÜÇÜK BAHÇE,2020,10457.54
46,19 MAYIS,MEHMETÇİK,2020,6274.53
47,19 MAYIS,MEHMETLER,2020,2240.9
48,19 MAYIS,MERDİVENLİ,2020,2240.9
49,19 MAYIS,MERSİNLİ AHMET,2020,2240.9
50,19 MAYIS,MİRALAY KAZIMBEY,2020,2240.9
51,19 MAYIS,MİRALAY RAFET,2020,2240.9
52,19 MAYIS,MUMCU,2020,2240.9
53,19 MAYIS,NUR,2020,2240.9
54,19 MAYIS,OKUR,2020,8253.99
55,19 MAYIS,OPERATÖR RAİFBEY,2020,8253.99
56,19 MAYIS,ÖĞRETMEN HAŞİM ÇEKEN,2020,6274.53
57,19 MAYIS,PİRİNÇ,2020,2240.9
58,19 MAYIS,SAADET HANIM,2020,2240.9
59,19 MAYIS,SİMGE,2020,2240.9
60,19 MAYIS,ŞEKER,2020,2240.9
61,19 MAYIS,ŞERİFE BACI,2020,2240.9
62,19 MAYIS,ŞÜKRÜ GÜLESİN,2020,2240.9
63,19 MAYIS,TATLI ÇIKMAZI,2020,4929.98
64,19 MAYIS,TAYYARECİ CEMAL,2020,10457.54
65,19 MAYIS,UĞUR BÖCEĞİ,2020,2240.9
66,19 MAYIS,VETERİNER HİLMİ,2020,6722.71
67,19 MAYIS,YAŞAR DOĞU,2020,4929.98
68,19 MAYIS,YENİ İLHAN,2020,6274.53
69,19 MAYIS,"1905 ADA, 48-220 PARSELLER",2019,22820.46
70,19 MAYIS,"1906 ADA, 13 PARSEL",2019,25505.22
71,19 MAYIS,19 MAYIS,2019,9396.66
72,19 MAYIS,19 MAYIS,2019,34901.88
73,19 MAYIS,AKKİRMAN,2019,9396.66
74,19 MAYIS,AL KARANFİL,2019,2013.57
75,19 MAYIS,ASLANYURT,2019,2013.57
76,19 MAYIS,AŞÇILAR,2019,3355.95
77,19 MAYIS,AYHAN IŞIK,2019,2013.57
78,19 MAYIS,AYTEKİN KOTİL,2019,9396.66
79,19 MAYIS,AYYILDIZ,2019,2013.57
80,19 MAYIS,BALÇIK TARLASI,2019,26847.6
81,19 MAYIS,BALÇIK TARLASI,2019,15101.78
82,19 MAYIS,BALÇIK TARLASI,2019,20135.7
83,19 MAYIS,BESTE,2019,2013.57
84,19 MAYIS,BİNBAŞI REFİK,2019,2013.57
85,19 MAYIS,BÜYÜKDERE,2019,26847.6
86,19 MAYIS,BÜYÜKDERE,2019,34901.88
87,19 MAYIS,CELAL ATİK,2019,2013.57
88,19 MAYIS,ÇORUH,2019,2684.76
89,19 MAYIS,DERE,2019,9396.66
90,19 MAYIS,DİK BAYIR,2019,2013.57
91,19 MAYIS,DR. HÜSNÜ İSMET ÖZTÜRK,2019,4429.85
92,19 MAYIS,DR. ŞEVKETBEY,2019,9396.66
93,19 MAYIS,DR. ŞEVKETBEY,2019,12081.42
94,19 MAYIS,ESER,2019,5638
95,19 MAYIS,ETFAL HASTANESİ,2019,9396.66
96,19 MAYIS,ETFAL HASTANESİ,2019,20135.7
97,19 MAYIS,FULYA BAYIRI,2019,3020.36
98,19 MAYIS,FULYA BAYIRI ÇIKMAZI,2019,5638
99,19 MAYIS,GAZİ BERKAY,2019,6040.71
100,19 MAYIS,GAZİ BERKAY,2019,9396.66
101,19 MAYIS,GENERAL NAZMİ YAVUZALP,2019,2013.57
102,19 MAYIS,GÜL 1,2019,2013.57
103,19 MAYIS,GÜVEN 1,2019,4429.85
104,19 MAYIS,HALASKARGAZİ,2019,25505.22
105,19 MAYIS,HALASKARGAZİ,2019,28189.98
106,19 MAYIS,HAMİDİYE SUYU,2019,6980.38
107,19 MAYIS,HAMİT KAPLAN,2019,2013.57
108,19 MAYIS,HAVVA HANIM,2019,2013.57
109,19 MAYIS,HİLAL 1,2019,2013.57
110,19 MAYIS,HRANT DİNK,2019,12081.42
111,19 MAYIS,KARACAOĞLAN,2019,2013.57
112,19 MAYIS,KİLİMCİ,2019,3355.95
113,19 MAYIS,KÜÇÜK BAHÇE,2019,9396.66
114,19 MAYIS,KÜÇÜK,2019,2013.57
115,19 MAYIS,MEHMETÇİK,2019,5638
116,19 MAYIS,MEHMETLER,2019,2013.57
117,19 MAYIS,MERDİVENLİ,2019,2013.57
118,19 MAYIS,MERSİNLİ AHMET,2019,2013.57
119,19 MAYIS,MİRALAY KAZIMBEY,2019,2013.57
120,19 MAYIS,MİRALAY RAFET,2019,2013.57
121,19 MAYIS,MUMCU,2019,2013.57
122,19 MAYIS,NUR,2019,2013.57
123,19 MAYIS,OKUR,2019,7416.65
124,19 MAYIS,OPERATÖR RAİFBEY,2019,7416.65
125,19 MAYIS,ÖĞRETMEN HAŞİM ÇEKEN,2019,5638
126,19 MAYIS,PİRİNÇ,2019,2013.57
127,19 MAYIS,SAADET HANIM,2019,2013.57
128,19 MAYIS,SİMGE,2019,2013.57
129,19 MAYIS,ŞEKER,2019,2013.57
130,19 MAYIS,ŞERİFE BACI,2019,2013.57
131,19 MAYIS,ŞÜKRÜ GÜLESİN,2019,2013.57
132,19 MAYIS,TATLI ÇIKMAZI,2019,4429.85
133,19 MAYIS,TAYYARECİ CEMAL,2019,9396.66
134,19 MAYIS,UĞUR BÖCEĞİ,2019,2013.57
135,19 MAYIS,VETERİNER HİLMİ,2019,6040.71
136,19 MAYIS,YAŞAR DOĞU,2019,4429.85
137,19 MAYIS,YENİ İLHAN,2019,5638
138,19 MAYIS,"1905 ADA, 48-220 PARSELLER",2018,20400
139,19 MAYIS,"1906 ADA, 13 PARSEL",2018,22800
140,19 MAYIS,19 MAYIS,2018,31200
141,19 MAYIS,19 MAYIS,2018,8400
142,19 MAYIS,AKKİRMAN,2018,8400
143,19 MAYIS,AL KARANFİL,2018,1800
144,19 MAYIS,ASLANYURT,2018,1800
145,19 MAYIS,AŞÇILAR,2018,3000
146,19 MAYIS,AYHAN IŞIK,2018,1800
147,19 MAYIS,AYTEKİN KOTİL,2018,8400
148,19 MAYIS,AYYILDIZ,2018,1800
149,19 MAYIS,BALÇIK TARLASI,2018,18000
150,19 MAYIS,BALÇIK TARLASI,2018,13500
151,19 MAYIS,BALÇIK TARLASI,2018,24000
152,19 MAYIS,BESTE,2018,1800
153,19 MAYIS,BİNBAŞI REFİK,2018,1800
154,19 MAYIS,BÜYÜKDERE,2018,31200
155,19 MAYIS,BÜYÜKDERE,2018,24000
156,19 MAYIS,CELAL ATİK,2018,1800
157,19 MAYIS,ÇORUH,2018,2400
158,19 MAYIS,DERE,2018,8400
159,19 MAYIS,DİK BAYIR,2018,1800
160,19 MAYIS,DR. HÜSNÜ İSMET ÖZTÜRK,2018,3960
161,19 MAYIS,DR. ŞEVKETBEY,2018,8400
162,19 MAYIS,DR. ŞEVKETBEY,2018,10800
163,19 MAYIS,ESER,2018,5040
164,19 MAYIS,ETFAL HASTANESİ,2018,18000
165,19 MAYIS,ETFAL HASTANESİ,2018,8400
166,19 MAYIS,FULYA BAYIRI ÇIKMAZI,2018,5040
167,19 MAYIS,FULYA BAYIRI,2018,2700
168,19 MAYIS,GAZİ BERKAY,2018,8400
169,19 MAYIS,GAZİ BERKAY,2018,5400
170,19 MAYIS,GENERAL NAZMİ YAVUZALP,2018,1800
171,19 MAYIS,GÜL 1,2018,1800
172,19 MAYIS,GÜVEN 1,2018,3960
173,19 MAYIS,HALASKARGAZİ,2018,25200
174,19 MAYIS,HALASKARGAZİ,2018,22800
175,19 MAYIS,HAMİDİYE SUYU,2018,6240
176,19 MAYIS,HAMİT KAPLAN,2018,1800
177,19 MAYIS,HAVVA HANIM,2018,1800
178,19 MAYIS,HİLAL 1,2018,1800
179,19 MAYIS,HRANT DİNK,2018,10800
180,19 MAYIS,KARACAOĞLAN,2018,1800
181,19 MAYIS,KİLİMCİ,2018,3000
182,19 MAYIS,KÜÇÜK BAHÇE,2018,8400
183,19 MAYIS,KÜÇÜK,2018,1800
184,19 MAYIS,MEHMETÇİK,2018,5040
185,19 MAYIS,MEHMETLER,2018,1800
186,19 MAYIS,MERDİVENLİ,2018,1800
187,19 MAYIS,MERSİNLİ AHMET,2018,1800
188,19 MAYIS,MİRALAY KAZIMBEY,2018,1800
189,19 MAYIS,MİRALAY RAFET,2018,1800
190,19 MAYIS,MUMCU,2018,1800
191,19 MAYIS,NUR,2018,1800
192,19 MAYIS,OKUR,2018,6630
193,19 MAYIS,OPERATÖR RAİFBEY,2018,6630
194,19 MAYIS,ÖĞRETMEN HAŞİM ÇEKEN,2018,5040
195,19 MAYIS,PİRİNÇ,2018,1800
196,19 MAYIS,SAADET HANIM,2018,1800
197,19 MAYIS,SİMGE,2018,1800
198,19 MAYIS,ŞEKER,2018,1800
199,19 MAYIS,ŞERİFE BACI,2018,1800
200,19 MAYIS,ŞÜKRÜ GÜLESİN,2018,1800
201,19 MAYIS,TATLI ÇIKMAZI,2018,3960
202,19 MAYIS,TAYYARECİ CEMAL,2018,8400
203,19 MAYIS,UĞUR BÖCEĞİ,2018,1800
204,19 MAYIS,VETERİNER HİLMİ,2018,5400
205,19 MAYIS,YAŞAR DOĞU,2018,3960
206,19 MAYIS,YENİ İLHAN,2018,5040
207,19 MAYIS,"1905 ADA, 48-220 PARSELLER",2017,19060.73
208,19 MAYIS,"1906 ADA, 13 PARSEL",2017,21303.16
209,19 MAYIS,19 MAYIS,2017,29151.69
210,19 MAYIS,19 MAYIS,2017,7848.53
211,19 MAYIS,AKKİRMAN,2017,7848.53
212,19 MAYIS,AL KARANFİL,2017,1681.84
213,19 MAYIS,ASLANYURT,2017,1681.84
214,19 MAYIS,AŞÇILAR,2017,2803.06
215,19 MAYIS,AYHAN IŞIK,2017,1681.84
216,19 MAYIS,AYTEKİN KOTİL,2017,7848.53
217,19 MAYIS,AYYILDIZ,2017,1681.84
218,19 MAYIS,BALÇIK TARLASI,2017,22424.38
219,19 MAYIS,BALÇIK TARLASI,2017,12613.71
220,19 MAYIS,BALÇIK TARLASI,2017,16818.29
221,19 MAYIS,BESTE,2017,1681.84
222,19 MAYIS,BİNBAŞI REFİK,2017,1681.84
223,19 MAYIS,BÜYÜKDERE,2017,22424.38
224,19 MAYIS,BÜYÜKDERE,2017,29151.69
225,19 MAYIS,CELAL ATİK,2017,1681.84
226,19 MAYIS,ÇORUH,2017,2242.44
227,19 MAYIS,DERE,2017,7848.53
228,19 MAYIS,DİK BAYIR,2017,1681.84
229,19 MAYIS,DR. HÜSNÜ İSMET ÖZTÜRK,2017,3700.02
230,19 MAYIS,DR. ŞEVKETBEY,2017,7848.53
231,19 MAYIS,ESER,2017,4709.12
232,19 MAYIS,ETFAL HASTANESİ,2017,7848.53
233,19 MAYIS,ETFAL HASTANESİ,2017,16818.29
234,19 MAYIS,FULYA BAYIRI ÇIKMAZI,2017,4709.12
235,19 MAYIS,FULYA BAYIRI,2017,2522.75
236,19 MAYIS,GAZİ BERKAY,2017,5045.49
237,19 MAYIS,GAZİ BERKAY,2017,7848.53
238,19 MAYIS,GENERAL NAZMİ YAVUZALP,2017,1681.84
239,19 MAYIS,GÜL 1,2017,1681.84
240,19 MAYIS,GÜVEN 1,2017,3700.02
241,19 MAYIS,HALASKARGAZİ,2017,21303.16
242,19 MAYIS,HALASKARGAZİ,2017,23545.6
243,19 MAYIS,HAMİDİYE SUYU,2017,5830.33
244,19 MAYIS,HAMİT KAPLAN,2017,1681.84
245,19 MAYIS,HAVVA HANIM,2017,1681.84
246,19 MAYIS,HİLAL 1,2017,1681.84
247,19 MAYIS,HRANT DİNK,2017,10090.97
248,19 MAYIS,KARACAOĞLAN,2017,1681.84
249,19 MAYIS,KİLİMCİ,2017,2803.06
250,19 MAYIS,KÜÇÜK BAHÇE,2017,7848.53
251,19 MAYIS,KÜÇÜK,2017,1681.84
252,19 MAYIS,MEHMETÇİK,2017,4709.12
253,19 MAYIS,MEHMETLER,2017,1681.84
254,19 MAYIS,MERDİVENLİ,2017,1681.84
255,19 MAYIS,MERSİNLİ AHMET,2017,1681.84
256,19 MAYIS,MİRALAY KAZIMBEY,2017,1681.84
257,19 MAYIS,MİRALAY RAFET,2017,1681.84
258,19 MAYIS,MUMCU,2017,1681.84
259,19 MAYIS,NUR,2017,1681.84
260,19 MAYIS,OKUR,2017,6194.74
261,19 MAYIS,OPERATÖR RAİFBEY,2017,6194.74
262,19 MAYIS,ÖĞRETMEN HAŞİM ÇEKEN,2017,4709.12
263,19 MAYIS,PİRİNÇ,2017,1681.84
264,19 MAYIS,SAADET HANIM,2017,1681.84
265,19 MAYIS,SİMGE,2017,1681.84
266,19 MAYIS,ŞEKER,2017,1681.84
267,19 MAYIS,ŞERİFE BACI,2017,1681.84
268,19 MAYIS,ŞÜKRÜ GÜLESİN,2017,1681.84
269,19 MAYIS,TATLI ÇIKMAZI,2017,3700.02
270,19 MAYIS,TAYYARECİ CEMAL,2017,7848.53
271,19 MAYIS,UĞUR BÖCEĞİ,2017,1681.84
272,19 MAYIS,VETERİNER HİLMİ,2017,5045.49
273,19 MAYIS,YAŞAR DOĞU,2017,3700.02
274,19 MAYIS,YENİ İLHAN,2017,11212.19
275,19 MAYIS,YENİ İLHAN,2017,4709.12
276,19 MAYIS,"1905 ADA, 48-220 PARSELLER",2016,18357.63
277,19 MAYIS,"1906 ADA, 13 PARSEL",2016,20517.35
278,19 MAYIS,19 MAYIS,2016,28076.37
279,19 MAYIS,19 MAYIS,2016,7559.02
280,19 MAYIS,AKKİRMAN,2016,7559.02
281,19 MAYIS,AL KARANFİL,2016,1619.8
282,19 MAYIS,ASLANYURT,2016,1619.8
283,19 MAYIS,AŞÇILAR,2016,2699.66
284,19 MAYIS,AYHAN IŞIK,2016,1619.8
285,19 MAYIS,AYTEKİN KOTİL,2016,7559.02
286,19 MAYIS,AYYILDIZ,2016,1619.8
287,19 MAYIS,BALÇIK TARLASI,2016,21597.21
288,19 MAYIS,BALÇIK TARLASI,2016,16197.91
289,19 MAYIS,BALÇIK TARLASI,2016,12148.43
290,19 MAYIS,BESTE,2016,1619.8
291,19 MAYIS,BİNBAŞI REFİK,2016,1619.8
292,19 MAYIS,BÜYÜKDERE,2016,28076.37
293,19 MAYIS,BÜYÜKDERE,2016,21597.21
294,19 MAYIS,CELAL ATİK,2016,1619.8
295,19 MAYIS,ÇORUH,2016,2159.72
296,19 MAYIS,DERE,2016,7559.02
297,19 MAYIS,DİK BAYIR,2016,1619.8
298,19 MAYIS,DR. HÜSNÜ İSMET ÖZTÜRK,2016,3563.54
299,19 MAYIS,DR. ŞEVKETBEY,2016,7559.02
300,19 MAYIS,ESER,2016,4535.41
301,19 MAYIS,ETFAL HASTANESİ,2016,7559.02
302,19 MAYIS,ETFAL HASTANESİ,2016,16197.91
303,19 MAYIS,FULYA BAYIRI,2016,2429.69
304,19 MAYIS,FULYA BAYIRI ÇIKMAZI,2016,4535.41
305,19 MAYIS,GAZİ BERKAY,2016,4859.38
306,19 MAYIS,GENERAL NAZMİ YAVUZALP,2016,1619.8
307,19 MAYIS,GÜL 1,2016,1619.8
308,19 MAYIS,GÜVEN 1,2016,3563.54
309,19 MAYIS,HALASKARGAZİ,2016,22677.07
310,19 MAYIS,HALASKARGAZİ,2016,20517.35
311,19 MAYIS,HAMİDİYE SUYU,2016,5615.27
312,19 MAYIS,HAMİT KAPLAN,2016,1619.8
313,19 MAYIS,HAVVA HANIM,2016,1619.8
314,19 MAYIS,HİLAL 1,2016,1619.8
315,19 MAYIS,HRANT DİNK,2016,9718.74
316,19 MAYIS,KARACAOĞLAN,2016,1619.8
317,19 MAYIS,KİLİMCİ,2016,2699.66
318,19 MAYIS,KÜÇÜK,2016,1619.8
319,19 MAYIS,KÜÇÜK BAHÇE,2016,7559.02
320,19 MAYIS,MEHMETÇİK,2016,4535.41
321,19 MAYIS,MEHMETLER,2016,1619.8
322,19 MAYIS,MERDİVENLİ,2016,1619.8
323,19 MAYIS,MERSİNLİ AHMET,2016,1619.8
324,19 MAYIS,MİRALAY KAZIMBEY,2016,1619.8
325,19 MAYIS,MİRALAY RAFET,2016,1619.8
326,19 MAYIS,MUMCU,2016,1619.8
327,19 MAYIS,NUR,2016,1619.8
328,19 MAYIS,OKUR,2016,5966.23
329,19 MAYIS,OPERATÖR RAİFBEY,2016,5966.23
330,19 MAYIS,ÖĞRETMEN HAŞİM ÇEKEN,2016,4535.41
331,19 MAYIS,PİRİNÇ,2016,1619.8
332,19 MAYIS,SAADET HANIM,2016,1619.8
333,19 MAYIS,SİMGE,2016,1619.8
334,19 MAYIS,ŞEKER,2016,1619.8
335,19 MAYIS,ŞERİFE BACI,2016,1619.8
336,19 MAYIS,ŞÜKRÜ GÜLESİN,2016,1619.8
337,19 MAYIS,TATLI ÇIKMAZI,2016,3563.54
338,19 MAYIS,TAYYARECİ CEMAL,2016,7559.02
339,19 MAYIS,UĞUR BÖCEĞİ,2016,1619.8
340,19 MAYIS,VETERİNER HİLMİ,2016,4859.38
341,19 MAYIS,YAŞAR DOĞU,2016,3563.54
342,19 MAYIS,YENİ İLHAN,2016,4535.41
343,19 MAYIS,YENİ İLHAN,2016,10798.6
344,19 MAYIS,"1905 ADA, 48-220 PARSELLER",2015,17859.35
345,19 MAYIS,"1906 ADA, 13 PARSEL",2015,19960.45
346,19 MAYIS,19 MAYIS,2015,7353.85
347,19 MAYIS,19 MAYIS,2015,27314.3
348,19 MAYIS,AKKİRMAN,2015,7353.85
349,19 MAYIS,AL KARANFİL,2015,1575.83
350,19 MAYIS,ASLANYURT,2015,1575.83
351,19 MAYIS,AŞÇILAR,2015,2626.38
352,19 MAYIS,AYHAN IŞIK,2015,1575.83
353,19 MAYIS,AYTEKİN KOTİL,2015,7353.85
354,19 MAYIS,AYYILDIZ,2015,1575.83
355,19 MAYIS,BALÇIK TARLASI,2015,15758.25
