,sokak,yil,rayic
0,BARUTHANE,2020,6573.31
1,BAYSUNGUR,2020,6162.48
2,BİLEZİKÇİ,2020,6162.48
3,DERE 2,2020,8067.25
4,DERİCİLER,2020,6162.48
5,DOLAPDERE,2020,15686.31
6,ERGENEKON,2020,12138.22
7,EŞREF EFENDİ,2020,6162.48
8,KINALI KEKLİK,2020,6162.48
9,KURTULUŞ,2020,10457.54
10,POYRAZ,2020,8067.25
11,SADRİ MAKSUDİ ARSAL,2020,6162.48
12,SEYMEN,2020,6162.48
13,ŞAHİN,2020,6162.48
14,TÜRKBEYİ,2020,6162.48
15,BARUTHANE,2019,5906.47
16,BAYSUNGUR,2019,5537.32
17,BİLEZİKÇİ,2019,5537.32
18,DERE 2,2019,7248.85
19,DERİCİLER,2019,5537.32
20,DOLAPDERE,2019,14094.99
21,ERGENEKON,2019,10906.84
22,EŞREF EFENDİ,2019,5537.32
23,KINALI KEKLİK,2019,5537.32
24,KURTULUŞ,2019,9396.66
25,POYRAZ,2019,7248.85
26,SADRİ MAKSUDİ ARSAL,2019,5537.32
27,SEYMEN,2019,5537.32
28,ŞAHİN,2019,5537.32
29,TÜRKBEYİ,2019,5537.32
30,BARUTHANE,2018,5280
31,BAYSUNGUR,2018,4950
32,BİLEZİKÇİ,2018,4950
33,DERE 2,2018,6480
34,DERİCİLER,2018,4950
35,DOLAPDERE,2018,12600
36,ERGENEKON,2018,9750
37,EŞREF EFENDİ,2018,4950
38,KINALI KEKLİK,2018,4950
39,KURTULUŞ,2018,8400
40,POYRAZ,2018,6480
41,SADRİ MAKSUDİ ARSAL,2018,4950
42,SEYMEN,2018,4950
43,ŞAHİN,2018,4950
44,TÜRKBEYİ,2018,4950
45,BARUTHANE,2017,4933.37
46,BAYSUNGUR,2017,4625.03
47,BİLEZİKÇİ,2017,4625.03
48,DERE 2,2017,6054.59
49,DERİCİLER,2017,4625.03
50,DOLAPDERE,2017,11772.81
51,ERGENEKON,2017,9109.91
52,EŞREF EFENDİ,2017,4625.03
53,KINALI KEKLİK,2017,4625.03
54,KURTULUŞ,2017,7848.53
55,POYRAZ,2017,6054.59
56,SADRİ MAKSUDİ ARSAL,2017,4625.03
57,SEYMEN,2017,4625.03
58,ŞAHİN,2017,4625.03
59,TÜRKBEYİ,2017,4625.03
60,BARUTHANE,2016,4751.39
61,BAYSUNGUR,2016,4454.43
62,BİLEZİKÇİ,2016,4454.43
63,DERE 2,2016,5831.25
64,DERİCİLER,2016,4454.43
65,DOLAPDERE,2016,11338.54
66,ERGENEKON,2016,8773.87
67,EŞREF EFENDİ,2016,4454.43
68,KINALI KEKLİK,2016,4454.43
69,KURTULUŞ,2016,7559.02
70,POYRAZ,2016,5831.25
71,SADRİ MAKSUDİ ARSAL,2016,4454.43
72,SEYMEN,2016,4454.43
73,ŞAHİN,2016,4454.43
74,TÜRKBEYİ,2016,4454.43
75,BARUTHANE,2015,4622.42
76,BAYSUNGUR,2015,4333.52
77,BİLEZİKÇİ,2015,4333.52
78,DERE 2,2015,5672.97
79,DERİCİLER,2015,4333.52
80,DOLAPDERE,2015,11030.78
81,ERGENEKON,2015,8535.72
82,EŞREF EFENDİ,2015,4333.52
83,KINALI KEKLİK,2015,4333.52
84,KURTULUŞ,2015,7353.85
85,POYRAZ,2015,5672.97
86,SADRİ MAKSUDİ ARSAL,2015,4333.52
87,SEYMEN,2015,4333.52
88,ŞAHİN,2015,4333.52
89,TÜRKBEYİ,2015,4333.52
90,BARUTHANE,2014,4400
91,BAYSUNGUR,2014,4125
92,BİLEZİKÇİ,2014,4125
93,DERE 2,2014,5400
94,DERİCİLER,2014,4125
95,DOLAPDERE,2014,10500
96,ERGENEKON,2014,8125
97,EŞREF EFENDİ,2014,4125
98,KINALI KEKLİK,2014,4125
99,KURTULUŞ,2014,7000
100,POYRAZ,2014,5400
101,SADRİ MAKSUDİ ARSAL,2014,4125
102,SEYMEN,2014,4125
103,ŞAHİN,2014,4125
104,TÜRKBEYİ,2014,4125
105,BARUTHANE,2013,1728.23
106,BAYSUNGUR,2013,1511.91
107,BİLEZİKÇİ,2013,1511.91
108,DERE 2,2013,2592.34
109,DERİCİLER,2013,1080.44
110,DOLAPDERE,2013,3456.46
111,ERGENEKON,2013,4320.57
112,EŞREF EFENDİ,2013,1511.91
113,KINALI KEKLİK,2013,864.11
114,KURTULUŞ,2013,3456.46
115,POYRAZ,2013,2592.34
116,SADRİ MAKSUDİ ARSAL,2013,1728.23
117,SEYMEN,2013,1728.23
118,ŞAHİN,2013,1728.23
119,TÜRKBEYİ,2013,1728.23
120,BARUTHANE,2012,1603.18
121,BAYSUNGUR,2012,1402.51
122,BİLEZİKÇİ,2012,1402.51
123,DERE 2,2012,2404.77
124,DERİCİLER,2012,1002.26
125,DOLAPDERE,2012,3206.36
126,ERGENEKON,2012,4007.95
127,EŞREF EFENDİ,2012,1402.51
128,KINALI KEKLİK,2012,801.59
129,KURTULUŞ,2012,3206.36
130,POYRAZ,2012,2404.77
131,SADRİ MAKSUDİ ARSAL,2012,1603.18
132,SEYMEN,2012,1603.18
133,ŞAHİN,2012,1603.18
134,TÜRKBEYİ,2012,1603.18
135,BARUTHANE,2011,1454
136,BAYSUNGUR,2011,1272
137,BİLEZİKÇİ,2011,1272
138,DERE 2,2011,2181
139,DERİCİLER,2011,909
140,DOLAPDERE,2011,2908
141,ERGENEKON,2011,3635
142,EŞREF EFENDİ,2011,1272
143,KINALI KEKLİK,2011,727
144,KURTULUŞ,2011,2908
145,POYRAZ,2011,2181
146,SADRİ MAKSUDİ ARSAL,2011,1454
147,SEYMEN,2011,1454
148,ŞAHİN,2011,1454
149,TÜRKBEYİ,2011,1454
150,BARUTHANE,2010,1400
151,BAYSUNGUR,2010,1225
152,BİLEZİKÇİ,2010,1225
153,DERE 2,2010,2100
154,DERİCİLER,2010,875
155,DOLAPDERE,2010,2800
156,ERGENEKON,2010,3500
157,EŞREF EFENDİ,2010,1225
158,KINALI KEKLİK,2010,700
159,KURTULUŞ,2010,2800
160,POYRAZ,2010,2100
161,SADRİ MAKSUDİ ARSAL,2010,1400
162,SEYMEN,2010,1400
163,ŞAHİN,2010,1400
164,TÜRKBEYİ,2010,1400
165,BARUTHANE,2009,770.17
166,BAYSUNGUR,2009,616.14
167,BİLEZİKÇİ,2009,616.14
168,DERE 2,2009,616.14
169,DERİCİLER,2009,616.14
170,DOLAPDERE,2009,1140.98
171,ERGENEKON,2009,1523.22
172,EŞREF EFENDİ,2009,427.88
173,KINALI KEKLİK,2009,119.81
174,KURTULUŞ,2009,1426.24
175,POYRAZ,2009,758.76
176,SADRİ MAKSUDİ ARSAL,2009,616.14
177,SEYMEN,2009,616.14
178,ŞAHİN,2009,479.22
179,TÜRKBEYİ,2009,616.14
180,BARUTHANE,2008,726.58
181,BAYSUNGUR,2008,581.26
182,BİLEZİKÇİ,2008,581.26
183,DERE 2,2008,581.26
184,DERİCİLER,2008,581.26
185,DOLAPDERE,2008,1076.4
186,ERGENEKON,2008,1437
187,EŞREF EFENDİ,2008,403.66
188,KINALI KEKLİK,2008,113.03
189,KURTULUŞ,2008,1345.51
190,POYRAZ,2008,715.81
191,SADRİ MAKSUDİ ARSAL,2008,581.26
192,SEYMEN,2008,581.26
193,ŞAHİN,2008,452.09
194,TÜRKBEYİ,2008,581.26
195,BARUTHANE,2007,701.33
196,BAYSUNGUR,2007,561.06
197,BİLEZİKÇİ,2007,561.06
198,DERE 2,2007,561.06
199,DERİCİLER,2007,561.06
200,DOLAPDERE,2007,1039
201,ERGENEKON,2007,1387.07
202,EŞREF EFENDİ,2007,389.63
203,KINALI KEKLİK,2007,109.1
204,KURTULUŞ,2007,1298.75
205,POYRAZ,2007,690.94
206,SADRİ MAKSUDİ ARSAL,2007,561.06
207,SEYMEN,2007,561.06
208,ŞAHİN,2007,436.38
209,TÜRKBEYİ,2007,561.06
210,BARUTHANE,2006,675
211,BAYSUNGUR,2006,540
212,BİLEZİKÇİ,2006,540
213,DERE 2,2006,540
214,DERİCİLER,2006,540
215,DOLAPDERE,2006,1000
216,ERGENEKON,2006,1335
217,EŞREF EFENDİ,2006,375
218,KINALI KEKLİK,2006,105
219,KURTULUŞ,2006,1250
220,POYRAZ,2006,665
221,SADRİ MAKSUDİ ARSAL,2006,540
222,SEYMEN,2006,540
223,ŞAHİN,2006,420
224,TÜRKBEYİ,2006,540
