,sokak,yil,rayic
0,"10621 ADA, 1 PARSEL",2020,29878.69
1,"993 ADA, 9 PARSEL",2020,16433.28
2,ABİDE-İ HÜRRİYET,2020,13445.41
3,AKAR,2020,29878.69
4,ARPA SUYU,2020,7469.67
5,BİLGİÇ,2020,7469.67
6,DÜZOĞLU,2020,29878.69
7,DÜZOĞLU,2020,14939.35
8,EFE,2020,11204.51
9,ERGENEKON,2020,12138.22
10,FERİKÖY FIRIN,2020,14939.35
11,FERİKÖY FIRIN,2020,11204.51
12,FERİKÖY FIRIN,2020,12909.31
13,GÖKKUŞAĞI,2020,14939.35
14,GÖKKUŞAĞI,2020,22222.28
15,HALASKARGAZİ,2020,28384.76
16,HARİKA,2020,29878.69
17,HEKİM,2020,29878.69
18,İNCİRLİ DEDE,2020,4481.8
19,İNCİRLİ DEDE,2020,29878.69
20,İZZETPAŞA,2020,13445.41
21,İZZETPAŞA,2020,7469.67
22,KAZIM ORBAY,2020,12138.22
23,MEZARLIK ÇIKMAZI,2020,7469.67
24,NAKİYE ELGÜN,2020,11503.3
25,NEHİR,2020,29878.69
26,NEHİR,2020,14939.35
27,ORTAKIR,2020,29878.69
28,ORTAKIR,2020,14939.35
29,RUMELİ,2020,25396.89
30,SADIK ŞENDİL,2020,7469.67
31,SAKSI,2020,12138.22
32,SİLAHŞÖR,2020,12138.22
33,SİLAHŞÖR,2020,29878.69
34,TAVUKÇU FETHİ,2020,12138.22
35,TAYYARECİ FEHMİ,2020,12138.22
36,YENİ YOL 1,2020,29878.69
37,YENİ YOL 1,2020,22222.28
38,"10621 ADA, 1 PARSEL",2019,26847.6
39,"993 ADA, 9 PARSEL",2019,14766.18
40,ABİDE-İ HÜRRİYET,2019,12081.42
41,AKAR,2019,26847.6
42,ARPA SUYU,2019,6711.9
43,BİLGİÇ,2019,6711.9
44,DÜZOĞLU,2019,13423.8
45,DÜZOĞLU,2019,26847.6
46,EFE,2019,10067.85
47,ERGENEKON,2019,10906.84
48,FERİKÖY FIRIN,2019,13423.8
49,FERİKÖY FIRIN,2019,11599.7
50,FERİKÖY FIRIN,2019,10067.85
51,GÖKKUŞAĞI,2019,13423.8
52,GÖKKUŞAĞI,2019,19967.9
53,HALASKARGAZİ,2019,25505.22
54,HARİKA,2019,26847.6
55,HEKİM,2019,26847.6
56,İNCİRLİ DEDE,2019,4027.14
57,İNCİRLİ DEDE,2019,26847.6
58,İZZETPAŞA,2019,12081.42
59,İZZETPAŞA,2019,6711.9
60,KAZIM ORBAY,2019,10906.84
61,MEZARLIK ÇIKMAZI,2019,6711.9
62,NAKİYE ELGÜN,2019,10336.33
63,NEHİR,2019,26847.6
64,NEHİR,2019,13423.8
65,ORTAKIR,2019,26847.6
66,ORTAKIR,2019,13423.8
67,RUMELİ,2019,22820.46
68,SADIK ŞENDİL,2019,6711.9
69,SAKSI,2019,10906.84
70,SİLAHŞÖR,2019,10906.84
71,SİLAHŞÖR,2019,26847.6
72,TAVUKÇU FETHİ,2019,10906.84
73,TAYYARECİ FEHMİ,2019,10906.84
74,YENİ YOL 1,2019,26847.6
75,YENİ YOL 1,2019,19967.9
76,"10621 ADA, 1 PARSEL",2018,24000
77,"993 ADA, 9 PARSEL",2018,13200
78,ABİDE-İ HÜRRİYET,2018,10800
79,AKAR,2018,24000
80,ARPA SUYU,2018,6000
81,BİLGİÇ,2018,6000
82,DÜZOĞLU,2018,12000
83,DÜZOĞLU,2018,24000
84,EFE,2018,9000
85,ERGENEKON,2018,9750
86,FERİKÖY FIRIN,2018,9000
87,FERİKÖY FIRIN,2018,10369.37
88,FERİKÖY FIRIN,2018,12000
89,GÖKKUŞAĞI,2018,12000
90,GÖKKUŞAĞI,2018,17850
91,HALASKARGAZİ,2018,22800
92,HARİKA,2018,24000
93,HEKİM,2018,24000
94,İNCİRLİ DEDE,2018,3600
95,İNCİRLİ DEDE,2018,24000
96,İZZETPAŞA,2018,10800
97,İZZETPAŞA,2018,6000
98,KAZIM ORBAY,2018,9750
99,MEZARLIK ÇIKMAZI,2018,6000
100,NAKİYE ELGÜN,2018,9240
101,NEHİR,2018,24000
102,NEHİR,2018,12000
103,ORTAKIR,2018,24000
104,ORTAKIR,2018,12000
105,RUMELİ,2018,20400
106,SADIK ŞENDİL,2018,6000
107,SAKSI,2018,9750
108,SİLAHŞÖR,2018,24000
109,SİLAHŞÖR,2018,9750
110,TAVUKÇU FETHİ,2018,9750
111,TAYYARECİ FEHMİ,2018,9750
112,YENİ YOL 1,2018,17850
113,YENİ YOL 1,2018,24000
114,"10621 ADA, 1 PARSEL",2017,22424.38
115,"993 ADA, 9 PARSEL",2017,12333.41
116,ABİDE-İ HÜRRİYET,2017,10090.97
117,AKAR,2017,22423.31
118,AKAR,2017,22424.38
119,ARPA SUYU,2017,5606.09
120,BİLGİÇ,2017,5606.09
