,sokak,yil,rayic
0,AVUKAT,2020,5751.65
1,BARUTÇULAR,2020,3734.84
2,BARUTHANE,2020,6573.31
3,BOZKURT,2020,6573.31
4,ÇOBANOĞLU,2020,5751.65
5,ERGENEKON,2020,12138.22
6,EVRENOSZADE,2020,4481.8
7,İNCİRLİ DEDE,2020,5751.65
8,KARABİBER,2020,2987.87
9,KEŞFİ EFENDİ,2020,3734.84
10,KURTULUŞ,2020,10457.54
11,KUYULUBAĞ,2020,5751.65
12,LALA ŞAHİN,2020,4481.8
13,ORTANCA,2020,3734.84
14,SAVAŞ,2020,5751.65
15,ŞAHADET,2020,4481.8
16,ŞAHAP,2020,5751.65
17,ŞAHMERDAN,2020,4481.8
18,YAY MEYDANI,2020,4481.8
19,YEMİŞLİ BAHÇE,2020,5751.65
20,AVUKAT,2019,5168.16
21,BARUTÇULAR,2019,3355.95
22,BARUTHANE,2019,5906.47
23,BOZKURT,2019,5906.47
24,ÇOBANOĞLU,2019,5168.16
25,ERGENEKON,2019,10906.84
26,EVRENOSZADE,2019,4027.14
27,İNCİRLİ DEDE,2019,5168.16
28,KARABİBER,2019,2684.76
29,KEŞFİ EFENDİ,2019,3355.95
30,KURTULUŞ,2019,9396.66
31,KUYULUBAĞ,2019,5168.16
32,LALA ŞAHİN,2019,4027.14
33,ORTANCA,2019,3355.95
34,SAVAŞ,2019,5168.16
35,ŞAHADET,2019,4027.14
36,ŞAHAP,2019,5168.16
37,ŞAHMERDAN,2019,4027.14
38,YAY MEYDANI,2019,4027.14
39,YEMİŞLİ BAHÇE,2019,5168.16
40,AVUKAT,2018,4620
41,BARUTÇULAR,2018,3000
42,BARUTHANE,2018,5280
43,BOZKURT,2018,5280
44,ÇOBANOĞLU,2018,4620
45,ERGENEKON,2018,9750
46,EVRENOSZADE,2018,3600
47,İNCİRLİ DEDE,2018,4620
48,KARABİBER,2018,2400
49,KEŞFİ EFENDİ,2018,3000
50,KURTULUŞ,2018,8400
51,KUYULUBAĞ,2018,4620
52,LALA ŞAHİN,2018,3600
53,ORTANCA,2018,3000
54,SAVAŞ,2018,4620
55,ŞAHADET,2018,3600
56,ŞAHAP,2018,4620
57,ŞAHMERDAN,2018,3600
58,YAY MEYDANI,2018,3600
59,YEMİŞLİ BAHÇE,2018,4620
60,AVUKAT,2017,4316.69
61,BARUTÇULAR,2017,2803.06
62,BARUTHANE,2017,4933.37
63,BOZKURT,2017,4933.37
64,ÇOBANOĞLU,2017,4316.69
65,ERGENEKON,2017,9109.91
66,EVRENOSZADE,2017,3363.66
67,İNCİRLİ DEDE,2017,4316.69
68,KARABİBER,2017,2242.44
69,KEŞFİ EFENDİ,2017,2803.06
70,KURTULUŞ,2017,7848.53
71,KUYULUBAĞ,2017,4316.69
72,LALA ŞAHİN,2017,3363.66
73,ORTANCA,2017,2803.06
74,SAVAŞ,2017,4316.69
75,ŞAHADET,2017,3363.66
76,ŞAHAP,2017,4316.69
77,ŞAHMERDAN,2017,3363.66
78,YAY MEYDANI,2017,3363.66
79,YEMİŞLİ BAHÇE,2017,4316.69
80,AVUKAT,2016,4157.46
81,BARUTÇULAR,2016,2699.66
82,BARUTHANE,2016,4751.39
83,BOZKURT,2016,4751.39
84,ÇOBANOĞLU,2016,4157.46
85,ERGENEKON,2016,8773.87
86,EVRENOSZADE,2016,3239.58
87,İNCİRLİ DEDE,2016,4157.46
88,KARABİBER,2016,2159.72
89,KEŞFİ EFENDİ,2016,2699.66
90,KURTULUŞ,2016,7559.02
91,KUYULUBAĞ,2016,4157.46
92,LALA ŞAHİN,2016,3239.58
93,ORTANCA,2016,2699.66
94,SAVAŞ,2016,4157.46
95,ŞAHADET,2016,3239.58
96,ŞAHAP,2016,4157.46
97,ŞAHMERDAN,2016,3239.58
98,YAY MEYDANI,2016,3239.58
99,YEMİŞLİ BAHÇE,2016,4157.46
100,AVUKAT,2015,4044.62
101,BARUTÇULAR,2015,2626.38
102,BARUTHANE,2015,4622.42
103,BOZKURT,2015,4622.42
104,ÇOBANOĞLU,2015,4044.62
105,ERGENEKON,2015,8535.72
106,EVRENOSZADE,2015,3151.65
107,İNCİRLİ DEDE,2015,4044.62
108,KARABİBER,2015,2101.1
109,KEŞFİ EFENDİ,2015,2626.38
110,KURTULUŞ,2015,7353.85
111,KUYULUBAĞ,2015,4044.62
112,LALA ŞAHİN,2015,3151.65
113,ORTANCA,2015,2626.38
114,SAVAŞ,2015,4044.62
115,ŞAHADET,2015,3151.65
116,ŞAHAP,2015,4044.62
117,ŞAHMERDAN,2015,3151.65
118,YAY MEYDANI,2015,3151.65
119,YEMİŞLİ BAHÇE,2015,4044.62
120,AVUKAT,2014,3850
121,BARUTÇULAR,2014,2500
122,BARUTHANE,2014,4400
123,BOZKURT,2014,4400
124,ÇOBANOĞLU,2014,3850
125,ERGENEKON,2014,8125
126,EVRENOSZADE,2014,3000
127,İNCİRLİ DEDE,2014,3850
128,KARABİBER,2014,2000
129,KEŞFİ EFENDİ,2014,2500
130,KURTULUŞ,2014,7000
131,KUYULUBAĞ,2014,3850
132,LALA ŞAHİN,2014,3000
133,ORTANCA,2014,2500
134,SAVAŞ,2014,3850
135,ŞAHADET,2014,3000
136,ŞAHAP,2014,3850
137,ŞAHMERDAN,2014,3000
138,YAY MEYDANI,2014,3000
139,YEMİŞLİ BAHÇE,2014,3850
140,AVUKAT,2013,1728.23
141,BARUTÇULAR,2013,864.11
142,BARUTHANE,2013,2592.34
143,BOZKURT,2013,2592.34
144,ÇOBANOĞLU,2013,1728.23
145,ERGENEKON,2013,4320.57
146,EVRENOSZADE,2013,1295.57
147,İNCİRLİ DEDE,2013,1728.23
148,KARABİBER,2013,864.11
149,KEŞFİ EFENDİ,2013,864.11
150,KURTULUŞ,2013,3456.46
151,KUYULUBAĞ,2013,1728.23
152,LALA ŞAHİN,2013,1295.57
153,ORTANCA,2013,1295.57
154,SAVAŞ,2013,1728.23
155,ŞAHADET,2013,1295.57
156,ŞAHAP,2013,2592.34
157,ŞAHMERDAN,2013,1295.57
158,YAY MEYDANI,2013,1295.57
159,YEMİŞLİ BAHÇE,2013,2592.34
160,AVUKAT,2012,1603.18
161,BARUTÇULAR,2012,801.59
162,BARUTHANE,2012,2404.77
163,BOZKURT,2012,2404.77
164,ÇOBANOĞLU,2012,1603.18
165,ERGENEKON,2012,4007.95
166,EVRENOSZADE,2012,1201.83
167,İNCİRLİ DEDE,2012,1603.18
168,KARABİBER,2012,801.59
