,sokak,yil,rayic
0,"643 ADA, 1 PARSEL",2020,31372.63
1,CEBEL TOPU,2020,11503.3
2,CUMHURİYET,2020,20915.09
3,ÇİMEN,2020,8963.61
4,DERE 2,2020,11951.48
5,DOLAPDERE,2020,18674.18
6,FRANSIZ HASTANESİ,2020,11951.48
7,HALASKARGAZİ,2020,30924.45
8,HARBİYE ÇAYIRI,2020,8963.61
9,HİDAYET,2020,11951.48
10,KAYA HATUN,2020,11951.48
11,KÜÇÜK BAYIR,2020,5975.74
12,PAPA RONCALLİ,2020,11951.48
13,POYRAZ,2020,11951.48
14,PROF. DR. CELAL ÖKER,2020,11951.48
15,SELBAŞI,2020,11951.48
16,TAY,2020,11951.48
17,YUNUSBEY,2020,8963.61
18,"643 ADA, 1 PARSEL",2019,28189.98
19,CEBEL TOPU,2019,10336.33
20,CUMHURİYET,2019,18793.32
21,ÇİMEN,2019,8054.28
22,DERE 2,2019,10739.04
23,DOLAPDERE,2019,16779.75
24,FRANSIZ HASTANESİ,2019,10739.04
25,HALASKARGAZİ,2019,27787.27
26,HARBİYE ÇAYIRI,2019,8054.28
27,HİDAYET,2019,10739.04
28,KAYA HATUN,2019,10739.04
29,KÜÇÜK BAYIR,2019,5369.52
30,PAPA RONCALLİ,2019,10739.04
31,POYRAZ,2019,10739.04
32,PROF. DR. CELAL ÖKER,2019,10739.04
33,SELBAŞI,2019,10739.04
34,TAY,2019,10739.04
35,YUNUSBEY,2019,8054.28
36,"643 ADA, 1 PARSEL",2018,25200
37,CEBEL TOPU,2018,9240
38,CUMHURİYET,2018,16800
39,ÇİMEN,2018,7200
40,DERE 2,2018,9600
41,DOLAPDERE,2018,15000
42,FRANSIZ HASTANESİ,2018,9600
43,HALASKARGAZİ,2018,24840
44,HARBİYE ÇAYIRI,2018,7200
45,HİDAYET,2018,9600
46,KAYA HATUN,2018,9600
47,KÜÇÜK BAYIR,2018,4800
48,PAPA RONCALLİ,2018,9600
49,POYRAZ,2018,9600
50,PROF. DR. CELAL ÖKER,2018,9600
51,SELBAŞI,2018,9600
52,TAY,2018,9600
53,YUNUSBEY,2018,7200
54,"643 ADA, 1 PARSEL",2017,23545.6
55,CEBEL TOPU,2017,8633.39
56,CUMHURİYET,2017,15697.06
57,ÇİMEN,2017,6727.31
58,DERE 2,2017,8969.75
59,DOLAPDERE,2017,14015.24
60,FRANSIZ HASTANESİ,2017,8969.75
61,HALASKARGAZİ,2017,23209.23
62,HARBİYE ÇAYIRI,2017,6727.31
63,HİDAYET,2017,8969.75
64,KAYA HATUN,2017,8969.75
65,KÜÇÜK BAYIR,2017,4484.87
66,PAPA RONCALLİ,2017,8969.75
67,POYRAZ,2017,8969.75
68,PROF. DR. CELAL ÖKER,2017,8969.75
69,SELBAŞI,2017,8969.75
70,TAY,2017,8969.75
71,YUNUSBEY,2017,6727.31
72,"643 ADA, 1 PARSEL",2016,22677.07
73,CEBEL TOPU,2016,8314.93
74,CUMHURİYET,2016,15118.04
75,ÇİMEN,2016,6479.16
76,DERE 2,2016,8638.88
77,DOLAPDERE,2016,13498.26
78,FRANSIZ HASTANESİ,2016,8638.88
79,HALASKARGAZİ,2016,22353.11
80,HARBİYE ÇAYIRI,2016,6479.16
81,HİDAYET,2016,8638.88
82,KAYA HATUN,2016,8638.88
83,KÜÇÜK BAYIR,2016,4319.44
84,PAPA RONCALLİ,2016,8638.88
85,POYRAZ,2016,8638.88
86,PROF. DR. CELAL ÖKER,2016,8638.88
87,SELBAŞI,2016,8638.88
88,TAY,2016,8638.88
89,YUNUSBEY,2016,6479.16
90,"643 ADA, 1 PARSEL",2015,22061.55
91,CEBEL TOPU,2015,8089.24
92,CUMHURİYET,2015,14707.7
93,ÇİMEN,2015,6303.3
94,DERE 2,2015,8404.4
95,DOLAPDERE,2015,13131.88
96,FRANSIZ HASTANESİ,2015,8404.4
97,HALASKARGAZİ,2015,21746.39
98,HARBİYE ÇAYIRI,2015,6303.3
99,HİDAYET,2015,8404.4
100,KAYA HATUN,2015,8404.4
101,KÜÇÜK BAYIR,2015,4202.2
102,PAPA RONCALLİ,2015,8404.4
103,POYRAZ,2015,8404.4
104,PROF. DR. CELAL ÖKER,2015,8404.4
105,SELBAŞI,2015,8404.4
106,TAY,2015,8404.4
107,YUNUSBEY,2015,6303.3
108,"643 ADA, 1 PARSEL",2014,21000
109,CEBEL TOPU,2014,7700
110,CUMHURİYET,2014,14000
111,ÇİMEN,2014,6000
112,DERE 2,2014,8000
113,DOLAPDERE,2014,12500
114,FRANSIZ HASTANESİ,2014,8000
115,HALASKARGAZİ,2014,20700
116,HARBİYE ÇAYIRI,2014,6000
117,HİDAYET,2014,8000
118,KAYA HATUN,2014,8000
119,KÜÇÜK BAYIR,2014,4000
120,PAPA RONCALLİ,2014,8000
121,POYRAZ,2014,8000
122,PROF. DR. CELAL ÖKER,2014,8000
123,SELBAŞI,2014,8000
124,TAY,2014,8000
125,YUNUSBEY,2014,6000
126,"643 ADA, 1 PARSEL",2013,10368.18
127,CEBEL TOPU,2013,2159.69
128,CUMHURİYET,2013,7777.03
129,ÇİMEN,2013,2159.69
130,DERE 2,2013,2592.34
131,DOLAPDERE,2013,3456.46
132,FRANSIZ HASTANESİ,2013,2592.34
133,HALASKARGAZİ,2013,7777.03
134,HARBİYE ÇAYIRI,2013,1728.23
135,HİDAYET,2013,2592.34
136,KAYA HATUN,2013,2592.34
137,KÜÇÜK BAYIR,2013,1728.23
138,PAPA RONCALLİ,2013,2159.69
139,POYRAZ,2013,2592.34
140,PROF. DR. CELAL ÖKER,2013,2592.34
141,SELBAŞI,2013,2592.34
142,TAY,2013,2592.34
143,YUNUSBEY,2013,2159.69
144,"643 ADA, 1 PARSEL",2012,9617.98
145,CEBEL TOPU,2012,2003.42
146,CUMHURİYET,2012,7214.31
147,ÇİMEN,2012,2003.42
148,DERE 2,2012,2404.77
149,DOLAPDERE,2012,3206.36
150,FRANSIZ HASTANESİ,2012,2404.77
151,HALASKARGAZİ,2012,7214.31
152,HARBİYE ÇAYIRI,2012,1603.18
153,HİDAYET,2012,2404.77
154,KAYA HATUN,2012,2404.77
155,KÜÇÜK BAYIR,2012,1603.18
156,PAPA RONCALLİ,2012,2003.42
157,POYRAZ,2012,2404.77
158,PROF. DR. CELAL ÖKER,2012,2404.77
159,SELBAŞI,2012,2404.77
160,TAY,2012,2404.77
161,YUNUSBEY,2012,2003.42
162,"643 ADA, 1 PARSEL",2011,8723
163,CEBEL TOPU,2011,1817
164,CUMHURİYET,2011,6543
165,ÇİMEN,2011,1817
166,DERE 2,2011,2181
167,DOLAPDERE,2011,2908
168,FRANSIZ HASTANESİ,2011,2181
169,HALASKARGAZİ,2011,6543
170,HARBİYE ÇAYIRI,2011,1454
171,HİDAYET,2011,2181
172,KAYA HATUN,2011,2181
173,KÜÇÜK BAYIR,2011,1454
174,PAPA RONCALLİ,2011,1817
175,POYRAZ,2011,2181
176,PROF. DR. CELAL ÖKER,2011,2181
177,SELBAŞI,2011,2181
178,TAY,2011,2181
179,YUNUSBEY,2011,1817
180,"643 ADA, 1 PARSEL",2010,8400
181,CEBEL TOPU,2010,1750
182,CUMHURİYET,2010,6300
183,ÇİMEN,2010,1750
184,DERE 2,2010,2100
185,DOLAPDERE,2010,2800
186,FRANSIZ HASTANESİ,2010,2100
187,HALASKARGAZİ,2010,6300
188,HARBİYE ÇAYIRI,2010,1400
189,HİDAYET,2010,2100
190,KAYA HATUN,2010,2100
191,KÜÇÜK BAYIR,2010,1400
192,PAPA RONCALLİ,2010,1750
193,POYRAZ,2010,2100
194,PROF. DR. CELAL ÖKER,2010,2100
195,SELBAŞI,2010,2100
196,TAY,2010,2100
197,YUNUSBEY,2010,1750
198,CEBEL TOPU,2009,667.48
199,CUMHURİYET,2009,3422.96
200,ÇİMEN,2009,713.13
201,DERE 2,2009,667.48
202,DOLAPDERE,2009,758.76
203,FRANSIZ HASTANESİ,2009,855.74
204,HALASKARGAZİ,2009,3422.96
205,HARBİYE ÇAYIRI,2009,524.86
206,HİDAYET,2009,855.74
207,KAYA HATUN,2009,855.74
208,KÜÇÜK BAYIR,2009,330.89
209,PAPA RONCALLİ,2009,713.13
210,POYRAZ,2009,758.76
211,PROF. DR. CELAL ÖKER,2009,713.13
212,SELBAŞI,2009,713.13
213,TAY,2009,713.13
214,YUNUSBEY,2009,713.13
215,CEBEL TOPU,2008,629.7
216,CUMHURİYET,2008,3229.21
217,ÇİMEN,2008,672.76
218,DERE 2,2008,629.7
219,DOLAPDERE,2008,715.81
220,FRANSIZ HASTANESİ,2008,807.3
221,HALASKARGAZİ,2008,3229.21
222,HARBİYE ÇAYIRI,2008,495.15
223,HİDAYET,2008,807.3
224,KAYA HATUN,2008,807.3
225,KÜÇÜK BAYIR,2008,312.16
226,PAPA RONCALLİ,2008,672.76
227,POYRAZ,2008,715.81
228,PROF. DR. CELAL ÖKER,2008,672.76
229,SELBAŞI,2008,672.76
230,TAY,2008,672.76
231,YUNUSBEY,2008,672.76
232,CEBEL TOPU,2007,607.82
233,CUMHURİYET,2007,3117
234,ÇİMEN,2007,649.38
235,DERE 2,2007,607.82
236,DOLAPDERE,2007,690.94
237,FRANSIZ HASTANESİ,2007,779.25
238,HALASKARGAZİ,2007,3117
239,HARBİYE ÇAYIRI,2007,477.94
240,HİDAYET,2007,779.25
241,KAYA HATUN,2007,779.25
242,KÜÇÜK BAYIR,2007,301.31
243,PAPA RONCALLİ,2007,649.38
244,POYRAZ,2007,690.94
245,PROF. DR. CELAL ÖKER,2007,649.38
246,SELBAŞI,2007,649.38
247,TAY,2007,649.38
248,YUNUSBEY,2007,649.38
249,CEBEL TOPU,2006,585
250,CUMHURİYET,2006,3000
251,ÇİMEN,2006,625
252,DERE 2,2006,585
253,DOLAPDERE,2006,665
254,FRANSIZ HASTANESİ,2006,750
255,HALASKARGAZİ,2006,3000
256,HARBİYE ÇAYIRI,2006,460
257,HİDAYET,2006,750
258,KAYA HATUN,2006,750
259,KÜÇÜK BAYIR,2006,290
260,PAPA RONCALLİ,2006,625
261,POYRAZ,2006,665
262,PROF. DR. CELAL ÖKER,2006,625
263,SELBAŞI,2006,625
264,TAY,2006,625
265,YUNUSBEY,2006,625
